證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 短期借款增加,　　 處分不動產、廠房及設備
2605,2015年01月01日至2015年09月30日,,              1171444,                 40545,              1211989,,,              1000365,                 99725,                -14378,                     34,                -53293,              1032453,,,                -55958,                162321,                -15799,                  7550,                 27999,                126113,,                -71451,                  1033,                 -6974,                    293,                -77099,                 49014,              1081467,              2293456,                 16024,               -109003,              2200477,,                700474,               -109725,                     -7,                 20484,                611226,,                              0,                              0,             -1662553,               -568304,               -110169,               -175676,             -2516702,                317862,                612863,              5306344,              5919207,              5919207,,,,,,,,
2605,2015年01月01日至2015年06月30日,,                744924,                 40132,                785056,,,                657218,                 66400,                 -9090,                     34,                -52852,                661710,,,                 -1175,                 75155,                -19418,                 34005,                 25022,                113589,,                -52195,                  2037,                 -2878,                    170,                -52866,                 60723,                722433,              1507489,                 10692,               -109003,              1409178,,                694681,                -84652,,                  9246,                619288,,                              0,,             -1125003,,                -68887,               -112561,             -1306451,               -207394,                514621,              5306344,              5820965,              5820965,                     13,,,,,,,
2605,2015年01月01日至2015年03月31日,,                370382,                 40490,                410872,,,                330988,                 33955,                 -4948,                              0,                -53429,                306566,,,                 50801,                146365,                 -8853,                 24655,                  6961,                219929,,                -69637,                     34,                 22705,                     46,                -46852,                173077,                479643,                890515,                  5545,                              0,                896060,,                702256,                -23808,                     10,                 32860,                711318,,                              0,                              0,               -681016,                              0,                -43818,                -58312,               -783146,                -92303,                731929,              5306344,              6038273,              6038273,,,,,,,,
2605,2014年度,,              1266074,                155982,              1422056,,,              1319462,                128822,                -14117,                     73,                -49010,,,,                 83970,               -212589,                  5044,                -75896,                -15924,               -215395,,                 30352,                 -2668,                -77335,,                -49323,               -264718,              1120512,              2542568,                 12255,               -189540,              2365283,,              1297269,             -1746418,                    -56,,               -480790,,,              1145718,             -1854122,               -625135,               -130038,               -135052,             -1588629,                377458,                673322,              4633022,              5306344,              5306344,,,              1385230,                              0,                    328,                -31585,                 10000,
2605,2014年01月01日至2014年09月30日,,                952839,                138114,              1090953,,,                988637,                 94553,                 -8922,                              0,                -48720,              1025548,,,                110903,                -94113,                -11038,                -55033,                  5663,                -43618,,                 60155,                   -719,                -15271,                    246,                 44411,                    793,              1026341,              2117294,                  8243,               -189530,              1936007,,              1289565,             -1097042,                    -33,                121894,                314384,,                -50000,                569457,               -942955,               -625135,               -104493,               -113644,             -1266770,               -319483,                664138,              4633022,              5297160,              5297160,,,,,,,,
2605,2014年01月01日至2014年06月30日,,                716367,                 84809,                801176,,,                675372,                 64099,                 -5515,                              0,                              0,                733956,,,                109481,                  8301,                 -9252,                -35954,                -10610,                 61966,,                 38776,                    101,                -70117,                    389,                -30851,                 31115,                765071,              1566247,                  4826,               -189530,              1381543,,                              0,               -412133,,                 28830,               -383298,,                -50000,,               -847191,,                -68841,                -32606,               -998638,                -65394,                -65787,              4633022,              4567235,              4567235,                      5,,,,,,,
2605,2014年01月01日至2014年03月31日,,                395753,                 41699,                437452,,,                340342,                 32789,                 -2606,                              0,                              0,                370525,,,                 -5389,                -17459,                 -7762,                 29530,                -56981,                -58061,,                 10127,                  3163,                -56736,                     75,                -43371,               -101432,                269093,                706545,                  1844,                              0,                708389,,                              0,               -381071,                    -23,                  3411,               -377683,,                              0,                              0,               -479908,                              0,                -43992,                 55974,               -467926,                142407,                  5187,              4633022,              4638209,              4638209,,,,,,,,
2605,2013年度,,              1300615,                475282,              1775897,,,              1355726,                157614,                -18630,                     10,                  2516,,,,               -154345,               -110942,                  7965,                -44574,                 30971,               -268922,,                -31155,                 -1165,                 -9074,,                -40860,               -309782,              1187454,              2963351,                 19254,               -307510,              2675095,,                606676,               -667659,                    -45,,                -82756,,,                              0,             -2002055,               -710380,               -172913,               -733725,             -3683073,                195915,               -894819,              5527841,              4633022,              4633022,,,              1497236,                  2003,                    534,                -21728,                -64000,
2605,2013年01月01日至2013年12月31日,,              1539576,                236321,              1775897,,,              1355726,                157614,                -18630,                     10,                  2516,,,,               -154345,               -110942,                  7965,                -44574,                 30971,               -268922,,                -31155,                 -1165,                 -9074,,                -40860,               -309782,              1187454,              2963351,                 19254,               -307510,              2675095,,                606676,               -667659,                    -45,,                -82756,,,                              0,             -2002055,               -710380,               -172913,               -733725,             -3683073,                195915,               -894819,              5527841,              4633022,              4633022,,,              1497236,                  2003,                    534,                -21728,                -64000,                              0
2605,2013年01月01日至2013年09月30日,,              1126651,                198619,              1325270,,,              1022275,                122160,                -14224,                     10,                  2520,,,,                 10174,               -112260,                  3663,                 -4430,                 36214,                -64636,,                -55040,                 -3382,                -59412,,               -117375,               -182011,                950730,              2276000,                 15745,               -307497,              1984248,,                607494,               -554810,                    -38,                 -4960,                 47686,,               -114000,                              0,             -1565036,               -710380,               -144358,               -654883,             -3188657,                142507,             -1014216,              5527841,              4513625,              4513625,,,              1132741,                  2003,                    459,,,
2605,2013年01月01日至2013年06月30日,,                776555,                221176,                997731,,,                679417,                 84615,                -11965,                     10,,,,,                -80804,               -264911,                  4435,                -54518,                 23129,               -370666,,                  9758,                  1092,                -97859,,                -86859,               -457525,                294552,              1292283,                 12899,               -307497,                997685,,,               -393091,,                -94146,               -487280,,                              0,,             -1093018,,                -92230,               -193679,             -1378927,                231339,               -637183,              5527841,              4890658,              4890658,                    -43,,                752077,                  2003,                    150,,,
2605,2013年01月01日至2013年03月31日,,                374478,                108707,                483185,,,                333637,                 42897,                 -4541,                     10,                              0,,,,                 -7946,                  2620,                  1221,                  3390,                 17925,                 19213,,                -23124,                    674,                -53290,,                -75780,                -56567,                315436,                798621,                  5785,,                804406,,                              0,                 -8937,                     -4,,                -61233,,,,               -479798,,                -60687,                -27306,               -567791,                193570,                368952,              5527841,              5896793,              5896793,,,                372003,                  2003,                    -40,                -52292,                              0,
2605,2012年01月01日至2012年12月31日,,              2157526,                464728,              2622254,,,              1373482,                226343,                -17414,                   -323,                -80674,,,,                 37031,                  3296,                -10284,                 41943,                -36179,                 33804,,                -24803,                  1366,                -23458,,                -48050,                -14246,              1487168,              4109422,                 17134,               -306329,              3820227,,                377798,             -1671212,                    307,,             -1428487,,,              2194094,             -1752480,               -852456,               -213818,               -617065,             -1221725,               -263426,                906589,              4621252,              5527841,              5527841,,,              1501414,                 -2003,                 -1155,               -135849,                 20000,                    469
2605,2012年01月01日至2012年09月30日,,              1734439,                361550,              2095989,,,              1034940,                176392,                -12364,                              0,                -80669,,,,                -56038,                 21321,                -13118,                  5280,                 -1602,                -46458,,                -18537,                    607,                -58496,,                -77292,               -123750,                994549,              3090538,                 13694,               -306316,              2797916,,                377798,             -1583715,                   -268,,             -1378464,,,              2205224,             -1310081,               -852456,               -171978,               -448029,               -557320,               -201315,                660817,              4621252,              5282069,              5282069,,,              1118299,                 -2301,                   -866,               -172279,                 20000,
