證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 退還（支付）之所得稅,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　　 應收票據－關係人（增加）減少,　　 償還公司債,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 存出保證金減少,　　 其他投資活動,　　 存入保證金減少,　　　　　 預付款項（增加）減少
2348,2015年01月01日至2015年09月30日,,                101889,                101889,,,                    693,                    263,                 11647,                   -251,                 18599,                   -790,                    793,                -28350,                  2604,,,                  2084,                 34599,               -130716,                  4020,                 29989,                266717,                  7294,                   -278,                213709,,                 -1528,               -143711,                -77360,               -222599,                 -8890,                 -6286,                 95603,                 95603,,                 16100,                              0,                              0,                    809,                 11693,                              0,                    790,                 29392,,                150000,               -100000,                              0,                100000,               -252800,                -42800,                              0,                -25778,                    -24,                              0,               -171402,                -46407,                622050,                575643,                575643,,,,,,,,,,,,,,,,,,
2348,2015年01月01日至2015年06月30日,,                 56606,                 56606,,,                    542,                    175,                  1604,                   -251,                 15317,                   -625,                    793,,                -15358,,,                  7166,                 31404,                104613,                 -4854,                 33608,                109293,                  7742,                   -278,                278834,,                 -1004,               -158605,                -35006,               -194615,                 84219,                 68861,                125467,                125467,,                 11004,                              0,                              0,                    809,                  6988,                              0,                    625,                 19426,,                 50000,                -50000,,                100000,               -106400,,                              0,                 -9411,                              0,                              0,                -15811,                129082,                622050,                751132,                751132,                              0,                -28350,                 -4563,                 -9860,                              0,,,,,,,,,,,,,
2348,2015年01月01日至2015年03月31日,,                 45799,                 45799,,,                    331,                     88,                  1796,                   -220,                  3709,                   -133,,,                  5571,,,                 10070,                -14024,                 87258,                  4020,                 31605,                 76394,                    446,,                195769,,                  2736,               -168431,                -37864,               -203559,                 -7790,                 -2219,                 43580,                 43580,,,                              0,,,                  2582,,                    133,                  2715,,                 50000,                -50000,,                              0,,,                              0,                 -3464,                     -8,,                 -3472,                 42823,                622050,                664873,                664873,,,,,,,,,,,,,,,,,,
2348,2014年度,,                352355,                352355,,,                  1325,                    350,                 43346,                   -123,                 14126,                 -1114,                    310,                 28350,,,,                    130,               -108533,                173765,                  5180,                -39176,               -296135,                -16728,               -131907,               -413404,,                 -2379,               -105974,                 26209,                -82144,               -495548,               -408978,                -56623,                -56623,,,               -182463,                   -843,                              0,                -15829,                              0,                  1114,               -274961,,                 50000,               -357400,                300000,                516200,                              0,,                              0,                -20115,                   -111,                              0,                488574,                156990,                465060,                622050,                622050,,,,,                              0,,                              0,                              0,                 86570,                              0,                              0,                              0,                -76940,                              0,                              0,                              0,                              0,
2348,2014年01月01日至2014年09月30日,,                393995,                393995,,,                    970,                    263,                 43346,                   -123,                 10381,                   -667,                              0,                 57201,                111371,,,                     99,               -126754,                161879,                  7533,                 -9956,               -500945,                -20876,               -131907,               -620927,,                  1220,                -12413,                 32145,                 20952,               -599975,               -488604,                -94609,                -94609,,                -68660,               -182463,                   -843,                              0,                -12899,                              0,                    667,               -264198,,                600000,               -919318,                300000,                516200,                              0,                              0,                              0,                -15617,                    -66,                              0,                481199,                122392,                465060,                587452,                587452,,,,,,,,,,,,,,,,,,
2348,2014年01月01日至2014年06月30日,,                344538,                344538,,,                    615,                    175,                 43346,                   -196,                  6140,                   -548,                              0,,                 49532,,,                     86,               -123057,                167997,                  9200,                -24991,               -368374,                -23013,               -134152,               -496304,,                  5089,                 15022,                  8409,                 28520,               -467784,               -418252,                -73714,                -73714,,                              0,               -182463,                   -843,                              0,                 -9223,                              0,                    548,               -191981,,                455000,               -362400,,                326200,                              0,,                              0,                 -7343,                    -54,                              0,                411403,                145708,                465060,                610768,                610768,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
2348,2014年01月01日至2014年03月31日,,                243480,                243480,,,                    303,                     88,                              0,                   -196,                  2173,                   -138,,,                  2230,,,                 10053,                -54713,                 83213,                  9200,                -16332,               -243109,                -17338,,               -229026,,                 15079,                -24520,                -12851,                -22292,               -251318,               -249088,                 -5608,                 -5608,,,               -182463,,,                 -2151,,                    138,               -184476,,                450000,               -320400,,                280000,,,                              0,                 -4027,                    -14,,                405559,                215475,                465060,                680535,                680535,,,,,,,,,,,,,,,,,,
2348,2013年度,,                338326,                338326,,,                    585,                    256,                              0,                    -91,                  4991,                   -553,                              0,                              0,,,,                 -9766,                -20696,               -370064,                 -9200,                  2043,               -401100,                -21154,               -303628,             -1133565,,                  5114,                345531,                 44561,                392242,               -741323,               -736135,               -397809,               -397809,,,                              0,                 -4841,                              0,                -11438,                 -1050,                    553,                -16776,,                805900,               -448500,                              0,                147500,                              0,,                331160,                 -4757,                    -58,                 27000,                858245,                443660,                 21400,                465060,                465060,,,,,                              0,,                              0,                              0,                  5188,                 -2964,                              0,                              0,                              0,                              0,                              0,                              0,                              0,
2348,2013年01月01日至2013年12月31日,,                338326,                338326,,,                    585,                    256,,                    -91,                  4991,                   -553,                              0,,,,,                 -9766,                -20696,               -370064,                 -9200,                  2043,               -704728,                -21606,,             -1133565,,                  5114,                345531,                 44561,                392242,               -741323,               -736135,               -397809,               -397809,,,,                 -4841,                              0,                -11438,                 -1050,                    553,                 10224,,                805900,               -448500,,                147500,                              0,,                331160,                 -4757,                    -58,,                831245,                443660,                 21400,                465060,                465060,,,,,                              0,,                              0,                              0,                  5188,                 -2964,                              0,                              0,,                              0,                              0,                 27000,                              0,                    452
2348,2013年01月01日至2013年09月30日,,                152839,                152839,,,                    288,                    169,                              0,                              0,                  2151,                   -259,,                              0,,,,                              0,                -18580,               -278786,                              0,                  2043,               -251098,                -11893,               -271790,               -830104,,                 -1423,                193471,                 18220,                210268,               -619836,               -617487,               -464648,               -464648,,,                              0,                 -4760,,                 -4630,                 -1051,                    259,                -10182,,                582900,               -147200,                              0,,                147500,,                331160,                 -1872,                    -28,                 27000,                939460,                464630,                 21400,                486030,                486030,,,,,,,,,                  2349,,,,                              0,,,,,
