證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 存出保證金增加,　　 存出保證金減少,　　 發放現金股利,　　 取得投資性不動產,　　 短期借款減少,　　 短期借款增加
1465,2015年01月01日至2015年09月30日,,                123889,                123889,,,                 37398,                    149,                  1649,                -18864,                              0,                   -921,                              0,                   -872,                 18539,,,                  9658,                 69419,                -10592,                -49947,                 27396,                 -3460,                     71,                 14097,                    -92,               -373578,                              0,               -317028,,                -18744,                -33967,                  9627,                -14672,                 -9678,                      4,                 -4988,                -72418,               -389446,               -370907,               -247018,                 17753,                              0,                 -1126,                -12766,,,               -243157,               -243157,,                   -101,                    104,               -360000,                483054,                 -5700,                  1253,                              0,                              0,                   -890,                   -474,                              0,                117246,,                 63609,                -63356,                    101,                              0,                -28284,                -27930,                 19057,               -134784,                392060,                257276,                257276,,,,,,,,,,,,,,
1465,2015年01月01日至2015年06月30日,,                 56179,                 56179,,,                 25230,                    103,                  1332,                -12448,,                 -1025,                              0,                   -736,                 12553,,,                     83,                 57315,                 -2993,                 -2205,                  3348,                  1191,                 -1672,                   -897,                 -4610,               -324642,,               -275082,,                 13430,                  8117,                 13176,                -20070,                 -6869,                     43,                   -948,                  6879,               -268203,               -255650,               -199471,                 11722,,                 -1145,                 -7337,,,,               -196231,,                    -11,                     12,               -110000,                217920,                 -4071,                  1025,                              0,                              0,                  2504,                              0,,                107379,,                 61084,                -60842,                     -5,                              0,                -51301,                -51064,                -11587,               -151503,                392060,                240557,                240557,                     97,,,,,,,,,,,,,
1465,2015年01月01日至2015年03月31日,,                 34714,                 34714,,,                 12624,                     56,                    694,                 -6236,,                   -393,                              0,                   -582,                  6163,,,                  1596,                 41912,                 -4505,                 -1015,                  2038,                 39432,                    143,                 11163,                   -223,               -316286,,               -225745,,                 -2461,                -48263,                  5028,                -46416,                 -4791,                    -86,                    346,                -96643,               -322388,               -316225,               -281511,                  5905,,                   -694,                 -2145,,,,               -278445,,,,                -55000,                160466,                 -3426,                    393,,                              0,                  1601,                              0,,                104034,,,                              0,                   -135,                              0,                 -5412,                 -5547,                 -4653,               -184611,                392060,                207449,                207449,,,,,,,,,,,,,,
1465,2014年度,,                172141,                172141,,,                 54060,                    249,                  4756,                -20263,                 -1380,                   -102,                 -4765,,,,,                -10145,                -34185,                 37825,                 -1774,                -69711,                 30342,                  1176,                  4555,                   -401,               -128984,,               -171302,,                  1839,                 48818,                 -2827,                 -1398,                -15158,                 -4258,,                 11993,               -159309,               -127277,                 44864,                 20620,                  1380,                 -5477,                -14718,,,                 46669,                 46669,,,,               -570000,                623457,                -12531,                    102,                    -34,                 16443,                 20015,                 -3012,                  2769,                 77209,,                125339,               -186892,                              0,                    -29,                -16829,               -121581,                 24407,                 26704,                365356,                392060,                392060,,,                              0,                   -523,                 32032,                              0,                              0,                -15023,                              0,                              0,                -43170,,,
1465,2014年01月01日至2014年09月30日,,                133071,                133071,,,                 41140,                    193,                  3931,                -14966,                 -1380,                              0,                 -4765,                   -407,                 23746,,,                 -8654,                -15229,                 33408,                 -1695,                -53019,                  8088,                -14030,                  6495,                 -7059,               -290039,                    -58,               -341792,,                 -8641,                 23644,                  5702,                -22598,                -24754,                 -4120,                -12447,                -43214,               -385006,               -361260,               -228189,                 14354,                  1380,                 -3613,                 -8729,,,               -224797,               -224797,,                              0,                              0,               -440000,                459509,                 -7650,                              0,                    -34,                 16443,                 23091,                 -2433,                  1603,                 50529,,                121442,               -120331,                              0,                    -29,                -34771,                -33689,                  6022,               -201935,                365356,                163421,                163421,,,,,,,,,,,,,,
1465,2014年01月01日至2014年06月30日,,                100088,                100088,,,                 28311,                    130,                  2134,                 -9628,,                              0,                 -4765,                   -322,                 15860,,,                 -7701,                 -6124,                 16872,                -22049,                -24804,                -33121,                 -2664,                -12512,                 -1933,               -275876,,               -369912,,                 34631,                 27857,                 -1896,                 -8969,                -14286,                 -4222,                 -7360,                 25755,               -344157,               -328297,               -228209,                  8874,,                 -2476,                 -8009,,,,               -229820,,                              0,                              0,               -255000,                302610,                 -4058,                              0,                    -34,                 16443,                 23741,                 -2371,,                 81331,,                118344,               -117262,                              0,                    -29,                -31185,                -30132,                 -5154,               -183775,                365356,                181581,                181581,                              0,,,,,,,,,,,,,
1465,2014年01月01日至2014年03月31日,,                 48735,                 48735,,,                 14235,                     64,                    892,                 -4838,,                              0,                 -4765,                   -184,                  5404,,,                 -8455,                -23488,                 -8784,                   -874,                 31693,                -25435,                     15,                 -9818,                 -1420,               -274192,,               -320758,,                 34064,                 32503,                  7821,                -21250,                -19790,                 -4331,                 -5196,                 23821,               -296937,               -291533,               -242798,                  4563,,                   -498,                 -1870,,,,               -240603,,,,               -110000,                127612,                 -1583,                              0,,                 16443,                 22058,                 -2416,,                 52114,,,                -59744,                              0,                    -29,                 -2361,                -62134,                  4472,               -246151,                365356,                119205,                119205,,,,,,,,,,,,,,
1465,2013年度,,                158617,                158617,,,                 61119,                  2024,                  9792,                -19258,                 -2100,                   -286,                              0,,,,,                  6424,                -23771,                -25382,                 94619,                 76912,                 38329,                    185,                 20905,                    491,                -12659,,                202411,,               -126398,                 -1466,                 -5802,                    420,                 20823,                  4379,,               -135335,                 67076,                118340,                276957,                 18649,                  2100,                 -9430,                 -9382,,,                278894,                278894,,,,             -1016646,              1155121,                 -5580,                    291,                   -524,                              0,                 -2615,                 -1313,                    225,                128930,,                194496,               -308932,                   -130,                 -2256,                 10217,               -192944,                  7934,                222814,                142542,                365356,                365356,,,                  1940,                 -1967,                 51264,                 26358,                 -6991,                -20300,                   -160,                    131,                -86339,,,
1465,2013年01月01日至2013年12月31日,,                158617,                158617,,,                 61119,                  2024,                  9792,                -19258,                 -2100,                   -286,,                 -1967,,,,                  6424,                -23771,                -25382,                 94619,                 76912,                 38329,                    185,                 20905,                    491,                -12667,,                202403,,               -126398,                 15258,                -22526,                    420,                 20823,                  4379,,               -135335,                 67068,                118332,                276949,                 18649,                  2100,                 -9430,                 -9382,,,,                278886,,,,             -1016646,              1155121,                 -5580,                    291,                   -524,,                 -2607,                 -1313,                    226,                128969,,                194496,               -308932,                   -130,                 -2256,                 10217,               -192944,                  7903,                222814,                142542,                365356,                365356,                              0,,                  1940,,                 51264,                 26358,                 -6991,                -20300,                              0,                      1,                -86339,,                              0,
1465,2013年01月01日至2013年09月30日,,                107659,                107659,,,                 46978,                  1521,                  8605,                -15038,                 -2100,                   -286,                              0,                 -2216,,,,                 -2450,                -53364,                  8836,                 81301,                 86737,                  6249,                   -254,                 12564,                 -4733,                -11693,                              0,                149905,,                -90936,                 -6505,                    -64,                 -6458,                 -5204,                    107,,               -132679,                 17226,                 56629,                164288,                 13536,                  2100,                 -7853,                 -3745,,,                168326,                168326,,,,               -692000,                907488,                 -4088,                    291,                   -407,,                    989,                              0,                              0,                212274,,                126266,               -151689,                   -130,                 -2241,                    529,               -113604,                  1294,                268290,                142542,                410832,                410832,,,                  1939,,                 39403,                 26712,                 -6991,                -16628,,                      1,                -86339,                              0,,
