證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　　 其他營業資產（增加）減少,　　 存出保證金減少,　　 其他金融資產減少,　　 存入保證金增加,　　　　　 其他應收款－關係人（增加）減少,　　　　　 遞延貸項增加（減少）,　　 其他非流動資產減少,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 現金增資,　　 現金減資,　　 員工執行認股權
2351,2015年01月01日至2015年09月30日,,                651296,                651296,,,                528810,                 11982,                   -209,                  1342,                 36229,                   -957,                   -627,                 21718,                 -1216,                  6400,                -22468,                              0,                581004,,,                -25009,                 22304,                243295,                 11891,                 22421,                 -3610,                -76937,                    256,                194611,,                   -706,               -468611,                -71492,                              0,                  3204,                      1,                 -4009,                 17914,               -523699,               -329088,                251916,                903212,                    869,                    627,                -34812,               -212384,                657512,,                      2,               -598820,                  3619,                 -8626,                -10086,                    232,                              0,                              0,               -613679,,                121222,                              0,                              0,                650000,               -371966,                 -9926,                              0,                              0,               -400819,                -48334,                -59823,                    -15,                -16005,                781769,                765764,                765764,,,,,,,,,,,,,,,
2351,2015年01月01日至2015年06月30日,,                401577,                401577,,,                350207,                  8332,                  5986,                    691,                 23748,                   -461,                   -627,                 14570,                  1529,,                   -641,,                403334,,,                  1991,                 34301,                173960,                 11131,               -199787,                -10828,                   -215,                              0,                 10553,,                  7212,               -215790,                -74013,                              0,                 -5337,                     -3,                 -2934,                 15263,               -275602,               -265049,                138285,                539862,                    509,                    627,                -22664,               -129631,                388703,,                      2,               -443519,                  4632,                -10003,                 -8120,,,                              0,               -456539,,                 99621,,                              0,                250000,               -342857,                -10159,,                              0,,                -44567,                -47962,                 -4105,               -119903,                781769,                661866,                661866,                              0,                              0,                              0,                    469,                              0,,,,,,,,,,
2351,2015年01月01日至2015年03月31日,,                191369,                191369,,,                174926,                  4303,                  5852,                    226,                 11391,                   -140,                   -627,                  7313,                    464,                              0,                 -9700,,                194008,,,                  5000,                  8238,                106483,                  9230,               -178934,                 -7436,                   -762,                              0,                -58181,,                  2692,               -123008,               -137782,,                 -1169,                     -5,                   -857,                              0,               -251655,               -309836,               -115828,                 75541,                    142,                    627,                -10040,                 -4691,                 61579,,,               -236713,                  2710,                              0,                 -3126,                    337,                              0,,               -252802,,                 66411,                              0,                              0,                 50000,                              0,,,                 -8717,,,                107694,                 -2343,                -85872,                781769,                695897,                695897,,,                -16010,                              0,,                              0,                  8474,                              0,                              0,,,,,,
2351,2014年度,,                988707,                988707,,,                684497,                 16960,                  9420,                 -1751,                 49487,                 -1315,                   -280,                  9700,                    144,,                 17354,                              0,,,,                    546,                -26417,               -299639,                  1392,               -262961,                  7929,                    144,                              0,               -579006,,                 -2516,                436966,                 80692,                              0,                 29360,,,                 15484,                556075,                -22931,                761285,              1749992,                  1284,                    280,                -47525,               -180488,              1523543,,,               -541802,                  4513,                 -1575,                -13735,,                              0,                              0,               -541350,,,                -38942,                 -5000,                553128,               -872714,                 -2689,                  4320,,               -332105,,               -674352,                  8182,                316023,                465746,                781769,                781769,,,                              0,,,,,                 11249,                              0,,                784216,                 -3911,                 20000,                   -350,                              0
2351,2014年01月01日至2014年09月30日,,                716434,                716434,,,                515753,                 12412,                  5854,                 -1319,                 37285,                 -1015,                   -280,                  7050,                     -3,                              0,                 -1623,                              0,                574114,,,                  6547,                 -8830,               -489627,                  8475,               -173530,                 -2670,                 11701,                              0,               -647934,,                  2502,                451697,                 53612,                              0,                 13878,                 -4925,                 -2379,                 18786,                533171,               -114763,                459351,              1175785,                  1025,                    280,                -36507,               -172667,                967916,,                              0,               -353233,                  2343,                 -2410,                 -8926,                              0,                    730,                              0,               -361496,,                              0,                 -6520,                 -5000,                352798,               -526467,                 -4144,                              0,                              0,               -288360,                -43745,               -521438,                  1890,                 86872,                465746,                552618,                552618,,,,,,,,,,,,,,,
2351,2014年01月01日至2014年06月30日,,                411871,                411871,,,                344650,                  8078,                  3208,                   -693,                 25064,                   -822,                   -280,                  4700,                    -63,,                  9483,,                393325,,,                  7548,                -17432,               -219850,                 10357,                -41486,                 -8727,                    612,                              0,               -268978,,                    694,                311722,                 -4335,                              0,                  6302,                  2915,                 -1614,                 11871,                327555,                 58577,                451902,                863773,                    792,                    280,                -25599,               -107403,                731843,,                              0,               -233532,                  2129,                   -922,                 -4977,,,                              0,               -225286,,                 24843,,                 -5000,                100000,               -375327,                 -7108,,                              0,,                -40516,               -303108,                 -2451,                200998,                465746,                666744,                666744,                              0,                              0,                              0,                 12016,                              0,,,,,,,,,,
2351,2014年01月01日至2014年03月31日,,                174492,                174492,,,                171141,                  3902,                  2783,                  1577,                 12589,                   -188,                              0,                  2350,                     36,                              0,                    447,,                194637,,,                  3006,                -25028,                -45824,                 10739,                -10150,                 -5438,                  4758,                              0,                -67937,,                    377,                169309,                -62537,,                 11733,                 -5066,                   -827,                              0,                114848,                 46911,                241548,                416040,                    126,                              0,                -12254,                 -2735,                401177,,,                -94654,                  1520,                              0,                 -1558,                -53145,                              0,,               -147508,,                 30799,                              0,                 -5000,                100000,               -207972,,,                 -6904,,,                -89077,                  1817,                166409,                465746,                632155,                632155,,,                     86,                              0,,                              0,                  1859,                    243,                              0,,,,,,
2351,2013年度,,                690348,                690348,,,                680236,                 15295,                  2382,                 -2714,                 58738,                   -674,                              0,                  9400,                  4754,,                -10070,                 -3174,,,,                  4502,                -32525,               -298308,                 32821,                -87032,                 -6727,                 -6171,                              0,               -393440,,                  1611,                 64393,                 62563,                              0,                  3154,,,                 44890,                172348,               -221092,                533081,              1223429,                    659,                              0,                -60997,                -88060,              1075031,,,               -473446,                  5377,                              0,                -12810,,                -14808,                              0,               -493426,,,                -70687,                -25000,                250000,               -539417,                    -20,                  5219,,               -215329,,               -595234,                  6995,                 -6634,                472380,                465746,                465746,,,                  2261,,,,,                              0,                              0,,                754173,                 -4263,                              0,                              0,                              0
2351,2013年01月01日至2013年12月31日,,                690348,                690348,,,                680236,                 15295,                  2382,                 -2714,                 58738,                   -674,,                  9400,                  4754,,                -10070,                 -3174,,,,                  4502,                -32525,               -298308,                 32821,                -87032,                 -6727,                 -6171,                              0,               -393440,,                  1611,                 64393,                 57737,                  4826,                  3154,,,                 44890,                172348,               -221092,                533081,              1223429,                    659,,                -60997,                -88060,              1075031,,,               -473446,                  5377,                              0,                -12810,,                 -1096,                -13712,               -493426,,,                -70687,                -25000,                250000,               -539417,                    -20,                  5219,,               -215329,,               -595234,                  6995,                 -6634,                472380,                465746,                465746,,,                  2261,,                              0,,,                              0,                              0,,                754173,                 -4263,                              0,,
2351,2013年01月01日至2013年09月30日,,                536359,                536359,,,                509788,                 11519,                  9713,                 -1646,                 46196,                   -403,                              0,                  7050,                  3075,,                 -3809,                 -3174,,,,                  4502,                -31926,               -413234,                 42949,               -306788,                 -5719,                 -8658,,               -718874,,                  3808,                447650,                 59541,                  6113,                  4624,                    700,,                 27397,                547327,               -171547,                406762,                943121,                    424,                              0,                -43594,                -82491,                817460,,,               -296103,                  4338,                  2542,                -10853,,                -46678,                    564,               -346190,,,                -26685,                -25000,                150000,               -356390,                    -20,                    407,                              0,               -215329,,               -473017,                  3881,                  2134,                472380,                474514,                474514,,,,,,,,,,,                578309,                 -2506,,,
