證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）
3437,2015年01月01日至2015年09月30日,,                286367,                286367,,,                196887,                  6816,                    437,                 35356,                    879,                -13888,                              0,                  3294,                 -1458,                              0,                228323,,,                              0,                 44432,                484556,                155090,                  2004,                 91028,                  1485,                778595,,                -56841,               -399447,               -302360,                -79339,                -70719,                 -4017,                 -1266,               -913989,               -135394,                 92929,                379296,                 13482,                              0,                   -879,               -144785,                247114,,               -191046,                  1600,                              0,                              0,                              0,                              0,                   -344,               -189790,,                              0,                              0,                              0,                              0,                              0,               -220032,                              0,                  2510,               -170301,                              0,               -387823,                  1218,               -329281,              2532871,              2203590,              2203590,,,,,
3437,2015年01月01日至2015年06月30日,,                185273,                185273,,,                130741,                  4759,                 -1447,                -26993,                    879,                 -9699,                              0,                  2212,                 -1458,                              0,                 98994,,,                -28243,                 29651,                495128,                103293,                 20002,                112612,                 -3031,                729412,,                              0,               -305737,               -341053,               -112864,                -51743,                 -6309,                   -907,               -818613,                -89201,                  9793,                195066,                 11017,                              0,                   -879,               -131914,                 73290,,               -158585,                  1600,                              0,                              0,,,                   -199,               -157184,,                              0,                              0,                              0,                              0,                              0,,                              0,                  2510,                -15312,                              0,                -12802,                 -1115,                -97811,              2532871,              2435060,              2435060,,,,,
3437,2015年01月01日至2015年03月31日,,                150155,                150155,,,                 62180,                  2773,                   -432,                -12219,                     92,                 -4831,                              0,                  1130,                              0,                              0,                 48693,,,                              0,                 -2754,                422082,                -36581,                 -8166,                 35089,                 -4415,                405255,,                -41977,               -143265,               -269260,                -60205,                -67815,                 -6858,                   -519,               -589899,               -184644,               -135951,                 14204,                  4669,                              0,                    -92,                   -456,                 18325,,                -83737,                              0,                              0,                              0,,                              0,                     25,                -83712,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                  1470,,                              0,                  1470,                   -464,                -64381,              2532871,              2468490,              2468490,                              0,,,,
3437,2014年度,,                565407,                565407,,,                271232,                 12728,                 -2374,                107031,                    538,                -15458,                    -63,                  9740,                   -414,                              0,,,,                              0,                -93547,               -324356,               -201237,                 -2120,                -53601,                  1381,               -673480,,                -77057,                 18323,                267931,                 49461,                168299,                 -5948,,                419580,               -253900,                129060,                694467,                 14546,                     63,                   -538,                -31461,                677077,,               -294282,                    464,                              0,                              0,                 39000,                   -774,                              0,               -255592,,                              0,                              0,                              0,                              0,                              0,               -325000,              1104480,                 10970,,                              0,                790450,                  1771,              1213706,              1319165,              2532871,              2532871,                              0,,                382960,                 -1429,
3437,2014年01月01日至2014年09月30日,,                433152,                433152,,,                210637,                  9489,                 -3321,                 43674,                    264,                 -8221,                    -63,                  9094,                   -408,                              0,                261145,,,                              0,                -67870,               -140654,               -154294,                -24910,                -65105,                  4112,               -448721,,                -34757,               -123569,                179543,                -96179,                 94910,                 10003,                 -1089,                 28862,               -419859,               -158714,                274438,                  8632,                     63,                   -264,                -29049,                253820,,               -203180,                    415,                              0,                              0,                 39000,                              0,                   -690,               -164455,,                              0,                              0,                              0,                              0,                              0,               -325000,              1104480,                              0,                              0,                              0,                779480,                    197,                869042,              1319165,              2188207,              2188207,,,,,
3437,2014年01月01日至2014年06月30日,,                358682,                358682,,,                149434,                  5953,                 -2958,                  4154,                    110,                 -4714,                              0,                  2453,                   -408,                              0,                154024,,,                -38087,                -48677,                130731,               -169773,                  3636,                 -1005,                 -3103,               -126278,,                              0,               -153172,                -38190,                -82752,                 90955,                  2871,                   -738,               -181026,               -307304,               -153280,                205402,                  5144,                              0,                   -110,                -15838,                194598,,               -106431,                    415,                              0,                 39000,,,                   -372,                -67388,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                 -1102,                126108,              1319165,              1445273,              1445273,,,,,
3437,2014年01月01日至2014年03月31日,,                167250,                167250,,,                 78923,                  2472,                 -2077,                 25725,                     40,                 -2035,                              0,                  1811,                   -394,                              0,                104465,,,                              0,                -35965,                 25966,                -63298,                -10917,                -15896,                  2552,                -97558,,                -34070,                -61054,                -99689,                -60309,                 48917,                  5060,                   -382,               -201527,               -299085,               -194620,                -27370,                  2458,                              0,                    -40,                   -242,                -25194,,                -59872,                    394,                              0,                 39000,,                    -66,                              0,                -20544,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                   -261,                -45999,              1319165,              1273166,              1273166,                              0,,,,
3437,2013年度,,                752889,                752889,,,                341434,                  3064,                  3635,                 71168,                    246,                 -3557,                              0,                  4323,                  5459,                  8627,,,,                              0,                 -2594,             -1020676,                703124,                   -839,                -16938,                 -4652,               -342575,,                -65037,                 64495,                159418,                245440,                              0,                 23052,,                425968,                 83393,                517792,              1270681,                  2912,                              0,                   -246,                -52070,              1221277,,               -264282,                    635,                              0,                -39000,                              0,                              0,                  2613,               -300034,,                265468,               -265468,                 10000,                -10000,                              0,                -65000,                              0,                              0,,                              0,                -65000,                  1771,                858014,                461151,              1319165,              1319165,                              0,,                434399,                 -1400,
3437,2013年01月01日至2013年12月31日,,                752889,                752889,,,                341434,                  3064,                  3635,                 71168,                    246,                 -3557,                              0,                  4323,                  5459,                  8627,,,,,                 -2594,             -1020676,                703124,                   -839,                -16938,                 -4652,               -342575,,                -65037,                 64495,                159418,                245440,,                 23052,,                425968,                 83393,                517792,              1270681,                  2912,                              0,                   -246,                -52070,              1221277,,               -264282,                    635,,                -39000,,,                  2613,               -300034,,                265468,               -265468,                 10000,                -10000,,                -65000,,,,                              0,                -65000,                  1771,                858014,                461151,              1319165,              1319165,,,                434399,                 -1400,                              0
3437,2013年01月01日至2013年09月30日,,                667393,                667393,,,                254632,                  1635,                    469,                 43504,                    230,                 -1402,                              0,                  3096,                  1986,                              0,,,,                -77169,                              0,             -1157865,                679547,                -22951,                -40537,                 -3335,               -622310,,                              0,                 18741,                117770,                 92245,                              0,                    779,,                228500,               -393810,                -89660,                577733,                  1205,                              0,                   -230,                -51901,                526807,,               -203792,                    158,                   -150,                -39000,                              0,                              0,                  1111,               -241673,,                255468,               -255468,                              0,                              0,,                -65000,                              0,,,                              0,                -65000,                  1150,                221284,                461151,                682435,                682435,                              0,,                304150,                 -1035,                              0
3437,2013年01月01日至2013年06月30日,,                373735,                373735,,,                167997,                  1031,                   -193,                 65357,                    206,                   -720,,                  1869,                    -17,,,,,                              0,                              0,               -132066,               -133077,                  3030,                -57177,                 -3766,               -323056,,                -69785,                -82845,                 28675,                 12479,                              0,                 -4282,,               -116446,               -439502,               -203972,                169763,                    580,,                   -206,                -34006,                136131,,               -136335,                     17,,                -39000,                              0,                              0,                  3881,               -171437,,,,,,                  3000,,,,,,                  3000,                  1378,                -30928,                461151,                430223,                430223,,,                235530,                   -688,
3437,2013年01月01日至2013年03月31日,,                163643,                163643,,,                 81776,                    505,                  3679,                 43558,                     34,                   -353,,                    935,                    -17,,,,,,                              0,               -161255,                 12285,                 -9900,                -42334,                 -4271,               -205475,,                -40774,               -272672,                -36222,                -59195,                  1483,                 -2710,,               -410483,               -615958,               -485841,               -322198,                    277,,                    -34,                    -28,               -321983,,                -68201,                     17,,                -39000,                              0,                     -2,,               -107186,,                115645,                -26101,,,,,,,,,                 89544,                    878,               -338747,                461151,                122404,                122404,,,                130117,                   -393,
3437,2012年01月01日至2012年12月31日,,                489432,                489432,,,                313466,                  1583,                -10800,                  5001,                  4794,                 -1356,                    -38,                    893,                 -4083,                 24418,,,,,                              0,               -317414,                 67337,                -12530,               -104228,                 -1512,               -368347,,                  9639,                520853,                 -9608,                106573,,                  2281,,                626051,                257704,                591582,              1081014,                    987,                     38,                 -5174,                    -98,              1076767,,               -188289,                  4428,,                              0,,,                  3205,               -180656,,              2577480,             -2938030,                 90000,               -315000,,                              0,,,,                 12179,               -573371,                   -250,                322490,                138661,                461151,                461151,,,                333878,                 -1382,                 -2305
3437,2012年01月01日至2012年06月30日,,                219620,                219620,,,                158670,                  1011,                 -1262,                 -3120,                  3420,                   -454,,                              0,                    -30,,,,,,,                 50716,               -108581,                 -4004,                -35280,                 -5262,               -102411,,                  8405,                100661,                 22028,                 -4433,,                 -3623,,                119918,                 17507,                175742,                395362,                    267,,                 -3672,                              0,                391957,,                -53814,                     30,,                              0,,,                    838,                -52946,,,               -169318,                 40000,               -154334,                              0,,,,,                 12179,               -271473,                    -36,                 67502,                138661,                206163,                206163,,,                158235,                   -815,                 -2305
