證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 其他應收款－關係人增加,　　 長期應收租賃款增加,　　 長期應收租賃款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款增加（減少）,　　 處分採用權益法之投資,　　 其他應收款－關係人減少,　　 其他金融資產增加,　　 其他非流動資產減少,　　 處分待出售非流動資產,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 其他非流動負債減少,　　 應收款項增加,　　 其他預付款項增加,　　 其他非流動負債增加
3561,2015年01月01日至2015年09月30日,,               -428911,               -428911,,,                612977,                226238,                  6021,                 54234,                -44777,                 15153,                 48288,                 -8407,                909727,,,                -44011,               -207455,                -44609,                124619,                 12137,               -159319,,                     72,                309464,                 56904,                366440,                207121,              1116848,                687937,                 44777,                -54482,                   -984,                677248,,                              0,                -90624,               -498190,                -29969,                   -304,                              0,                -10714,               -629801,,                 97250,                              0,                 80000,               -603580,                -37151,                              0,                   -900,               -464381,                 -2092,               -419026,              1058565,                639539,                639539,,,,,,,,,,,,,,,,,,
3561,2015年01月01日至2015年06月30日,,               -451649,               -451649,,,                407055,                 95575,,                 36435,,                 10488,                 42688,                 23561,                615802,,,                -37866,                -66326,                -88329,                 68203,                -11269,               -135587,,,                184391,                 21448,                205839,                 70252,                686054,                234405,,                -36665,                   -328,                197412,,,                -90624,               -341715,                -23296,,,                 -5612,               -461247,,               -293294,,                 80000,               -425720,,                              0,                   -450,               -639464,                  3900,               -899399,              1058565,                159166,                159166,                              0,,,,,,,,,,,,,,,,,
3561,2015年01月01日至2015年03月31日,,               -149428,               -149428,,,                202558,                  7961,,                 18447,,                  5962,                 23091,                 23324,                281343,,,                -43480,                134169,               -350758,                 86009,                 14535,               -159525,,,                191198,                -34533,                156665,                 -2860,                278483,                129055,,                -18328,                   -297,                110430,,,                -61637,               -202599,                 -8550,,,                 -8918,               -281704,,                -35711,,                395000,               -612860,,                              0,                              0,               -253571,                  1866,               -422979,              1058565,                635586,                635586,,,,,,,,,,,,,,,,,,
3561,2014年度,,                152043,                152043,,,                748100,                 17348,,                 67519,                -21860,                 29062,                 61819,                 -2567,,,,                -20473,                 78928,               -102988,                147589,                -45339,                 57717,,,                -94237,,                -80477,                -22760,                877104,              1029147,                 21860,                -67759,                   -240,                983008,,                -16912,               -169201,             -1175340,               -219325,,,,             -1610004,,                242016,,              1017000,             -1248237,,              1000000,                   -525,              1010254,                    698,                383956,                674609,              1058565,              1058565,,,                    459,                    -16,                              0,                899864,                 13760,                              0,                              0,                -33000,                  3774,,,,,,,
3561,2014年01月01日至2014年09月30日,,                147578,                147578,,,                554830,                  9483,                   -473,                 49598,                -21860,                 23045,                 49861,                 -3957,                660527,,,                  2573,                325881,               -167631,                -25000,                -41789,                 94034,,                              0,                 18367,                 21131,                 39498,                133532,                794059,                941637,                 21860,                -50278,                   -310,                912909,,                -16911,                -46579,               -837860,               -217489,                              0,                 34966,                -18713,             -1102586,,                              0,               -141895,                454000,               -996580,                              0,              1000000,                   -525,                315000,                  2169,                127492,                674609,                802101,                802101,,,,,,,,,,,,,,,,,,
3561,2014年01月01日至2014年06月30日,,                238234,                238234,,,                360173,                  7400,,                 33708,,                 17028,                 32466,                 -8112,                442663,,,                              0,               -409219,                 43056,                126522,                 36302,               -203339,,,                -74275,                  7169,                -67106,               -270445,                172218,                410452,,                -34488,                   -177,                375787,,,                              0,               -447502,               -209909,,,                -11498,               -661909,,                 97450,,                              0,               -774720,,              1000000,                   -525,                322205,                     17,                 36100,                674609,                710709,                710709,                  7000,,,,,,,,,,,,,,,,,
3561,2014年01月01日至2014年03月31日,,                152272,                152272,,,                175884,                 -1614,,                 19551,,                 11482,                 15878,                  6928,                228109,,,                              0,               -259209,               -178157,                 58097,                 15861,               -363408,,,                 14678,                -27299,                -12621,               -376029,               -147920,                  4352,,                -19906,                    -77,                -15631,,,                              0,               -159991,               -200342,,,                  1068,               -359265,,                669907,,                              0,             -1276860,,              1000000,                   -150,                392897,                  1266,                 19267,                674609,                693876,                693876,,,,,,,,,,,,,,,,,,
3561,2013年度,,               -424104,               -424104,,,                910379,                   -702,,                 88883,                              0,                 16206,                 96728,                -36515,,,,                              0,               -664741,               -218865,                132452,                -16140,               -767294,,,                430416,,                508021,               -259273,              1117027,                692923,                              0,                -89316,                   -234,                603373,,                              0,                -65711,               -240723,                              0,,,,                221668,,                101423,,                              0,               -961683,,                              0,                 22875,               -837385,                  1665,                -10679,                685288,                674609,                674609,,,                 52129,                120195,                128997,              1376300,                 77605,                513232,                  4445,                              0,                 10425,,,,,,,
3561,2013年01月01日至2013年12月31日,,               -424104,               -424104,,,                910379,                   -702,,                 88883,                              0,                 16206,                 96728,                -36515,,,,,               -664741,               -218865,                132452,                -16140,               -767294,,,                430416,,                508021,               -259273,              1117027,                692923,                              0,                -89316,                   -234,                603373,,                              0,                -65711,               -240723,,,,,                221668,,                101423,                              0,,               -961683,,                              0,                 22875,               -837385,                  1665,                -10679,                685288,                674609,                674609,,,                 52129,                120195,                128997,              1376300,                 77605,,,,                  8808,                513232,                  6062,                              0,                              0,,,
3561,2013年01月01日至2013年09月30日,,               -367127,               -367127,,,                671192,                  1671,,                 68984,,                 11002,                 76835,                -46115,,,,                              0,               -638429,               -148954,                 85909,                 -1018,               -702492,,,                712494,                 31067,                743561,                 41069,                999353,                632226,,                -68885,                    -29,                563312,,                              0,                -81306,               -158886,                              0,,,                  1494,                283455,,                354427,                              0,              1500000,             -2656459,,                              0,                 14941,               -787091,                  1177,                 60853,                685288,                746141,                746141,,,                 52129,                122586,,                958284,,,                  2859,,,                513232,                  6062,,,,,
