證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 處分採用權益法之投資,　　 處分不動產、廠房及設備,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 未實現銷貨利益（損失）,　　 處分無活絡市場之債券投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 呆帳費用提列（轉列收入）數,　　　　 股份基礎給付酬勞成本,　　 現金增資,　　 非控制權益變動
1733,2015年01月01日至2015年09月30日,,                219287,                219287,,,                 77573,                  7150,                  8402,                   -646,                   -640,                -22308,                  1268,                 70799,,,                 11597,                -33663,                 -1314,                 84095,                 -2369,                 58346,,                 -4058,                -30832,                   -193,                -20063,                  2623,                 -3136,                -55659,                  2687,                 73486,                292773,                    652,                 -3000,                -35016,                255409,,               -732000,                735288,                              0,                -15224,                     -6,                 -4738,                -16680,,                              0,                395000,               -400000,                     18,               -246329,               -251311,                 11411,                 -1171,                217772,                216601,                216601,,,,,,,,,,,,,,,,,,,
1733,2015年01月01日至2015年06月30日,,                 91227,                 91227,,,                 52199,                  4839,                  3105,                   -524,                   -514,                  3856,                  2869,                 65830,,,                 43360,                -33589,                  1518,                 21641,                 -1574,                 31356,,                 11959,                 -5722,                  1014,                -20833,                  3005,                 -1828,                -12405,                 18951,                 84781,                176008,                    530,                              0,                -12537,                164001,,                -40000,                202514,,                -10799,                    -15,                 -3074,                148626,,                              0,,,                     18,,                     18,                  5760,                318405,                217772,                536177,                536177,                              0,,,,,,,,,,,,,,,,,,
1733,2015年01月01日至2015年03月31日,,                 43198,                 43198,,,                 26456,                  2394,                  1550,                   -173,                   -514,                  7777,                  4750,                 42240,,,                 44171,                -36013,                 -4454,                 11490,                  1074,                 16268,,                 13308,                 27373,                    811,                -29719,                    393,                   -906,                 11260,                 27528,                 69768,                112966,                    173,,                    -17,                113122,,                -40000,                202514,,                 -4692,                    -50,                 -2677,                155095,,,,,,,,                  4532,                272749,                217772,                490521,                490521,                              0,,,,,,,,,,,,,,,,,,
1733,2014年度,,                318942,                318942,,,                105710,                  9133,                  7688,                 -3096,                 -1252,                -10993,                  2356,,,,                -55230,                -36715,                   -287,                  5849,                 -5410,                -91793,,                -12104,                 36919,                   -827,                -10734,                  1693,,                 11475,                -80318,                 29228,                348170,                  3118,                 -1550,                -82134,                267604,,               -284500,                314561,,                -51934,                    100,                -13480,                -34353,,,,,                              0,               -325154,               -325154,                 -9826,               -101729,                319501,                217772,                217772,,,                              0,                              0,                              0,                109546,                 -3472,                              0,                    900,                              0,                              0,                              0,,,,,,,
1733,2014年01月01日至2014年09月30日,,                220224,                220224,,,                 79383,                  6447,                  5617,                 -2106,                 -1112,                 -6593,                 13356,                 94992,,,                -99633,                 -6256,                 -3996,                -32076,                 -6129,               -148090,,                -11781,                 31333,                   -285,                -35870,                    973,                 -2600,                -18230,               -166320,                -71328,                148896,                    596,                              0,                -81883,                 67609,,               -171500,                309028,               -149950,                -46721,                    -61,                -11247,                -70451,,                150450,                              0,                              0,                              0,               -325154,               -174704,                 -1059,               -178605,                319501,                140896,                140896,,,,,,,,,,,,,,,,,,,
1733,2014年01月01日至2014年06月30日,,                145760,                145760,,,                 52863,                  4232,                  3311,                   -793,                 -1111,                 -4079,                  5137,                 59560,,,               -113069,                  7592,                    -56,                -20628,                 -2930,               -129091,,                -10481,                 40489,                     37,                -27203,                    604,                 -1727,                  1719,               -127372,                -67812,                 77948,                    417,                   -254,                -51271,                 26840,,               -129500,                309028,,                -38743,                    -56,                 -4341,                -12037,,                150450,,,                              0,,                150450,                  2152,                167405,                319501,                486906,                486906,               -148425,,,,,,,,,,,,,,,,,,
1733,2014年01月01日至2014年03月31日,,                 72242,                 72242,,,                 26384,                  2102,                  1526,                    -74,                   -822,                 -3472,                  5480,                 31124,,,                -13658,                -13737,                 -3005,                 13755,                    397,                -16248,,                -18895,                 25919,                    -87,                -45164,                  2176,                   -852,                -36903,                -53151,                -22027,                 50215,                    102,,                 -9511,                 40806,,                -75000,                147801,,                -25297,                              0,                 -1016,                 47388,,,,,,,,                 -4005,                 84189,                319501,                403690,                403690,                    900,,,,,,,,,,,,,,,,,,
1733,2013年度,,                426379,                426379,,,                 91725,                  5784,                  6043,                 -2294,                   -964,                  4312,                  1409,,,,               -122442,                      3,                  3369,                 69258,                  5527,                -44285,,                 18753,                -21594,                  1826,                 37811,                    512,,                 33986,                -10299,                112746,                539125,                  2332,                              0,                -56690,                484767,,               -618350,                478692,,               -230283,                    643,                -17404,               -291712,,,,,                      9,               -443391,               -443382,                -17366,               -267693,                587194,                319501,                319501,,,                 20999,                    120,                 -4089,                123045,                 -3322,                   -900,                              0,                 95776,                    114,                              0,,,,,,,
1733,2013年01月01日至2013年12月31日,,                426379,                426379,,,                 91725,                  5784,                  6043,                 -2294,                   -964,                  4312,                  1409,,,,               -122442,                      3,                  3369,                 69258,                  5527,                -44285,,                 18753,                -21594,                  1826,                 37811,                    512,,                 33986,                -10299,                112746,                539125,                  2332,                              0,                -56690,                484767,,               -618350,                478692,,               -230283,                    643,                -17404,               -291712,,,                              0,,                      9,               -443391,               -443382,                -17366,               -267693,                587194,                319501,                319501,,,                 20999,                    120,                 -4089,                123045,                 -3322,                   -900,,                 95776,                    114,,,,,                              0,                              0,                              0,                              0
1733,2013年01月01日至2013年09月30日,,                381444,                381444,,,                 66812,                  4472,                  5273,                 -1946,                   -773,                  9200,                  3343,,,,               -211025,                    -29,                 -5170,                103090,                 -8364,               -121498,,                 17232,                -14078,                  4395,                 29356,                  1478,,                 35911,                -85587,                  7626,                389070,                  1905,,                -56649,                334326,,               -404850,                359309,,               -166715,                   -111,                 -7154,               -219521,,                              0,,,                      9,               -443391,               -443382,                -14862,               -343439,                587194,                243755,                243755,,,                  5186,,,                 93213,                 -2472,,,,,,                  1646,                              0,,,,,
1733,2013年01月01日至2013年06月30日,,                321733,                321733,,,                 43352,                  2779,                  3510,                 -1625,                   -491,                 -3810,                  4727,,,,                -90035,                      3,                   -353,                116211,                -28640,                 -2814,,                  9246,                  9140,                  2552,                 31700,                 -1311,,                 49700,                 46886,                 95328,                417061,                  1524,                              0,                -27688,                390897,,               -364350,                210482,,               -120698,                    310,                 -6041,               -280297,,                              0,,,                     11,               -443391,               -443380,                -14599,               -347379,                587194,                239815,                239815,,,,,,                 48442,                 -1627,,,,,,,                              0,,,,,
1733,2013年01月01日至2013年03月31日,,                145001,                145001,,,                 21247,                  1325,                  1752,                   -575,                              0,                 -4978,                  5758,,,,                -32274,                              0,                   -844,                 95260,                  1405,                 63547,,                  4851,                -24416,                  2135,                  8867,                  2194,,                 -7178,                 56369,                 80925,                225926,                    249,,                 -4630,                221545,,               -199149,                              0,,                -56412,                    -77,                   -961,               -256599,,,,,                     12,,                     12,                -11544,                -46586,                587194,                540608,                540608,,,,,,                 24556,                   -809,,,,,,,                              0,                     27,,,,
1733,2012年01月01日至2012年12月31日,,                596174,                596174,,,                 83085,                  5651,                  2853,                 -1405,                 -1363,                  6705,                -18433,,,,                 17863,                              0,                 -1704,                -73835,                 -4562,                -62238,,                -23509,                 -9362,                 -3839,                -21538,                 -4380,,                -65360,               -127598,                -48493,                547681,                  1429,                    -40,                -49235,                499835,,             -1214679,              1211652,,               -412246,                   -155,                 -2457,               -417885,,,                400000,,                              0,               -476702,                122718,                  9765,                214433,                372761,                587194,                587194,,,                              0,                              0,                              0,                 79105,                 -2732,                              0,,                              0,                              0,,,,,                   -206,                  2218,                198000,                  1420
1733,2012年01月01日至2012年09月30日,,                462248,                462248,,,                 60447,                  4364,                  1074,                   -765,                   -896,                    102,                -17420,,,,                 28287,                    -17,                 -3631,                -41411,                -38261,                -55033,,                -13154,                -28852,                   -908,                -13870,                 -3012,,                -61163,               -116196,                -66460,                395788,                    768,                   -160,                -43964,                352432,,               -934880,                843247,,                -60243,                    -43,                 -1314,               -153233,,,                400000,,                              0,               -476702,                122718,                  8530,                330447,                372761,                703208,                703208,,,                              0,,,                 49736,                 -1367,,,,,,                              0,,                    612,,                  2218,                198000,                  1420
1733,2012年01月01日至2012年06月30日,,                335254,                335254,,,                 39076,                  2962,                      7,                   -645,                   -611,                 -4204,                -15772,,,,                -18839,                      2,                   -463,                -18004,                -10177,                -47481,,                 18335,                  9739,                    274,                  5734,                 -1107,,                 32058,                -15423,                  5658,                340912,                    589,                     -7,                -15938,                325556,,               -543080,                507202,,                -36474,                    -11,                 -1314,                -73677,,,,,                    214,               -476702,               -476488,                  5171,               -219438,                372761,                153323,                153323,,,,,,                 21081,                   -917,,,,,,,,                    268,,,,
1733,2012年01月01日至2012年03月31日,,                163056,                163056,,,                 18939,                  1500,                      6,                   -202,                   -265,                  6307,                  5057,,,,                 85115,,                -13870,                -15283,                 -1598,                 54364,,                -17172,                  7408,                   -101,                 -4638,                  4779,,                -10182,                 44182,                 75524,                238580,                    146,                     -6,                    921,                239641,,               -142679,                 61412,,                -16536,                     -2,                   -982,                -98787,,,,,                              0,,                              0,                  3648,                144502,                372761,                517263,                517263,,,,,,                 31342,                   -458,,,,,,,,                              0,,,,
