證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他金融負債增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 非金融資產減損損失,　　　　　 持有供交易之金融負債增加（減少）,　　 處分以成本衡量之金融資產,　　 應付短期票券增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 非金融資產減損迴轉利益,　　 其他預付款項減少
1108,2015年01月01日至2015年09月30日,,                541388,                -39452,                501936,,,                252484,                 19467,                    874,                 33986,                 -2135,                -12145,                  9673,                 -4259,                  3185,                301130,,,                128518,                  1903,                133264,                     11,                  1749,                -20906,                -10681,                 -4527,                229331,,                -77409,                    -51,                -55013,                   -224,                 -3946,                -45882,                 -8231,                 -6556,               -197312,                 32019,                333149,                835085,                  2114,                -34207,                -20870,                782122,,               -110617,                 93854,                              0,                  6000,               -117711,                  1205,                   -325,                 43729,                -57471,                 12145,               -129191,,                264577,               -109000,                258500,               -807228,                  1530,                              0,               -242843,                 10516,                              0,               -623948,                  1371,                 30354,                261107,                291461,                286582,                  4879,,,,,,,,,,,
1108,2015年01月01日至2015年06月30日,,                394180,,                394180,,,                168097,                 14122,                    874,                 23717,                 -1460,                 -5453,                  9647,                 -4290,                  3185,                208439,,,                 64253,                  1903,                 27875,                   -482,                  2414,                 12662,                -17118,                   -590,                 90917,,               -116126,                  5412,                -74308,                 -3700,                 54218,                -26427,                -13982,                    390,               -174523,                -83606,                124833,                519013,                  1405,                -23704,                -14356,                482358,,               -110617,                 92875,,,                -83661,                  1205,                    126,                -49666,                 15927,                  5453,               -128358,,                -65659,,,               -177442,                  1330,                              0,,,,               -245771,                    675,                108904,                261107,                370011,                370011,                              0,                              0,                              0,                              0,                              0,                 -4000,,,,,,
1108,2015年01月01日至2015年03月31日,,                186946,,                186946,,,                 84417,                  6501,                              0,                 12288,                   -615,,,                 -4166,                  3185,                101610,,,                 68395,                  1704,                  4681,                   -647,                    -20,                 25945,                -16451,                    193,                 83800,,                -78223,                  1314,                -52303,                 -1554,                  1234,                  6291,                 -5036,                  1637,               -126640,                -42840,                 58770,                245716,                    648,                -12480,                   -285,                233599,,                -47720,                 67945,,,                -27471,,                   -156,                    144,                 -9877,,                -17135,,               -105057,,,               -131755,                     30,,,,,               -236782,                    401,                -19917,                261107,                241190,                241190,,,,,,,                              0,,,,,
1108,2014年度,,                438060,,                438060,,,                327333,                 56687,                  1737,                 58351,                 -2894,                 -6546,                    -59,                -44621,                              0,,,,                  2962,                 -1803,                -15030,                  3791,                  1983,                 57041,                 11793,                   -499,                 60238,,                -13689,                   -105,                  6458,                  4786,                 -8445,                 25725,                  8361,,                  9544,                 69782,                459770,                897830,                  2935,                -59483,                -10127,                831155,,                -51653,                 57116,                              0,                  6133,               -192747,                     59,                 -2592,                 49010,                -71651,                  6546,               -199779,,,                -10000,                268000,               -456217,                  2050,                              0,               -182132,                 15000,                -10000,               -588616,                  1774,                 44534,                216573,                261107,                261107,                              0,,,                              0,                              0,,               -215317,,                389988,                -13547,,
1108,2014年01月01日至2014年09月30日,,                359317,                              0,                359317,,,                233778,                 51778,                   -275,                 44769,                 -2101,                 -6536,                              0,                -44621,                              0,                276792,,,                 87072,                 -3243,                 -7034,                  3223,                 -2466,                -19560,                -45811,                   -207,                 11974,,                -62813,                  4291,                 31712,                  2901,                 -3423,                 28004,                  1079,                -15720,                -13969,                 -1995,                274797,                634114,                  2144,                -44800,                 -9825,                581633,,                              0,                 56616,                              0,                              0,               -104768,                              0,                 -1129,                   -306,               -101215,                  6536,               -144266,,               -119197,                              0,                240000,               -403435,                    -50,                 34070,               -182132,                              0,                -10000,               -440744,                  4358,                    981,                216573,                217554,                217554,                              0,,,,,,,,,,,
1108,2014年01月01日至2014年06月30日,,                262959,,                262959,,,                154336,                 35389,                   -275,                 30245,                 -1735,                 -4265,                              0,                -46479,                              0,                167216,,,                 68249,                     91,                 -6813,                  3412,                  2757,                  4132,                -16535,                 -3565,                 51728,,                 -9132,                    107,                    488,                  7618,                 10939,                 -7210,                  3516,                 -5259,                  1067,                 52795,                220011,                482970,                  1831,                -30612,                 -7599,                446590,,                              0,                 54595,,,                -84725,                              0,                   -499,                     22,                -93842,                  4265,               -120184,,                -80143,,,               -230487,                    -50,                 20041,,,,               -290639,                  6206,                 41973,                216573,                258546,                258546,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
1108,2014年01月01日至2014年03月31日,,                 86379,,                 86379,,,                 79878,                 14003,                   -275,                 15444,                   -639,,,                    -22,                              0,                108389,,,                 63383,                      7,                 43359,                   -384,                  2025,                 61414,                 -9061,                 -3081,                157662,,                -95172,                    989,                 17229,                  3436,                 -8711,                  6813,                  3087,                   -696,                -73025,                 84637,                193026,                279405,                  1305,                -15256,                   -295,                265159,,                              0,                  5719,,,                -59864,,                   -488,                 -6557,                -11391,,                -72581,,               -136600,,,               -163936,                    400,,,,,               -144970,                  4821,                 52429,                216573,                269002,                269002,,,,,,,                155166,,,,,
1108,2013年度,,                211708,,                211708,,,                341699,                 47810,                -15293,                 69349,                 -2662,                 -6290,                    471,                -15647,                 10000,,,,                 14210,                    176,               -128584,                 -3791,                    522,                138083,                -57905,                  4136,                -33153,,                111676,                   -439,                 20223,                 -1912,                 28861,                -36986,                -26011,,                 82173,                 49020,                478457,                690165,                  2587,                -70204,                 -1096,                621452,,                -52482,                 64061,                 -1239,                              0,                -84199,                    296,                    632,                     54,                -43473,                  6290,                -96894,,,                 19000,                160000,               -332182,                    746,                -17033,                              0,                 40000,                              0,               -403822,                 -5196,                115540,                101033,                216573,                216573,                              0,,,                   -472,                 13166,,               -274353,,                429437,                -12767,,
1108,2013年01月01日至2013年12月31日,,                211708,,                211708,,,                341699,                 47810,                -15293,                 69349,                 -2662,                 -6290,                    471,                -15647,                 10000,,,,                 14210,                    176,               -128584,                 -3791,                    522,                 38609,                -57905,                  4136,               -132627,,                111676,                   -439,                 20223,                 -1912,                 28861,                -36986,                -26011,,                 82173,                -50454,                478457,                690165,                  2587,                -70204,                 -1096,                621452,,                -52482,                 64061,                 -1239,,                -84199,                    296,                    632,                     54,                -43473,                  6290,                -96894,,,                 19000,                160000,               -332182,                    746,                -17033,,                 40000,,               -403822,                 -5196,                115540,                101033,                216573,                216573,,                              0,,                   -472,                 13166,,               -274353,,                528911,                -12767,                 99474,                              0
1108,2013年01月01日至2013年09月30日,,                205238,,                205238,,,                259235,                 33139,                -17605,                 52737,                 -1932,                 -6290,                    476,                 -7373,,,,,                 95043,                    162,               -101888,                    -27,                  3176,                 33244,                -91822,                 -1507,                -63619,,                 41487,                  1189,                 22186,                 -1750,                  5176,                 -4891,                -20181,,                 29344,                -34275,                278112,                483350,                  1880,                -53246,                   -821,                431163,,                -51006,                 43774,                 -1239,,                -57525,                    291,                  1168,                -34681,                -25544,                  6290,               -105306,,               -125858,                 24000,                100000,               -239460,                    890,                -17033,                              0,                 40000,                              0,               -217461,                 -2440,                105956,                101033,                206989,                206989,                              0,,,                   -472,                 13166,,                              0,,                312387,                -13400,,
