證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他投資活動,　　 存入保證金減少,　　 其他籌資活動,　　 處分無形資產,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 短期借款增加,　　　　　 其他金融資產（增加）減少,　　 其他非流動負債增加
2383,2015年01月01日至2015年09月30日,,              2518386,              2518386,,,                406974,                  1301,                 -3192,                  4040,                 27643,                 -4982,                  1579,                  3135,                 -1141,                435357,,,                  1209,               -453404,                 19517,               -226404,                 20037,                 18369,               -620676,,                299983,                110555,                  1357,                 -6120,                     21,                405796,               -214880,                220477,              2738863,                  4835,                -28427,               -294104,              2421167,,               -191278,                    752,                              0,                 -2640,                 -2025,               -195191,,               -712089,                              0,                -49910,                 -6700,              1535181,             -1237500,                  2986,               -791303,                 21323,             -1238012,                 61087,              1049051,              2168919,              3217970,              3217970,,,,,,,,,,,
2383,2015年01月01日至2015年06月30日,,              1465359,              1465359,,,                271832,                    839,                 -1150,                -14309,                 20922,                 -3199,                  1614,                  2244,                 -1141,                277652,,,                -15810,                693144,                -13282,                -12619,                 35855,                 20031,                707319,,               -739450,                -42549,                -10673,                 14594,                     -3,               -778081,                -70762,                206890,              1672249,                  2987,                -21425,               -184474,              1469337,,               -177817,                    748,                 -2644,,,               -181454,,               -635623,                              0,               -199626,,              1234881,             -1237500,                  2566,                   -878,                  8506,               -834374,                -39106,                414403,              2168919,              2583322,              2583322,                 -1741,                              0,                 -6700,,,,,,,,
2383,2015年01月01日至2015年03月31日,,                735407,                735407,,,                136666,                    392,                 -1743,                 -7467,                 10113,                 -1583,,                  2585,                  1133,                140096,,,               -121761,                565787,                -57272,                -59490,                  9538,                  9150,                345952,,               -431366,                 42457,                 -8165,                 16768,                     -9,               -380315,                -34363,                105733,                841140,                  1537,                -10332,               -109381,                722964,,                -92813,                    251,,                    -41,                              0,                -92793,,               -378836,                              0,               -199628,,,,                              0,                   -878,                  4833,               -574534,                -17488,                 38149,              2168919,              2207068,              2207068,,                    -25,,                   -190,,,,,,,
2383,2014年度,,              1838251,              1838251,,,                528291,                  2635,                 36351,                 -1294,                 46326,                 -4267,,                  1461,                 -1693,,,,                101737,             -1508687,                -35896,               -190874,                 -6310,                -87444,             -1727474,,              1350129,                209773,                 13516,                    134,,              1568236,               -159238,                448572,              2286823,                  4248,                -48512,               -266781,              1975778,,               -486535,                  2487,                 -2756,,                   -269,               -487073,,               -716771,                 49991,,,                581250,               -593750,                 -4474,               -562897,,             -1206362,                 50104,                332447,              1836472,              2168919,              2168919,,,                 40289,,,                              0,                607810,                 -5316,                              0,,
2383,2014年01月01日至2014年09月30日,,              1202357,              1202357,,,                393254,                  2219,                 20811,                 -5768,                 34452,                 -2736,                  3766,                    750,                  1440,                448188,,,                 46393,             -1106851,                 -5923,               -380169,                -61413,                -64061,             -1572024,,              1486190,                185381,                  9170,                 10509,                    748,              1691998,                119974,                568162,              1770519,                  2760,                -36666,               -178206,              1558407,,               -389044,                    996,                     48,                              0,                   -269,               -388269,,               -561877,                 50042,                              0,                              0,                250000,               -131250,                  1032,               -562897,                 18743,               -936207,                  7777,                241708,              1836472,              2078180,              2078180,,,,,,,,,,,
2383,2014年01月01日至2014年06月30日,,                664878,                664878,,,                261873,                  1475,                  6324,                 -4359,                 23880,                 -1776,                  3236,                     65,                    402,                291120,,,                 82026,               -519032,                    412,               -169421,                -45926,                  9485,               -642456,,                623762,                -33346,                 12799,                   -826,                    508,                602897,                -39559,                251561,                916439,                  1799,                -25915,               -104595,                787728,,               -286971,                    760,                 -1861,,,               -288072,,               -701405,                 49953,                              0,,                              0,               -130688,                              0,                              0,                  8240,               -774549,                -21197,               -296090,              1836472,              1540382,              1540382,                              0,                   -649,                              0,,,,,,,,
2383,2014年01月01日至2014年03月31日,,                293250,                293250,,,                132223,                    706,                 -2100,                 -2851,                 13461,                   -738,,                              0,                  2697,                143398,,,                -49202,                 10962,                    721,                -50597,                -50156,                  9412,               -128860,,                530444,                 10432,                  9259,                 -1489,                    340,                548986,                420126,                563524,                856774,                    762,                -15167,                -30550,                811819,,               -182754,                              0,,                -15255,                    516,               -197493,,               -705116,                      9,                              0,,,,                  5355,                              0,                  3236,               -696516,                 -3419,                -85609,              1836472,              1750863,              1750863,,                              0,,                              0,,,,,,,
2383,2013年度,,              1032667,              1032667,,,                460225,                  2650,                  3741,                  4638,                 49862,                 -2950,,                              0,                 15018,,,,                -79081,                234965,                 -2473,                141044,                 16813,                -58005,                253263,,               -386280,                 24581,                  2930,                  6417,,               -355704,               -102441,                430228,              1462895,                  2960,                -49717,               -169295,              1246843,,               -794436,                  3986,                 -5317,,                 -3011,               -798778,,                              0,                 29929,,,                429500,                              0,                 -8879,               -558141,,                -67626,                 50267,                430706,              1405766,              1836472,              1836472,,,                 24346,,,                   -515,                532669,                 -3352,                 15619,,
2383,2013年01月01日至2013年12月31日,,              1032667,              1032667,,,                460225,                  2650,                  3741,                  4638,                 49862,                 -2950,,                              0,                 15018,,,,                -79081,                234965,                 -2473,                141044,                 16813,                -58005,                253263,,               -386280,                 24581,                  2930,                  6417,,               -355704,               -102441,                430228,              1462895,                  2960,                -49717,               -169295,              1246843,,               -794436,                  3986,                 -5317,,                 -3011,               -798778,,                 15619,                 29929,,,                429500,                              0,                 -8879,               -558141,,                -67626,                 50267,                430706,              1405766,              1836472,              1836472,,,                 24346,,,                   -515,                532669,                 -3352,,,
2383,2013年01月01日至2013年09月30日,,                828057,                828057,,,                342944,                  1973,                  2424,                  4542,                 34592,                 -2172,                 10548,                   -608,                  1721,,,,               -107166,               -220266,                    943,               -336339,                 -1622,                -36531,               -700981,,                 67432,                133209,                  2721,                 14801,,                218898,               -482083,                -86119,                741938,                  2181,                -35011,               -140146,                568962,,               -661270,                  3550,                 -7666,                              0,                 -2880,               -668266,,                              0,                 29920,,,                429500,                              0,                              0,               -558141,                  8667,                -89728,                 27819,               -161213,              1405766,              1244553,              1244553,,                -11700,,,,,                395964,                    735,                 12026,,
