證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他非流動資產增加,　　　　　 其他營業資產（增加）減少,　　　　 攤銷費用,　　　　 其他項目
2451,2015年01月01日至2015年09月30日,,              2768225,              2768225,,,                181708,                  2881,                 53116,                  2861,               -110093,                -11016,                  7366,                    795,                 -1926,                125692,,,                -58901,                 -1480,                 36984,                -10019,                129753,                              0,                660931,                -41450,                715818,,                     -8,             -1371282,                -27652,               -120849,                -42730,                 14722,             -1547799,               -831981,               -706289,              2061936,                147531,                 -2861,               -602980,              1603626,,              1327743,             -1639085,                              0,                -76659,                    271,                 44636,                 11016,               -332078,,               -506400,             -3359941,             -3866341,                 33843,             -2560950,             11565344,              9004394,              9004394,,,,,,,,,,,
2451,2015年01月01日至2015年06月30日,,              1508362,              1508362,,,                119969,                    -87,                 65917,                  2398,                -85142,,                  7364,                    241,                 -9563,                101097,,,,                   -339,                142382,,                 18336,                              0,               -725062,                -51576,               -616259,,                     -8,               -429668,                  6786,               -149651,                -23264,                 15848,               -579957,             -1196216,             -1095119,                413243,                 85817,                 -2398,               -330357,                166305,,             -1107214,                600825,,                -30989,                     31,                 46213,,               -491134,,,,               -506400,                -89408,               -920637,             11565344,             10644707,             10644707,                              0,               -506400,,,,,,,,,
2451,2015年01月01日至2015年03月31日,,                941404,                941404,,,                 60055,,                -39165,                  1816,                -46619,,                 -1773,                      1,                 -3259,                -28944,,,,                 -5126,                218131,,                 41897,                              0,                244298,                  4458,                503658,,                     -8,             -1583003,                  8779,               -120578,                -52981,                 16988,             -1730803,             -1227145,             -1256089,               -314685,                 56198,                 -1816,                -45079,               -305382,,               -547400,                556530,,                -15616,                     30,                 37210,,                 30754,,               -418760,,               -418760,                -55909,               -749297,             11565344,             10816047,             10816047,,,,,,,,,,,
2451,2014年度,,              4400954,              4400954,,,                236547,                 13200,                -53545,                  8209,               -176359,                -13781,                 -8330,                  1800,                -13023,,,,                              0,                  4158,               -274609,                              0,                -23247,,             -1289048,                 -8204,             -1590950,,                 -1207,                532947,                 28384,                 81242,                 10050,                  4756,                656172,               -934778,               -940060,              3460894,                170818,                 -8209,               -525162,              3112122,,,,               -103008,                -23399,                  9939,,                 13781,               -685679,,,             -2886103,             -2542543,                 41939,                -74161,             11639505,             11565344,             11565344,,                343560,,                              0,                 -5282,               -862978,                364425,                -70658,,,
2451,2014年01月01日至2014年09月30日,,              3134122,              3134122,,,                176597,                 10564,                -23869,                  7622,               -130984,                -13740,                    897,                   -375,                 -9244,                 17468,,,                              0,                   -564,                 41188,                              0,                 53387,                -14371,             -1191366,                -23484,             -1135210,,                 -1212,               -200042,                 48093,                 41392,                   -644,                  5876,               -106537,             -1241747,             -1224279,              1909843,                111825,                 -7661,               -490719,              1523288,,                              0,               -475311,               -103008,                -29952,                 11121,                -55762,                 13740,               -639172,,               -295140,             -2886103,             -3181243,                -11810,             -2308937,             11639505,              9330568,              9330568,,,,,,,,,,,
2451,2014年01月01日至2014年06月30日,,              2010608,              2010608,,,                117999,                              0,                  6632,                              0,                -92869,,                   -462,                   -813,                 -5799,                 24688,,,,                  3158,               -185993,,                -11538,                -10235,             -1184697,                -14684,             -1403989,,                 -1211,                 52070,                 22256,                -28077,                -15571,                  7771,                 36846,             -1367143,             -1342455,                668153,                 71210,                 -5038,               -257876,                476449,,               -534857,                              0,,                -19327,                 10080,                -41571,,               -585675,,,,                 98555,                -29249,                -39920,             11639505,             11599585,             11599585,                   -392,                 98555,,,,,,,,,
2451,2014年01月01日至2014年03月31日,,              1022229,              1022229,,,                 59742,,                              0,                              0,                -38584,,                    163,                   -855,                 -2432,                 18034,,,,                    596,                -20521,,                -11538,                -10457,               -898075,                 18128,               -921867,,                 -1204,               -528385,                 -5084,                 -6845,                -14077,                  5273,               -550322,             -1472189,             -1454155,               -431926,                 30418,                 -2363,                -31651,               -435522,,               -436329,                              0,,                -36854,                 42298,                -35162,,               -466047,,                              0,,                              0,                 19306,               -882263,             11639505,             10757242,             10757242,,,,,,,,,,,
2451,2013年度,,              3738144,              3738144,,,                238147,                 14900,                -29979,                              0,               -115182,                -15074,                 30403,                 -1916,               -112397,,,,                 29979,                  5829,               -328301,                162247,                 39086,,              1146391,                  1708,              1056939,,                 -2393,               -653747,                 45801,                -67664,                 10436,                 -5131,               -672698,                384241,                393143,              4131287,                 99849,                 -6728,               -498742,              3740740,,,,                              0,                -54858,                  7780,,                 15074,                334796,,,             -2799952,             -2352562,                 44288,              1767262,              9872243,             11639505,             11639505,,                447390,,                              0,                  8902,                              0,                388276,                 -6402,,,
2451,2013年01月01日至2013年12月31日,,              3738144,              3738144,,,                238147,                 14900,                -29979,,               -115182,                -15074,                 30403,                 -1916,               -112397,,,,                 29979,                  5829,               -328301,                162247,                 39086,,              1146391,                  1708,              1056939,,                 -2393,               -653747,                 45801,                -67664,                 10436,                 -5131,               -672698,                384241,                395381,              4133525,                 99849,                 -6728,               -498742,              3742978,,,,,                -54858,                  7780,,                 15074,                332558,,,             -2799952,             -2352562,                 44288,              1767262,              9872243,             11639505,             11639505,,                447390,,                              0,                 11140,                388276,,                 -8640,,                  2238,
2451,2013年01月01日至2013年09月30日,,              2885457,              2885457,,,                178441,                 15258,                -29979,                              0,                -73431,,                  9228,                 -1441,               -110534,,,,                 29979,                  4794,               -236572,                118280,                128880,                              0,                825765,                 10925,                848061,,                 -3608,             -1841054,                 22628,                -97247,                  9000,                 -4291,             -1914572,             -1066511,             -1078969,              1806488,                 71874,                              0,               -449909,              1428453,,,,                              0,                -37711,                  4365,,,                209905,,,             -2799952,             -2799952,                 51377,             -1110217,              9872243,              8762026,              8762026,,                              0,,,                -12458,                243251,,,                -33990,,
