證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 其他金融資產增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他金融資產減少,　　 預付設備款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 攤銷費用,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 應付短期票券減少,　　　　　 其他流動資產（增加）減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 存出保證金減少,　　　　 不動產、廠房及設備轉列費用數,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分無活絡市場之債券投資
2107,2015年01月01日至2015年09月30日,,                801586,                801586,,,                 71751,                 15380,                -28199,                -67164,                -10326,                     42,                              0,                    620,                 -8244,                -26140,,,                -21182,                 31002,                -40791,                -59816,                -42386,             -1731146,             -1864319,,                 -3986,                -25740,                -74650,                              0,                -80429,                 10856,                    -71,               -174020,             -2038339,             -2064479,             -1262893,                 22852,                 67164,                -14454,               -200353,             -1387684,,               -258895,                  9000,                              0,                 -8164,                              0,                 -2842,                              0,               -523801,                   -191,               -784893,,              1952000,                229894,                    627,             -1392130,               -102108,                688283,                              0,             -1484294,              1654772,                170478,                170478,,,,,,,,,,,,,,,,,,,
2107,2015年01月01日至2015年06月30日,,                507148,                507148,,,                 48431,                  7870,                -18111,                   -186,                 -5560,                              0,                              0,                    620,,                 33064,,,                -23148,                 -7018,                -16401,                -50220,                -33313,             -1730484,             -1860584,,                   -392,                 -6412,                -40717,                              0,               -102795,                  6970,                    -71,               -143417,             -2004001,             -1970937,             -1463789,                 16538,                    186,                 -6833,               -142339,             -1596237,,               -261420,                  9000,                              0,                 -6215,                              0,                 -2842,,               -312676,                  5187,               -568966,,                              0,,                    170,,,                802170,                              0,             -1363033,              1654772,                291739,                291739,                802000,,,,,,,,,,,,,,,,,,
2107,2015年01月01日至2015年03月31日,,                356323,                356323,,,                 24555,                  2892,                 -6312,                    -13,                 -8073,                              0,,                    620,,                 13669,,,                 22649,                    384,                  5845,                -12125,                -26417,             -1762304,             -1771968,,                -30778,                  2663,                -31961,                              0,               -139603,                  5260,                    -43,               -194462,             -1966430,             -1952761,             -1596438,                  7004,                     13,                 -1826,                 -7474,             -1598721,,               -218307,,,                 -3089,                              0,                 -2842,,                -82672,,               -304438,,                              0,,,,,                810020,                              0,             -1093139,              1654772,                561633,                561633,                810000,                              0,                  2472,                     20,,,,,,,,,,,,,,,
2107,2014年度,,              3510445,              3510445,,,                 96250,                  2561,                -31031,                -56084,                 -5029,                    -83,                 29822,,,,,,                -35086,                 -4963,                 -7376,                 49976,                -37702,                549872,                514721,,                 -7488,                -38531,                 22103,                   -924,               -693413,                 -3410,,               -746712,               -231991,               -195585,              3314860,                 30642,                 56084,                 -2655,               -248902,              3150029,,               -447630,                 31628,                -20100,                -57529,                    214,                 -4855,                   -280,             -1078376,                 19937,             -1550895,,               -180000,,                  3420,               -994379,                              0,             -1170959,                              0,                428175,              1226597,              1654772,              1654772,,,                              0,,,                              0,                              0,                 36406,                -25049,                  6096,                              0,,,,,,,,
2107,2014年01月01日至2014年09月30日,,              3089332,              3089332,,,                 71536,                  2142,                -21803,                -56072,                 -8112,                    -95,                 30852,                              0,                              0,                 18448,,,                  1923,                -20106,                -26255,                 11486,                -58374,                521560,                430234,,                -12561,                 -1149,                 33175,                   -924,               -789292,                 24853,                -22397,               -768295,               -338061,               -319613,              2769719,                 21490,                 56072,                 -2221,               -240740,              2604320,,               -385956,                 15412,                -20100,                -36104,                    144,                 -1609,                   -280,               -399480,                  7395,               -820578,,               -150000,                              0,                    950,               -994379,                              0,             -1143429,                              0,                640313,              1226597,              1866910,              1866910,,,,,,,,,,,,,,,,,,,
2107,2014年01月01日至2014年06月30日,,              2228758,              2228758,,,                 47666,                  1600,                -13610,                   -247,                 -5363,                    -95,                 31550,                              0,,                 61501,,,                -70335,               -139883,                 -8775,                 15017,                -62343,                391958,                125639,,                -10949,                 27622,                 17167,                   -924,               -518569,                 15449,                -22397,               -492601,               -366962,               -305461,              1923297,                 13968,                    247,                 -1720,               -166050,              1769742,,               -264466,                  4715,                -20100,                -33091,                    144,                              0,,               -368553,                  7905,               -673446,,                -50000,,                    647,,,                -49353,                              0,              1046943,              1226597,              2273540,              2273540,                              0,,,,,,,,,,,,,,,,,,
2107,2014年01月01日至2014年03月31日,,                366433,                366433,,,                 23799,                    973,                 -6099,                    -12,                   -837,                     -2,,                              0,,                 17822,,,                 -2614,                 -7956,                     76,                 14326,                -62603,                 91281,                 32510,,                -32014,                 24254,                 -7210,                   -619,                 79064,                 17521,                     -9,                 80987,                113497,                131319,                497752,                  6457,                     12,                 -1094,                 -7872,                495255,,               -249290,,,                -30483,                      2,                              0,,                              0,,                -66376,,                -50000,,,,,                -50103,                              0,                378776,              1226597,              1605373,              1605373,                              0,                193451,                 19944,                   -103,,,,,,,,,,,,,,,
2107,2013年度,,              2099830,              2099830,,,                102474,                  4705,                -12074,                -31561,                -10810,                    -82,                -81530,,,,,,                 17708,                -18433,                 11335,                 30576,                 -4534,                530745,                567397,,                 11974,                -38110,                 55492,                    234,                306405,                -26436,,                309293,                876690,                894739,              2994569,                 11727,                 31561,                 -3853,               -148020,              2885984,,               -282807,                416629,                              0,                -19633,                    180,                   -540,                              0,               -727259,                              0,               -629864,,                              0,,                  4684,               -894941,                              0,             -1439429,                              0,                816691,                409906,              1226597,              1226597,,,                -17851,,,                    105,                 46822,                 18049,                   -266,                  1417,               -549172,,,,,,,,
2107,2013年01月01日至2013年12月31日,,              2099830,              2099830,,,                102474,                  4705,                -12074,                -31561,                -10810,                    -82,                -81530,,,,,,                 17708,                -18433,                 11335,                 30576,                 -4534,                530745,                567397,,                 11974,                -38110,                 55133,                    593,                306405,                -26436,,                309293,                876690,                894739,              2994569,                 11727,                 31561,                 -3853,               -148020,              2885984,,               -282807,                416629,,                -19633,                    180,                   -540,,               -727259,,               -629864,,,                              0,                  4684,               -894941,                              0,             -1439429,                              0,                816691,                409906,              1226597,              1226597,                              0,                              0,                -17851,,,                    105,                 46822,                 18049,                   -266,                  1417,               -549172,                              0,                              0,,,,,,
2107,2013年01月01日至2013年09月30日,,              1684740,              1684740,,,                 79166,                  3769,                 -6757,                -31550,                 -8255,                      4,                -81435,,,,,,                  9637,                -83854,                  8384,                  4573,                 -3365,                420599,                353782,,                -15751,                -21799,                 62228,                   -490,                230020,                -12644,,                241378,                595160,                550207,              2234947,                  6455,                 31550,                 -3291,               -141488,              2128173,,               -246338,                308552,                              0,                -10602,                              0,                   -540,                              0,               -647931,                              0,               -613331,,                              0,,                    659,               -894941,,             -1443454,                              0,                 71388,                409906,                481294,                481294,,,                -17889,,,                    105,,                -44953,                   -186,                  1417,               -549172,                 -2192,,,,,,,
2107,2013年01月01日至2013年06月30日,,              1200221,              1200221,,,                 51705,                  2276,                 -2610,                   -180,                 -1290,                              0,                -74122,,,,,,                 -9241,               -210676,                 12509,                 -3419,                  9437,                288843,                 85709,,                    743,                -24207,                 33149,                   -206,                211029,                -12136,,                208249,                293958,                269842,              1470063,                  2334,                    180,                 -1879,                -93277,              1377421,,               -246338,                273915,                              0,                 -6629,                              0,                   -541,,               -541319,                              0,               -536354,,               -100000,,                              0,,,               -550199,                              0,                290868,                409906,                700774,                700774,,,                -15442,                   -976,,                    105,,                -24116,                   -123,,               -449223,                 -1744,,,,,,,
2107,2013年01月01日至2013年03月31日,,                257659,                257659,,,                 25405,                  1310,                   -189,                    -12,                 -1526,                              0,                -60901,,,,,,                -19485,                -86015,                  1455,                 11056,                    590,                 21872,                -71693,,                 -6266,                 -8110,                 15438,                   -178,                205854,                 -9374,,                197305,                125612,                 83855,                341514,                    188,                     12,                 -1024,                              0,                340690,,                -94768,                208199,,                 -1173,                              0,,,,                              0,                 97808,,               -200000,,,,,               -700808,                              0,               -262310,                409906,                147596,                147596,,                              0,                -13910,                 -1338,,                    105,,                -41757,                    -59,,               -499470,                 -1166,                 -5949,                   -540,,,,,
2107,2012年01月01日至2012年12月31日,,              1409940,              1409940,,,                101867,                  7848,                 -4953,                -33425,                 -3663,                              0,                 -7784,,,,,,                -26746,                 35922,                 -4165,                 50414,                 40721,             -2033063,             -1936085,,                   -334,               -333487,                 21574,                    750,                242663,                -21955,,                -90969,             -2027054,             -1960468,               -550528,                  4942,                 33425,                 -8580,               -129476,               -650217,,               -105851,                171275,,                -27185,                              0,                    -41,,                              0,,                 28207,,,                549172,                  1381,               -796303,                -13577,                -59327,                              0,               -681337,              1091243,                409906,                409906,                200000,                    130,                -15917,,,                  1013,                              0,                 66586,                   -180,                  5796,                              0,                    832,                  5683,,,,,,
2107,2012年01月01日至2012年09月30日,,              1068180,              1068180,,,                 76774,                  5638,                 -4742,                -33414,                 -4423,                              0,                 -7987,,,,,,                -31971,                 76993,                -10324,                 19483,                 32676,             -1944500,             -1858900,,                 30441,               -286223,                 17658,                 -2051,                203667,                -21100,,                -57751,             -1916651,             -1878038,               -809858,                  4742,                 33414,                 -5264,                -92123,               -869089,,               -105851,                162102,,                -13282,,                    -41,,                              0,,                 42569,,,                449396,                  1103,               -796303,                -13577,                 70619,                              0,               -755901,              1091243,                335342,                335342,                430000,                    130,                 -4806,,,                    908,,                 38613,                   -143,                  4317,                              0,                 -1257,                  5859,,,,,,
2107,2012年01月01日至2012年06月30日,,                677226,                677226,,,                 51421,                    595,                 -3822,                   -179,                    591,,                 -1539,,,,,,                -31117,                -46637,                   -620,                -22192,                 14791,             -1664579,             -1751076,,                 75614,               -136341,                  7198,                 -1259,                125077,                -24732,,                 45458,             -1705618,             -1651605,               -974379,                  3822,                    179,                   -595,                -86513,             -1057486,,               -108796,                 12006,,                 -9916,,                              0,,                              0,,               -101638,,                800000,,                  1234,,                -13576,                787658,                              0,               -371466,              1091243,                719777,                719777,,                    130,                  4938,                              0,,                    718,,                 54013,                    -99,,                              0,                   -722,                  5859,,                    369,,,,
2107,2012年01月01日至2012年03月31日,,                 37175,                 37175,,,                 25697,                     64,                 -1695,                    -12,                    632,,                 -1539,,,,,,                -14192,                 30593,                   -702,                -12959,                -18543,                    -20,                -16095,,                 -5560,                 -8356,                -15365,                   -352,                 89250,                -12636,,                 46935,                 30840,                 54346,                 91521,                  1695,                     12,                    -64,,                 93164,,                -51488,                 13548,,                 -3428,,,,,,                -41238,,                              0,,,,                 -3939,                 -3979,                              0,                 47947,              1091243,              1139190,              1139190,,,                              0,                    -40,,                    359,,                 23506,                    -46,,                              0,                   -272,                              0,                              0,,,,                 93164,                    130
