證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分無形資產,　　 預付設備款增加,　　 應付短期票券減少,　　 存入保證金增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 預收款項增加（減少）,　　 其他非流動資產減少,　　 其他非流動負債減少,　　 其他非流動負債增加,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 應付短期票券增加
3315,2015年01月01日至2015年09月30日,,                 34000,                 34000,,,                  4946,                  2513,                  6327,                 18222,                   -712,                  3000,                   -996,                 33300,,,                 13138,               -182486,                -17894,               -232884,                -67299,                 -3690,                -34095,               -525210,,                 11147,                123065,                 19223,                 -1161,                    663,                152937,               -372273,               -338973,               -304973,                    860,                -19763,                 -7627,               -331503,,                  1068,                 -3218,                    266,                 -1419,               -109813,                 -1494,                    271,               -114339,,                384933,                              0,                    248,               -126506,                258675,                 33749,               -153418,                543293,                389875,                389875,,,,,,,,,,,,,,,,,
3315,2015年01月01日至2015年06月30日,,                -25182,                -25182,,,                  3332,                  1688,                 -1415,                 11632,                   -560,,                   -996,                 13681,,,                 14359,                580694,                  7880,               -349545,                -24484,                 -8300,                     32,                220636,,                  2505,                -88010,                 -5715,                 -3779,                    441,                -94558,                126078,                139759,                114577,                    738,                -13031,                -12558,                 89726,,                  1068,                 -2242,                     10,                 -1218,                  2208,                   -368,                    482,                    -60,,,                -91967,                    163,,                -91804,                -17655,                -19793,                543293,                523500,                523500,,,,,,,,,,,,,,,,,
3315,2015年01月01日至2015年03月31日,,                 12680,                 12680,,,                  1709,                    838,                  2589,                  6247,                   -137,,                   -996,                 10250,,,                   -881,                492447,                 -6143,               -189199,                -39885,                 -7028,                     32,                249343,,                   -554,                -94556,                   -122,                 -1254,                    221,                -96265,                153078,                163328,                176008,                    431,                 -7883,                 -1000,                167556,,                  1068,                 -1219,                     10,                   -794,,                 -1261,                    185,                -15948,,,                -65995,                    243,,                -65752,                 -7435,                 78421,                543293,                621714,                621714,                -13937,,,,,,,,,,,,,,,,
3315,2014年度,,                175002,                175002,,,                  7769,                  3646,                 -1203,                 26804,                 -1254,,,,,,                     77,                -85279,                  5903,               -199058,                 10190,                   -348,                  9714,               -258801,,                   -472,                121988,,                 19978,,                156616,               -102185,                -66423,                108579,                  1154,                -27083,                 -5459,                 77191,,,                 -3601,                     12,                 -1586,,                 -3678,,                -32852,,                 26438,,,                -70281,                -42514,                 41684,                 43509,                499784,                543293,                543293,                -24167,,                              0,                 35762,                 14304,                    818,                              0,                    168,                              0,                  1329,,,,,,,
3315,2014年01月01日至2014年09月30日,,                 90578,                 90578,,,                  5848,                  2757,                 -3730,                 20612,                   -778,                              0,                              0,                 24709,,,                  2701,                 83024,                -17160,               -341662,                -35882,                 -2008,                  9821,               -301166,,                  4828,                247396,                 22200,                  2295,                    617,                277336,                -23830,                    879,                 91457,                    884,                -19724,                   -357,                 72260,,                              0,                 -2488,                     11,                 -1487,                 15774,                   -524,                    452,                 11738,,                  7085,                              0,                              0,                -70281,                -63196,                 21101,                 41903,                499784,                541687,                541687,,,,,,,,,,,,,,,,,
3315,2014年01月01日至2014年06月30日,,                 60598,                 60598,,,                  3913,                  1855,                 -5688,                 14010,                   -641,,                              0,                 13449,,,                    860,                265155,                -27028,               -204018,                -31248,                -12650,                  9905,                    976,,                   -447,                109251,                 -7113,                  9450,                    416,                111557,                112533,                125982,                186580,                    757,                -14093,                   -260,                172984,,                              0,                 -2488,                     11,                 -1211,                 21901,                 -1135,                    511,                 17589,,,               -207545,                              0,,               -207545,                  3349,                -13623,                499784,                486161,                486161,,,,,,,,,,,,,,,,,
3315,2014年01月01日至2014年03月31日,,                 41018,                 41018,,,                  1948,                    935,                 -2416,                  6989,                   -213,,                              0,                  7243,,,                -19041,                226743,                 -6589,                -27005,                -44256,                   -895,                     46,                129003,,                    702,                 23984,                 -6464,                 -1941,                    211,                 16492,                145495,                152738,                193756,                    328,                 -6851,                   -114,                187119,,                              0,                 -1224,                              0,                 -1183,,                  1343,                    650,                 52481,,,               -181852,                              0,,               -181852,                  7393,                 65141,                499784,                564925,                564925,                 52895,,,,,,,,,,,,,,,,
3315,2013年度,,                 79756,                 79756,,,                  8436,                  3798,                  5460,                 21857,                 -1062,,,,,,                 -3116,               -344364,                    -46,                448024,                 -4946,                   -734,                -13276,                 81542,,                -10279,               -187326,,                -11253,,               -241408,               -159866,               -121439,                -41683,                    941,                -21289,                -31515,                -93546,,,                 -3746,                    615,                 -1829,,                 -3236,,                -49057,,                227863,,,               -119478,                 78370,                 14983,                -49250,                549034,                499784,                499784,                -40454,,                    -62,                 38427,                -32240,                   -310,                    200,                   -607,                -29995,                    -20,,,,,,,
3315,2013年01月01日至2013年12月31日,,                 79756,                 79756,,,                  8436,                  3798,                  5460,                 21857,                 -1062,,,,,,                 -3116,               -344364,                    -46,                448024,                 -4946,                   -734,                -13276,                 81542,,                -10279,               -187326,,                -11253,,               -241408,               -159866,               -121439,                -41683,                    941,                -21289,                -31515,                -93546,,,                 -3746,                    615,                 -1829,,                              0,                   -607,                -49057,,                227863,,,               -119478,                 78370,                 14983,                -49250,                549034,                499784,                499784,                -40454,,,                 38427,                -32240,                   -310,                    200,                              0,                -29995,                    -20,                    -62,,                 -3236,,,                              0,                              0
3315,2013年01月01日至2013年09月30日,,                 25424,                 25424,,,                  6339,                  2856,                  4146,                 15612,                   -608,,,,,,                 -1186,               -173042,                 -7405,                 98523,                -12200,                 -5127,                 -3384,               -103821,,                 -6488,                -55948,,                -15143,,                -88249,               -192070,               -163787,               -138363,                    468,                -16648,                -25945,               -180488,,,                 -3657,                    553,                 -1608,                342276,                -10376,                  2403,                -66050,,              5107508,             -4751246,,               -119478,                206768,                 10218,                -29552,                549034,                519482,                519482,               -400190,,,                 28283,                -30420,                    557,                    189,                 -2586,                -29995,,                    -62,                 19193,                  6946,                    -21,,,
