證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債減少,　　 現金減資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 其他非流動負債增加,　　　　　 負債準備增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產增加,　　 其他非流動資產增加,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　　 避險之衍生金融資產（增加）減少,　　 非控制權益變動,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　　 其他流動資產（增加）減少,　　 取得採用權益法之投資,　　　　　 其他金融負債增加（減少）,　　 處分投資性不動產
2359,2015年01月01日至2015年09月30日,,                311191,                311191,,,                 31156,                  1933,                  2224,                  5833,                  1305,                 -9787,                   -795,                 -1651,                 -7920,                  6429,                  6630,                 35357,,,                121671,                 -8658,                 69794,                    939,                -55884,                178819,                              0,                 -1181,                305500,,                              0,                  1479,               -239622,                -15228,                 50805,                   -569,               -203135,                102365,                137722,                448913,                  9554,                 -1305,                -70346,                386816,,                  2608,                              0,                 11257,                -14141,                  3350,                  3219,                 50102,                 56395,,               -109755,                 -2034,                              0,               -111789,                 17278,                348700,              1655218,              2003918,              2003918,,,,,,,,,,,,,,,,,,,,
2359,2015年01月01日至2015年06月30日,,                178162,                178162,,,                 20976,                  1491,                    240,                  1359,                  1127,                 -5622,                   -454,                     60,                 -7920,                  5239,                  2396,                 18892,,,                 98389,                -18158,                 49589,                 -3080,                 53713,                153456,                              0,                 -1033,                332876,,,                 -3110,               -127408,                -20775,                -29800,                   -372,               -181465,                151411,                170303,                348465,                  6306,                 -1127,                -64377,                289267,,                  2608,                              0,                 12891,                -12149,                    302,                  3219,                 51085,                 57956,,,,,               -119781,                -35773,                191669,              1655218,              1846887,              1846887,               -118290,                 -1491,,,,,,,,,,,,,,,,,,
2359,2015年01月01日至2015年03月31日,,                107513,                107513,,,                 10440,                    725,                   -200,                   -272,                  1024,                 -4275,                    -18,                    205,                   -294,                    977,                  4471,                 12783,,,                102466,                -21857,                 52689,                  8044,                 43677,                 80261,                              0,                  1485,                266765,,,                  1281,               -194764,                 58215,                -54737,                   -567,               -192178,                 74587,                 87370,                194883,                  2332,                 -3679,                -33730,                159806,,                  2608,,,                -13859,                  2154,                  3219,                 51557,                 45679,,               -129840,                   -840,,               -130680,                  3723,                 78528,              1655218,              1733746,              1733746,,,                 -1606,,,,,,,,,,,,,,,,,
2359,2014年度,,                513757,                513757,,,                 40737,                  3649,                  2574,                 19115,                  9098,                -24213,                    316,                    -17,                -82728,                 17180,                -28313,,,,                -74724,                -18745,               -306223,                  9292,                -42755,                 34175,                 59600,                 -4641,               -344021,,,                  1007,                108204,                 11610,                 21472,,                133326,               -210695,               -253297,                260460,                 18065,                 -9346,                -95173,                174006,,                111123,                -29415,                  6662,                -24075,                    138,,,                -12195,,,,               -109385,                -32924,                 43139,                172026,              1483192,              1655218,              1655218,                 76461,                              0,                 -5438,,                              0,                -42602,                 -3529,                   -559,                -76069,,,,,,,,,,,
2359,2014年01月01日至2014年09月30日,,                377207,                377207,,,                 26911,                  2704,                    260,                 15121,                  7013,                -17769,                  1182,                     71,                -82728,                 12909,                -25422,                -59748,,,                 10396,                -33769,               -151909,                 -4720,                -28917,                195325,               -103629,                   -896,               -118119,,                 10349,                 -2258,                -12936,                 -3353,                -25133,                 -1898,                -35229,               -153348,               -213096,                164111,                 13544,                 -6770,                -93591,                 77294,,                111123,                -28815,                  6662,                -15531,                     59,                    -59,                -30589,                 42850,,                 33299,                              0,               -109385,                -76086,                  9005,                 53063,              1483192,              1536255,              1536255,,,,,,,,,,,,,,,,,,,,
2359,2014年01月01日至2014年06月30日,,                224425,                224425,,,                 18291,                  1997,                    -63,                 17491,                  4644,                -12179,                  1013,                              0,                   -905,                              0,                -10779,                 19510,,,                  8265,                 -8152,                -94994,                 -3523,                -19473,                159338,               -176090,                    159,               -134470,,,                 -6295,                 67485,                 -9047,                 -7559,                   -929,                 43655,                -90815,                -71305,                153120,                 11639,                 -4396,                -69562,                 90801,,                              0,                -26201,                  6662,                 -7915,                              0,                    -59,                -81889,               -109402,,,,,                -53359,                -26303,                -98263,              1483192,              1384929,              1384929,                -53359,                              0,,,,,,,,,,,,,,,,,,
2359,2014年01月01日至2014年03月31日,,                167432,                167432,,,                  9925,                    862,                    107,                  1841,                  2399,                 -9233,                    302,                              0,                              0,                              0,                 -3048,                  3155,,,                -60774,                  6551,               -151204,                 -2122,                  5256,                160357,               -217419,                    687,               -258668,,,                 -5559,                -23129,                -28542,                -33418,                   -213,                -89775,               -348443,               -345288,               -177856,                  5428,                   -452,                              0,               -172880,,                              0,,,                 -3281,                              0,                  1968,                -14194,                -15507,,                 40666,                              0,,                 40666,                  7189,               -140532,              1483192,              1342660,              1342660,,,                  1086,,,,,,,,,,,,,,,,,
2359,2013年度,,                179655,                179655,,,                 59128,                  9566,                 -4116,                -28920,                  5299,                -12009,                  1505,                   -106,                              0,                 91174,                 -8689,,,,                -14341,                 21215,               -180250,                 11484,                191521,               -185207,                -59600,                -11096,               -226274,,,                 -9825,                -38529,                    106,                -46763,,                -96917,               -323191,               -217473,                -37818,                 10019,                 -3650,                -18542,                -49991,,                              0,                 -4500,                              0,                -19828,                    677,,,                 64678,,,,                -56384,                -86085,                 53772,                -17626,              1500818,              1483192,              1483192,                -31114,                  1413,                    224,,                 -7114,                105718,                 -2130,                 72407,                 15922,,,,,,,,,,,
2359,2013年01月01日至2013年12月31日,,                179655,                179655,,,                 59128,                  9566,                 -4216,                -28920,                  5299,                -12009,                  1505,,,                 89854,                 -8689,,,,                -14341,                 21215,               -180150,                 11484,                191521,               -185207,,,               -166574,,,                 -9825,                -38529,                    106,                -46763,,                -96917,               -263491,               -156864,                 22791,                 10019,                 -3650,                -18542,                 10618,,,                 -4500,,                -19828,                    677,,                 88329,                  5078,,,,                -56384,                -75335,                 42013,                -17626,              1500818,              1483192,              1483192,                -31114,                  1413,                    224,,,                106627,                 -2130,,,                  2329,,                 10750,                -59600,,                   -106,                 -7114,                -11096,                              0,,
2359,2013年01月01日至2013年09月30日,,                148220,                148220,,,                 48552,                  8523,                 -1203,                -17133,                  4890,                 -9791,                  1623,                   -100,,                 30619,                  2397,,,,                -27974,                  2360,               -173600,                  4017,                125145,                -63709,                   -591,,               -134352,,                              0,                 -3872,                117311,                -10883,                -62820,,                 39706,                -94646,                -24949,                123271,                  9187,                 -3139,                -18665,                110654,,                              0,                 -4500,                              0,                -17232,                    677,,,                 61879,,,,                -56384,                -82768,                 15147,                104912,              1500818,              1605730,              1605730,                -42938,                  9677,                  1015,,,                 69697,                 -1045,                 18559,                 64375,                  1320,                              0,                  6877,,,,,,,,
