證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 其他投資活動,　　 發行公司債,　　 非控制權益變動,　　　　　 預付費用（增加）減少,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 發放現金股利,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產,　　 其他金融負債增加
1218,2015年01月01日至2015年09月30日,,                 87533,                 87533,,,                103351,                 12867,                  1171,                -10970,                 63652,                 -2233,               -200109,                  9197,                -29266,                    533,                   -182,                 56356,                  4367,,,                 -2569,                -73655,                 -5420,               -375892,                 23698,                -19404,                -39129,                 -7481,                 10372,                 12232,                  7487,               -469761,,                  2522,                104286,                 60072,                 18233,                 29246,                 -8542,                205817,               -263944,               -259577,               -172044,                  2233,                -51937,                   -414,               -222162,,                 68225,                    600,                -27193,                  5592,                 -2520,                  5737,                 -2993,                245850,                293298,,              9028698,             -8815133,              5255000,             -5255000,               -446900,                440927,                -89244,                   -809,                117539,                  6751,                195426,                486887,                682313,                682313,,,,,,,,,,,,,,,,,,
1218,2015年01月01日至2015年06月30日,,                -19026,                -19026,,,                 70870,                  8521,                  1534,                 -6343,                 48686,                 -1805,               -102664,                  5774,                -14830,                    570,                   -182,                    549,                 10680,,,                  7555,                 -4307,                 -4963,               -157045,                 18761,                -10759,                -54081,                 -5153,                -12700,                    493,                  3960,               -218239,,                  2246,                 86802,                119629,                -48386,                 40399,                 -5273,                195417,                -22822,                -12142,                -31168,                  1805,                -37202,                   -326,                -66891,,                 34238,                    600,                -16036,                  3991,                   -285,                  1939,                   -656,,                 23791,,              6262254,             -6334925,              3885000,             -3550000,               -446900,                500000,               -159850,                  3404,                158983,                -10027,                105856,                486887,                592743,                592743,,,,,,,,,,,,,,,,,,
1218,2015年01月01日至2015年03月31日,,                 -9255,                 -9255,,,                 35904,                  4246,                    720,                 -1295,                 16745,                   -902,                -33065,                    838,,                    820,                   -182,                  8320,                 32149,,,                   -706,                 12995,                -11312,                -51520,                -28250,                 -7801,                 31213,                 -1131,                250811,                  1838,                  3607,                199744,,                    620,                 33628,                 66661,                -79647,                 16485,                 -1280,                 36467,                236211,                268360,                259105,                    902,                -14569,                   -238,                245200,,,,                 -8114,                  2492,                    -88,                     62,                              0,,                 -5648,,              2873944,             -3057539,              1170000,               -960000,,                              0,                -79748,                  6705,                -46638,                 -2914,                190000,                486887,                676887,                676887,,,,,,,,,,,,,,,,,,
1218,2014年度,,                 74747,                 74747,,,                143290,                 16668,                  5705,                   -435,                 70410,                 -6116,               -284392,                  2299,                              0,                    182,                   -410,                 60809,,,,                -14726,                  9646,                 62929,                -30951,                  5893,                 -2716,                 34089,                    -49,               -157493,                 30182,                     16,                -63180,,,                -96596,                   -391,                 58406,                -16512,,                -73435,               -136615,               -130111,                -55364,                  6116,                -61706,                 -4048,               -115002,,                              0,,               -141365,                 10338,                -20682,                   -354,                 -7468,                225061,                 67524,,             10958878,            -10749400,              4558000,             -4558000,,              1169974,             -1469284,                   -606,                -90438,                 10612,               -127304,                614191,                486887,                486887,,                 -1506,                              0,                              0,                  6504,                -18342,                              0,                  1994,                              0,                              0,,,,,,,,
1218,2014年01月01日至2014年09月30日,,                 82551,                 82551,,,                110673,                 12463,                  4664,                 -3067,                 58825,                 -3111,               -235808,                 -1445,                              0,                    192,                   -410,                 47057,                 -9967,,,                -20704,                -40511,                 62098,               -311535,                -83117,                 -9284,                -94340,                  1379,                 -6356,                 34266,                 -3879,               -471983,,                    587,                109843,                117190,                 70234,                 63289,                -14137,                347006,               -124977,               -134944,                -52393,                  3111,                -52297,                 -2500,               -104079,,                              0,                    500,               -103427,                  8509,                -17498,                 -1279,                 -5983,                223555,                104377,,              7841143,             -7693366,              3573000,             -3599000,                              0,                771736,               -495799,                    723,                398437,                  5649,                404384,                614191,              1018575,              1018575,,,,,,,,,,,,,,,,,,
1218,2014年01月01日至2014年06月30日,,                  4805,                  4805,,,                 76205,                  8282,                  3528,                 -1859,                 36886,                 -2616,               -136960,                 -1884,                              0,                    610,                   -410,                    586,                -17632,,,                -21566,                   -112,                 57255,               -144381,                -68042,                 -8236,               -212599,                    936,               -320856,                 12225,                 -3879,               -709255,,                  1670,                 11091,                155667,                 60239,                 17369,                -10301,                235735,               -473520,               -491152,               -486347,                  2616,                -32534,                 -2180,               -518445,,                              0,                    500,                -93775,                  8361,                -17502,                   -912,                 -5995,,               -109323,,              4758119,             -4531735,              2169000,             -1995000,                              0,                773939,               -220040,                    822,                955105,                -11119,                316218,                614191,                930409,                930409,,,,,,,,,,,,,,,,,,
1218,2014年01月01日至2014年03月31日,,                 26116,                 26116,,,                 36156,                  3841,                  6183,                 -2864,                 16165,                 -1246,                -46223,                    395,,                  1107,                   -410,                    297,                 13401,,,                   -553,                  7254,                 56235,                -36137,                 -2195,                 -5213,                  5682,                   -344,               -231573,                -22596,                 -5721,               -235161,,                              0,                -71608,                141231,                 -6749,                -39371,                 -5719,                 17784,               -217377,               -203976,               -177860,                  1246,                -13989,                 -1886,               -192489,,,,                -10511,                  4144,                -16540,                 -3148,                 -4937,,                -30992,,              1959498,             -1918569,                 10000,                              0,,                270000,               -152000,                    524,                169453,                   -979,                -55007,                614191,                559184,                559184,,,,,,,,,,,,,,,,,,
1218,2013年度,,               -105538,               -105538,,,                149344,                  4337,                  5865,                  1562,                 67479,                 -5290,               -243874,                 10817,                 -3706,                    410,                     16,                  1157,,,,                -13256,                190197,                 35898,                150416,                -24799,                 37459,                667997,                 -4846,                -14521,                -23463,                 -3760,                997322,,,                  2652,                -34223,                -34333,                 97513,,                 -3881,                993441,                939005,                833467,                  5290,                -62400,                 -2106,                774251,,                 50711,,               -120942,                 14423,                -63879,                 -2417,                -23712,                164273,                 95275,,              5457563,             -6017390,              1852000,             -2024000,,              1308598,             -1670000,                  8905,               -591355,                 12359,                290530,                323661,                614191,                614191,,                 -1157,                -53191,                 11795,                -54436,                -35490,                 71181,                  5637,                491345,                  1624,,,,,,,,
1218,2013年01月01日至2013年12月31日,,               -105538,               -105538,,,                149344,                  4337,                  5865,                  1562,                 67479,                 -5290,               -243874,                 10817,                 -3706,                    410,                     16,                  1157,,,,                -13256,                190197,                 35898,                150416,                -24799,                 37459,                667997,                 -4846,                -14521,                -23463,                 -3760,                997322,,                              0,                  2652,                -34223,                -34333,                 97513,,                 -3881,                993441,                939005,                833467,                  5290,                -62400,                 -2106,                774251,,                 50711,                  5637,               -120942,                 14423,                -63879,                 -2417,                -23712,                164273,                 95275,,              5457563,             -6017390,              1852000,             -2024000,,              1308598,             -1670000,                  8905,               -591355,                 12359,                290530,                323661,                614191,                614191,,                 -1157,                -53191,                 11795,                -54436,                -35490,                 71181,,                491345,                  1624,,                              0,                              0,                              0,                              0,,,
1218,2013年01月01日至2013年09月30日,,                 90709,                 90709,,,                113094,                  1324,                  2467,                  3697,                 49695,                 -3075,               -191876,                   -662,                 -2539,                     37,                     16,                    866,,,,                -46909,                123846,                 48267,               -241995,                129788,                -21200,                634233,                 -5436,                 24128,                -52700,                 -3093,                626728,,                  4280,                140191,                123642,                 -5805,                 66999,,                311748,                938476,                867532,                958241,                  3075,                -46793,                 -1865,                912658,,                 50711,                              0,               -122653,                  9164,                   -575,                -10223,                -17563,                163118,                131193,,              4480962,             -5069380,              1452000,             -1599000,,              1189051,             -1550000,                  1819,               -603224,                  8421,                449048,                323661,                772709,                772709,,,                -43988,,                -70944,                -17559,                 59214,,                491345,                    -21,                 37799,,,,,,,
