證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 存入保證金增加,　　　　　 持有供交易之金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 預付投資款增加,　　 現金增資,　　　　　 持有供交易之金融負債增加（減少）
1592,2015年01月01日至2015年09月30日,,                239903,                239903,,,                237768,                  8455,                  1646,                 69465,                 -6155,                    524,                 17201,                  3673,                257974,                590551,,,                -21822,               -254696,                 35217,               -310289,                 15596,               -535994,,                 56033,                150271,                 76504,                    943,                283751,               -252243,                338308,                578211,                  6155,                -68590,                -64008,                451768,,               -656707,                  1775,                   -297,                     20,                              0,               -114928,                              0,                    727,                -85435,                              0,               -854845,,              5385611,             -4821123,                792389,               -597436,                              0,               -100433,                -14892,                644116,                -16801,                224238,                541684,                765922,                765922,,,,,,,,
1592,2015年01月01日至2015年06月30日,,                130036,                130036,,,                155794,                  5681,                    664,                 44338,                  3327,                    518,                  8793,                    -83,                172132,                391164,,,                -13531,               -279021,                 16275,               -145707,                 10850,               -411134,,                 44773,                124622,                 18021,                    935,                188351,               -222783,                168381,                298417,                 -3327,                -43887,                -34271,                216932,,               -399729,                  1521,,,,,,                    966,                -85435,                              0,               -771207,,              3226770,             -2812707,                468692,               -315230,,                              0,,                567525,                    713,                 13963,                541684,                555647,                555647,               -288530,                              0,,,,,,
1592,2015年01月01日至2015年03月31日,,                 77997,                 77997,,,                 77299,                  2908,                     16,                 19949,                 -1834,                      5,                  3307,                   -182,                 57524,                158992,,,                 -8164,               -285535,                 35022,                 38302,                -11947,               -232692,,                  1828,                 29600,                 10056,                  2490,                 43974,               -188718,                -29726,                 48271,                  1834,                -19421,                -10326,                 20358,,               -126968,,,,,                -74205,                -17473,,                -77726,,               -296372,,              1467400,             -1332140,                100874,                              0,,,,                236134,                -10444,                -50324,                541684,                491360,                491360,,                              0,                   -370,,,,,
1592,2014年度,,                251759,                251759,,,                297336,                 10188,                 11893,                 86171,                 -5746,                  2659,                  1912,                  1841,                268144,,,,                  1303,                -46520,                  7122,               -249805,                 37549,               -250351,,                 76462,                -93919,                -18213,                 -2121,                -37791,               -288142,                386256,                638015,                  5746,                -85077,                -94631,                464053,,               -705370,                    120,,,                 -1687,                -58950,                 -1799,,                -52337,                177244,               -651450,,              5868567,             -6068173,                889481,               -777664,,               -178467,,                150859,                 28022,                 -8516,                550200,                541684,                541684,,                 -1485,,,                674398,                 -8671,                418600,
1592,2014年01月01日至2014年09月30日,,                183691,                183691,,,                209658,                  7940,                 13765,                 68012,                 -4496,                  2453,                  5185,                    917,                321609,                625043,,,                 -8255,                -27988,                  2712,               -309575,                 21421,               -321685,,                142415,                 21602,                -20728,                  1868,                145157,               -176528,                448515,                632206,                  4496,                -66580,                -86761,                483361,,               -553499,                     36,                              0,                              0,                 -1687,               -124730,                 -1533,                              0,                -52293,                177244,               -556462,,              4432044,             -4546129,                600158,               -439928,                 -1476,               -178467,                              0,               -133798,                    668,               -206231,                550200,                343969,                343969,,,,,,,,
1592,2014年01月01日至2014年06月30日,,                155488,                155488,,,                134641,                  4619,                 14254,                 46219,                  2300,                     13,                  4320,                  1671,                176730,                384767,,,                 -2717,               -170205,                 -7758,                -48152,                  9509,               -219323,,                 69370,                 95542,                -21282,                 -1962,                141668,                -77655,                307112,                462600,                 -2300,                -43746,                -73570,                342984,,               -429320,                              0,,,,,,                  1872,                -52308,                177244,               -334600,,              2815641,             -3014339,                301050,                -99660,,               -178467,,               -177254,                 -8405,               -177275,                550200,                372925,                372925,                -32088,                 -1479,,,,,,
1592,2014年01月01日至2014年03月31日,,                 82077,                 82077,,,                 64958,                  1906,                 11576,                 22648,                 -1829,                     13,                  4099,                  1551,                104972,                209894,,,                 -6811,               -132976,                  1090,                -30263,                  6962,               -161998,,                 43498,                    727,                -43952,                 -1059,                   -786,               -162784,                 47110,                129187,                  1829,                -21876,                -61424,                 47716,,               -227685,,,,,                 16195,                    333,,                -52303,,               -263460,,              1517444,             -1687286,                242160,                -60794,,,,                 10041,                  1445,               -204258,                550200,                345942,                345942,,                 -1483,                              0,,,,,
1592,2013年度,,                466915,                466915,,,                246981,                  6324,                -16388,                 86751,                -10243,                 -3503,                 12855,                 -2654,                -62940,,,,                  2850,               -112372,                -14712,               -462967,                -42158,               -629359,,               -241400,                171750,                -16715,                  1752,                -84613,               -713972,               -456789,                 10126,                 10243,                -87976,                -91914,               -159521,,               -575577,                 15201,,,                 -5552,                370189,                 -2167,,                              0,                634997,                437091,,              2652843,             -2365871,                              0,               -502085,,               -355860,,               -304204,                 47446,                 20812,                529388,                550200,                550200,,                  7185,,,                257183,                              0,                259584,
1592,2013年01月01日至2013年12月31日,,                466915,                466915,,,                246981,                  6324,                -16388,                 86751,                -10243,                 -3503,                 12855,                 -2654,                -62940,,,,                  2850,               -112372,                -14712,               -462967,                -42158,               -629359,,               -241400,                171750,                -16715,                  1752,                -84613,               -713972,               -456789,                 10126,                 10243,                -87976,                -91914,               -159521,,               -575577,                 15201,,,                 -5552,                370189,                 -2167,,                              0,                634997,                437091,,              2652843,             -2365871,                              0,               -502085,,               -355860,                              0,               -304204,                 47446,                 20812,                529388,                550200,                550200,,                  7185,,,                257183,,                259584,                              0
1592,2013年01月01日至2013年09月30日,,                142615,                142615,,,                186651,                  4678,                -17867,                 66925,                 -8877,                 -2516,                  9494,                 -1518,                245309,,,,                 -3836,                -54600,                -10645,               -536777,                -25690,               -631548,,               -186670,                404739,                -38811,                    297,                179555,               -451993,                 30286,                172901,                  8877,                -67851,                -76311,                 37616,,               -371298,                  2567,,,                 -2950,,,                -15937,                              0,                262587,                141979,,              3571975,             -3112912,                267606,               -659610,,               -355860,,                -29217,                 24069,                174447,                529388,                703835,                703835,                267010,                              0,,,                482279,,                259584,
1592,2013年01月01日至2013年06月30日,,                 92454,                 92454,,,                119433,                  3042,                 -2383,                 45300,                  6103,                 -2510,                  8382,                    -24,                169745,,,,                 -5607,                -89149,                  8213,               -334839,                -35740,               -457122,,               -131959,                329422,                -42138,                 -1009,                154316,               -302806,                 44282,                136736,                 -6103,                -47216,                -42654,                 40763,,               -173327,                  2556,,,                 -2832,,,                 -6349,                              0,                262587,                -43657,,              2038301,             -1947194,                207669,               -311180,,               -153168,,               -165572,                 27642,               -140824,                529388,                388564,                388564,               -126292,                              0,,,                347088,,,
1592,2012年01月01日至2012年12月31日,,                587799,                587799,,,                228013,                  6918,                  2521,                 59311,                 -9483,                  2685,                  7078,                  2419,               -183805,,,,                 -1715,                 -1658,                -14934,               -491665,               -103003,               -612975,,                 62044,                113501,                132369,                    414,                307648,               -305327,               -189670,                398129,                  9483,                -57733,                -76624,                273255,,               -211122,                  2218,,,                 -4991,               -478373,                              0,,                -41227,                 93698,               -639797,,              4044242,             -3274427,                598025,                              0,,               -512887,               -655963,                198990,                 -7846,               -175398,                704786,                529388,                529388,,                              0,,,                115657,,                              0,                   -680
