證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　　　 未實現銷貨利益（損失）,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付設備款增加,　　　　 不動產、廠房及設備轉列費用數,　　　　　 應付建造合約款（增加）減少,　　　　　 其他金融負債增加（減少）,　　　　　 其他營業負債增加（減少）
2029,2015年01月01日至2015年09月30日,,                -90790,                -90790,,,                197954,                  1836,                    259,                  2591,                -14338,                   -368,                745197,                  2739,                              0,                 10260,                              0,                   -541,                945589,,,                              0,                    432,                318145,                 -7467,                  3235,                 44956,                598253,                100473,                -11584,              1046443,,                   -259,                    -88,                -34423,                -19550,                  7841,                -96008,                    -82,                 17999,                 -1355,                 12916,               -113009,                933434,              1879023,              1788233,                 13220,                    368,                 -2469,               -199905,              1599447,,               -183720,                              0,               -109567,                    363,                 -1000,                     65,                   -210,                              0,                 51033,                    -80,                              0,               -243116,,                298450,               -277843,               -369357,                   -554,               -349304,                  5140,              1012167,              2999859,              4012026,              4012026,,,,,,,,,,,
2029,2015年01月01日至2015年06月30日,,                316887,                316887,,,                134014,                  1272,                    562,                  1604,                 -9014,                   -368,                124882,                  2427,,                  2754,                   -359,                   -950,                256824,,,                              0,                    364,                -53960,                  1866,                 -1322,                  8229,                301990,                107801,                 -3050,                361918,,                    108,                    -71,                -21517,                  7782,                  5035,                -83211,,                    466,                 -2014,                 12027,                -81395,                280523,                537347,                854234,                  8259,                    368,                 -1584,               -112215,                749062,,               -183720,,                -72061,                              0,                 -1000,                     65,                   -210,                 -7571,,                   -141,                              0,               -264638,,                158272,               -148250,,,                 10022,                 -2975,                491471,              2999859,              3491330,              3491330,,,,,,,,,,,
2029,2015年01月01日至2015年03月31日,,                168203,                168203,,,                 70153,                    696,                    138,                    818,                 -4080,,                 74716,                  1704,,                  1838,                  1974,                    147,                147836,,,,                      2,                151137,                 11975,                   -577,                  4104,                 28678,                 22283,                -33980,                183622,,                     -3,                    327,                -35788,                 21908,                 -1199,               -117240,,                 22573,                  6253,                  5922,                -97247,                 86375,                234211,                402414,                  3485,,                   -668,                   -397,                404834,,,,                -18367,                              0,                 -1000,,                   -210,                              0,                    525,                   -199,                              0,                -19251,,                 77548,                -78800,,,                 -1252,                 -1364,                382967,              2999859,              3382826,              3382826,                              0,                   -268,,,,,,,,,
2029,2014年度,,                604163,                604163,,,                323877,                  3737,                  3216,                  4015,                -14386,                   -603,                358339,                  4723,                 -2493,                 48618,                -13616,                   -902,,,,                  1267,                    838,                282935,                 13588,                 33372,                  8676,               -199390,                -88002,                  6916,                 60200,,                 -5042,                    -82,                 13562,                -10995,                 -1073,                  5631,                   -128,                 -1086,                 -3917,,                 21648,                 81848,                796119,              1400282,                 13997,                    603,                 -4029,               -197337,              1213516,,,                 -4373,               -161719,                    736,                              0,                     24,                              0,                -59005,                 30273,,                    851,               -193213,,                319014,               -298598,               -369357,                 -1109,               -350050,                  5492,                675745,              2324114,              2999859,              2999859,                     68,                   -692,,                    370,                714271,                 24778,,,,,
2029,2014年01月01日至2014年09月30日,,                405079,                405079,,,                252864,                  2813,                  2314,                  3134,                -10722,                   -603,                268193,                  4590,                 -2493,                 36421,                 -6820,                    -99,                549592,,,                  1268,                    895,                145242,                 12115,                 32478,                  6971,               -195460,                -87724,                -30613,               -114828,,                 -2334,                   -153,                 49927,                 -8304,                 -1572,                -38153,                              0,                 27638,                 -5212,                 18593,                 40430,                -74398,                475194,                880273,                 10333,                    603,                 -3209,               -181237,                706763,,                              0,                 -4373,               -122858,                    476,                 -2000,                     24,                              0,                -69477,                 30112,                              0,                    515,               -167581,,                269277,               -248447,               -369357,                 -1109,               -349636,                    636,                190182,              2324114,              2514296,              2514296,,,,,,,,,,,
2029,2014年01月01日至2014年06月30日,,                302645,                302645,,,                182715,                  1885,                   -158,                  2158,                 -7147,                   -603,                187715,                  4474,,                  8548,                  1832,                    718,                382137,,,                    708,                 -9918,                 35432,                 -7352,                 15810,                  9364,               -180315,                -87902,                  2933,               -221240,,                 -2123,                   -164,                105104,                 -9392,                  1508,                -85832,,                 21769,                 -6516,                 12358,                 36712,               -184528,                197609,                500254,                  6896,                    603,                 -2158,               -122040,                383555,,                              0,,                -63006,                    476,                 -2000,                     24,                              0,                -88967,,                              0,                    415,               -153058,,                185853,               -184867,,,                    986,                  2422,                233905,              2324114,              2558019,              2558019,,,,,,,,,,,
2029,2014年01月01日至2014年03月31日,,                217945,                217945,,,                 94187,                    947,                  1564,                  1214,                 -3406,,                 76835,                    672,,                    352,                 -2752,                    156,                169702,,,,                 -5738,                116071,                 16804,                  9124,                 26140,               -136179,                -48408,                -40907,                -63093,,                 -2123,                    -99,                145774,                 -6484,                 -2272,               -116083,,                 13599,                 -5170,                  6128,                 33270,                -29823,                139879,                357824,                  3050,,                 -1359,                 -1804,                357711,,,,                -37042,                    295,                              0,,                              0,                -50003,                              0,                              0,                    573,                -86177,,                112517,               -118331,,,                 -5814,                  5506,                271226,              2324114,              2595340,              2595340,                    -67,                              0,,,,,,,,,
2029,2013年度,,                666707,                666707,,,                359043,                  4528,                  4065,                  3649,                -12189,                 -2018,                213515,                 10919,                              0,                 52035,                 -5272,                  3258,,,,                    483,                  2217,                -80687,                -26997,                   -194,                 -4709,                 18436,                -37021,                  6648,               -121824,,                 -4075,                   -787,               -116408,                 26179,                -13102,                 69643,                 -2502,                -42365,                  5804,,               -129922,               -251746,                381522,              1048229,                 11889,                  2018,                 -3602,                -26233,              1032301,,,                              0,                -75527,                  1407,                    -34,                 10981,                 -3499,                 -7113,                              0,,                    460,                -73325,,                308783,               -293280,               -112413,                 -1108,                -98018,                  6111,                867069,              1457045,              2324114,              2324114,                  1735,                              0,,                              0,                633268,                -52309,,,,,
2029,2013年01月01日至2013年12月31日,,                666707,                666707,,,                359043,                  4528,                  4065,                  3649,                -12189,                 -2018,                213515,                 10919,,                 52035,                 -5272,                  3258,,,,                    483,                  2217,                -80687,                -26997,                   -194,                 -4709,                 18436,                -37021,                  6648,               -121824,,                 -4075,                   -787,               -116408,                 26179,,                 69643,                 -2502,                -42365,,,               -129922,               -251746,                381522,              1048229,                 11889,                  2018,                 -3602,                -26233,              1032301,,                              0,,                -75527,                  1407,                    -34,                 10981,                 -3499,                 -7113,,,                    460,                -73325,,                308783,               -293280,               -112413,                 -1108,                -98018,                  6111,                867069,              1457045,              2324114,              2324114,                  1735,,,,                633268,                -52309,,,                -13102,                  5804,
2029,2013年01月01日至2013年09月30日,,                542238,                542238,,,                265304,                  3327,                  2915,                  2428,                 -8708,                 -2018,                 81954,                  7158,                              0,                 45883,                   -565,                   -143,,,,                    483,                  3409,                172147,                -11512,                 33918,                 12049,               -113344,                -55827,                -21665,                 19658,,                 -3484,                   -771,                 24452,                -11405,                    514,                 11698,,                -20256,                 -2052,,                 10041,                 29699,                427226,                969464,                  8408,                  2018,                 -2526,                -25089,                952275,,,                              0,                -20536,                  1408,                    -34,                 10972,                 -3499,                -37067,                              0,,                    340,                -67806,,                283877,               -197350,               -112413,                 -1108,                -26994,                  3782,                861257,              1457045,              2318302,              2318302,                     -8,                              0,,                              0,                397527,                 11345,                -19390,,,,
2029,2013年01月01日至2013年06月30日,,                423535,                423535,,,                179376,                  2100,                  2915,                  1126,                 -5425,                 -2018,                 51848,                  4789,,                 41533,                 -2189,                   -952,,,,                    483,                   -623,               -186245,                -19058,                 37995,                 29934,                -70220,               -135760,                  6087,               -337407,,                 -3484,                   -870,                -95119,                 -1400,                  3168,                -59972,,                -43039,                 -2974,,               -192194,               -529601,               -235636,                187899,                  6153,                  2018,                 -1214,                 -2483,                192373,,,,                -16065,                    389,                    -10,                 10972,                 -3394,                 -6773,,,                    216,                -40586,,                250285,               -179900,,,                 70385,                  6465,                228637,              1457045,              1685682,              1685682,                    436,                              0,,                              0,                293965,                 11496,                -25921,                 20426,,,
2029,2013年01月01日至2013年03月31日,,                229498,                229498,,,                 91140,                  1004,                  2900,                    569,                 -2492,,                 16178,                    109,,                 23651,                 -1553,                    121,,,,                    483,                  3820,                281288,                              0,                  8264,                -15370,                -54632,               -122120,                  4112,                105845,,                 -2660,                   -913,                 -2608,                  2925,                 -1453,                -96599,,                -37291,                   -365,,               -133268,                -27423,                104635,                334133,                  2248,,                   -667,                 12232,                347946,,,,                -21566,                    386,,                 10972,                   -246,                     -2,,,                     53,                -10403,,                104898,               -108986,,,                 -4088,                 -9621,                323834,              1457045,              1780879,              1780879,                    431,,,,                132058,                  5696,,,,,
2029,2012年01月01日至2012年12月31日,,                198349,                198349,,,                364581,                 12334,                 -2544,                  2802,                 -7364,                   -570,                 33556,                  5673,,                103626,                    280,                  1658,,,,                  9003,                  2416,               -278975,                              0,                -19095,                 34362,                602340,                  9080,                -14864,                344267,,                 -5538,                    857,                 52736,                -28931,,                  5057,                 -2972,                 13954,,,                 38491,                382758,                894432,              1092781,                  6825,                    570,                 -2802,               -104908,                992466,,               -358896,,                -78902,                  1055,                   -144,                    441,                   -310,                -23048,,,                  1064,               -458740,,                398876,               -414747,               -353298,                              0,               -369169,                 -7148,                157409,              1299636,              1457045,              1457045,                 -2358,,,,                511674,                 22590,,,                -14159,                 -5103,
