證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 其他金融資產增加,　　 其他投資活動,　　　　　 其他金融資產（增加）減少,　　 其他非流動資產增加
1540,2015年01月01日至2015年09月30日,,                103215,                103215,,,                 11394,                     92,                     72,                    -61,                    802,                -11448,                -39209,                -38358,,,                -20000,                 -3341,                 45801,                  3451,                 62612,                  1440,                 89963,,                -10471,                -55820,                 -1014,                 -3567,                 -8187,                  2486,                    -12,                -76585,                 13378,                -24980,                 78235,                 12971,                   -802,                -43903,                 46501,,                 -1407,                    -14,                              0,                 -1421,,                -50000,               -119056,               -169056,                 39209,                -84767,                852904,                768137,                768137,,,,,,,,,,,,
1540,2015年01月01日至2015年06月30日,,                 63154,                 63154,,,                  7633,                     62,                     72,                    -35,                    918,                 -6671,                  8842,                 10821,,,                -20000,                    -53,                 -1082,                  2160,                  5845,                  1816,                -11314,,                  4762,                -40974,                 -5859,                 -3567,                 -1590,                  2265,                     -7,                -44970,                -56284,                -45463,                 17691,                  6563,                   -532,                -26142,                 -2420,,                   -932,                   -153,                              0,                 -1085,,                              0,,                200000,                 -8842,                187653,                852904,              1040557,              1040557,                200000,,,,,,,,,,,
1540,2015年01月01日至2015年03月31日,,                 48994,                 48994,,,                  3798,                     31,                     72,                     -7,                    107,                 -1600,                  8842,                 11243,,,                -20000,                   -201,                -21581,                    847,                -20161,                 -8010,                -69106,,                  6682,                  3156,                 -5498,                              0,,                   -154,                      1,                  4187,                -64919,                -53676,                 -4682,                    928,                    -65,                    -93,                 -3912,,                   -692,                              0,                              0,                   -725,,                              0,,                 20000,                 -8842,                  6521,                852904,                859425,                859425,                 20000,                    -33,,,,,,,,,,
1540,2014年度,,                232124,                232124,,,                 15674,                    138,                     11,                    191,                    152,                 -5751,                 34654,,,,                 15000,                  5468,                -45142,                 -1299,                 -7329,                  6248,                -27137,,                  8288,                 16031,                -18846,                  1295,,                 -5490,,                    790,                -26347,                 18722,                250846,,                   -250,                -16703,                237877,,                 -3675,,                121187,                117574,,                -80000,               -103182,               -183182,                -34654,                137615,                715289,                852904,                852904,,                     62,,                              0,                 45069,                    -83,                   -488,                  3984,                              0,,,
1540,2014年01月01日至2014年09月30日,,                134018,                134018,,,                 11857,                    108,                     29,                   -517,                     84,                 -3690,                -12039,                 -4168,,,                    455,                  5167,                -18049,                 -1901,                -42352,                  4166,                -52514,,                  2106,                 32951,                 -6556,                    550,                -16538,                  5253,                     40,                 17806,                -34708,                -38876,                 95142,                  2390,                    -84,                -16544,                 80904,,                 -3675,                     62,                121187,                117574,,               -130000,               -103181,               -233181,                 12039,                -22664,                715289,                692625,                692625,,,,,,,,,,,,
1540,2014年01月01日至2014年06月30日,,                 95116,                 95116,,,                  7943,                     72,                     28,                   -295,                     67,                 -2450,                  4548,                  9913,,,                -77707,                  3713,                -14638,                 -1140,                -34190,                  3361,               -120601,,                     26,                 15360,                 13711,                   -966,                -15011,                  3263,                     41,                 16424,               -104177,                -94264,                    852,                  1428,                    -76,                 -8053,                 -5849,,                 -2508,                     36,                119187,                116715,,               -130000,,               -130000,                 -4548,                -23682,                715289,                691607,                691607,                              0,,,,,,,,,,,
1540,2014年01月01日至2014年03月31日,,                 59055,                 59055,,,                  3929,                     36,                    260,                   -197,                     46,                   -765,                 10713,                 14022,,,               -228000,                  1334,                -27141,                    -19,                  1850,                   -141,               -252117,,                 -3478,                 -5969,                  2191,                   -336,,                  4717,                     45,                 -2830,               -254947,               -240925,               -181870,                    645,                   -149,                    -64,               -181438,,                 -1912,                     25,                119187,                117300,,               -130000,,               -130000,                -10713,               -204851,                715289,                510438,                510438,                              0,                              0,,,,,,,,,,
1540,2013年度,,                136979,                136979,,,                 19582,                    120,                 -6483,                    -79,                  1758,                 -3531,                 15356,,,,                  4010,                  1693,                 27841,                    169,                 91567,                 -6663,                118398,,                  6283,                 26255,                 14682,                -10344,,                 58250,,                 89202,                207600,                234323,                371302,,                 -1775,                -16903,                356085,,                 -2557,,                              0,               -121754,,                -20000,                -79372,                -99372,                -15356,                119603,                595686,                715289,                715289,,                    -10,,                              0,                 26723,                   -219,                 -5924,                  3461,               -119187,,,
1540,2013年01月01日至2013年12月31日,,                136979,                136979,,,                 19582,                    120,                 -6483,                    -79,                  1758,                 -3531,                 15356,,,,                  4010,                  1693,                 27841,                    169,                 91567,                 -6663,                118398,,                  6283,                 26255,                 14682,                -10344,,                 58250,,                 89202,                207600,                234323,                371302,,                 -1775,                -16903,                356085,,                 -2557,,,               -121754,,,                -79372,                -99372,                -15356,                119603,                595686,                715289,                715289,                -20000,                    -10,,                              0,                 26723,                   -219,                 -5924,                  3461,,               -119187,,
1540,2013年01月01日至2013年09月30日,,                 89144,                 89144,,,                 14757,                     84,                 -3575,                    -56,                    837,                 -2205,                 -9040,,,,                  4009,                 -1538,                 42702,                    707,                 58241,                  2452,                106573,,                  9306,                  8423,                  2617,                 -8335,                 34450,                 -2038,,                 43901,                150474,                151276,                240420,                  2097,                   -824,                 -8212,                233481,,                   -350,                   -226,                              0,                   -576,,                 70000,                -79372,                 -9372,                  9040,                232573,                595686,                828259,                828259,,,,,                    802,,                   -522,,,,,
