證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
2377,2015年01月01日至2015年09月30日,,              3026936,              3026936,,,                410149,                  7467,                234481,                 40256,                 13927,                -71968,                    479,                  1060,                -90332,                545519,,,                -93474,                  5928,               -446500,               -127862,              1688864,                 92335,                 -2291,              1117000,,                    633,             -1311948,               -500227,                  6986,               -320187,                 -3334,                 37066,             -2091011,               -974011,               -428492,              2598444,                 64755,                -16577,               -586700,              2059922,,               -125412,                  1471,                              0,                  2132,               -121809,,                              0,             -1974877,                              0,                 -1943,                 39747,             -2534569,                              0,                              0,                              0,             -4471642,                262851,             -2270678,             10002083,              7731405,              7731405,,,,,,,
2377,2015年01月01日至2015年06月30日,,              1694842,              1694842,,,                270491,                  4905,                 52827,                 49287,                 12771,                -49280,                    479,                    130,                -38964,                302646,,,                -36095,                  6540,              1228787,                 25031,              3561595,                 65172,                  7946,              4858976,,                    959,             -5215912,               -449599,                 -6071,               -344497,                 -2211,                 38277,             -5979054,             -1120078,               -817432,                877410,                 48133,                -14229,               -280657,                630657,,                -94979,                    993,,                  3450,                -90536,,             -1361114,                              0,                              0,                 -2188,                 33039,,                              0,,,             -1330263,                -84995,               -875137,             10002083,              9126946,              9126946,,,,,,,
2377,2015年01月01日至2015年03月31日,,              1132883,              1132883,,,                138736,                  2502,                 15654,                 12619,                  7453,                -25089,                    884,                     48,                -45224,                107583,,,                -50511,                  4777,              1315962,                -45744,              1356894,                  3050,                  3413,              2587841,,                     -8,             -4038949,               -396462,                  5112,               -218339,                 -1080,                 28025,             -4621701,             -2033860,             -1926277,               -793394,                 23094,                 -7049,                -23047,               -800396,,                -57336,                      6,                  1946,,                -51560,,                642907,,,                 -1077,                 17531,,                              0,,,                659361,                -31007,               -223602,             10002083,              9778481,              9778481,                  3824,                              0,                              0,,,,
2377,2014年度,,              3577170,              3577170,,,                532397,                  9742,                -68958,                -40417,                 47156,               -137549,                    -46,                 -2516,                 71248,,,,                              0,                 -8371,               -407162,                -22236,             -4100149,                 43377,                  9624,             -4484917,,                 -3497,              1469101,                544320,                  3006,                 42455,,                -10334,              2053511,             -2431406,             -2010349,              1566821,                137636,                -46649,               -544338,              1113470,,               -913871,                 13213,                   -867,                              0,               -901525,,                938461,                              0,                              0,                 -3277,                 91734,             -1689712,                              0,                              0,                              0,               -662794,                124342,               -326507,             10328590,             10002083,             10002083,                              0,                              0,,,                 10000,                421057,                  8460
2377,2014年01月01日至2014年09月30日,,              2928587,              2928587,,,                408864,                  7258,                -71603,                -14721,                 23053,                -86279,                 -1695,                 -4766,                 13945,                274056,,,                              0,                    -85,               -783869,                -84025,             -2936167,                  2545,                 10951,             -3790650,,                 -2509,                542162,                224117,                 -5141,               -218709,                 -3104,                    379,                537195,             -3253455,             -2979399,                -50812,                 85783,                -23161,               -518051,               -506241,,               -409056,                 11502,                              0,                    667,               -396887,,                              0,               -528532,                              0,                 -2437,                 88546,             -1689712,                              0,                              0,                              0,             -2132135,                 11326,             -3023937,             10328590,              7304653,              7304653,,,,,,,
2377,2014年01月01日至2014年06月30日,,              2082457,              2082457,,,                281198,                  4852,                -14694,                 -5047,                 14214,                -56879,                 -1091,                  6392,                 36723,                265668,,,                              0,                 -4910,                167827,                 23289,             -2572177,               -107267,                  2027,             -2491211,,                 -2963,                 -9266,                116948,                 -9307,               -121450,                 -2065,                 21828,                 -6275,             -2497486,             -2231818,               -149361,                 48507,                -10607,               -327619,               -439080,,               -306986,                     72,,                  5628,               -301286,,              1368196,                              0,                              0,                 -1624,                 52163,,                              0,,,              1418735,                -97858,                580511,             10328590,             10909101,             10909101,,,,,,,
2377,2014年01月01日至2014年03月31日,,              1152404,              1152404,,,                140145,                  2458,                 15730,                 -4625,                  5533,                -24673,                    155,                  5619,                  8960,                149302,,,                -26870,                      1,                237292,                -10834,             -1570100,                 16328,                  6594,             -1347589,,                 -3505,              1798168,                123035,                  3192,               -183607,                 -1043,                    770,              1737010,                389421,                538723,              1691127,                 14451,                 -3077,                -48553,              1653948,,               -245649,                     68,                  4584,,               -241058,,              1555287,,,                   -329,                 54170,,                              0,,,              1609128,                 30539,              3052557,             10328590,             13381147,             13381147,                    -61,                              0,                              0,,,,
2377,2013年度,,              2730303,              2730303,,,                568189,                  9581,                 -7762,                -11254,                 14344,                -63025,                  1658,                  3949,                -22093,,,,                 38836,                  4340,             -1880937,                183812,             -1389445,                100144,                -12636,             -2955886,,                  3281,              2590571,                350055,                 59059,                253222,,                  1982,              3253776,                297890,                791477,              3521780,                 64374,                -13134,                -92211,              3480809,,               -211364,                 10000,                 -3893,                              0,               -206270,,                122455,                              0,               -707000,                 -2504,                 30431,               -253456,                              0,                 -4800,               -675885,             -1490759,                203657,              1987437,              8341153,             10328590,             10328590,                 -1013,                              0,,,                              0,                493587,                 -4394
2377,2013年01月01日至2013年12月31日,,              2730303,              2730303,,,                568189,                  9581,                 -7762,                -11254,                 14344,                -63025,                  1658,                  3949,                -22093,,,,                 38836,                  4340,             -1880937,                183812,             -1389445,                100144,                -12636,             -2955886,,                  3281,              2590571,                350055,                 59059,                253222,,                  1982,              3253776,                297890,                791477,              3521780,                 64374,                -13134,                -92211,              3480809,,               -211364,                 10000,                 -3893,                              0,               -206270,,                122455,                              0,               -707000,                 -2504,                 30431,               -253456,                              0,                 -4800,               -675885,             -1490759,                203657,              1987437,              8341153,             10328590,             10328590,                 -1013,                              0,,,,                493587,                 -4394
2377,2013年01月01日至2013年09月30日,,              1976603,              1976603,,,                430472,                  7128,                 47734,                 -3472,                  9368,                -41849,                    795,                  4305,                 17713,,,,                -93418,                  4341,                -84186,                166282,             -1336367,                  8133,                -20220,             -1355435,,                   -214,              1243584,                -83097,                 33950,                153124,,                  4674,              1348730,                 -6705,                465489,              2442092,                 40369,                 -8200,                -96725,              2377536,,                -73285,                  7208,                 -6965,                              0,                -73042,,                997643,                              0,               -707000,                 -1888,                 28664,               -253456,                              0,                 -4800,               -675885,               -616722,                 95872,              1783644,              8341153,             10124797,             10124797,,,,,,                472194,                 -3291
