證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借銀行同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 應收證券融資款（增加）減少,　　　　　 客戶保證金專戶（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 融券保證金增加（減少）,　　　　　 應付融券擔保價款增加（減少）,　　　　　 期貨交易人權益增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 營業保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 取得投資性不動產,　　 處分投資性不動產,　　 附賣回票券及債券投資減少,　　 其他金融資產增加,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 其他借款減少,　　 附買回票券及債券負債增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 營業保證金減少,　　 其他借款增加,　　 其他非流動負債增加,　　 附賣回票券及債券投資增加,　　 其他金融資產減少,　　 附買回票券及債券負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金增加,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他資產減少,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 存入保證金增加,　　 處分子公司股權（未喪失控制力）,　　　　　 遞延借項（增加）減少,　　 其他應收款減少,　　　　　 負債準備增加（減少）
1409,2015年01月01日至2015年09月30日,,              1169524,              1169524,,,              1263451,                 16309,                -15623,                585261,             -1138162,                 30813,                   -204,                              0,                -11407,               -183761,                546677,,,                559501,               -349889,                -16984,              1412038,                 -5959,                593095,                 19365,                -78113,               -178971,              1954083,,                814456,                952823,                 14179,               -177460,                  5668,                118534,                638421,                -38438,              2328183,              4282266,              4828943,              5998467,              1109968,               -581168,               -207196,              6320071,,             -3449980,              2446062,            -15408722,             13186541,                 -3500,                              0,             -1712669,                  2246,                 -1572,                  6380,               -572602,                 -2983,                              0,                271283,               -170533,               -571963,             -5982012,,              1673098,                797067,             -2916500,              1512941,                 -7654,                   -717,               -696899,               -347806,                -93107,               -303323,               -382900,                 51147,                  6306,              5417476,              5423782,              5423782,,,,,,,,,,,,,,,,,,,,,
1409,2015年01月01日至2015年06月30日,,                480702,                480702,,,                832876,                 10873,                -25764,                388724,               -769145,                 20167,                   -335,                              0,                 -9158,                -25345,                422893,,,                572417,                197082,                -91445,                 68900,                -57144,                647674,               -170093,                 17001,                543535,              1727927,,                183994,                592160,               -365371,               -402121,                 56793,                -43259,               -225289,                -38209,               -241302,              1486625,              1909518,              2390220,                877984,               -401795,               -131035,              2735374,,             -2615621,              1613015,            -12266248,             11053236,                 -3500,,             -1129548,                  1812,,                  3785,               -392231,                              0,                              0,               -375303,               -478064,               -508602,             -5098841,,                460892,                628027,               -622833,              1268654,                 -3106,,,                -81828,                -92859,               -295167,              1270585,                -23851,             -1116733,              5417476,              4300743,              4300743,                 -1572,                              0,                  8805,,,,,,,,,,,,,,,,,,
1409,2015年01月01日至2015年03月31日,,                279884,                279884,,,                415067,                  5420,                -45002,                194050,               -374332,                  9841,                    161,                              0,                 -4370,                 61531,                262366,,,                209521,                 81964,               -232447,               -521583,                -30861,                312413,               -105152,                -50853,               -129597,               -466595,,                646196,                866235,               -447433,               -490616,                 30778,                -31365,               -992491,                -41184,               -459880,               -926475,               -664109,               -384225,                347723,               -187280,                -17142,               -240924,,               -746983,                653465,             -7444386,              5697210,                 -3500,,               -549129,                              0,                -26572,                  2124,               -445826,                 -9524,                              0,              1480152,               -273014,               -225547,             -1891530,,              1830371,              1538949,             -2368167,                533905,                   -671,,,                              0,                -53641,                  7483,              1507307,                -10683,               -635830,              5417476,              4781646,              4781646,,,                 19078,                              0,                              0,                              0,,,,,,,,,,,,,,,
1409,2014年度,,              2036015,              2036015,,,              1688117,                 22423,                 23010,                751669,             -1441133,                   -827,                 44904,               -387958,                -86224,                148207,,,,               -348138,               -160045,                653122,               -291569,                -70687,               -714144,             -1189438,                 90001,             -4526879,             -6557777,,                610816,             -1211761,                  7399,                  3744,                 70748,               -430539,              6165435,                -41401,              5174441,             -1383336,               -621148,              1414867,              1440375,               -743776,               -240524,              1870942,,             -2632484,              2484585,             -4693682,              1754616,                              0,                 29395,             -1132586,                122105,,                 72542,,                    -80,              2168056,                 26266,                -65301,               -752797,             -2619709,,,,                              0,                543552,                 -9848,                -17640,               -593214,               -728447,                -33342,               -107795,               -616307,                 25268,             -1339806,              6757282,              5417476,              5417476,                   -344,              1033065,,                              0,,,,                              0,                762188,                              0,                              0,                              0,                              0,               -634781,                -67857,                              0,                              0,                              0,,,
1409,2014年01月01日至2014年09月30日,,              1834123,              1834123,,,              1227594,                 17012,                  3911,                562814,             -1068001,                 -8003,                  6024,               -387958,                -71667,                 60708,                342434,,,                287685,               -143368,                592925,               -510520,                -81690,               -986236,             -1434834,               -330976,             -3248277,             -5855291,,               -968045,               -872343,               -190118,               -213466,                 81351,                   -674,              3627326,                -44249,              1419782,             -4435509,             -4093075,             -2258952,              1063142,               -547480,               -262673,             -2005963,,             -1938964,              1915225,             -1256469,                375000,                              0,                 29395,               -733380,                    815,                   -344,                 72134,                 -8440,                    -80,              2168056,                408802,               -112892,               -491464,                427394,,                564994,              1294773,               -771038,                631289,                -11518,                 -6637,               -593214,               -728446,                -18392,                 -2452,                359359,                  4534,             -1214676,              6757282,              5542606,              5542606,,,,,,,,,,,,,,,,,,,,,
1409,2014年01月01日至2014年06月30日,,              1336648,              1336648,,,                816009,                 11313,                -33051,                371105,               -696719,                 16452,                  6367,               -387958,                -20787,                 43858,                126589,,,               -466938,                -13987,               -866303,               -558106,                -49259,               -508406,             -1244904,                128754,             -2043300,             -5622449,,                -70650,                739031,               -350228,               -390079,                 49319,               -389601,              3538647,                -40505,              3085934,             -2536515,             -2409926,             -1073278,                675337,               -366554,               -155290,               -919785,,             -1565811,              1406741,               -903818,                175000,                              0,,               -581832,                    463,,                 73502,                 36399,                    -80,              2168056,               -906207,               -254537,               -498440,               -850908,,                437925,                584665,                              0,                260145,                -12488,,,               -382822,                -18392,                -44467,              1067363,                    878,               -702452,              6757282,              6054830,              6054830,                   -344,                236975,                  5822,,,,,,,,,,,,,,,,,,
1409,2014年01月01日至2014年03月31日,,                792220,                792220,,,                425146,                  8699,                -12974,                181784,               -339008,                  4611,                    438,               -387958,                 -2154,                 57614,                -63802,,,                576980,                 71270,               -623204,               -117568,                -30758,               -233591,             -1159927,                 42948,             -1312033,             -2785883,,                 82750,                262533,               -257251,               -287666,                 30794,               -364022,              1030803,                -27331,                470610,             -2315273,             -2379075,             -1586855,                326557,               -166722,                -77536,             -1504556,,               -711062,                668829,               -301003,                 25000,                              0,,               -253749,                     17,                   -344,                 73279,                -96116,                    -80,              2168056,                              0,                              0,                -25228,              1036442,,                985906,                675224,               -945012,                              0,                -12413,,,               -333538,               -107785,                292232,                552754,                 29879,                114519,              6757282,              6871801,              6871801,,,                 14883,               -571035,                 59878,                -16743,,,,,,,,,,,,,,,
1409,2013年度,,              1973383,              1973383,,,              1716769,                 30262,                  8141,                728328,             -1332964,                 19806,                -34750,                              0,                -88832,                 85670,,,,               -288605,                108069,               -728997,               -610140,                -19396,                786189,                -23267,               -133320,             -2191266,             -3100733,,              1519800,              1022008,                101959,                117582,                 19413,                310214,              6755853,                -61060,              9785769,              6685036,              7817386,              9790769,              1352942,               -726551,               -329891,             10087269,,             -1537009,              2091422,               -954059,                700000,               -103010,                 17555,             -1322454,                100486,,                              0,,                              0,                              0,                              0,             -1043318,                              0,             -8022620,,,,               -482052,                293022,                              0,                -43830,               -552960,                              0,                -76985,                631829,                474404,                  2203,              2541256,              4216026,              6757282,              6757282,                 -2207,                              0,,             -5975491,,,,                    -80,              1132350,                -67035,                 -3180,                  4036,                 71644,               -856507,               -297832,                997850,                  2989,                858880,,,
1409,2013年01月01日至2013年12月31日,,              1973383,              1973383,,,              1716769,                 30262,                  8141,                728328,             -1332964,                 19806,                -34830,,                -88832,                 85670,,,,               -288605,                108069,               -728997,               -610140,                -19396,                786189,                -23267,               -133320,             -2191266,             -3100733,,              1519800,              1022008,                101959,                117582,                 19413,                310214,              6755853,                -61060,              9785769,              6685036,              7817386,              9790769,              1352942,               -726551,               -329891,             10087269,,             -1537009,              2091422,               -954059,                700000,               -103010,                 17555,             -1322454,                100486,                              0,                -67035,,,,,             -1043318,,             -8022620,,                              0,                              0,               -482052,                293022,                              0,                -43830,               -552960,                              0,                -76985,                631829,                474404,                  2203,              2541256,              4216026,              6757282,              6757282,                 -2207,,,             -5975491,,                              0,,,              1132350,,                 -3180,                  4036,                 71644,               -856507,               -297832,                997850,                  2989,                858880,,,
1409,2013年01月01日至2013年09月30日,,              1731606,              1731606,,,              1265849,                 31338,                -21569,                566096,               -942599,                 -1168,                -33296,                              0,                -60259,                -39392,,,,                373909,               -380363,                -17840,               -364754,                 31582,                 44484,               -240654,               -456503,             -1034293,             -2077097,,              1856040,                -30182,                -37134,                -38314,                -31450,                394232,              1959825,                -31272,              4041745,              1964648,              2729648,              4461254,                942626,               -553236,               -334226,              4516418,,               -942417,              1239514,               -722396,                650000,,                 17555,               -730757,                 87331,,                  1381,                              0,                              0,                              0,                              0,                -64445,                              0,             -4826815,,                              0,                772213,                              0,                112607,                              0,                              0,                              0,                              0,                 -4965,                535390,              2456895,                 36367,              2182865,              4216026,              6398891,              6398891,                 -2207,                269295,,             -3538111,,,,,                765000,             -1000000,,,                163035,               -230060,,                997850,                  4565,,                -32665,                 14702,
