證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 非控制權益變動,　　　　 非金融資產減損損失,　　　　 金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　 應付短期票券減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 應付短期票券增加
2535,2015年01月01日至2015年09月30日,,                337887,                337887,,,                  7734,                  2121,                 21540,                 61732,                -10968,                 -5769,                 11965,                    270,                 -6160,                              0,                 18535,                101000,,,                101622,               -685795,                300021,                 -5299,                -57191,                -37241,                 14988,               -368895,,                 10863,                 74577,                -64167,                -56770,                 10872,                 16222,                -36732,                -10020,                -39516,                -94671,               -463566,               -362566,                -24679,                  5740,                -63604,                -68605,               -151148,,               -458070,                524100,               -140000,                              0,                 35581,                 -4000,                -15515,                   -939,                  1328,                 -1946,                 -4034,                              0,                  5769,                -57726,,               -254954,                              0,                 93110,                -41170,                100000,               -308992,               -412006,                  6724,               -614156,              1982664,              1368508,              1368508,,,,,,,,,,,,,,,,
2535,2015年01月01日至2015年06月30日,,                199375,                199375,,,                  5095,                  1489,                  7620,                 40952,                 -7251,,                  6631,                    214,                 -6215,,                 12289,                 60824,,,                 78386,               -153382,                 78613,                  4998,                 82975,                -29967,                 20470,                 82093,,                 24147,               -195636,                 93134,                -68241,                 13176,                 20584,                -42616,                    372,                -38993,               -194073,               -111980,                -51156,                148219,                  4182,                -41545,                -45560,                 65296,,               -158070,                214155,               -140000,                              0,                 35581,,                -15218,                   -790,                     50,                 -1210,                 -4034,,,                -69536,,               -609364,                              0,                 59440,                 -5000,,,               -554924,                 -4122,               -563286,              1982664,              1419378,              1419378,,,,,,,,,,,,,,,,
2535,2015年01月01日至2015年03月31日,,                105914,                105914,,,                  2472,                    761,                    900,                 20436,                 -3423,,                  4524,                    198,                 -6237,,                  6111,                 25742,,,                 -8392,                -54927,                 95875,                   -972,                153677,                 81041,                 29716,                296018,,                  7495,               -293108,                174982,                -97834,                   -391,                  4191,                -31108,                    691,                  5675,               -229407,                 66611,                 92353,                198267,                  3138,                -22647,                 -1113,                177645,,               -140000,                114070,,                              0,                 35687,,                -14017,                    -20,                     45,                 -1222,                              0,,,                 -5457,,,                              0,                 23400,                 -2500,,,               -498743,                  5469,               -321086,              1982664,              1661578,              1661578,               -519643,,,,,,,,,,,,,,,
2535,2014年度,,                578084,                578084,,,                  8496,                  2726,                 16800,                 63527,                -25299,                 -5392,                  5713,                    334,                -34295,                   -750,                 24781,,,,               -122863,                 29990,                222422,                -23087,             -2788047,                 10825,               -127296,             -2798056,,                -28866,                 69557,               -179143,                -27665,                 -4911,               -506088,                  1005,,                 41896,               -626696,             -3424752,             -3368111,             -2790027,                 25963,                -61397,                -61367,             -2886828,,               -462131,                461971,,                 -5000,                 38887,                              0,                 -4405,                 -2734,                  4068,                 -3946,                -27975,                -15896,                  5392,                -11768,,                -69635,              1195000,              1959000,               -509167,,               -514988,              2010759,                 15053,               -872784,              2855448,              1982664,              1982664,,,                              0,                 56641,                              0,                  7519,                      1,                -49451,,,,,,,,
2535,2014年01月01日至2014年09月30日,,                484243,                484243,,,                  6324,                  1984,                 12600,                 42006,                -20723,                 -5392,                 14439,                    137,                -31160,                   -750,                 18535,                 38000,,,               -161955,                -53098,                 55607,                 -8308,             -2353735,                -12595,               -149598,             -2683682,,                  5211,               -397998,                -74381,               -101081,                 -3602,               -512929,                -10663,                -11155,                 20394,             -1086204,             -3769886,             -3731886,             -3247643,                 20471,                -40150,                -60653,             -3327975,,                -60432,                221686,                              0,                 -5000,                              0,                              0,                 -2870,                 -2548,                  4084,                 -3543,                -21923,                -15278,                  5392,                119568,,               -304768,              1195000,              1489000,               -206667,                              0,               -514988,              1657577,                  7502,             -1543328,              2855448,              1312120,              1312120,,,,,,,,,,,,,,,,
2535,2014年01月01日至2014年06月30日,,                439444,                439444,,,                  4200,                  1259,                   -420,                 24966,                -17217,,                  5262,                     88,                -30483,,                 12289,                    -56,,,                 -1621,                 34818,                206618,                 -2435,               -597553,                    487,               -209315,               -569001,,                -13789,               -485675,               -291876,                -76578,                 -4382,               -528993,                -22195,                 -1196,                 23912,             -1400772,             -1969773,             -1969829,             -1530385,                 17269,                -25151,                -30478,             -1568745,,                -54432,                150009,                              0,                 -5000,                              0,,                 -1565,                 -1758,                  2458,                 -3130,                -15872,,,                 70710,,                 10000,              1195000,                480000,               -204167,,,              1480833,                  2396,                -14806,              2855448,              2840642,              2840642,,,,,,,,,,,,,,,,
2535,2014年01月01日至2014年03月31日,,                121300,                121300,,,                  2085,                    541,                 -3180,                 10139,                -12037,,                    977,                     64,                              0,,                  6111,                  4700,,,                -29935,                 43228,                 37477,                 -5158,                -42722,                 18302,               -184275,               -163083,,                 58764,                -71870,               -253730,               -111529,                 -3235,                 19956,                    481,                   -655,                 -8980,               -370798,               -533881,               -529181,               -407881,                 12388,                -10666,                 -1206,               -407365,,                -54432,                              0,,                 -5000,                              0,,                   -596,                   -921,                  1772,                 -1035,                 -9531,,,                -69743,,,              1195000,                 30000,                 -1667,,,                143333,                  2793,               -330982,              2855448,              2524466,              2524466,             -1080000,,,,,,,,,,,,,,,
2535,2013年度,,              1016714,              1016714,,,                  7616,                  1804,                    -40,                 35659,                -10245,                 -7470,                  8379,                    625,                -12470,                 -1591,                 53637,,,,                -66125,                660246,               -832310,               -162810,              1396242,               -100341,                541489,              1482843,,               -304576,                350140,                507359,                 28655,                 -7055,               -997585,                 12353,,               -482747,               -902309,                580534,                641438,              1658152,                  8063,                -36017,                -79170,              1551028,,               -102000,                  6004,,                -60081,                 38938,                 -1091,                 -7060,                 -2001,                  2155,                 -1821,                -41315,                              0,                  7470,               -160746,,              1165000,                              0,                698375,               -711999,,               -432589,                739430,                  6382,              2136094,                719354,              2855448,              2855448,,,                -15000,                 60904,                 46452,                 -8853,                     56,                 20643,,,,,,,,
2535,2013年01月01日至2013年12月31日,,              1016714,              1016714,,,                  7616,                  1804,                    -40,                 35659,                -10245,                 -7470,                  8379,                    625,                -12470,                 -1591,                 53637,,,,                -66125,                660246,               -832310,               -162810,              1396242,               -100341,                541489,              1482843,,               -304576,                350140,,                 28655,                 -7055,               -997585,                 12353,,               -482747,               -902309,                580534,                641438,              1658152,                  8063,                -36017,                -79170,              1551028,,               -102000,                  6004,,                -60081,                 38938,                 -1091,                 -7060,                 -2001,                  2155,                 -1821,                -41315,,                  7470,               -160746,,              1165000,,                698375,               -711999,                              0,               -432589,                739430,                  6382,              2136094,                719354,              2855448,              2855448,,,                -15000,                 60904,                 46452,                 -8853,                     56,                 20643,,                              0,                507359,                              0,,,,
2535,2013年01月01日至2013年09月30日,,                887568,                887568,,,                  5592,                  1346,                    -40,                 22699,                 -3932,                 -7470,                  6077,                    448,                -12470,                 -1591,                 47390,,,,                -45077,                337818,               -843445,               -101159,              1368006,               -173326,                555530,              1144799,,               -306570,                245187,                634213,                -74636,                 -5179,               -924951,                  3028,,               -504084,               -942562,                202237,                260286,              1147854,                  3534,                -23241,                -70485,              1057662,,               -102000,                  6004,,                -51293,                 38938,                 -1087,                 -5019,                 -1910,                  2011,                   -912,                -34961,                              0,                  7470,               -142704,,                935000,                              0,                391439,               -552000,,               -432589,                341850,                  5322,              1262130,                719354,              1981484,              1981484,,,,                 58049,                 46452,                 -9570,                     55,,,,,,,,,
