證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付短期票券增加,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　　 非金融資產減損損失,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他流動資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 其他非流動負債減少,　　　　 呆帳費用提列（轉列收入）數,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1308,2015年01月01日至2015年09月30日,,                478459,                478459,,,                 70361,                  1020,                 19500,                  1711,                 -7885,                -81154,                -18989,                 -6511,                   -880,                 -6296,                -29123,,,                379918,                   -488,               -132482,                  7693,                 25564,                 22387,                 37598,                 24507,                364697,,                -55127,                  8515,                -64062,                -52966,                              0,                 15019,                 -3188,               -151809,                212888,                183765,                662224,                  8296,                 -1093,                -99801,                569626,,                              0,                 -2756,                              0,                              0,                  1349,                              0,                  4467,             -1474134,                  6851,                    792,                 -1745,                 93382,             -1371794,,                349924,                  3304,               -137858,                215370,                  7256,               -579542,                914090,                334548,                334548,,,,,,,,,,,,,,,,
1308,2015年01月01日至2015年06月30日,,                362256,                362256,,,                 47216,                    574,                -21227,                    398,                 -7315,                -38985,                -26329,,                 -1915,                     29,                -47554,,,                248940,                 -1104,               -102375,                 34360,                 26590,                 28045,                  1805,                 12932,                249193,,                102719,                  9453,               -100412,                -29068,                              0,                 45647,                 -2540,                 25799,                274992,                227438,                589694,                  7466,                   -375,                -58269,                538516,,,                -18518,                              0,                              0,                              0,                              0,,             -1323268,,,                 -2863,,             -1343857,,                499862,                  3151,,                503013,                 -4417,               -306745,                914090,                607345,                607345,                    792,,,,,,,,,,,,,,,
1308,2015年01月01日至2015年03月31日,,                141255,                141255,,,                 23591,                    207,                -12904,                     61,                 -1615,,                 -7014,,,                   -593,                  2190,,,                 -2229,                    -78,                -32139,                -25363,                 26610,                 29227,                144852,                 13305,                154185,,                -31538,                  8163,               -104147,                -50643,,                  2640,                 -2355,               -177880,                -23695,                -21505,                119750,                  1778,                    -49,                   -433,                121046,,,                -32799,                              0,,,,,               -492693,,                    381,,,               -525111,,,                    -12,                              0,                    -12,                 -1905,               -405982,                914090,                508108,                508108,                              0,                    457,,,,,,,,,,,,,,
1308,2014年度,,                583913,                583913,,,                 89935,                    831,                 12648,                    101,                -16162,                -85645,                -10664,                     59,                  3471,                   -648,,,,              1158191,                    122,                101975,                 84305,                -26011,                -26219,               -271914,                -37056,                981093,,                -89104,                  2361,                 73341,                 64179,                              0,                  3117,,                 50111,              1031204,              1014860,              1598773,                 16253,                    -56,                -65393,              1549577,,               -118611,,,               -200000,                  6899,,                  7500,             -1151759,,,                              0,                123065,             -1344307,,,                    567,               -467884,               -467317,                  9027,               -253020,              1167110,                914090,                914090,                   -156,,,                -13276,                  3006,                -16344,                 -2300,                 -3783,                  4062,                              0,                 49895,                -65202,                              0,                              0,,
1308,2014年01月01日至2014年09月30日,,                484086,                484086,,,                 66817,                    623,                 14066,                     34,                -12821,                -85645,                -18161,                     59,                  1136,                 -2016,                -35908,,,                634979,                   -283,                -37573,                 36855,                   -170,                -40719,                -65570,                -15460,                512059,,                -47482,                 25794,                 77695,                 67400,                  1399,                  3935,                 -3460,                125281,                637340,                601432,              1085518,                 12978,                              0,                -64835,              1033661,,                -55936,                              0,                 49895,               -200000,                  6899,                -65202,                  7500,               -749626,                              0,                    660,                              0,                123066,               -882744,,                              0,                     38,               -463197,               -463159,                  2942,               -309300,              1167110,                857810,                857810,,,,,,,,,,,,,,,,
1308,2014年01月01日至2014年06月30日,,                314150,                314150,,,                 44503,                    416,                 19894,                     23,                -10055,                -54125,                 -9403,,                  1078,                    290,                 -7379,,,                293465,                    312,                 20354,                -62637,                   -688,                 -2184,                -28524,                  5377,                225475,,                -59433,                 18531,               -176709,                202172,                    678,                 -3161,                 -2611,                -20533,                204942,                197563,                511713,                 10125,                              0,                -34745,                487093,,,                              0,                 49895,               -200000,                  1499,                -65202,,               -523162,,,                              0,,               -737697,,                              0,                      2,,                      2,                    237,               -250365,              1167110,                916745,                916745,                   -727,,,,,,,,,,,,,,,
1308,2014年01月01日至2014年03月31日,,                127286,                127286,,,                 22107,                    208,                 13646,                     12,                 -3291,,                 -9420,,,                 -1558,                 24300,,,               -134948,                   -567,                 -5788,                 41161,                     29,                -40984,               -152108,                 -7369,               -300574,,                -95520,                 -1063,                 57039,                153278,,                  9900,                 -2296,                121338,               -179236,               -154936,                -27650,                  3226,                              0,                   -540,                -24964,,,                              0,                 49895,,,,,               -136925,,                              0,,,                -87076,,,                     42,                              0,                     42,                  3121,               -108877,              1167110,              1058233,              1058233,                    -46,                  2596,,,,,,,,,,,,,,
1308,2013年度,,                605957,                605957,,,                 95935,                              0,               -120451,                    238,                -17595,               -136490,                -66550,                      6,                -26030,                 -2986,,,,               -170166,                    796,                -68147,               -155448,                  1514,                 38451,                453242,                 19809,                120051,,                201025,                  1377,                 14963,               -266178,                              0,                  1023,,                -49380,                 70671,               -123675,                482282,                 17569,                   -193,                -71448,                428210,,                -13082,,,                              0,                 12186,,                              0,               -256616,,,                   -370,                157035,               -105154,,,                              0,               -467791,               -467980,                  2439,               -142485,              1309595,              1167110,              1167110,                   -678,,,                 57322,                 22255,               -194346,                              0,                 -1590,                  3013,                -26395,                              0,                              0,                 19753,                   -189,,
1308,2013年01月01日至2013年12月31日,,                605957,                605957,,,                 95935,,               -120451,                    238,                -17595,               -136490,                -66550,                      6,                -26030,                 -2986,,,,               -170166,                    796,                -68147,               -155448,                  1514,                 38451,                453242,                 19809,                120051,,                201025,                  1377,                  2895,               -266178,                              0,                  1023,,                -61448,                 58603,               -135743,                470214,                 17569,                   -193,                -71448,                416142,,                -13082,,,                              0,                 12186,,,               -244548,,,                   -370,                157035,                -93086,,,                              0,               -467791,               -467980,                  2439,               -142485,              1309595,              1167110,              1167110,                   -678,,,                 57322,                 22255,               -194346,                              0,                 -1590,                  3013,                -26395,                              0,,                 19753,                   -189,                              0,
1308,2013年01月01日至2013年09月30日,,                458507,                458507,,,                 72295,                              0,                -65091,                    124,                -13851,               -136596,                -52464,                      1,                -22416,                  1268,,,,                -52367,                   -422,               -120693,               -123947,                     39,                     69,                295918,                 12373,                 10970,,                147122,                  1102,                 35395,               -211944,                  2587,                 -1695,,                -29870,                -18900,               -223569,                234938,                 13734,                    -91,                -68771,                179810,,                              0,,,                              0,                 12186,                              0,                              0,               -193786,,                              0,                   -370,                156564,                 20860,,,                   -239,               -467791,               -468030,                  2261,               -265099,              1309595,              1044496,              1044496,,,,                 12061,,               -204669,                              0,                 -2437,                  3013,,                 23500,,                 19753,,,
