證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他金融資產減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 庫藏股票買回成本,　　　　　 其他流動負債增加（減少）,　　 存出保證金減少,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　 其他投資活動,　　 停業單位稅前淨利（淨損）
3229,2015年01月01日至2015年09月30日,,                -25706,                -25706,,,                 24734,                    175,                    698,                 -1612,                  2407,                 -1454,                   -903,                 -3773,                   -945,                 19327,,,                  8717,                  9447,               -102989,                              0,                   -639,                              0,                    674,                -17316,                  5090,                 -1545,                -98561,,                     53,                -23825,                              0,                  2549,                -33127,                              0,                    464,                -53886,               -152447,               -133120,               -158826,                  1921,                  3820,                 -2407,                 -1641,               -157133,,                  1526,                              0,                -53907,                  1015,                 46440,                              0,                 21768,                 16842,,                              0,                -39911,                -39911,                 25653,               -154549,                550283,                395734,                395734,,,,,,,,,,,,,,,,,
3229,2015年01月01日至2015年06月30日,,                 -6148,                 -6148,,,                 15200,                    116,                    251,                 -1927,                  1419,                 -1189,                   -225,                 -2745,                 -1205,                  9695,,,                  8717,                 23025,                -83042,,                    471,                              0,                  1210,                -16959,,                 17969,                -48609,,                    179,                -17589,                              0,                 -3634,                -30669,                              0,                  4987,                -46726,                -95335,                -85640,                -91788,                  1655,                    225,                 -1419,                 -1641,                -92968,,                  1526,                              0,                -39294,                              0,                              0,,,                 74011,,                -51092,,                -51092,                 -3768,                -73817,                550283,                476466,                476466,                 41937,                 69842,                              0,,,,,,,,,,,,,,
3229,2015年01月01日至2015年03月31日,,                 -3696,                 -3696,,,                  7172,                     58,                    150,                 -1687,                    663,                   -561,                   -225,                   -830,                     16,                  4756,,,                  8717,                  3170,                -21396,,                   -311,                              0,                   -416,                -67867,                   -515,                  2018,                -76600,,                    -50,                 -1739,                    -85,                 -7555,                  5539,                              0,                    794,                 -3096,                -79696,                -74940,                -78636,                    532,                    225,                   -663,                              0,                -78542,,,,                -11492,                      5,,,,                145515,,                -49645,,                -49645,                    868,                 18196,                550283,                568479,                568479,,                157002,,,,,,,,,,,,,,,
3229,2014年度,,                 58578,                 58578,,,                 29119,                    228,                   -351,                   -579,                  3448,                 -3813,                   -136,                 -6510,                    283,,,,                    877,                    332,                 44790,,                   -170,                    280,                 -2082,,,                -41194,                  2833,,                -29049,                 -2371,,                  4594,                 -7168,,                 -9860,                -44840,                -42007,                -20318,                 38260,                  3426,                  5299,                 -3448,                -10022,                 33515,,,                  1062,                -12213,                  3100,               -205783,,,               -217757,,,                148329,                148329,                  2359,                -33554,                583837,                550283,                550283,                 -3923,,,,                 21689,                   -986,                              0,                              0,                              0,                              0,,,,,,,
3229,2014年01月01日至2014年09月30日,,                 38201,                 38201,,,                 22034,                              0,                   -419,                  1548,                  2315,                 -2711,                   -136,                 -5340,                    283,                 17574,,,                -15638,                  2442,                 80085,                 -9051,                   -108,                -63996,                  3033,                              0,                -36199,                              0,                -39432,,                   -346,                   -833,                -27760,                  7849,                   -329,                 -3306,                  1407,                -23318,                -62750,                -45176,                 -6975,                  2642,                  2260,                 -2068,                 -9959,                -14100,,                              0,                  1062,                -12784,                  3099,               -138523,                -87400,                              0,               -234546,,                163194,                              0,                163194,                  4601,                -80851,                583837,                502986,                502986,,,,,,,,,,,,,,,,,
3229,2014年01月01日至2014年06月30日,,                 25392,                 25392,,,                 14827,                    113,                    356,                    -39,                  2297,                 -2643,                              0,                 -3399,                    283,                 11795,,,                 -2015,                  2478,                 72405,,                    -37,                    280,                 -4725,                              0,,                -10966,                 57420,,                   -355,                  4111,                -27861,                  2520,                  2124,                 -3306,                   -854,                -23621,                 33799,                 45594,                 70986,                  2155,                              0,                 -2118,                 -4806,                 66217,,                              0,                  1062,                 -7450,                  3100,               -133280,,,               -139044,,                 44990,,                 44990,                  2209,                -25628,                583837,                558209,                558209,                 -2476,                              0,                              0,,,,,,,,,,,,,,
3229,2014年01月01日至2014年03月31日,,                 20131,                 20131,,,                  7516,                     58,                    294,                     90,                    491,                   -559,                              0,                 -1002,                     92,                  6980,,,                    144,                  3235,                -75783,,                    170,                    280,                  1948,                              0,                              0,                 -2567,                -72573,,                   -566,                 -6553,                -23147,                    337,                 -2426,                   -702,                   -719,                -33776,               -106349,                -99369,                -79238,                    436,                              0,                   -413,                     -8,                -79223,,,,                 -4924,                  1350,,,,                 -3524,,                 47833,,                 47833,                  4885,                -30029,                583837,                553808,                553808,,                     50,,,,,,,,,,,,,,,
3229,2013年度,,                 64095,                 64095,,,                 29653,                    224,                    142,                  1206,                  1099,                 -1567,                 -1267,                 -5628,                  9114,,,,                 16026,                 -1510,                -74679,,                 -1793,                   -280,                 10279,,,                 14119,                -37838,,                   -185,                 33923,,                 11544,                  1825,,                 -6143,                 38194,                    356,                 33332,                 97427,                  1471,                  3608,                 -1153,                -10833,                 90520,,,                              0,                -47833,                 65427,                              0,,,                 16444,,,                -12072,                335667,                 -2236,                440395,                143442,                583837,                583837,                 -1150,,,,                 32976,                 -2770,                              0,                309372,                 38367,                              0,,,,,,,
3229,2013年01月01日至2013年12月31日,,                 64095,                 64095,,,                 29877,,                    142,                  1206,,,,                 -5628,                  9114,,,,                 16026,                 -1510,                -74679,                   -280,                 -1793,,                   -785,,,                 12552,                -50469,,                   -185,                 33923,,                 12643,                  1825,,                 -6143,                 39293,                -11176,                 34599,                 98694,                  1471,                  2341,                 -1153,                -10833,                 90520,,,,                -47833,                 65427,,,,                 16444,,,                -12072,                335667,                 -2236,                440395,                143442,                583837,                583837,                 -1150,,,,                 45775,                 -2770,                              0,                309372,                 38367,                              0,,,                              0,                 11064,,,
3229,2013年01月01日至2013年09月30日,,                 35280,                 35280,,,                 22890,,                   -286,                  1262,                    876,                 -1015,                 -1267,                 -4639,                  5519,,,,                 15702,                 -2257,                  7768,                              0,                   -305,                              0,                 11279,,                  5017,,                 37204,,                   -702,                 -3089,                              0,                  7939,                 -1708,,,                 -4589,                 32615,                 55955,                 91235,                    957,                  2700,                   -983,                -10805,                 83104,,,                              0,                -33107,                 62425,                              0,                              0,,                 29318,,                              0,                -66050,                281341,                 -1598,                392165,                143442,                535607,                535607,                              0,,,,                 23340,                 -2323,,                309372,                 38019,,                 -4706,,,,,,
