證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他預付款項增加,　　 應付短期票券增加,　　 應付短期票券減少,　　　　　 持有供交易之金融資產（增加）減少
6605,2015年01月01日至2015年09月30日,,              1479131,              1479131,,,              1577687,                 14799,                              0,                -54303,                126178,                 -7130,                 -3138,                 30490,                              0,                -35139,                  3974,              1653418,,,                  8021,                 54760,                  5180,               -730293,                -65502,                 19009,               -708825,,                 57516,                189587,                -60290,                    598,                187411,               -521414,              1132004,              2611135,                  7130,               -120356,               -450497,              2047412,,               -241922,                271453,               -473616,                 20307,                 -3539,                  3448,                 -6756,                -46291,                127698,             -1965747,                              0,             -2314965,,              9751725,             -9859220,              1598718,               -737888,                 16084,                -10655,               -746174,                 98940,                111530,                102644,                -53379,              2529063,              2475684,              2475684,,,,,,,,,,,
6605,2015年01月01日至2015年06月30日,,                757750,                757750,,,              1032693,                  9574,                              0,                  4550,                 80045,                 -6647,                 -3166,                 23811,                              0,                  2936,                  2646,              1146442,,,                 21059,                -44390,                 12389,               -244269,                 -8139,,               -263350,,                -19424,                 67084,               -136394,                 -6506,                -95240,               -358590,                787852,              1545602,                  6647,                -79441,               -262494,              1210314,,               -157709,                270610,               -343152,                 19301,                     -3,                  3246,                 -2566,                -40242,                114467,             -1372452,                              0,             -1508500,,              6186356,             -6048316,                602664,               -699858,                 15584,                 -5561,,,                 50869,                -27935,               -275252,              2529063,              2253811,              2253811,                              0,,,,,,,,,,
6605,2014年度,,              2089633,              2089633,,,              2032979,                 21046,                 -6009,,                138747,                -12405,                -11438,                 15365,,                -52202,                  4882,,,,                114695,                  7823,                 11723,               -126388,                -67900,                    832,                -59215,,                  3648,                124192,                113975,                 36486,                -24755,                -83970,              2047017,              4136650,                 12405,               -133222,               -427621,              3588212,,,,               -702419,                 87447,               -107948,                109680,                 -2251,                -97529,                 36772,             -2673486,                 24613,             -3435731,,              9049510,             -9753492,              3504325,             -1764833,                 10524,                -10096,               -663266,,                172851,                 72399,                397731,              2131332,              2529063,              2529063,,,                     22,              2130987,               -303056,               -514296,                403686,                              0,                              0,               -199821,
6605,2014年01月01日至2014年09月30日,,              1486770,              1486770,,,              1532456,                 15865,                  3511,                              0,                 97196,                 -8652,                -15022,                              0,                   -900,                -13573,                  3826,              1614707,,,                 95964,                -44781,                 14123,                -30603,                -90801,                              0,                -56098,,                -28847,                 65341,                -41937,                -16719,                -22162,                -78260,              1536447,              3023217,                  8652,                -98799,               -417899,              2515171,,               -201264,                259002,               -464839,                 93310,               -100250,                103109,                   -954,                -31490,                 25650,             -2113120,                 24613,             -2406233,,              6428001,             -5474021,                319410,               -985438,                  9102,                 -8132,               -663266,                              0,               -374344,                 31558,               -233848,              2131332,              1897484,              1897484,,,,,,,,,,,
6605,2014年01月01日至2014年06月30日,,              1000627,              1000627,,,              1049393,                 10231,                  3511,                              0,                 66571,                 -5517,                -10313,                              0,                 -8600,                 11923,                  2479,              1119678,,,                103309,               -199846,                  2175,                  9686,                -70273,,               -154949,,                -40099,                167591,                -57109,                -19459,                 50924,               -104025,              1015653,              2016280,                  5517,                -67052,               -260846,              1693899,,               -157607,                136332,               -344312,                 88826,               -100250,                101612,                   -435,                 -9836,                 25728,             -1461031,                 24613,             -1714057,,              3580163,             -3158774,                211311,               -879188,                  3318,                 -8033,,,               -251203,                  8782,               -262579,              2131332,              1868753,              1868753,                -17697,,,,,,,,,,
6605,2014年01月01日至2014年03月31日,,                538021,                538021,,,                544615,                  5283,                  3511,,                 34676,                 -2916,                 -4126,,                 -5148,                -26895,                  1208,,,,                 96153,               -104503,                 36498,                 -3371,                -36796,                              0,                -12019,,               -162346,                139291,                -70104,                -16604,               -109763,               -121782,                428426,                966447,                  2916,                -35136,                 -9971,                924256,,,,               -251207,                 59624,               -100250,                101618,                   -127,                -15361,                 25573,               -938791,                 24613,             -1093825,,              1881624,             -1695200,                              0,               -166250,                              0,                 -3995,,,                 16179,                 61283,                -92107,              2131332,              2039225,              2039225,                -17697,,,                550208,,               -109083,                127263,,,,
6605,2013年度,,              1676719,              1676719,,,              2044273,                 21977,                  8800,,                111383,                -12337,                    895,                178458,,                -39287,                  4867,,,,                -12314,               -363828,                -20128,               -611393,               -100295,                   -268,             -1108226,,                143440,               -131923,                301213,                104987,                120829,               -987397,              1331632,              3008351,                 12337,               -106896,               -223439,              2690353,,,,             -1925667,                115818,                 -1913,                  2962,                 -7782,                -25573,                  5960,             -1863525,                              0,             -3741149,,              5117075,             -4061556,              1440000,               -603750,                 26988,                 -8747,               -497449,,              1512887,                 66203,                528294,              1603038,              2131332,              2131332,,,                              0,              2319029,               -296888,               -425955,                385749,                 -1223,                200830,               -100504,
6605,2013年01月01日至2013年12月31日,,              1676719,              1676719,,,              2044273,                 21977,                  8800,                              0,                111383,                -12337,                    895,                178458,,                -39287,                  4867,,,,                -12314,               -363828,                -20128,               -611393,               -100295,                   -268,             -1108226,,                143440,               -131923,                301213,                104987,                120829,               -987397,              1331632,              3008351,                 12337,               -106896,               -223439,              2690353,,,,             -1925667,                115818,                 -1913,                  2962,                 -7782,                -25573,                  5960,             -1863525,,             -3741149,,              5117075,             -4061556,              1440000,               -603750,                 26988,                 -8747,               -497449,                              0,              1512887,                 66203,                528294,              1603038,              2131332,              2131332,,,,              2319029,               -296888,               -425955,                385749,                 -1223,                200830,               -100504,                              0
6605,2013年01月01日至2013年09月30日,,              1219621,              1219621,,,              1520303,                 16380,                  8800,,                 82403,                 -9905,                 -2585,                127098,                              0,                -31212,                  3775,,,,                -59772,               -105642,                 -6567,               -499069,                -39679,                    519,               -710210,,                116088,                -60481,                 50059,                 20145,                125811,               -584399,              1130658,              2350279,                  9905,                -82751,               -245766,              2031667,,,,             -1467472,                100796,                 -1916,                  3908,                 -5703,                 -8633,                  5960,             -1154005,                              0,             -2666818,,              3752456,             -2773513,              1040000,               -514235,                 21248,                 -4767,               -497449,,                924245,                 45161,                334255,              1603038,              1937293,              1937293,,,,              1715057,,               -414752,                274999,,,                -99495,
6605,2013年01月01日至2013年06月30日,,                945165,                945165,,,              1005836,                 10511,                  8800,,                 54525,                 -6839,                 -1749,                 16456,                              0,                -20939,                    661,,,,                 -1899,               -293163,                 19769,               -495405,                -16747,                    347,               -787098,,                 92261,                 67477,                 84206,                 43353,                287297,               -499801,                567461,              1512626,                  6839,                -54554,               -132783,              1332128,,,,             -1129754,                 78447,                 -1912,                  2608,                 -4415,                 -8715,                  5960,               -931608,                              0,             -2152123,,              1833168,             -1738412,              1040000,               -311156,                  7463,                 -4736,,,                726832,                112837,                 19674,              1603038,              1622712,              1622712,                              0,,,              1067262,,               -269667,                106933,,,                -99495,
6605,2013年01月01日至2013年03月31日,,                481627,                481627,,,                499674,                  5045,                              0,,                 26517,                 -3825,                    812,,                              0,                 -5002,                    683,,,,                 95887,                 45794,                 23428,               -282953,                -25959,                    174,               -143629,,                 -2059,                 75482,                -36521,                 26403,                 63305,                -80324,                443580,                925207,                  3825,                -26911,                -20846,                881275,,,,               -791740,                 10306,                     -3,                  2573,                              0,                              0,                  5960,               -516712,                              0,             -1449715,,              1044689,             -1124374,              1040000,               -224328,                  7459,                 -3560,,,                739886,                 40684,                212130,              1603038,              1815168,              1815168,                              0,,,                523904,,               -160099,                              0,,,,
