證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發行公司債,　　 取得備供出售金融資產,　　 舉借長期借款
2707,2015年01月01日至2015年09月30日,,                980610,                980610,,,                275535,                 10304,                    590,                 29810,                 -8878,                   -311,                  8624,                 -4589,                  5743,                316828,,,                 18523,                 18356,                 99626,                 -8919,                  3780,                 11736,                 -6627,                136475,,                  4229,                -86907,                -32863,                -88984,                  2068,                 -2103,               -204560,                -68085,                248743,              1229353,                  8871,                -13129,               -236239,                988856,,                 25153,               -305631,                    326,                 -3153,                  1279,                              0,                 32324,               -249702,,                336000,                 33000,                -42858,                  5446,                 -5544,             -1111821,               -785777,                 19304,                -27319,                730177,                702858,                702858,,,,,,,
2707,2015年01月01日至2015年06月30日,,                715553,                715553,,,                180812,                  6867,                  5883,                 19301,                 -6084,                   -303,                  6392,                 -4589,                  3829,                212108,,,               -559279,                 13967,                 87972,                -11531,                  8130,                 11735,                 -2728,               -451734,,                -21906,,                -65256,                -89426,                 -3713,                   -979,               -181280,               -633014,               -420906,                294647,                  6077,                 -8194,               -115236,                177294,,                 25153,               -239350,                    318,                 -1959,                    668,                              0,                -29079,               -244249,,                              0,                 -4500,                -28572,                  2589,                 -3089,                              0,                -33572,                -14458,               -114985,                730177,                615192,                615192,,,,,,,
2707,2015年01月01日至2015年03月31日,,                363601,                363601,,,                 87833,                  3437,                   -837,                  9661,                 -2692,                   -258,                  2734,                 -4594,                  1915,                 97199,,,               -183489,                 -9079,                  2859,                -17061,                  2794,                 -4549,                 -2010,               -210535,,                 10082,,               -159572,                -47024,                 -3713,                   -311,               -200538,               -411073,               -313874,                 49727,                  2704,                 -4109,                     -6,                 48316,,                 25153,               -163099,                    264,                    -30,                    390,                              0,                -49193,               -186515,,                 -2000,                  2500,                -14286,                    120,                   -200,,                -13866,                 32315,               -119750,                730177,                610427,                610427,,,,,,,
2707,2014年度,,              1372721,              1372721,,,                308191,                 14026,                 -8495,                 41337,                -12739,                 -1513,                 22342,,                  7660,,,,                235259,                 23382,                -90604,                 -4379,                -27713,                -11375,                 -9624,                114946,,                 25844,,                -75563,                 78188,,                  3449,                 31298,                146244,                517053,              1889774,                 12729,                -19424,               -250236,              1632843,,,               -902543,                  3043,                 -1480,                    203,                   -296,                 59083,               -841990,,                -39500,                 21000,                -57143,                  6847,                -17108,               -879049,               -964953,                 17951,               -156149,                886326,                730177,                730177,,                              0,                370809,                   -620,                              0,,
2707,2014年01月01日至2014年09月30日,,                928933,                928933,,,                224994,                 10577,                 -5188,                 29910,                 -9817,                 -1332,                 12186,                              0,                  5745,                267075,,,                301164,                 38940,                  6433,                   -646,                -40692,                    179,                 -8218,                297160,,                  6286,                  9518,               -164837,                -26237,                 -3710,                  4584,               -174396,                122764,                389839,              1318772,                  9803,                -13554,               -250216,              1064805,,                              0,               -761247,                  2703,                 -1319,                    195,                   -241,                118379,               -641530,,                186500,                164000,                -42858,                  6261,                -14192,               -879049,               -579338,                 18454,               -137609,                886326,                748717,                748717,,,,,,,
2707,2014年01月01日至2014年06月30日,,                648396,                648396,,,                144238,                  7115,                 -4496,                 18930,                 -6378,                 -1329,                 10061,                              0,                  3830,                171971,,,               -186850,                 27365,                  4172,                  2586,                -43699,                    315,                 -7042,               -203153,,                 26519,,               -109515,                -13077,                 -3710,                  4935,                -94848,               -298001,               -126030,                522366,                  6330,                 -8011,               -130470,                390215,,                              0,               -526676,                  2670,                 -1186,                    169,                   -255,                 74222,               -451056,,                 -2500,                  5000,                -28572,                  5212,                 -8042,                              0,                -28902,                 19985,                -69758,                886326,                816568,                816568,,,,,,,
2707,2014年01月01日至2014年03月31日,,                359710,                359710,,,                 69237,                  3580,                 -3067,                  9314,                 -2855,                    -12,                  4977,                              0,                  1915,                 83089,,,                -40566,                 22697,                  2435,                  2900,                -38496,                    -20,                 -1728,                -52778,,                -12751,,               -162995,                -11127,                 -3710,                    545,               -190038,               -242816,               -159727,                199983,                  2831,                 -3824,                    -60,                198930,,                              0,               -271960,                     88,                 -1189,                    169,                   -262,                 -8301,               -281455,,                  2500,                  4400,                -14286,                  1295,                 -1812,,                 -7903,                  7463,                -82965,                886326,                803361,                803361,,,,,,,
2707,2013年度,,              1356290,              1356290,,,                267946,                 14306,                 -3324,                 31738,                 -9239,                   -427,                 16965,,                  7662,,,,               -400126,                 17155,                 24085,                   -887,                  3093,                  5559,                 -2769,               -353890,,                 18583,,                126907,                 30823,,                   -174,                167696,               -186194,                165193,              1521483,                  9354,                -21252,               -246081,              1263504,,,               -495756,                    470,                -37988,                  1236,                   -555,                -82887,               -615480,,                 43500,                -11000,               -895743,                 16704,                -11207,               -849383,               -207829,                -35159,                405036,                481290,                886326,                886326,,                 25760,                351387,                 -8443,              1499300,,
2707,2013年01月01日至2013年09月30日,,                931393,                931393,,,                199911,                 10746,                 -1373,                 22671,                 -6187,                   -241,                  8732,,                  5745,,,,                -62312,                 58544,                 23254,                  6541,                  3197,                  1953,                 -2102,                 29075,,                -10379,,                 -9110,                -41689,,                 -2473,                -63651,                -34576,                231188,              1162581,                  6225,                -17634,               -245993,                905179,,,               -287967,                    465,                -36606,                    575,                   -539,                  1535,               -322537,,                 39000,                  9000,               -881458,                 11467,                -10569,               -849383,               -182643,                -15334,                384665,                481290,                865955,                865955,,                 25760,                265764,                              0,              1499300,                              0,                              0
2707,2013年01月01日至2013年06月30日,,                663708,                663708,,,                133143,                  7255,                 -1173,                 12251,                 -5074,                   -235,                  7253,,                  3830,,,,               -467239,                 21338,                 15879,                  6834,                -18426,                   -894,                 -2035,               -444543,,                  2493,,                 22646,                -31189,,                  1366,                 -4684,               -449227,               -266218,                397490,                  5034,                -12456,               -136832,                253236,,,               -172094,                    370,                -12323,                    703,                   -316,                 16272,               -167388,,                279408,                 -8000,               -195619,                  8331,                 -7009,                              0,                 77111,                -14429,                148530,                481290,                629820,                629820,,                 25759,                183009,                              0,                              0,                              0,                              0
2707,2013年01月01日至2013年03月31日,,                371101,                371101,,,                 66797,                  3614,                   -405,                  5931,                 -1830,                   -193,                  1327,,                  1915,,,,               -255274,                 -5496,                    896,                  2830,                 -8829,                              0,                    202,               -265671,,                -26435,,                -19629,                -22350,,                 -2079,                -70493,               -336164,               -236608,                134493,                  1850,                 -5914,                              0,                130429,,,                -61009,                    489,                              0,                    699,                   -174,                 30213,                -29782,,                253061,                              0,                -14286,                  6007,                 -1522,                              0,                243260,                 -3936,                339971,                481290,                821261,                821261,,                 22400,                 99556,                              0,                              0,                              0,                              0
