證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付款項（增加）減少,　　　　　 其他營業負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 存出保證金減少,　　 處分投資性不動產,　　 應付短期票券增加,　　 存入保證金減少,　　　　　 應計退休金負債增加（減少）,　　 處分持有至到期日金融資產,　　 庫藏股票買回成本,　　　　　 應收帳款（增加）減少,　　　　　 應付帳款增加（減少）,　　 其他金融負債增加,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他營業資產（增加）減少,　　 預付投資款增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1609,2015年01月01日至2015年09月30日,,               -535939,               -535939,,,                220682,                  7060,                  2457,                150132,                127004,                  5930,                -27721,               -114956,                -15659,                   -265,                -21787,                 -9557,                323320,,,               -260884,                120836,                124656,                236255,                109298,                330161,,                 14339,                -31803,                109763,                 -9076,                     24,                 83247,                413408,                736728,                200789,                 27434,               -122984,                -31417,                 73822,,                -74891,                129186,               -259477,                 98905,                 -6276,               -198766,                  9505,                -29855,                   -811,                -11724,                111494,                  1405,               -231305,,                307405,                -88000,                              0,              1280026,             -1587896,                 20317,                              0,                -47709,                  2431,               -113426,                  8154,               -262755,              3579805,              3317050,              3317050,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年01月01日至2015年06月30日,,               -281487,               -281487,,,                148778,                  4693,                  2161,                 -2632,                 80051,,                -18036,                 -9024,                   -861,                   -282,                -37538,                -30664,                136646,,,                198977,                 81987,               -110364,                -97424,                -14578,                291231,,                 38305,                 10803,                101412,                 -9703,                -10284,                130533,                421764,                558410,                276923,                 17988,                -78492,                -26873,                189546,,                -75745,                134036,               -167780,                 83629,,               -112472,                  6191,                -32952,                   -811,                -11618,                 15956,                 -3878,               -165444,,               -166377,                              0,,               -377858,,                 29316,                              0,                -45009,                   -439,               -560367,                 -8177,               -544442,              3713711,              3169269,              3169269,                232633,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1609,2015年01月01日至2015年03月31日,,               -136032,               -136032,,,                 74797,                  2669,                  2257,                -40216,                 37623,,                 -5986,                   -431,                  4516,                   -225,                -16396,                -10927,                 47681,,,                 81710,                -28809,                292701,                 -6409,                 -6144,                359165,,                -42437,                -21727,                 88181,                -18563,                 12854,                 18308,                377473,                425154,                289122,                  5871,                -33615,                 -4290,                257088,,                -33915,                 43227,                -65830,                              0,                 -6276,                -27440,                  5873,                -34304,                   -710,                   -105,                    431,                 -2038,               -121087,,,                              0,,               -266197,,                 18143,,                              0,                    681,               -479225,                 10902,               -332322,              3713711,              3381389,              3381389,                 26116,,                              0,               -231852,,,,,,,,,,,,,,,,,,,,,,
1609,2014年度,,                 67358,                 67358,,,                302336,                 10568,                     84,                -48033,                140864,,                -39380,                -85114,                -11815,                 -2736,               -104692,                 23861,,,,                 18038,                -14091,               -383813,                 -6751,                218985,               -268306,,                -92440,                -54364,                 51436,,                 22470,                -72898,               -341204,               -272994,               -205636,                 39806,               -145805,                -14705,               -326340,,                -85969,                336686,               -597959,                 67044,                -79683,               -330010,                 19937,,                 -4333,                   -423,                 85114,                   -912,               -402858,,                508353,                -69894,                500000,                652883,,                 12136,               -116036,                 -2322,                 19665,              1504785,                 43643,                819230,              2894481,              3713711,              3713711,               -100674,,,                              0,,               -124638,                  6905,                 68210,                              0,                              0,                  1539,                186111,                              0,                              0,,,,,,,,,,,,
1609,2014年01月01日至2014年09月30日,,                 19476,                 19476,,,                221993,                 12804,                              0,                -54001,                103099,                              0,                -24629,                -81352,                -15506,                   -148,                -91578,                  4721,                 75403,,,                 62945,                -43718,               -112664,               -134518,                -60633,               -288588,,               -171828,               -112436,                 80971,                 -8717,                 30115,               -181895,               -470483,               -395080,               -375604,                 24569,               -102046,                -14705,               -467786,,                -17294,                112564,               -184859,                 52606,                -53159,               -145195,                  5432,                -16861,                 -1874,                   -318,                 81352,                 -1397,               -169003,,                201126,                -49735,                500000,              1387845,             -1064044,                 13660,               -116037,                -19964,                    -26,                852825,                    256,                216292,              2894481,              3110773,              3110773,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年01月01日至2014年06月30日,,                  2856,                  2856,,,                142286,                  8329,                 -2920,                -85550,                 69260,,                -13690,                -14358,                -11114,                 -1408,                -60044,                  8080,                 38871,,,                195254,                -38794,               -296171,                164103,                 30304,                 54696,,               -120044,                 44941,                 83455,                 -5811,                 -2795,                   -254,                 54442,                 93313,                 96169,                 13883,                -69623,                 -8304,                 32125,,                -17294,                 48664,               -126197,                 51920,,               -128058,                  4797,                -16039,                   -519,                              0,                 16354,                -25891,               -192263,,                136226,               -178878,,                418103,,                 17861,               -116037,                -25917,                    -35,                251323,                 52199,                143384,              2894481,              3037865,              3037865,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1609,2014年01月01日至2014年03月31日,,                -52892,                -52892,,,                 73555,                  4982,                              0,                 -2243,                 33723,,                 -7560,                 -9381,                 -8413,                   -330,                 -8604,                 21114,                 96843,,,                304996,                -34089,               -155710,                129829,                -29942,                215084,,                -33833,               -226433,                              0,                 -2905,                116350,               -150571,                 64513,                161356,                108464,                 15994,                -33723,                 -6481,                 84254,,                              0,                 12039,                -60600,                 41101,                              0,                -74923,                    696,                -26616,                   -451,                              0,                              0,                   -345,               -109099,,,                -85735,,                285822,,                  8351,,                              0,                    155,                160375,                 46797,                182327,              2894481,              3076808,              3076808,                              0,,                 -3750,                -48218,,,,,,,,,,,,,,,,,,,,,,
1609,2013年度,,                150175,                150175,,,                277475,                 11004,                  3517,                -14808,                113825,,                -22863,                -86525,                 -8182,                   -586,               -121394,               -243287,,,,                -23382,                -28931,                261569,                  2595,                 -3818,               -180326,,                162158,                -99292,                 71251,,                153453,                287570,                107244,                168949,                319124,                 22863,               -106808,                -46358,                188821,,                -31525,                368953,               -151488,                 42464,                 -3200,               -525039,                  3205,,                 -6945,                    -61,                 86124,                    750,               -189873,,                              0,                              0,                              0,                731585,,                              0,               -116037,                -32792,                   -415,                578268,                 35493,                612709,              2281772,              2894481,              2894481,               -388359,,,               -114057,,                              0,                153529,                 61705,                              0,                              0,                 26889,                              0,                119939,                 -9955,,,,,,,,,,,,
1609,2013年01月01日至2013年12月31日,,                150175,                150175,,,                277475,                 21156,                  3517,                -14808,                113825,,                -22863,                -86525,                 -8182,                   -586,               -121394,               -243287,,,,                498072,                -28931,                261569,                  2595,                 -3818,               -365229,,                162158,                -99292,                 71251,,                153453,                287570,                -77659,                 -5802,                144373,                 22863,               -106808,                -46358,                100194,,                -31525,                368953,               -151488,                 42464,                 -3200,               -525039,                  3205,,                 -6945,                    -61,                 86124,                    750,               -275997,,                 70846,,,                731585,,,               -116037,                -32792,                   -415,                763171,                 25341,                612709,              2281772,              2894481,              2894481,             -1094716,,,,,,                153529,                 71857,                              0,                              0,                 26889,,                119939,                 -9955,,,                              0,,,,,,,,,
1609,2013年01月01日至2013年09月30日,,                -65993,                -65993,,,                200435,                 12166,,                 29716,                 79881,,                -16030,                -86926,                 -8056,                   -704,                -43094,                  5471,,,,               -237375,                -52060,                368419,               -100873,                 28303,                  6414,,                -35770,               -109597,                139624,                 -9262,                 25928,                 10923,                 17337,                190196,                124203,                 15994,                -80121,                -46358,                 13718,,                -77583,                172265,               -125768,                 40101,,               -332083,                  4855,                  5130,                 -1552,                   -480,                 86926,                 -5685,               -233874,,                              0,                              0,                              0,                546844,,                  8952,               -116037,                -32992,                 13051,                533046,                 20876,                333766,              2281772,              2615538,              2615538,,,,               -349976,,,,                172859,,,                              0,,                463204,,,,,,,,,,,,,
1609,2013年01月01日至2013年06月30日,,               -140925,               -140925,,,                138362,                  8259,,                 53447,                 50325,,                -10628,                -36664,                 -2384,                   -365,                 -7844,                 -7673,,,,                -85820,                -84312,                219848,                -14330,                 26621,                 62007,,                -90768,                 32950,                 72457,                 -8832,                 67901,                 73708,                135715,                320550,                179625,                 11716,                -50547,                -38677,                102117,,                -77583,                107461,                -93414,                 40696,,               -306840,                 14752,                              0,                   -185,,                  7964,                 -6454,               -308371,,                              0,                              0,,              1015448,,                  9012,               -116037,                -33141,                 15695,                203801,                 15638,                 13185,              2281772,              2294957,              2294957,,,,               -748236,,,,                184835,,,                  5232,,                 61060,,,,,,,,,,,,,
1609,2013年01月01日至2013年03月31日,,                 40848,                 40848,,,                 66538,                  4546,,                 -8686,                 24876,,                 -5384,                 -3812,                  3436,                   -276,                 -4003,                  4655,,,,               -218316,                -15152,                 97548,                 80012,               -154101,               -210009,,               -156159,               -186254,,                    536,                 11110,               -334798,               -544807,               -462917,               -422069,                  5933,                -24825,                 -5282,               -446243,,,                102169,                -20000,                  4888,,                -83118,                  1605,                   -651,                   -129,,                  3812,                 -1110,                137895,,                145215,                              0,,                 33573,,                  3320,,                   -218,                 13357,                265451,                129455,                 86558,              2281772,              2368330,              2368330,,,,                              0,,,,                 81890,,,,,                 70204,,                 -4031,                130429,,,,,,,,,,
1609,2012年01月01日至2012年12月31日,,                288510,                288510,,,                267288,                 22129,                  1128,                 -9418,                116271,,                -24288,               -101441,                    834,                    473,                -10416,                -58198,,,,                -45049,                110442,                466795,                 14424,               -302245,                328240,,                -71929,                -31412,                -75859,,                 -1476,               -180676,                147564,                355160,                643670,                 24288,               -109254,                -65021,                595349,,                -52599,                 36834,               -362364,                              0,                -67252,               -305041,                  7091,,                   -726,                              0,                101666,                 -2652,               -667473,,                461703,,,               -530964,,,               -145045,                 -2745,                 -4370,               -173724,                -38012,               -283860,              2565632,              2281772,              2281772,                 83873,,,,,,                  3234,                207596,                 43246,                 13000,                 22990,,                 88881,                -34885,,,                 -6299,,,,,,,,,
1609,2012年01月01日至2012年09月30日,,                311977,                311977,,,                190819,                 26858,,                -14321,                 92756,,                -15618,                -93005,                    201,                 -1196,                 13230,                -65731,,,,                -61563,                 49786,                365090,                -29974,               -268815,                 54524,,                 92430,               -126041,                -25665,                  3352,                113950,                 58026,                112550,                249472,                561449,                 11064,                -86140,                -56899,                522479,,                -20810,                    294,               -186974,                              0,,               -198533,                  2837,                 30504,                -39305,                              0,                 93005,                -47881,               -429883,,                492506,,,                              0,               -419822,                              0,               -142086,                 -7879,                  1696,                 -5841,                -37533,                 49222,              2565632,              2614854,              2614854,,,,                              0,,,                  2929,                136922,                 29985,,,,                108869,                -32826,,,                 -6299,,,,,,,,,
1609,2012年01月01日至2012年06月30日,,                108476,                108476,,,                135769,                 10672,,                 13583,                 63027,,                 -9531,                 -5400,                  7640,                   -302,                 17909,                 -3834,,,,,                110069,                 61346,               -413806,               -176298,               -477959,,,                 75675,                -69002,                 10217,                 36037,                208151,               -269808,                -37346,                 71130,                  9531,                -62746,                -41759,                -23844,,                 -8895,                  1640,                -61528,                              0,,               -130755,                  1371,                 15403,                -30057,,                  3819,                -38476,               -247478,,                684167,,,                              0,               -300171,                              0,               -145045,                -35196,,                225421,                -26036,                -71937,              2565632,              2493695,              2493695,,,,,,,                  2929,                232462,,,,,                 58869,                -38868,,,,                -59270,                155224,                  1665,,,,,,
1609,2012年01月01日至2012年03月31日,,                173255,                173255,,,                 72658,                  5747,,                -77924,                 23427,,                 -4696,                              0,                  8175,,                 19575,                -79303,,,,                -14320,                101348,                282444,                113312,,                203743,,               -119165,                -23449,,,                -35337,               -302690,                -98947,               -131346,                 41909,                  4610,                -23483,                 -8474,                 14562,,,                              0,                    -46,                              0,,                -55212,                     67,                              0,                 -5295,,                              0,                -85069,               -119258,,                              0,,,                284231,,                              0,,                    500,                 -2750,                 84663,                -56476,                -76509,              2565632,              2489123,              2489123,,                 11927,,               -176496,,                    -58,,                -32399,,                 14500,                 16244,,                  6085,                -26907,                              0,                              0,,                -88068,               -136666,,                -33284,                -34127,                -77873,                -45689,                 -4447,                              0
