證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無形資產,　　 取得無形資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 應付公司債匯率影響數,　　 應付短期票券增加,　　　　 處分待出售非流動資產損失（利益）,　　　　 其他項目,　　 處分待出售非流動資產,　　 存出保證金增加,　　 存出保證金減少,　　 停業單位稅前淨利（淨損）,　　　　　 預付款項（增加）減少
1301,2015年01月01日至2015年09月30日,,             28426569,             28426569,,,              5744791,                487479,                    121,              1021720,               -279719,            -15332248,                 -7173,                              0,               -160655,                              0,               -103389,                              0,             -8629073,,,               -715088,                569847,                333956,               -152148,              4490973,              4112979,               -577590,              8062929,,             -3458348,             -1064081,              1035554,              1131614,              3225601,               -404378,                465962,              8528891,               -100182,             28326387,                262787,              4143477,               -893891,                -48051,             31790709,,             -3500000,              3809549,                -25000,             -2349150,                              0,             -2851847,                 29498,                              0,              5227657,                              0,                945098,              1285805,,             92682689,            -88707880,                              0,                              0,             -3000000,              4010000,             -7304287,                940641,                              0,                              0,               -111885,            -10340505,            -11831227,                172012,             21417299,              5392825,             26810124,             26810124,,,,,,,,,,,,,,,,
1301,2015年01月01日至2015年06月30日,,             16681264,             16681264,,,              3790677,                353008,                   -454,                694731,               -159748,            -10968625,                 -9717,                              0,               -159813,                              0,               -262295,                              0,             -6722236,,,               -405241,                931464,                -32823,                136159,              1728923,              3709139,               -693813,              5373808,,             -3769272,              1469145,                634187,                 43428,              3435442,               -280484,              1532446,              6906254,                184018,             16865282,                144922,              1586895,               -726733,                -37104,             17833262,,                              0,                308707,                -25000,             -2349150,                              0,             -1802766,                 29188,,              5260901,                              0,                278797,              1700677,,             55184184,            -57702370,                              0,                              0,             -3000000,              4000000,             -7009985,                              0,               -172019,                              0,                -27611,                 -5975,             -8733776,                224579,             11024742,              5392825,             16417567,             16417567,,,,,,,,,,,,,,,,
1301,2015年01月01日至2015年03月31日,,              4451984,              4451984,,,              1895668,                241165,                    197,                361212,                -80637,             -1902405,                 -5705,                              0,               -159813,                              0,               -381420,,                -31738,,,                 38830,                181302,               -179472,                 13185,               -143039,              3892369,                149892,              3953067,,             -3903561,              1760949,              1149840,                 76908,              2846849,               -112597,              1818388,              5771455,              5739717,             10191701,                 82055,                120300,               -184061,                 -8732,             10201263,,                              0,                308707,                -25000,,                              0,               -865048,                  7398,,                932255,               -475463,,               -117151,,             22562214,            -25403685,                              0,,,              3100000,             -4737464,                              0,                 -6712,                 26336,,                 -3712,             -4463023,                102070,              5723159,              5392825,             11115984,             11115984,,,,,,,,,,,,,,,,
1301,2014年度,,             20551553,             20551553,,,              7555974,                544066,                 -1248,              1565536,               -500464,             -9232820,                -35459,                    854,                 -1902,             -2627625,               -784395,                -16058,,,,                 32736,              1579701,                405951,                495932,             -7440132,             -1160199,               -155806,             -6241817,,                976877,             -5495120,                103961,                 17974,                847516,,             -3956190,            -10198007,            -13731548,              6820005,                544287,              8415528,             -1641691,               -699730,             13438399,,             -2400965,              2401902,                -21600,             -1177877,              3776928,             -8074296,                 50875,               -122671,                              0,,              1594673,             -3973961,,,             -3756752,             -3099844,              5984010,             -6000000,             24199654,            -16950306,                 36721,                              0,                 50136,,            -12093820,            -11630201,               -114289,             -2280052,              7672877,              5392825,              5392825,,                              0,             -3533541,               -407398,                   -930,,,,,,,,,,,
1301,2014年01月01日至2014年09月30日,,             20767552,             20767552,,,              5669158,                427832,                 -1732,              1168415,               -364582,            -11983514,                -21999,                    854,                 -1902,             -2627625,               -214963,                -16058,             -7966116,,,               -240281,              2053126,               -449954,                649913,             -3032615,               -584461,               -854396,             -2458668,,             -2458286,             -4165250,                 59525,                 17068,              2495632,               -287948,             -4339259,             -6797927,            -14764043,              6003509,                331729,              8371120,               -931189,               -707681,             13067488,,             -2400965,              2401902,                -21600,             -1177877,              3776928,             -6701506,                 24090,             -6075942,                              0,               -696419,                              0,            -10871389,,            130048997,           -125427141,             -3099844,              5984010,             -6000000,             24021598,            -16306859,                              0,                -61879,                              0,                -30028,            -12097798,             -2968944,                  4818,               -768027,              7672877,              6904850,              6904850,,,,,,,,,,,,,,,,
1301,2014年01月01日至2014年06月30日,,             12739261,             12739261,,,              3787254,                292396,                   -306,                773965,               -242264,             -7957173,                -18607,                    854,                              0,             -2627625,                 37279,                -16058,             -5970285,,,                -66505,                534177,               -995160,                322043,             -1666728,             -1010883,               -298888,             -3181944,,             -2138493,               -678924,                 97265,                 18583,              2680734,               -243015,               -263850,             -3445794,             -9416079,              3323182,                257926,              1447123,               -912447,               -700293,              3415491,,             -2400965,                              0,                              0,             -1162877,              3776928,             -4906455,                 20389,,              2176206,               -540800,                              0,             -3037574,,             72424770,            -76045069,             -3099844,              5984010,             -6000000,             16678186,            -12038326,                311976,                              0,                 87723,                              0,                 -3450,             -1700024,                 14411,             -1307696,              7672877,              6365181,              6365181,,,,,,,,,,,,,,,,
1301,2014年01月01日至2014年03月31日,,              7973520,              7973520,,,              1903069,                152302,                 -1126,                379665,               -128835,             -4182677,                -16456,                    854,                              0,             -2627625,               -137243,,             -4658072,,,                 85096,              1231295,               -261867,                431482,               -153168,             -3305058,               -412895,             -2385115,,             -2373657,               -998624,                106705,                -20731,              1651007,                -36699,             -1671999,             -4057114,             -8715186,               -741666,                 87913,                              0,               -164290,               -135120,               -953163,,                   -965,                              0,                              0,,              3776928,             -2739134,                 16701,,                874309,               -601172,,              1326667,,             48951384,            -50045732,             -3099844,,,              5363750,               -633514,                 11816,                              0,                 49460,,                 -2576,                594744,                -32336,                935912,              7672877,              8608789,              8608789,,,,,,,,,,,,,,,,
1301,2013年度,,             23164498,             23164498,,,              8247224,                645875,                  1237,              1482832,               -668751,            -16639868,               -133559,                    249,                              0,                              0,               -132330,                 -7258,,,,               -215896,             -1646254,               -448548,               -368611,             -2086840,               -399689,               -967995,             -6133833,,                591611,              2902833,                -62914,                384599,              1743076,,              5323248,               -810585,             -8020800,             15143698,                677593,              2165949,             -1477995,               -240985,             16268260,,                              0,                              0,                              0,            -13017413,                              0,            -13148670,                673529,                              0,             11168093,,                196096,            -14221156,,,             -4067001,             -5098562,             19947570,             -9000000,              8277481,             -7431665,                              0,               -196159,                 18721,,             -7336651,             -4886266,                306220,             -2532942,             10205819,              7672877,              7672877,,                 -5866,             -7210215,               -235957,                -92791,,,,,,,,,,,
1301,2013年01月01日至2013年12月31日,,             23164498,             23164498,,,              8247224,                615585,                  1237,              1482832,               -668751,            -16639868,               -133559,                    249,,,               -132330,                 -7258,,,,               -215896,             -1646254,               -448548,               -368611,             -2086840,               -399689,               -967995,             -6133833,,                591611,              2902833,                -62914,                384599,              1743076,,              5323248,               -810585,             -8020800,             15143698,                677593,              2165949,             -1477995,               -240985,             16268260,,                              0,,,            -13017413,,            -13148670,                673529,                              0,             11168093,                              0,                229241,            -14221156,,                              0,             -4067001,             -5098562,             19947570,             -9000000,              8277481,             -7431665,                              0,               -196159,                 18721,,             -7336651,             -4886266,                306220,             -2532942,             10205819,              7672877,              7672877,,                 -5866,             -7210215,               -235957,,                -92791,                              0,,                              0,                              0,                 30290,                              0,                -33145,                              0,,
1301,2013年01月01日至2013年09月30日,,             16780004,             16780004,,,              6212383,                488815,                    340,              1101852,               -533633,            -12520492,               -133403,                    249,                              0,                              0,                 89156,                 -7258,,,,                124253,                -37579,                 48725,               -211090,               -810513,               -369555,             -1002542,             -2258301,,             -2041988,                953426,                -44970,                 10699,              3714056,,              2505439,                247138,             -5060719,             11719285,                535996,              2165949,               -951686,               -209960,             13259584,,                              0,                              0,                              0,            -13017413,                              0,             -9231238,                672848,,             10169453,,               -533985,            -12031494,,,             -1593900,             -1699673,             11470660,             -6000000,              5640100,             -3444943,              1159685,,                 10890,,             -7418468,             -1875649,                122999,               -524560,             10205819,              9681259,              9681259,,                 -5866,             -5307857,                -85784,,                -91159,,,,,,,,,,
