證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 因合併產生之現金流入,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 其他非流動資產減少,　　 其他非流動負債減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 舉借長期借款,　　 停業單位稅前淨利（淨損）,　　　　 金融資產減損損失,　　 支付之股利
3036,2015年01月01日至2015年09月30日,,              1772938,              1772938,,,                 48702,                 15723,                 15455,                145228,                 -3045,                -12092,                 21028,                102019,                  1266,               -174836,                              0,                              0,                159448,,,            -10262538,              4294499,             -1023093,                326974,             -6664158,,                421267,               -127623,                 20368,                 -4389,                309623,             -6354535,             -6195087,             -4422149,                  3045,                 12092,               -138616,               -324529,             -4870157,,                180272,                -37835,                              0,                              0,               -168791,                              0,                -29892,                              0,                -17359,                              0,                -15107,               -281128,                              0,               -369840,,              6627553,                              0,             -1700940,                  7714,             -1220830,              1995000,                              0,                    -44,              5708453,                 10414,                478870,              1551837,              2030707,              2030707,,,,,,,,,,,,
3036,2015年01月01日至2015年06月30日,,              1166203,              1166203,,,                 32198,                 12346,                 10270,                 92722,                 -2204,                -11240,                 21028,                 54260,                  1188,               -155030,                              0,                              0,                 55538,,,             -9008331,              4669307,             -1152633,                100502,             -5391155,,              3035540,               -162251,                 18552,                 -4241,              2887600,             -2503555,             -2448017,             -1281814,                  2204,                  8421,                -89222,               -188518,             -1548929,,                159653,                -37835,,                              0,                              0,                              0,                -13478,,                 -7080,                              0,,                -38707,                              0,                 66408,,              1005902,,             -1261219,                              0,,              1995000,,                    -44,              1739520,                -31345,                225654,              1551837,              1777491,              1777491,                  3855,                              0,                   -119,,,,,,,,,
3036,2015年01月01日至2015年03月31日,,                571512,                571512,,,                 16167,                  6469,                  4403,                 46110,                   -858,,                 21028,                 18545,                  1073,                -82238,,,                 30699,,,             -6149713,              3655444,             -1002170,                 60829,             -3435610,,              3026962,               -302580,                 29641,                 -2195,              2751828,               -683782,               -653083,                -81571,                    858,,                -44711,                 -6931,               -132355,,                 85353,                -37835,,,,,                 -4955,,                 -7080,                              0,                -12000,                 -1158,,                 22325,,                              0,,               -674150,                              0,,              1995000,,                    -44,                -15099,                -22050,               -147179,              1551837,              1404658,              1404658,,                              0,                    -97,             -1335808,,,,,,,,
3036,2014年度,,              2245362,              2245362,,,                 58734,                 24243,                 14360,                174516,                 -4283,                 -3733,,                 35667,                              0,               -345380,                170309,                -30695,,,,             -1534762,             -2624862,             -2219949,               -123873,             -6503446,,                722254,                 21273,                 40268,,                775486,             -5727960,             -5634222,             -3388860,                  4283,                  3733,               -166367,               -274425,             -3821636,,                372012,                -16000,,                 36652,               -108670,,                -55664,                     23,                -20619,                -33311,                              0,                -42903,                -30128,                 79162,,              5168363,,               -870060,                              0,               -843913,,,                   -150,              3450127,                 64814,               -227533,              1779370,              1551837,              1551837,                -15855,                              0,                 -4113,,,                 93738,                 -8309,                 -6375,,,,
3036,2014年01月01日至2014年09月30日,,              1666386,              1666386,,,                 43744,                 17152,                  1913,                122268,                 -2988,                 -3720,                              0,                 20450,                              0,               -201117,                 83809,                -19538,                 61973,,,             -6099329,                -46795,             -2431435,                -29921,             -8607480,,              4466410,                -61660,                -48019,                 -5241,              4351490,             -4255990,             -4194017,             -2527631,                  2988,                  3720,               -117618,               -263767,             -2902308,,                219040,                 -6375,                              0,                 36443,               -108670,                 -6000,                -36112,                     23,                -18498,                -15153,                              0,                -33605,                -30128,                    965,,              4294171,                              0,               -645150,                    650,               -843913,                              0,                              0,                   -150,              2805608,                 26393,                -69342,              1779370,              1710028,              1710028,,,,,,,,,,,,
3036,2014年01月01日至2014年06月30日,,              1001772,              1001772,,,                 29329,                 11941,                    861,                 82018,                 -2131,                 -2264,                              0,                 14494,                              0,               -106465,                 33750,                 -8150,                 53383,,,             -3828891,              1600631,             -1526866,                -26641,             -3781767,,              2861600,               -142106,                -37962,                 -3209,              2678323,             -1103444,             -1050061,                -48289,                  2131,                  2264,                -79537,               -177559,               -300990,,                116740,                              0,,                  8150,               -108670,                 -6000,                -25622,,                -16998,                -15153,,                              0,                -60256,               -107786,,              1954136,,             -1284095,                    373,,                              0,,                    -96,                670318,                  4581,                266123,              1779370,              2045493,              2045493,                              0,                     23,                              0,,,,,,,,,
3036,2014年01月01日至2014年03月31日,,                406658,                406658,,,                 14620,                  5609,                   -535,                 38709,                   -727,,                              0,                  4042,                              0,                              0,,,                 61718,,,             -1195732,             -1410322,                123002,                -38848,             -2521900,,              1252519,               -228260,                  4440,                 -1112,              1027587,             -1494313,             -1432595,             -1025937,                    727,,                -36916,                -10724,             -1072850,,                              0,                              0,,,,,                -15058,,                -16617,                -15153,                              0,                              0,,                -41595,,              1492699,,               -612135,                    412,,                              0,,                              0,                880976,                 18717,               -214752,              1779370,              1564618,              1564618,,                  5233,                              0,                              0,,,,,,,,
3036,2013年度,,              1640433,              1640433,,,                 50826,                 32312,                 44911,                123714,                 -5004,                   -421,,                  6459,                    449,                -39445,                              0,                 -8983,,,,               -773423,               -284497,               -257137,                -30983,             -1346040,,                 39487,                112607,                 30068,,                174581,             -1171459,               -966641,                673792,                  5004,                    421,               -118977,               -348924,                211316,,                 46777,                              0,,                 29386,                              0,,                -74825,                     75,                -17437,                -37894,                 17785,                              0,                              0,                -17631,,                807914,,               -161400,                  1001,               -708886,,,                 -4324,                -65695,                 38572,                166562,              1612808,              1779370,              1779370,                              0,                 18502,                              0,,,                204818,                 -7581,                              0,,,,
3036,2013年01月01日至2013年12月31日,,              1640433,              1640433,,,                 50826,                 32312,                 44911,                123714,                 -5004,                   -421,,                  6459,                    449,                -39445,,                 -8983,,,,               -773423,               -284497,               -257137,                -30983,             -1346040,,                 39487,                112607,                 30068,,                174581,             -1171459,               -966641,                673792,                  5004,                    421,               -118977,               -348924,                211316,,                 46777,                              0,                              0,                 29386,                              0,                              0,                -74825,                     75,                -17437,                -37894,,                              0,,                -17631,,                807914,,,                  1001,               -708886,,                              0,                 -4324,                -65695,                 38572,                166562,              1612808,              1779370,              1779370,                 17785,                 18502,,,,                204818,                 -7581,,               -161400,                              0,                              0,
3036,2013年01月01日至2013年09月30日,,              1235303,              1235303,,,                 37432,                 24203,                 28154,                 91455,                 -4047,                   -421,,                  5920,                     91,                -39506,                              0,                 -8997,,,,             -2431257,              2020198,               -375343,                -18190,               -804592,,               -505363,                  8572,                 23293,,               -478466,             -1283058,             -1148774,                 86529,                  4047,                    421,                -89176,               -327650,               -325829,,                 46850,,                              0,                 29386,                              0,                              0,                -57332,                              0,                              0,                -34084,,                              0,                              0,                 18711,,                844723,                159980,                 -8620,                              0,               -708886,,                              0,                   -881,                286316,                 27276,                  6474,              1612808,              1619282,              1619282,                 17853,                 16038,,,,                134284,                 -4968,                              0,,,,
