證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　 金融資產重分類淨損失（利益）,　　 取得無形資產,　　 其他借款增加,　　　　　 遞延借項（增加）減少,　　 其他金融負債減少
3021,2015年01月01日至2015年09月30日,,                 62970,                 62970,,,                 36486,                    703,                  6860,                  3186,                 -1712,                              0,                 45523,,,                -48249,                -25359,                -21961,                 -9909,               -105478,,                 21976,                -14823,                  9948,                 17101,                -88377,                -42854,                 20116,                  1712,                 -3075,                -11425,                  7328,,                -27708,                              0,                 -2687,                 14343,                -16052,,                 93027,                 -9000,                    -91,                -73332,                 -3311,                  7293,                 12449,                 11018,                307499,                318517,                318517,,,,,,,,
3021,2015年01月01日至2015年06月30日,,                 28960,                 28960,,,                 24396,                    552,                  6860,                  1961,                 -1322,                              0,                 32447,,,                -39634,                -23219,                -14501,                     54,                -77300,,                 14447,                -18571,                 -3665,                 -7789,                -85089,                -52642,                -23682,                  1322,                 -1965,                 -7676,                -32001,,                -18110,,                 -2620,                 14552,                 -6178,,,                 -6000,                    -95,,                              0,                 -9449,                -18405,                -66033,                307499,                241466,                241466,                 -3354,,,,,,,
3021,2015年01月01日至2015年03月31日,,                  3696,                  3696,,,                 11289,                    287,                  6860,                    922,                   -767,                              0,                 18591,,,                 -3935,                -33140,                -18224,                  9591,                -45708,,                  7350,                 -9048,                 14886,                 13188,                -32520,                -13929,                -10233,                    767,                   -924,                 -1270,                -11660,,                 -8669,,                 -1456,                 14944,                  4819,,,                 -3000,                   -207,,                              0,                -34864,                 -6826,                -48531,                307499,                258968,                258968,                -31657,,,,,,,
3021,2014年度,,                 87834,                 87834,,,                 47006,                    967,                 19507,                  3520,                 -2214,                   -105,,,,                -69359,               -105418,                  4255,                -10635,               -181157,,                 48395,                 31458,                  3735,                 83588,                -97569,                -28888,                 58946,                  2214,                 -3473,                    580,                 58267,,                -31448,,                   -968,                  2369,                -30047,,,                -12000,                    328,                -21352,                -45393,                -23654,                 25720,                 30286,                277213,                307499,                307499,                 54763,,                 68681,,,,,
3021,2014年01月01日至2014年09月30日,,                 61457,                 61457,,,                 35271,                    713,                  5056,                  2599,                 -1495,                   -105,                 42039,,,                -20452,                -61267,                 -1909,                 -3804,                -87432,,                  4880,                 18445,                  1275,                 24600,                -62832,                -20793,                 40664,                  1495,                 -2573,                  4519,                 44105,,                -25844,                    105,                 -2397,                  8242,                -19894,,                 20097,                 -9000,                    167,                -21352,                -19410,                -29498,                  3854,                 -1433,                277213,                275780,                275780,,,,,,,,
3021,2014年01月01日至2014年06月30日,,                 48560,                 48560,,,                 23632,                    476,                     56,                  1744,                 -1096,                   -104,                 24708,,,                -81579,                -34449,                  2461,                 -2827,               -116394,,                 59382,                 15299,                 -6556,                 68125,                -48269,                -23561,                 24999,                  1096,                 -1732,                  1527,                 25890,,                -19131,,                   -903,                  7239,                -12795,,,                 -6000,                     66,,                -19410,                -29747,                -12163,                -28815,                277213,                248398,                248398,                 -4403,,,,,,,
3021,2014年01月01日至2014年03月31日,,                 21866,                 21866,,,                 11932,                    240,                              0,                    769,                   -660,                   -104,                 12177,,,                 16862,                -22556,                  2134,                 -1514,                 -5074,,                  6701,                 -1172,                 11694,                 17223,                 12149,                 24326,                 46192,                    660,                   -776,                              0,                 46076,,                 -6550,,                 -3244,                  5508,                 -4286,,,                 -3000,                    -31,,                -19410,                -31607,                 -1102,                  9081,                277213,                286294,                286294,                 -9166,,,,,,,
3021,2013年度,,                 55964,                 55964,,,                 44616,                  1195,                              0,                  4267,                 -1388,                    224,,,,                 34209,                -54490,                  1304,                  4692,                -14285,,                -23575,                   -194,                  4175,                -19594,                -33879,                 15035,                 70999,                  1388,                 -4435,                 -8745,                 59207,,                -39909,,                   -319,                 10897,                -29331,,,                 -7762,                    194,                              0,                   -710,                -37691,                 25486,                 17671,                259542,                277213,                277213,                -29413,,                 48914,,,,,
3021,2013年01月01日至2013年12月31日,,                 55964,                 55964,,,                 44616,                  1195,                              0,                  4267,                 -1388,,,,,                 34209,                -54490,                  1304,                  4692,                -14285,,                -23575,                   -194,                  4175,                -19594,                -33879,                 15035,                 70999,                  1388,                 -4435,                 -8745,                 59207,,                -39909,,                   -319,                 10897,                -29331,,,                 -7762,                    194,,                   -710,                -37691,                 25486,                 17671,                259542,                277213,                277213,                -29413,,                 48914,                    224,                              0,                              0,,
3021,2013年01月01日至2013年09月30日,,                 51498,                 51498,,,                 31845,                    955,                              0,                  3239,                 -1023,                    417,,,,                 67402,                -31909,                  7282,                 -2647,                 40128,,                -57255,                  8528,                -10816,                -59543,                -19415,                 16018,                 67516,                  1023,                 -3400,                 -5554,                 59585,,                -31448,                    231,                -10724,                 -2984,                -44925,,,                 -4762,                     -6,                              0,                              0,                -38803,                 17307,                 -6836,                259542,                252706,                252706,                -34035,,                 35433,,,,,
