證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 預付設備款減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 預付投資款增加,　　 存出保證金減少,　　　　　 其他應收款－關係人（增加）減少,　　 處分無活絡市場之債務工具投資,　　 短期借款增加,　　 發行公司債,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存入保證金減少,　　 發放現金股利,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 其他非流動資產減少
1611,2015年01月01日至2015年09月30日,,                110991,                110991,,,                102834,                  7140,                    998,                    -63,                113872,                 -5047,                 -8279,                 48355,               -377924,                              0,                -14114,                              0,                              0,                208916,                    307,                              0,                  7487,                 84482,,,                 -5016,                 27468,                     94,                 50022,                 25057,                 24122,                 75674,                  8805,                 -8490,                197736,,                -47799,                 -8273,                 66004,                 -9583,                    347,                    696,                198432,                282914,                393905,                  1910,                -12365,                -36637,                346813,,                -49734,                197973,               -784854,                              0,                 24000,               -127065,                              0,                 -3919,                438337,                              0,                 -2049,                              0,                769233,                  9268,                471190,,                800000,             -1815600,                  1086,             -1014514,                   -270,               -196781,                785682,                588901,                588901,,,,,,,,,,,,,,,,,,,,,
1611,2015年01月01日至2015年06月30日,,               -184492,               -184492,,,                 69616,                  5809,                    998,                -13893,                107816,                 -1474,,                 29516,                    293,,                -14114,,                              0,                122365,                    118,                              0,                  8767,                345208,,,                 -5495,                 21659,                   -208,                 37131,                 24618,                 14913,                 59727,                  7003,                 -6682,                152666,,                -46985,                -17568,                      9,                 -4108,                    232,                -68420,                 84246,                429454,                244962,                  1467,                 -6491,                 -7181,                232757,,,                197973,               -329142,                              0,,                              0,,                 -3307,                              0,                              0,                   -670,                              0,                350454,                    989,                 89181,,              1310000,             -1815600,                  1086,               -504514,                 -3114,               -185690,                785682,                599992,                599992,                 29391,               -127065,                    -51,,,,,,,,,,,,,,,,,,
1611,2015年01月01日至2015年03月31日,,                -40713,                -40713,,,                 35202,                  4425,                    998,                -12160,                100111,                   -371,,                  9896,                              0,,                -14114,,,,                    320,                              0,                  7440,                131592,,,                  6660,                 17831,                     62,                  6365,                  7664,                  9685,                 67673,                -20656,                    934,                 96218,,                 -9743,                -39862,                  5742,                 -4459,                    117,                -48205,                 48013,                179605,                138892,                    361,                 -1443,                    -15,                137795,,,                197907,                              0,,,                              0,,                   -350,                              0,,                   -183,                -15870,,                              0,                181504,,               -450000,,                    806,               -449194,                   -896,               -130791,                785682,                654891,                654891,                   -155,,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
1611,2014年度,,               -297877,               -297877,,,                182330,                  7425,                              0,                 10100,                 57157,                 -5281,                -20898,                106130,                -11551,                 -7366,                -26119,,,                382221,                    370,                 -1453,                 -3480,,,,                -26099,                 16828,                  2908,                 29807,                -10777,                 19849,                183816,                 29920,                  4128,                250380,,                -19639,                -10905,                -44381,                 -8240,,                -85570,                164810,                804310,                506433,                  5230,                -18399,                -39286,                453978,,,                184721,,                  8942,,               -118864,,                -27409,                 32556,                409108,                 57507,                 -8970,,                 28086,                618550,,             -1170000,                              0,                              0,             -1170395,                  3417,                -94450,                880132,                785682,                785682,                              0,,,,,,                              0,,                -30085,                              0,                              0,                639500,                 -2405,                   -227,                 53100,                   -395,                              0,,,,
1611,2014年01月01日至2014年09月30日,,                -22606,                -22606,,,                136959,                  5595,                              0,                    476,                 44259,                 -3735,                -20898,                107645,                   -126,                              0,                 -7366,                              0,                              0,                 25450,                              0,                 -1247,                 -3605,                283407,,,                -21179,                 35942,                    871,                 65264,                  7646,                  3327,                218528,                 21785,                  2049,                334233,,                -91895,                  1090,                -37235,                 28664,                 -1475,               -100851,                233382,                516789,                494183,                  3750,                -14910,                -33665,                449358,,                              0,                 84775,                 -2227,                  8942,                              0,               -118864,                              0,                 -2296,                    141,                113624,                 54609,                -21848,                              0,                 22085,                138941,,               -740000,                              0,                  1119,               -738881,                    989,               -149593,                880132,                730539,                730539,,,,,,,,,,,,,,,,,,,,,
1611,2014年01月01日至2014年06月30日,,                -24832,                -24832,,,                 91620,                  3662,                              0,                 -5788,                 30371,                 -3117,,                 77666,                   -126,,                 -7366,,                              0,                              0,                              0,                   -957,                    796,                212247,,,                -10384,                -15189,                  2537,                 51910,                  7262,                 -3176,                125977,                 19484,                  1548,                179969,,                -37748,                 23084,                -50679,                 23763,                   -981,                -42561,                137408,                349655,                324823,                  2921,                -11107,                -33623,                283014,,,                 84775,                              0,                  8942,,               -118864,,                 -1597,                    141,                113624,                    -92,                 -6417,                              0,                  1187,                139048,,               -520000,                              0,                  1199,               -518801,                 -1985,                -98724,                880132,                781408,                781408,                 25486,                              0,                 57349,,,,,,,,,,,,,,,,,,
1611,2014年01月01日至2014年03月31日,,                  8258,                  8258,,,                 45778,                  1979,                              0,                 -8241,                 15670,                 -1306,,                 44119,                   -126,,                 -4792,,,,                              0,                   -760,                 -5126,                 87721,,,                 -9385,                 12487,                    408,                 35254,                  7442,                193018,                 67709,                 27000,                    232,                334165,,                -26834,                 -5324,                -42726,                 25687,                   -488,                -49685,                284480,                372201,                380459,                  1076,                 -5787,                    -22,                375726,,,                              0,                              0,,,               -118864,,                   -381,                    141,,                 57299,                              0,,                  1187,                -55718,,               -400000,,                  1195,               -398805,                  1674,                -77123,                880132,                803009,                803009,                    526,,,                              0,                  4900,                              0,                              0,,,,,,,,,,,,,,
1611,2013年度,,               -484141,               -484141,,,                203694,                 27192,                131647,                   -978,                102447,                 -5199,                 -9001,                 73220,                    184,                              0,                -13092,,,                640588,                  6880,                              0,                 -4146,,,,                 13702,                168498,                   -992,                413037,                 98976,                -83020,               -326939,                -27724,                  1989,                257527,,               -103817,               -173264,                 21653,                -25241,,               -288850,                -31323,                745817,                261676,                  5156,                -19534,                -69762,                177536,,,                              0,,                              0,,                -83863,,               -149386,                              0,                450709,                -49099,               -819332,,                 19259,               -608822,,               -110000,               -566500,                  2702,                841514,                  8805,                419033,                461099,                880132,                880132,                -49004,,,,,,              1595000,,               -151006,                    347,               -176633,                777140,                 -8181,                              0,                 22890,                              0,                -79688,,,,
1611,2013年01月01日至2013年12月31日,,               -484141,               -484141,,,                203694,                 27192,                131647,                   -978,                102447,                 -5199,                 -9001,                 73220,                    184,,                -13092,,                -49004,                621366,                  6880,,                 -4146,,,,                 13702,                168498,                   -992,                413037,                 98976,                -83020,               -326939,                -27724,                  1989,                257527,,               -103817,               -173264,                 21653,                -25241,,               -288850,                -31323,                745817,                261676,                  5156,                -19534,                -69762,                177536,,,,,,                              0,                -83863,,               -149386,                              0,                450709,                -49099,               -819332,,                 19259,               -608822,,               -110000,               -566500,                  2702,                841514,                  8805,                419033,                461099,                880132,                880132,                 19222,,,,,                              0,              1595000,,               -151006,                    347,               -176633,                777140,                 -8181,                              0,                 22890,                              0,                -79688,,                              0,                              0,
1611,2013年01月01日至2013年09月30日,,                 30335,                 30335,,,                146426,                 24746,,                  4435,                 85824,                 -2913,                 -8599,                 14139,                    184,,                     44,,                -49004,                 11526,                    924,                              0,                 -4236,,,,                 22239,                 58690,                 -1768,                355284,                 98741,                   -592,               -270060,                -52115,                 -1271,                209148,,               -100021,               -149420,                  4530,                -13066,,               -262735,                -53587,                169909,                200244,                  2944,                -12091,                -62449,                128648,,,                              0,,                              0,,                              0,,               -148445,                              0,                              0,                 -2542,               -400328,,                  9052,               -612342,,               -100000,               -566500,                  2158,                850970,                 -3023,                364253,                461099,                825352,                825352,,,                -47497,,,,              1595000,,,,,                223496,,                -22582,,,                -79688,                 -4758,,,
