證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 發放現金股利,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得備供出售金融資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分不動產、廠房及設備,　　 償還公司債,　　 庫藏股票買回成本,　　 其他籌資活動,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 負債準備增加（減少）,　　 員工執行認股權,　　 取得待出售非流動資產
3598,2015年01月01日至2015年09月30日,,                257322,                257322,,,                 52440,                 46345,                    141,                     30,                  5669,                 -3378,                              0,                 -1654,                -17805,                 81788,,,                  4054,                    393,                 69489,                              0,                -11317,                -49052,                 18583,                 32150,,                 64492,               -759502,                -74570,                -25805,                    418,               -794967,               -762817,               -681029,               -423707,                  4015,                 -5295,               -102939,               -527926,,                 11539,               -643303,                 -5101,                -43287,               -680152,,              2161959,             -2273058,                294800,               -322885,                              0,               -139184,                 18559,             -1328703,              2226546,                897843,                897843,,,,,,,,,,,,,,,
3598,2015年01月01日至2015年06月30日,,                142377,                142377,,,                 33764,                 28325,                     92,                     30,                 -2952,                 -3107,,                 -1654,                -14369,                 40129,,,                  4054,                    507,                175607,                              0,                  7612,               -269594,                 12077,                -69737,,                118614,               -849969,               -155963,                -13803,                    283,               -900838,               -970575,               -930446,               -788069,                  3744,                 -3019,                -81404,               -868748,,,               -387453,                 -6514,                -11322,               -393750,,              1399088,             -1538328,                294800,,,                155560,                  1669,             -1105269,              2226546,              1121277,              1121277,                 11539,,,,,,,,,,,,,,
3598,2015年01月01日至2015年03月31日,,                 95685,                 95685,,,                 16621,                 13868,                    127,                     23,                  1070,                 -1887,,                 -1654,                 -1003,                 27165,,,                  4053,                      4,                168851,                              0,                  9853,               -333791,                 19657,               -131373,,                 10942,               -356596,               -164053,                   -496,                    144,               -510059,               -641432,               -614267,               -518582,                  2122,                   -900,                   -745,               -518105,,,                -22124,                   -224,                 -2051,                -12860,,                453600,               -635880,,,,               -182280,                   -169,               -713414,              2226546,              1513132,              1513132,                 11539,                              0,,,,,,,,,,,,,
3598,2014年度,,                538313,                538313,,,                 68911,                 38797,                 66091,                    -45,                  4243,                 -5504,                  6750,                              0,                227953,,,,                              0,                   -560,                -25711,                254081,                   -940,               -353396,                -57493,               -172431,,                 72169,                386839,                131659,                 -1310,,                589840,                417409,                824605,              1362918,                  4896,                 -3975,                -49421,              1314418,,,               -193429,                 -1067,                -55429,               -249925,,              2306527,             -2367386,,               -149357,                 32406,               -180933,                    594,                884154,              1342392,              2226546,              2226546,                              0,,,                              0,                407196,                 11588,                    483,                              0,                 -3123,                              0,                              0,,,,
3598,2014年01月01日至2014年09月30日,,                388690,                388690,,,                 55168,                 25133,                   -388,                    -35,                  3542,                 -3242,                  6639,                              0,                157387,                244204,,,                              0,                     27,                -60676,                254081,                -34337,                -52310,               -124212,                -17427,,                 19047,                248982,                156997,                  5149,                    362,                430537,                413110,                657314,              1046004,                  3051,                 -3452,                -48821,                996782,,                              0,               -129397,                 -1886,                -45245,               -176528,,              1549697,             -1961036,                              0,               -149357,                 32406,               -528290,                     65,                292029,              1342392,              1634421,              1634421,,,,,,,,,,,,,,,
3598,2014年01月01日至2014年06月30日,,                183975,                183975,,,                 39993,                 15658,                   -388,                    -66,                  2795,                 -2533,,                              0,                 90330,                145789,,,                              0,                     12,                205297,                 37299,                 12739,               -188118,               -117719,                -50490,,                  7956,                 49144,                -32648,                  6867,                    242,                 31561,                -18929,                126860,                310835,                  2524,                 -2992,                -34480,                275887,,,                -92946,                 -2109,                 -4308,                -99363,,              1086402,             -1630936,                              0,,,               -544534,                   -314,               -368324,              1342392,                974068,                974068,                              0,,,,,,,,,,,,,,
3598,2014年01月01日至2014年03月31日,,                 89834,                 89834,,,                 21197,                  7529,                   -378,                    -78,                  1620,                 -1067,,                              0,                 51870,                 80693,,,                              0,                     52,                106057,                 48798,                 14243,               -293115,                -97808,               -221773,,                 13804,                -20772,                -17373,                  1798,                    120,                -22423,               -244196,               -163503,                -73669,                    995,                 -1535,                   -526,                -74735,,,                -64557,                 -1180,                 -2452,                -68189,,                936451,               -890235,,,,                 46216,                    -66,                -96774,              1342392,              1245618,              1245618,                              0,                              0,,,,,,,,,,,,,
3598,2013年度,,                264108,                264108,,,                 86287,                 22278,                    198,                    -39,                  7087,                 -3515,                              0,                 -1518,                 45597,,,,                  7520,                    -64,                -56707,                -80188,                  2250,               -343447,                -21166,               -493184,,               -101670,                312949,               -277724,                 28054,,                -37679,               -530863,               -374612,               -110504,                  3632,                 -6307,                -71909,               -185088,,,                -61263,                 -1252,                -38611,               -123713,,              3972414,             -3487998,,                -33944,                              0,                371173,                    501,                 62873,              1279519,              1342392,              1342392,                -22711,,,                   -124,                156251,                 -1382,                    712,                    124,                              0,                -11412,                -67887,,,,
3598,2013年01月01日至2013年12月31日,,                264108,                264108,,,                 86287,                 22278,                    198,                    -39,                  7087,                 -3515,,                 -1518,                 45597,,,,                  7520,                    -64,                -56707,                -80188,                  2250,               -343447,                -21166,               -493184,,               -101670,                312949,               -277724,                 28054,,                -37679,               -530863,               -374612,               -110504,                  3632,                 -6307,                -71909,               -185088,,,                -61263,                 -1252,                -38611,               -123713,,              3972414,             -3487998,,                -33944,,                371173,                    501,                 62873,              1279519,              1342392,              1342392,                -22711,,,                   -124,                156251,                 -1382,                    712,                    124,,                -11412,                -67887,,                              0,                              0,
3598,2013年01月01日至2013年09月30日,,                257680,                257680,,,                 65959,                 15216,                    163,                   -107,                  5707,                 -2990,                              0,                   -235,                 44324,,,,                 -3796,                    -41,                205720,               -218982,                     29,               -860849,                -53327,               -931246,,               -127697,                 16763,               -171666,                  5161,,               -276905,             -1208151,             -1080238,               -822558,                  3136,                 -5018,                -71179,               -895619,,,                -46737,                 -1078,                -27977,                -98379,,              3225912,             -2692338,,                              0,                              0,                533574,                    288,               -460136,              1279519,                819383,                819383,                -22711,,,,                127913,,                    534,                    124,,,,                   -124,,,
3598,2013年01月01日至2013年06月30日,,                212950,                212950,,,                 44065,                  9529,                    705,                    -23,                  3928,                 -2739,,                    -56,                  8160,,,,                 -1545,                    -36,                198782,               -308146,                -10156,             -1190704,                -26561,             -1338366,,               -154829,                 21219,                -80183,                -12344,,               -225778,             -1564144,             -1500699,             -1287749,                  2840,                 -2812,                -71151,             -1358872,,,                -31694,                   -720,                 -5977,                -56563,,              2381752,             -1692920,,,,                688832,                    419,               -726184,              1279519,                553335,                553335,                -18296,,,,                 63445,,                    359,                    124,,,,                   -124,,,
3598,2013年01月01日至2013年03月31日,,                 88833,                 88833,,,                 21684,                  4532,                  5726,                    310,                  1792,                 -1581,,                    -56,                 26077,,,,                  2457,                    -32,                 69961,                -39823,                 15885,               -789177,                -46018,               -786747,,               -273490,                -62111,                -80125,                  5078,,               -410469,             -1197216,             -1138732,             -1049899,                  1337,                   -963,                   -133,             -1049658,,,                -15567,                   -127,                 -4014,                -19708,,              1426916,               -564908,,,,                862008,                    244,               -207114,              1279519,              1072405,              1072405,,                              0,,,                 58484,,                    179,,,,,,,,
3598,2012年01月01日至2012年12月31日,,                711914,                711914,,,                 84350,                 18497,                    183,                 -2858,                  7534,                 -5198,,                 -3163,                 61057,,,,                325842,                              0,                484410,               -173893,                -10469,               -131112,                192659,                687437,,               -461827,                214368,                 72310,                 -3207,,               -174109,                513328,                673730,              1385644,                  5201,                 -3773,                -67876,              1319196,,,                -63497,                -10370,                -17295,                -91162,,              2468871,             -2757452,,               -283290,,               -571029,                              0,                657005,                622514,              1279519,              1279519,                              0,,,                              0,                160402,                              0,                    660,                              0,,                              0,                              0,,                  3587,                    842,
3598,2012年01月01日至2012年09月30日,,                554756,                554756,,,                 63178,                 13219,                    134,                 -3418,                  6563,                 -3843,,                 -2182,                 42610,,,,                324860,                              0,                416324,                -94211,                   -190,                 13899,                173635,                834317,,               -500808,                161812,                 38290,                 12481,,               -284443,                549874,                666135,              1220891,                  3868,                 -2892,                -67742,              1154125,,,                -42856,                 -6980,                -14525,                -64361,,              2015445,             -2148816,,               -283290,,               -415906,                              0,                673858,                622514,              1296372,              1296372,                              0,,,,                116261,,                    497,                              0,,,,                              0,                  3285,                    755,
