證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 保證責任準備淨變動,　　　　 其他各項負債準備淨變動,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 附賣回票券及債券投資減少,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 附買回票券及債券負債增加,　　 其他負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　 其他資產減少,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分待出售資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 員工福利負債準備增加（減少）,　　 處分無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 處分待出售資產,　　 償還金融債券,　　 附賣回票券及債券投資增加,　　　　 處分投資損失（利益）,　　 處分以成本衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 其他負債減少,　　　　　 其他負債增加（減少）
2849,2015年01月01日至2015年09月30日,,              2613305,              2613305,,,                 74215,                 31995,                571627,               -197439,              2445582,             -5622155,                 15749,                   -420,                  2764,                              0,                -51628,             -2729710,,,             10464763,              2547402,             -1583753,              4182147,            -10388536,                459424,              5681447,,              3577472,             -4133221,                107587,            -12147722,                938193,            -11657691,             -5976244,             -8705954,             -6092649,              5594009,             -2331353,                -11182,             -2841175,,                              0,               -894240,                -69852,                     20,                -14709,                280506,             -3298039,             -3996314,,              6235882,                111117,             -1007806,              5339193,                 46790,             -1451506,              7567361,              6115855,              6115855,,,,,,,,,,,,,,,,,,
2849,2015年01月01日至2015年06月30日,,              1728511,              1728511,,,                 49390,                 21531,                317632,                 -3643,              1632760,             -3727926,                    985,                   -407,                  1671,,                -25948,             -1733955,,,              6875431,              4651243,             -1194107,               -190426,             -5080969,                643019,              5704191,,             -5970447,             -4524280,                473229,             -4002502,                454803,            -13569197,             -7865006,             -9598961,             -7870450,              3712662,             -1541668,                 -5706,             -5705162,,,               -465900,                -43975,                     20,                 -4717,                480548,               -587815,               -621839,,              5628560,                 13027,             -1007806,              4633781,                -98685,             -1791905,              7567361,              5775456,              5775456,                              0,,,,,,,,,,,,,,,,,
2849,2015年01月01日至2015年03月31日,,                666467,                666467,,,                 24441,                 11170,                348144,                 81641,                833043,             -1848443,                 13236,                              0,                    849,,                -24769,               -560688,,,              3995616,                 58755,             -1118727,             -1149573,             -3222124,               -182894,             -1618947,,                -78824,                308138,                 69549,             -4094070,                160278,             -3634929,             -5253876,             -5814564,             -5148097,              1830386,               -718320,                     -5,             -4036036,,,,                -32395,,                 -3699,                580474,,                -23783,,              2101503,                 44350,,              2145853,                -62242,             -1976208,              7567361,              5591153,              5591153,                              0,               -568163,,,,,,,,,,,,,,,,
2849,2014年度,,              3728924,              3728924,,,                 98312,                 44039,                153845,                -40633,              3422669,             -7561484,                 43200,                     34,                  4046,                -16804,                -15635,,,,              4433369,             -7730847,                902468,             -5356813,             25309920,               -330601,             17227496,,             -2126017,                361317,               -641434,            -13883496,                192412,            -16116499,              1110997,             -2757414,                971510,              7442140,             -3450512,                -42043,              4921095,,,,               -137812,                              0,                -30525,                744272,               -430889,                137902,,               -813978,                 13002,             -1007806,             -1808782,                123948,              3374163,              4193198,              7567361,              7567361,,,,                              0,                              0,             -3868411,                -19281,                 -8412,                  1268,                              0,                              0,,,,,,,
2849,2014年01月01日至2014年09月30日,,              2705678,              2705678,,,                 72955,                 33598,                 98603,                309459,              2574349,             -5666821,                 14094,                     37,                  3222,                -16804,                 -4181,             -2581489,,,             -1445841,             -4711665,              1042624,             -6656940,             21400219,               -144091,              9484306,,             -4203391,                176882,               -795363,             -5387668,               -161901,            -10371441,               -887135,             -3468624,               -762946,              5528012,             -2332443,                -50067,              2382556,,                 -8412,                              0,               -109528,                              0,                 -9060,              1773334,                466037,              2112371,,                451887,                 -6164,             -1007806,               -562083,                 23813,              3956657,              4193198,              8149855,              8149855,,,,,,,,,,,,,,,,,,
2849,2014年01月01日至2014年06月30日,,              1913799,              1913799,,,                 47763,                 22498,                  2607,               -386150,              1726125,             -3714664,                  8536,                    307,                  1633,,                -81377,             -2372722,,,               -893474,             11593004,             -1970634,             -6489469,                711994,                242329,              3193750,,             -1780641,                 13210,              1479453,             -1706309,               -364971,             -2359258,                834492,             -1538230,                375569,              3644910,             -1568057,                -41138,              2411284,,,                              0,                -68940,                              0,                 -2428,              1180428,                 78649,              1187709,,                126748,                 20796,             -1007806,               -860262,                  1457,              2740188,              4193198,              6933386,              6933386,                              0,,,,,,,,,,,,,,,,,
2849,2014年01月01日至2014年03月31日,,                757602,                757602,,,                 23697,                 11276,                168278,               -334417,                864469,             -1821578,                  7347,                    363,                     25,,                              0,             -1080540,,,             -1231745,                 96108,             -1703202,            -11441172,              1444548,               -467122,            -13302585,,              3166988,                 52546,              1340500,             10276758,               -778544,             14058248,                755663,               -324877,                432725,              1764352,               -664627,                -35566,              1496884,,,,                 -2151,,                   -392,                233137,,                184548,,                931828,                 10170,,                941998,                 22059,              2645489,              4193198,              6838687,              6838687,                              0,                -46046,,,,,,,,,,,,,,,,
2849,2013年度,,              3348375,              3348375,,,                102294,                 45577,                181746,               -119802,              3578216,             -7804163,                 14814,                 -2211,                  4993,                -13855,                103669,,,,              5917945,             -4965844,              1053362,             13921032,             -4481113,               -488511,             10956871,,              6133384,             -1173286,             -1353921,            -18231905,               -249860,            -14974939,             -4018068,             -7957333,             -4608958,              7894376,             -3748548,               -155622,               -618752,,,,                -88587,                  8088,                -41865,              1354656,               -911595,                387020,,              3305607,                -41876,             -1007806,              1065925,                 49421,                883614,              3309584,              4193198,              4193198,,,,                      1,                -30544,             -3939265,                -99351,                              0,                 16307,                 50016,             -1190000,,,,,,,
2849,2013年01月01日至2013年12月31日,,              3348375,              3348375,,,                102294,                 45577,                181746,               -119802,              3578216,             -7804163,                 14814,                 -2211,                  4993,                -13855,                103669,,,,              5917945,             -4965844,              1053362,             13921032,             -4481113,               -488511,             10956871,,              6133384,             -1173286,             -1353921,            -18231905,               -249860,            -14974939,             -4018068,             -7957333,             -4608958,              7894376,             -3748548,               -155622,               -618752,,,,                -88587,                  8088,                -41865,,               -911595,                387020,,              3305607,,             -1007806,              1065925,                 49421,                883614,              3309584,              4193198,              4193198,,,,                      1,                -30544,             -3939265,                -99351,,                 16307,                 50016,             -1190000,              1354656,,                              0,,,                -41876,
2849,2013年01月01日至2013年09月30日,,              2299738,              2299738,,,                 79292,                 33876,                211490,               -313429,              2726992,             -5936052,                  9656,                 -2194,                 -2115,                -13855,                              0,,,,             -4267307,             -3537250,                858957,              8375985,             -7158782,               -421151,             -6149548,,              3662025,             -1011223,               -154953,               -927862,               -508194,              1059793,             -5089755,             -8326637,             -6026899,              5978976,             -2580763,               -110619,             -2739305,,,,                -26061,                  8088,                -38421,,               -926562,                661356,,              4683988,                 16073,             -1007806,              2502255,                 32568,                456874,              3309584,              3766458,              3766458,,,,                      1,                -30544,             -3236882,,                              0,                 16307,                 50016,             -1190000,              1577989,,,,,,
