證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 償還長期借款,　　 存入保證金減少,　　 預收款項增加－處分資產
1616,2015年01月01日至2015年09月30日,,                413867,                413867,,,                 49665,                  3159,                 38098,                 22565,                 -6383,               -585327,                 -6776,               -484999,,,                -52800,                 46773,                -42099,                421390,                -57790,                 27188,                342662,,                 22275,                -94722,                -47080,                              0,               -119527,                223135,               -261864,                152003,                  6383,                -20800,                  3939,                141525,,                              0,                559992,                -10185,                  1700,               -493145,                 58362,,                              0,               -142929,                     15,               -142914,                 23932,                 80905,                121188,                202093,                202093,,,,,,,,,
1616,2015年01月01日至2015年06月30日,,                509080,                509080,,,                 34779,                  2354,                 13600,                 15113,                 -3644,               -634340,                 -3238,               -575376,,,                -45748,                 74855,                  2291,                364235,                  8335,                 19436,                423404,,                  1991,                -57828,                -46759,,               -102596,                320808,               -254568,                254512,                  3644,                -14435,                   -862,                242859,,,                601200,                 -9478,                  1620,               -405285,                188057,,                              0,               -346424,                    222,               -346202,                -23589,                 61125,                121188,                182313,                182313,                              0,                              0,,,,,,,
1616,2015年01月01日至2015年03月31日,,                561806,                561806,,,                 17519,                  1179,                 15265,                  8171,                   -323,               -641644,                 -7134,               -606967,,,               -162495,                 99733,                -87015,                191028,                  6778,                 14953,                 62982,,                 71303,                 22289,                -47984,                              0,                 45608,                108590,               -498377,                 63429,                    323,                 -6595,                   -119,                 57038,,,                378360,                 -1835,,                106378,                467034,,                              0,               -286602,                    186,               -286416,                 -5585,                232071,                121188,                353259,                353259,,                -15869,,,,,,,
1616,2014年度,,               -228170,               -228170,,,                 79008,                  7158,                 29622,                 42858,                 -8256,                   -233,                  8529,,,,                 87780,                -33629,                 -6091,               -302057,                  1587,                -33826,               -286236,,                -43553,                 43965,                 25175,                 -7363,                 18224,               -268012,               -109326,               -337496,                  8256,                -43663,,               -372903,,                  4129,                              0,                -83446,                  1347,               -131557,               -203662,,                430079,                              0,                  1443,                431522,                  5803,               -139240,                260428,                121188,                121188,                  5865,,,                              0,                              0,                158686,                              0,                              0,
1616,2014年01月01日至2014年09月30日,,               -138432,               -138432,,,                 56566,                  3168,                 21112,                 30724,                 -6130,                   -235,                  7771,                112976,,,                 24537,                 41977,               -144147,               -422970,                 -7631,                -39613,               -547847,,                -21801,                 95050,                 17246,                 -7017,                 83478,               -464369,               -351393,               -489825,                  6130,                -26575,                              0,               -510270,,                  4129,                  5829,                -78242,                  2884,                -67751,               -133151,,                583285,                              0,                  1119,                584404,                 -3505,                -62522,                260428,                197906,                197906,,,,,,,,,
1616,2014年01月01日至2014年06月30日,,               -112847,               -112847,,,                 36709,                  1896,                 24934,                 18800,                 -3843,                   -449,                  6910,                 84957,,,                 23798,                 67049,               -174116,               -426114,                -22166,                -48732,               -580281,,                -40054,                191707,                 -6389,,                145264,               -435017,               -350060,               -462907,                  3843,                -16623,                              0,               -475687,,,                              0,                -62610,                              0,                -16957,               -104231,,                524809,                              0,                    747,                525556,                 -8986,                -63348,                260428,                197080,                197080,                  2974,                -27638,,,,,,,
1616,2014年01月01日至2014年03月31日,,               -123586,               -123586,,,                 19451,                  1192,                 60605,                  8100,                 -1498,                      3,                  9981,                 97834,,,                 18811,                 81872,               -297511,                -93910,                  9706,                  7881,               -273151,,                178113,                 -2023,                 45013,                     -3,                221100,                -52051,                 45783,                -77803,                  1498,                 -6597,                   -449,                -83351,,,                              0,                -46621,,                -69588,               -162243,,                158779,                              0,                    363,                159142,                 10956,                -75496,                260428,                184932,                184932,,                -46034,,,,,,,
1616,2013年度,,                -12837,                -12837,,,                 78678,                  5307,                -32363,                 31287,                 -7700,                              0,                  4921,,,,                -12096,                -34812,                 75824,               -168312,                 -1538,                 20615,               -120319,,                 43747,                 61438,                   -268,                 -2569,                102348,                -17971,                -22919,                -35756,                  7630,                -32187,,                -60313,,                  1529,                195800,                -94523,                  7094,                   -245,                109655,,                              0,                -69094,                              0,               -105887,                  4597,                -51948,                312376,                260428,                260428,                              0,,,                -95078,                 10000,                 -4948,                -36000,                   -793,
1616,2013年01月01日至2013年12月31日,,                -12837,                -12837,,,                 78678,                  5307,                -32363,                 31287,                 -7700,                -95078,                  4921,,,,                -12096,                -34812,                 75824,               -168312,                 -1538,                 20615,               -120319,,                 43747,                 61438,                   -268,                 -2569,                102348,                -17971,                -22919,                -35756,                  7630,                -32187,                              0,                -60313,,                  1529,,                -94523,,                  6849,                109655,,,                -69094,,               -105887,                  4597,                -51948,                312376,                260428,                260428,                195800,,,,                 10000,                 -4948,                -36000,                   -793,                              0
1616,2013年01月01日至2013年09月30日,,                 -9763,                 -9763,,,                 57272,                  4979,                -36123,                 23594,                 -4211,                              0,                  6857,,,,                 55430,                -39409,                 94737,               -146470,                  9317,                 22112,                 -4283,,                 24841,                100319,                -12392,                    414,                113182,                108899,                 67032,                 57269,                  4218,                -24162,                 -2231,                 35094,,                  1229,                204632,                -37062,                  9594,                -25488,                152905,,                              0,               -159898,                              0,               -196874,                  4698,                 -4177,                312376,                308199,                308199,,,,                -94235,,                -41867,                -36000,                   -976,
