證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　 處分投資損失（利益）,　　 其他非流動資產增加,　　　　 處分其他資產損失（利益）,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得以成本衡量之金融資產,　　 取得投資性不動產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　 其他應收款－關係人減少
1474,2015年01月01日至2015年09月30日,,                101440,                101440,,,                 69028,                  4652,                  5184,                    163,                 11376,                 -1338,                              0,                    568,                 -6498,                              0,                              0,                              0,                              0,                 83135,,,                -30310,                 55964,                 -4031,                 -1355,                  6218,                -40521,                -85924,                 12270,                 -2015,                 -2814,                -92518,,                              0,                 12584,                 -1357,                -58919,                 -2784,                 24382,                 -1745,                   -266,                -28105,               -120623,                -37488,                 63952,                  1338,                              0,                -11388,                -14336,                 39566,,                 -6083,                              0,                              0,                -35029,                    741,                 -6074,                              0,                 -2648,                 15746,                              0,                -33347,,                380443,               -456359,                860370,               -860461,                207500,               -211250,                              0,                              0,                -38969,                              0,               -118726,                108571,                 -3936,                370830,                366894,                366894,,,,,,,,,,,,,
1474,2015年01月01日至2015年06月30日,,                 58149,                 58149,,,                 45043,                  3703,,                     61,                  7914,                   -733,                              0,                              0,                 -6498,                              0,                              0,                              0,                              0,                 49468,,,                 -8183,                 54087,                   -581,                -45687,                  4530,                -25302,                -67691,                    823,                 -2830,                 -1110,                -91944,,                              0,                -12753,                    549,                -11475,                   -372,                 17527,                   -730,                 -1123,                 -8377,               -100321,                -50853,                  7296,                    733,                              0,                 -7772,                 -8618,                 -8361,,                 -6083,                              0,                              0,                -11914,                     49,                 -1053,                              0,                              0,                 15746,,                -11567,,              1501632,             -1349086,                550288,               -550284,                 30000,                -27500,                              0,                              0,,                              0,                155050,                   -909,                134213,                370830,                505043,                505043,                              0,                    -22,                 -8312,,,,,,,,,,
1474,2015年01月01日至2015年03月31日,,                 22448,                 22448,,,                 22786,                  1424,,                      9,                  3820,                   -172,                              0,                              0,,                              0,                              0,                              0,                              0,                 27845,,,                  1022,                 34816,                 -4023,                  9338,                 -8781,                -31899,                -40801,                -39436,                 -1073,                 -1331,                -82168,,                              0,                 -3511,                 12764,                    -57,                 -2864,                -14773,                  6462,                              0,                 -1979,                -84147,                -56302,                -33854,                    172,                              0,                 -3753,                              0,                -37435,,                 -6083,                              0,                              0,                   -275,                              0,                              0,                              0,                              0,,,                -27659,,                851214,               -728298,                350086,               -350202,                 30000,                -13750,                              0,                              0,,                              0,                139050,                 -1616,                 72340,                370830,                443170,                443170,                              0,,                -20507,                    -22,                   -794,,,,,,,,
1474,2014年度,,                 73756,                 73756,,,                 92055,                  5416,                -12359,                   -564,                 14853,                 -1454,                    457,                 -2524,,                              0,                    524,                              0,                              0,,,,,                -48020,                   -500,                -30355,                 -6928,                 16186,                 58720,                -16804,                  1487,                 -3784,                -29998,,                    864,                 37704,                  2093,                 44441,                  4339,                -14967,                  8572,                 -2270,                 80776,                 50778,                145801,                219557,                  1975,                  1320,                -14900,                -13012,                194940,,,                    450,                              0,                -47465,                  2524,                      3,                              0,                   -100,,,                -45588,,              2311049,             -2461501,              1050696,             -1030633,                 30000,                -55000,                              0,                   -250,                -38969,                              0,               -194608,                 12746,                -32510,                403340,                370830,                370830,                 -1320,,,                    -61,,,                 95023,                 -1000,                              0,,,,
1474,2014年01月01日至2014年09月30日,,                 29519,                 29519,,,                 69071,                  3924,                 -1039,                     -2,                 11122,                 -1498,                    379,                 -2524,                              0,                              0,                              0,                              0,                              0,                 79433,,,                  1120,                  9742,                   -743,                 17409,                   -857,                -27983,                 27907,                  9148,                  2726,                 -4687,                 33782,,                   -256,                 20412,                  1311,                  4190,                 -1061,                -27216,                  5907,                 -2161,                  1126,                 34908,                114341,                143860,                  1631,                              0,                -11149,                -12022,                122320,,                              0,                              0,                              0,                -13705,                  2524,                   -252,                              0,                   -100,                              0,                              0,                -11533,,              1747694,             -1837662,                850480,               -830547,                 30000,                -41250,                              0,                              0,                -38969,                              0,               -120254,                  3972,                 -5495,                403340,                397845,                397845,,,,,,,,,,,,,
1474,2014年01月01日至2014年06月30日,,                 16332,                 16332,,,                 47101,                  2438,,                      2,                  7432,                   -977,                    455,                 -2438,                              0,                              0,                              0,                              0,                              0,                 52569,,,                  3564,                 28263,                   -290,                 83711,                   -297,                -11167,                  8389,                  6367,                 -1050,                 -2336,                115154,,                   -256,                  8209,                  2320,                -90008,                    -59,                -30497,                  3242,                 -1144,               -108193,                  6961,                 59530,                 75862,                  1250,                              0,                 -7501,                 -6983,                 62628,,                              0,                              0,                              0,                 -4676,                  2438,                 -1213,                              0,                              0,                              0,,                 -3451,,              1263543,             -1353920,                510396,               -490331,                 30000,                -27500,                              0,                              0,,                              0,                -67812,                  5939,                 -2696,                403340,                400644,                400644,                              0,                 -1444,                              0,,,,,,,,,,
1474,2014年01月01日至2014年03月31日,,                  7491,                  7491,,,                 25279,                  1151,,                      2,                  3739,                   -511,                    484,                    -19,,                              0,                              0,                              0,                              0,                 30125,,,                  3564,                 20980,                    258,                    642,                   -954,                -19713,                -52073,                 -2545,                   -990,                   -560,                -51391,,                   -256,                 39070,                  1866,                  5032,                 -2950,                -52007,                    724,                   -577,                 -9098,                -60489,                -30364,                -22873,                    665,                              0,                 -3772,                     -2,                -25982,,                              0,                              0,                              0,                 -2370,                     19,                              0,                              0,                              0,,,                 -2601,,                686710,               -722585,                320000,               -300098,                              0,                -13750,                              0,                              0,,                              0,                -29723,                  9541,                -48765,                403340,                354575,                354575,                              0,,                              0,                              0,                   -250,,,,,,,,
1474,2013年度,,                 82522,                 82522,,,                 69088,                  8344,                  7276,                    210,                 14488,                 -1891,                 10046,                   -246,,                              0,                 -1323,                     70,                              0,,,,,                 62340,                   -493,                -87178,                  3100,                 65425,               -171516,                 -8492,                  1892,                 -1382,               -136304,,                  6790,                -78512,                 -8524,                    647,                   -142,                 55352,                  7032,                 -2219,                -19576,               -155880,                -50886,                 31636,                  1370,                              0,                -14539,                 -3090,                 15377,,,                  2393,                              0,               -179094,                    289,                    315,                              0,                              0,,,               -177990,,              2771726,             -2566656,              1130623,             -1160626,                              0,                -48750,                              0,                   -200,                -13272,                -20531,                 92314,                  3055,                -67244,                470584,                403340,                403340,                              0,,,                 -1068,,,                104994,                              0,                 -1893,,,,
1474,2013年01月01日至2013年12月31日,,                 82522,                 82522,,,                 69088,                  8344,                  7276,                 -1323,                 14488,                 -1891,                 10046,                   -246,,                              0,                              0,                     70,                              0,,,,,                 62340,                   -493,                -87178,                  3100,                 65425,               -171516,                 -8492,                  1892,                -10784,               -145706,,,                -78512,                 -8524,                    647,                   -142,                 55352,                  7032,                 -2219,                -26366,               -172072,                -67078,                 15444,                  1370,                              0,                -14539,                 -3090,                   -815,,,                  2393,                              0,               -171585,                    289,                    315,                              0,                              0,,,               -161798,,              2771726,             -2566656,                -30003,,                              0,                -48750,                              0,                   -200,                -13272,                -20531,                 92314,                  3055,                -67244,                470584,                403340,                403340,                              0,                   -858,,,,,                104994,,,,                  6790,,
1474,2013年01月01日至2013年09月30日,,                 28664,                 28664,,,                 52650,                  6382,                 -5938,                   -725,                 10549,                   -864,                  7908,                   -199,,                              0,                              0,                              0,                              0,,,,,                 57866,                   -125,                -90794,                  3070,                -10205,               -201812,                -32624,                 -1933,                -12656,               -289213,,                              0,                -72653,                 -7106,                 21099,                    761,                 25175,                 21649,                 -1134,                -12209,               -301422,               -232727,               -204063,                    864,                              0,                -10658,                 -3070,               -216927,,,,                              0,                -10080,                    242,                    275,                              0,                              0,,,                 -5851,,              1988934,             -1843721,                920356,               -910477,                              0,                -35000,                              0,                   -200,                -13272,                -20531,                 86089,                  4473,               -132216,                470584,                338368,                338368,                              0,                 -1068,,,                              0,,                 68695,,,                              0,                  3712,,
