證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 預付設備款增加,　　 預付設備款減少,　　　　　 應收票據（增加）減少,　　　　 非金融資產減損損失,　　 庫藏股票買回成本
3559,2015年01月01日至2015年09月30日,,                234185,                234185,,,                306957,                    298,                    206,                    102,                 -6058,                    212,                   -789,                     -8,                 -6788,                294132,,,                -20367,                    -40,                    543,                   -746,                 -8593,                      5,                -29198,,                    539,                 13602,                 -4599,                 -4105,                 32576,                 38013,                  8815,                302947,                537132,                  6112,                   -102,                -30655,                512487,,                -10000,                 10008,               -376685,                  1364,                    -63,                 -4514,                              0,               -379890,,                110524,               -115270,               -142511,                  9684,               -137573,                    278,                 -4698,                642523,                637825,                637825,,,,,,,,
3559,2015年01月01日至2015年06月30日,,                141218,                141218,,,                198810,                    298,                 -5240,                     96,                 -4252,                    195,                   -225,                     -8,                   -707,                188967,,,                 15880,                   -230,                    171,                   -631,                -10304,                      5,                  4891,,                  1041,                 24028,                 -9618,                 -1116,                 19217,                 33552,                 38443,                227410,                368628,                  4238,                    -96,                -29298,                343472,,                -10000,                 10008,               -299498,                    800,                    -63,,,               -298753,,                 91026,                -95772,,                  7793,                  3047,                    -92,                 47674,                642523,                690197,                690197,,,,,,,,
3559,2015年01月01日至2015年03月31日,,                 59482,                 59482,,,                 98967,                    298,                 -7215,                      1,                 -2057,                    178,                              0,,                  1531,                 91703,,,                 44026,                 -1138,                   -309,                   -515,                 -3743,                      5,                 38326,,                     83,                  4349,                -10387,                 -5445,                              0,                -11400,                 26926,                118629,                178111,                  1994,                     -1,                   -200,                179904,,,,                -80528,                              0,,,,                -80528,,,                 -4746,,                  3574,                 -1172,                     20,                 98224,                642523,                740747,                740747,,,,,,,,
3559,2014年度,,                249382,                249382,,,                374619,                  1037,                  4904,                    108,                 -8827,                   -794,                 -1362,                    -34,                 -5166,,,,               -116794,                    -17,                   -490,                              0,                -26026,,               -148162,,,                 13068,                 23683,                  3671,                              0,                 40422,               -107740,                256745,                506127,                  8888,                   -108,                -19035,                495872,,                -80000,                 80034,               -608581,                  5853,                 -2150,                  4986,,               -599858,,                146659,               -142017,               -118022,                 10733,               -102647,                    155,               -206478,                849001,                642523,                642523,,                364485,                 -4835,                              0,                              0,,,
3559,2014年01月01日至2014年09月30日,,                154345,                154345,,,                272795,                              0,                  2181,                     93,                 -7128,                 -1029,                 -1362,                    -34,                 -1892,                263624,,,               -113584,                 -3060,                   -327,                 -3539,                -41528,                              0,               -162038,,                    539,                 25231,                 20707,                  2319,                 16956,                 65752,                -96286,                167338,                321683,                  7268,                    -93,                -18873,                309985,,                -80000,                 80034,               -532275,                  5853,                    -26,                 -1153,                  6139,               -521428,,                125101,               -110019,               -118022,                  7004,                -95936,                    -45,               -307424,                849001,                541577,                541577,,,,,,,,
3559,2014年01月01日至2014年06月30日,,                 66399,                 66399,,,                176679,                              0,                 -1899,                     15,                 -5448,                   -103,                    -47,                              0,                  2419,                171616,,,                -59462,                    -40,                   -178,                 -1896,                -32984,                              0,                -94560,,                  1079,                 56600,                -11390,                    968,                  8500,                 55757,                -38803,                132813,                199212,                  5453,                    -15,                -18674,                185976,,                              0,                              0,               -219037,                    144,                              0,,,               -218893,,                 27065,                -27065,,                  3996,                  3996,                     77,                -28844,                849001,                820157,                820157,,,,,,,,
3559,2014年01月01日至2014年03月31日,,                 20800,                 20800,,,                 88090,                              0,                    -70,                     10,                 -2742,                   -358,                    -22,,                    181,                 85089,,,                -14061,                 -2409,                    302,                 -1122,                 -3522,                    -11,                -20823,,                     83,                  4897,                -16356,                   -413,                              0,                -11789,                -32612,                 52477,                 73277,                  2699,                    -10,                   -270,                 75696,,,,                -52213,                     32,,,,                -52181,,,                              0,,                  1558,                  1558,                     89,                 25162,                849001,                874163,                874163,,,,,,,,
3559,2013年度,,                165481,                165481,,,                352005,                              0,                  1588,                      3,                 -8980,                  1381,                     -1,                     -8,                 -1361,,,,                 17139,                     58,                   -530,                              0,                    851,,                 13162,,,                    594,                  6344,                 -3405,                              0,                  3533,                 16695,                361322,                526803,                  8869,                     -3,                -20488,                515181,,                              0,                 20008,               -292724,                    363,                   -106,                 -5014,,               -275389,,                              0,                              0,               -129655,                  1432,               -128223,                    -67,                111502,                737499,                849001,                849001,,                344627,                 -4356,                 -2645,                  4729,,,
3559,2013年01月01日至2013年12月31日,,                165481,                165481,,,                352005,,                  1588,                      3,                 -8980,                  1381,                     -1,                     -8,                 -1361,,,,                 17139,                     58,                   -530,,                    851,,                 13162,,                              0,                  5698,                  1240,                 -3405,,                  3533,                 16695,                361322,                526803,                  8869,                     -3,                -20488,                515181,,                              0,                 20008,               -292724,                    363,                   -106,                 -5014,,               -275389,,,,               -129655,                  1432,               -128223,                    -67,                111502,                737499,                849001,                849001,,                344627,                 -4356,                 -2645,                  4729,                              0,                              0,                              0
3559,2013年01月01日至2013年09月30日,,                144172,                144172,,,                262496,,                   -590,                      3,                 -6326,                    989,                     -1,                     -8,                    897,,,,                -18436,                   -296,                   -233,,                   -207,,                -22443,,                    539,                  6271,,                 11421,                   -144,                 18087,                 -4356,                253104,                397276,                  6267,                     -3,                -20228,                383312,,                              0,                 20008,               -200987,                    363,                   -106,                    -14,,               -179282,,                              0,                              0,               -129655,                    754,               -128901,                     12,                 75141,                737499,                812640,                812640,,                257460,                 -3271,                 -2575,                  4029,,,
