證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 應付公司債匯率影響數,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 持有至到期日金融資產到期還本,　　 處分避險之衍生金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 長期應收租賃款減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他金融負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分持有至到期日金融資產,　　 其他金融資產減少,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 長期應收租賃款增加,　　 存入保證金增加,　　 其他籌資活動,　　 取得持有至到期日金融資產,　　　　　 預付費用（增加）減少,　　　　　 其他營業負債增加（減少）,　　 處分以成本衡量之金融資產
2637,2015年度,,              2249892,              2249892,,,              3635692,                    438,                 50984,                 52543,                957975,                 39787,                -42767,                    994,               -489936,                              0,                -14959,              4190751,,,                  5498,                 -5781,                -38534,                -27952,                 -1438,                 36685,                              0,                -31522,,                 10616,                    984,                 80828,                 13434,                 22736,                   -279,                128319,                 96797,              4287548,              6537440,                 40928,               -885261,                    -24,              5693083,,                 95259,                736290,               -572687,              3449038,                 57028,                -90719,            -12636399,             -8962190,,                              0,                -77567,              2570586,                              0,              3388142,                              0,                685187,                              0,                              0,                -65172,             -1454124,                -22852,              5024200,               -330165,              1424928,                487078,              1912006,              1912006,,,,,,,,,,,,,,,,
2637,2015年01月01日至2015年09月30日,,              1818033,              1818033,,,              2669489,                    348,                 50512,                 26814,                701790,,                -35494,                    906,               -508760,                              0,                 25588,              2931193,,,                  5579,                 -3228,                 -6735,                -16694,                 13475,                -10379,,                -17982,,                 27042,                    984,                191027,                -26017,                 44863,                   -290,                237609,                219627,              3150820,              4968853,                 30569,               -653339,                    -16,              4346067,,,                611934,               -487311,              3372248,                 47398,                -39873,            -11478036,             -7973640,,                              0,                 -1136,              2574256,                              0,              4328694,                              0,,                -51454,                              0,                -32718,             -1454124,                -16980,              5346538,               -432837,              1286128,                487078,              1773206,              1773206,                              0,                              0,,,,,,,,,,,,,,
2637,2015年01月01日至2015年06月30日,,              1092088,              1092088,,,              1728972,                    239,                 17443,                 25183,                450024,,                -29036,                  4098,               -162686,                              0,                 12197,              2046434,,,                 20934,,                 -1791,                -49313,                 -6932,                -28377,,                -65479,,                 18170,,                 47183,                  5945,                 22000,                    188,                 93486,                 28007,              2074441,              3166529,                 25026,               -424391,                     -8,              2767156,,,                420820,               -288415,              1028255,                 35534,                -41254,             -8665030,             -7510090,,                              0,                 -6693,              2416896,                              0,              4883928,                              0,,                -32330,,               -221051,,                -11224,              7029526,                 66021,              2352613,                487078,              2839691,              2839691,,                              0,,,,,,,,,,,,,,
2637,2015年01月01日至2015年03月31日,,                532946,                532946,,,                845099,                    142,                 17636,                  5823,                210482,,                -14413,                  2607,               -164481,                              0,                 10181,                913076,,,                 23633,,                 -2031,                -24233,                  2137,                -12239,,                -12733,,                  9929,,                 14843,                -19900,                 18159,                     83,                 23114,                 10381,                923457,              1456403,                 12354,               -199949,                     -4,              1268804,,,                222669,               -128313,              1050313,                 20013,                              0,             -4688855,             -3515195,,                              0,                 -1554,,,              2990582,,,                -16558,,               -124235,,                 -5674,              2842561,                 22032,                618202,                487078,              1105280,              1105280,,                  8978,                              0,,,,,,,,,,,,,
2637,2014年度,,              1803927,              1803927,,,              3052570,                    753,                  3903,                -61121,                810103,                   -137,                -81831,                -21131,                 -9748,                 -1196,                503179,              4195344,,,                 -2057,                              0,                 27565,                 86158,                -21122,                -43900,                              0,                 46644,,                -51969,                              0,                -51571,                 21579,                -70656,                 -2774,               -155391,               -108747,              4086597,              5890524,                 83697,               -733554,                   -410,              5240257,,                 16482,                339468,               -377952,                574156,                348020,                -41645,            -11186322,            -10327793,,                155212,                              0,                              0,               -245702,              3990806,                -31650,                              0,                -81509,                378444,                              0,               -902219,                -21820,              3241562,               -106780,             -1952754,              2439832,                487078,                487078,,,,,,,,,,,,,,,,
2637,2014年01月01日至2014年09月30日,,              1187230,              1187230,,,              2236473,                    614,                  3520,                -30023,                603845,,                -65889,                -10689,                 -9691,                 -1189,                482923,              3209894,,,                  8039,                              0,                 24104,                 37030,                 -7296,                -77535,,                -15658,,                  1959,                              0,                 -4917,                    546,                -22938,                 -1897,                -27247,                -42905,              3166989,              4354219,                 63486,               -540238,                   -424,              3877043,,,                199011,               -304612,                551843,                314911,                              0,             -9146758,             -8369387,,                177873,                              0,                              0,               -236154,              3272157,                -30420,,                -61805,                344049,                              0,               -902219,                -16269,              2547212,                113243,             -1831889,              2439832,                607943,                607943,                 15705,                    513,,,,,,,,,,,,,,
2637,2014年01月01日至2014年06月30日,,                799088,                799088,,,              1469610,                    410,                  2342,                 -2460,                399933,,                -43935,                 -5399,                 -9710,                 -1291,                471710,              2281210,,,                   -700,,                  6651,                 24316,                -21856,                -97623,,                -89212,,                -17080,,                -98949,                -27600,                 -2557,                 -1733,               -147919,               -237131,              2044079,              2843167,                 38521,               -354693,                   -123,              2526872,,,                              0,               -182492,                541775,                 63322,                              0,             -4794333,             -4329888,,                200828,                              0,                              0,               -231746,              1027483,                -29865,,                -42820,,               -144066,,                -10867,                768947,                 11251,             -1022818,              2426281,              1403463,              1403463,,                 41840,,,,,,,,,,,,,,
2637,2014年01月01日至2014年03月31日,,                575776,                575776,,,                721812,                    205,                              0,                 -5934,                191060,,                -24042,                -11180,                -11424,                 -1295,               -127144,                732058,,,                  4510,,                  3918,                 -5302,               -111401,                 45591,,                -62684,,                -11978,,                -34270,                -20121,                 10649,                 -1912,                -57632,               -120316,                611742,              1187518,                 24236,               -172575,                              0,              1039179,,,                              0,                -70119,                420293,                 17225,                -65058,             -1501950,             -1199609,,                 27973,                              0,,,                              0,,,                -31648,,               -232024,,                 -5449,               -496214,                 44265,               -612379,              2426281,              1813902,              1813902,,                              0,               -255066,,,,,,,,,,,,,
2637,2013年度,,              1498716,              1498716,,,              2792740,                    819,                  6050,                 33122,                678206,,                -80017,                -13838,                -82492,,                144664,,,,                -16174,,                -53602,                -22500,                  7219,                -24904,                              0,               -109961,,                 33362,,                  3680,                222575,                 25420,,                179387,                 69426,              3530212,              5028928,                 82089,               -671033,                 -1458,              4438526,,,                383775,             -1062627,                385541,,                -97370,             -7927594,             -8304100,,,               -109141,              1788300,                              0,              2410870,                -44708,,               -128102,                487604,,               -691604,                -21376,              4863537,                595711,              1593674,                846158,              2439832,              2439832,                141213,                              0,,,                -18468,              3460786,                              0,               -103707,                 -1943,               -127038,                              0,              1171694,,,,
2637,2013年01月01日至2013年12月31日,,              1498716,              1498716,,,              2792740,                    819,,               -132048,                678206,,                -80017,                -13838,                -82492,,                480215,,,,                -10100,,                -53602,                -22500,                  7219,                -24904,                   -388,               -104275,,                 33362,,                  2805,                222575,                 26683,,                179775,                 75500,              3700617,              5199333,                 82089,               -671033,                 -1458,              4608931,,,,             -9025347,                599769,,               -110920,,             -8522323,,,               -109141,              1788300,,              2410870,                -44708,,               -128102,                487604,,               -707661,,              4868856,                624659,              1580123,                846158,              2426281,              2426281,                141213,                              0,,,                -18468,              3625117,                              0,               -103707,                 -1943,               -127038,                              0,              1171694,,,,
