證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 以成本衡量之金融資產減資退回股款,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 其他金融資產增加,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 其他項目,　　 其他應收款增加
2511,2015年01月01日至2015年09月30日,,              1032053,              1032053,,,                267131,                 46367,                 -2239,               -110175,                253346,                 -5531,               -125732,                              0,                -17795,                  2065,                              0,                  3371,                              0,                -12825,                297983,,,                 37665,                 -4418,              4548045,                 -5105,               -407370,                211033,             -2735660,               -108559,                  9707,                 -6163,              1539175,,                106968,             -1289080,                111269,               -134524,                -88273,                  3217,                 90810,                -15702,                  5291,                    -72,             -1210096,                329079,                627062,              1659115,                  4306,                166772,               -214295,               -185577,              1430321,,                 33927,                              0,                              0,                 30057,                -37833,                     43,                -95247,                   -530,                              0,                  1075,                818455,                749947,,                419290,             -1373803,                              0,              5064097,             -4709735,                 10078,                 -7478,             -1329873,                              0,                    168,             -1927256,                     16,                253028,              2165806,              2418834,              2418834,,,,,,,,,,,
2511,2015年01月01日至2015年06月30日,,                813108,                813108,,,                179047,                 30892,                              0,               -110456,                177202,                 -4707,               -117754,                              0,                -69221,                    -92,                              0,                    315,                              0,                  9234,                 94460,,,                 37665,                 53027,              4700973,                -23022,               -365048,                223516,             -1186116,                  6037,                -96932,                -15045,              3335055,,                208300,             -1203982,                141515,                  7702,               -116404,                  1752,               -167903,                -18410,                  4648,                    -48,             -1142830,              2192225,              2286685,              3099793,                  5764,                117754,               -143477,               -130366,              2949468,,                 26580,                              0,                              0,                 30057,                -18199,                  1143,                              0,                   -284,                              0,                  1075,                 31561,               -159057,,                360000,                              0,                              0,              3404340,             -4476635,,,                              0,                              0,                   -536,             -1338665,                     -4,              1451742,              2165806,              3617548,              3617548,                -84489,               -146501,                              0,               -523554,                   -541,               -101739,,,,,
2511,2015年01月01日至2015年03月31日,,                226407,                226407,,,                 89872,                 15448,                              0,                 -6090,                 94053,                 -1249,                -28228,                              0,                -37250,                    492,,                  1256,                              0,                  4171,                132475,,,                 20657,                 50821,              2278116,                -60818,                 93757,                 52955,               -597417,                124891,                -67665,                 -5782,              1889515,,                  4395,             -1089199,                -82522,                -96414,               -149065,                  1509,               -121953,                 62399,                  4014,                    -23,             -1466859,                422656,                555131,                781538,                  2224,                 28228,                -65709,                 -9846,                736435,,,                              0,,,                 -5525,                     39,                -16802,                              0,                   -560,                  1074,                215478,                -30105,,,                              0,,                786600,               -819100,                  6904,                 -2727,,                              0,                              0,             -1163159,                 -1116,               -457945,              2165806,              1707861,              1707861,,               -223809,               -615000,               -519836,,,,,,,
2511,2014年度,,              2543101,              2543101,,,                352793,                 63391,                 -3564,                 16988,                349041,                 -7838,               -227474,                 73500,                -82945,                  4853,,                    703,                 12053,                -22704,,,,                              0,                -41730,             -1618362,                342974,               -141894,                 22587,             -3003086,                103198,                203784,                 36573,             -4095956,,                -53305,                107504,                 82468,                 59206,                -60598,                  2649,               -133593,                 14291,,                  3136,                 14511,             -4081445,             -3552648,             -1009547,                  6816,                249074,               -348091,               -100264,             -1202012,,                  1756,                 25000,                              0,                 30361,               -112414,                  4880,                 -1056,                 -1370,                 -3288,,                372915,               -114636,,,                458857,                              0,              4559058,             -6759877,                              0,,               -484177,              4335000,                   -363,              1310731,                  2993,                 -2924,              2168730,              2165806,              2165806,                              0,               -431420,               -779416,,                 -7581,                -10770,,                528797,                 -7247,,
2511,2014年01月01日至2014年09月30日,,              1047137,              1047137,,,                255484,                 46969,                 -1728,                 31735,                267006,                 -7601,               -227299,                 73500,                -93048,                 14026,                              0,                    705,                 11814,                 -7961,                363602,,,                              0,                 16653,              3045109,                323188,               -446562,                 33453,             -5002023,                 95319,                -61198,                -12914,             -2008975,,                 60158,             -1664011,                319590,               -279875,               -125092,                  3247,              1081736,                -14850,                 -2910,                    711,               -621296,             -2630271,             -2266669,             -1219532,                  6298,                248899,               -241433,                -50799,             -1256567,,                              0,                 25000,                              0,                 30361,                -85979,                    919,                   -337,                   -407,                 -1484,                              0,               -346365,               -378292,,                 37584,                349985,                              0,              3618515,             -6076699,                 37479,                 -5125,               -484177,              4335000,                              0,              1812562,                   -661,                177042,              2168730,              2345772,              2345772,,,,,,,,,,,
2511,2014年01月01日至2014年06月30日,,                743978,                743978,,,                165405,                 31505,                 -1728,                 20347,                193948,                 -8901,               -183928,                 73500,                -36072,                 12804,                              0,                    705,                 11814,                   -613,                278786,,,                     40,                -15946,              2936920,                163658,               -519462,                 33859,             -3460418,                 77523,                -57940,                -16272,               -858038,,                161674,             -1660267,                392278,               -318324,               -160795,                  5330,                883885,                -19220,                    661,                  1121,               -713657,             -1571695,             -1292909,               -548931,                  7470,                183928,               -160453,                -40247,               -558233,,                              0,                 25000,                              0,                 30361,                -59736,                    488,                 16506,                   -407,                 -1484,                              0,                              0,             -1359920,,                              0,                119601,                              0,              2319182,             -2049041,,,                              0,              4335000,                              0,              3698820,                     -2,              1780665,              2168730,              3949395,              3949395,                              0,             -1370648,             -1018000,                              0,                 -4430,                 -3492,,,,,
2511,2014年01月01日至2014年03月31日,,                244084,                244084,,,                 76543,                 16042,                   -296,                  4560,                 96485,                   -992,               -176439,                 73500,                -19898,                  1939,,                              0,                 11813,                 -8564,                 74693,,,                              0,                -39301,              2396251,                494132,                -81272,                 31276,             -2141132,                161468,                -45527,                 -8482,                767413,,                 -6753,             -1651032,                 99066,               -119662,               -199020,                  2267,                504268,                -27721,                    334,                   -105,             -1398358,               -630945,               -556252,               -312168,                  1062,                176439,                -80015,                -34591,               -249273,,,                 25000,,,                -22314,                 10238,                -52113,                   -365,                 -1484,                              0,                              0,             -4308731,,,                432130,,                888339,               -422499,                  3664,                -42502,,              4335000,                    -26,              4416806,                  2004,               -139194,              2168730,              2029536,              2029536,,             -4267693,               -777300,                              0,,,,,,,
2511,2013年度,,              1730872,              1730872,,,                368203,                 69294,                    207,                 -3754,                374709,                -30115,                -50024,                              0,                -94679,                  1852,,                              0,                              0,                 -9848,,,,                  7482,                 37175,             -1550761,               -543214,                100638,               -112443,             -1649768,               -391681,               -206749,                  3809,             -4305512,,               -134058,                978199,               -365139,               -257210,                254599,                  6009,              1473007,                  8686,,                 86176,              2042623,             -2262889,             -1637044,                 93828,                 30179,                 68024,               -370690,               -119809,               -298468,,                  9028,                              0,                  3516,                 66646,               -265333,                  5854,                              0,                    -81,                -21491,,                657775,             -1707713,,,                190774,              2500000,              6688219,             -8675355,                  2784,,               -597238,                              0,                    462,               -177521,                    199,             -2183503,              4352233,              2168730,              2168730,                156617,             -2320244,               -275000,,                              0,                -12167,,                625845,                 -7646,,
2511,2013年01月01日至2013年09月30日,,                -77416,                -77416,,,                272953,                 51873,                    400,                -25582,                277935,                -20681,                -27142,                              0,                -87645,                   -540,,                              0,,                 -6766,,,,                              0,                -48834,              1298445,                -33660,                -21046,                -51379,             -2968632,               -336268,               -423171,                -12387,             -2596932,,                -73371,               -710853,               -133862,               -375428,,                  7399,              2058111,                -17923,,                  3553,                758955,             -1837977,             -1403510,             -1480926,                  6130,                 45142,               -290366,                -37372,             -1757392,,                  5457,                              0,                  3701,                 66646,               -139199,                  2381,                              0,                              0,                   -817,,                 61701,             -1929393,,                423000,                560733,                              0,              9641742,             -9854985,                 19954,                 51058,                              0,                              0,                    586,                842088,                   -234,             -2844931,              4352233,              1507302,              1507302,                178522,             -2107785,,,,,,                434467,                  1329,                   -338,
2511,2013年01月01日至2013年06月30日,,                113798,                113798,,,                186722,                 34829,                    -92,                  9931,                184230,                -19874,                              0,                              0,                -54422,                              0,                              0,                              0,,                -12388,,,,               -100000,                -25174,              1280559,               -262715,               -202280,                182991,               -699716,               -223951,               -264622,                -20308,               -335216,,                144484,             -1030232,                142275,               -498522,,                  4540,              1132255,                -60317,,                  3555,               -161749,               -496965,               -168029,                -54231,                  4912,                              0,               -159040,                -38945,               -247304,,                  5909,                              0,,                              0,                -93789,                  2658,,                              0,                   -817,,,             -1231675,,,                142937,                              0,              5988156,             -6297145,                 18532,                 35856,,                              0,                    583,               -971081,                  2169,             -2447891,              4352233,              1904342,              1904342,                128966,             -1274602,               -860000,,                              0,,,                328936,                    213,,                              0
