證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　 應付短期票券減少
1762,2015年01月01日至2015年09月30日,,                247423,                247423,,,                 75879,                  1167,                  6438,                   -295,                 -3017,                              0,                    971,               -233088,                  6362,               -145583,,,                    571,                -21587,                 10011,                 -5836,                -20053,                 -2797,                -39691,,                    142,                -24288,                  8188,                 -1549,                 -2948,                -20455,                -60146,               -205729,                 41694,                    295,                  3017,                 -6718,                -18859,                 19429,,                -15000,                679250,                -71655,                   -845,                 -3023,                588727,,                 -5000,                    -58,                350000,               -960000,                -38780,                -16545,               -670383,                    702,                -61525,                221456,                159931,                159931,,,,,,
1762,2015年01月01日至2015年06月30日,,                209252,                209252,,,                 50903,                    757,                  4767,                   -169,,,                    971,               -233088,                  6362,               -169497,,,                    831,                -43277,                 11619,                 -1276,                 19884,                 -4914,                -17133,,                    817,                -19068,                    973,                    181,                 -1302,                -18399,                -35532,               -205029,                  4223,                    169,,                 -4981,                -17601,                -18190,,,                679250,                -47848,                   -350,                   -998,                630054,,,                     15,                110000,               -740000,,                -16545,               -661530,                   -340,                -50006,                221456,                171450,                171450,                -15000,,,,,
1762,2015年01月01日至2015年03月31日,,                193492,                193492,,,                 25854,                    334,                  3136,                   -116,,,                    971,               -233088,                  6362,               -196547,,,                    170,                -82980,                 10750,                 -5173,                 -6966,                 -3811,                -88010,,                   -893,                 26049,                 -2106,                  1008,                 -2200,                 21858,                -66152,               -262699,                -69207,                    116,,                 -3447,                -17271,                -89809,,,                679250,                -23092,,,                656158,,                 95000,                 29901,,               -740000,,                -16545,               -631644,                   -141,                -65436,                221456,                156020,                156020,,                              0,,,,
1762,2014年度,,                 37907,                 37907,,,                 95484,                  1008,                 14022,                   -582,                 -2514,                    480,                     81,,,,,,                    -71,                  1610,                -10338,                    398,                -98078,                  1932,               -104547,,                    578,                 29626,                 -3792,                 -7842,                -15914,                  2656,               -101891,                  6088,                 43995,                    582,                  2514,                -14285,                 -9725,                 23081,,                -15000,,               -144128,                 -2461,,               -160700,,                 45000,                119879,              1300000,             -1225000,                -93002,,                146877,                    713,                  9971,                211485,                221456,                221456,,                    889,,                              0,                107979,
1762,2014年01月01日至2014年09月30日,,                 13625,                 13625,,,                 69843,                    674,                 10066,                   -303,                 -2514,                    480,                              0,                              0,                              0,                 78246,,,                 -2316,                 13913,                 -4069,                 -6377,               -130034,                 -1235,               -130118,,                  2024,                 19718,                   -736,                 -3767,                -11762,                  5477,               -124641,                -46395,                -32770,                    303,                  2514,                -10047,                 -9742,                -49742,,                -15000,                              0,               -108682,                 -2461,                    892,               -125251,,                645000,                 89822,                650000,             -1175000,                -77560,                -15442,                116820,                    204,                -57969,                211485,                153516,                153516,,,,,,
1762,2014年01月01日至2014年06月30日,,                 41001,                 41001,,,                 46102,                    365,                  6487,                   -287,,,                              0,                              0,                              0,                 52667,,,                 -2497,                 58861,                 -3699,                   -367,                -74474,                 -6742,                -28918,,                  1395,                 11355,                 -5738,                 -4061,                 -7766,                 -4815,                -33733,                 18934,                 59935,                    287,,                 -6691,                   -774,                 52757,,,                              0,                -70578,                 -2140,                    894,                -71824,,,                 19982,                370000,               -325000,,                -15442,                 19540,                     42,                    515,                211485,                212000,                212000,                -30000,,,,,
1762,2014年01月01日至2014年03月31日,,                 14187,                 14187,,,                 22886,                              0,                  3212,                     -3,,,                              0,                              0,                              0,                 26095,,,                 -1661,                  8456,                 -2961,                 -4150,                -51724,                 -3499,                -55539,,                   -315,                 26097,                 -3980,                -10856,                 -3892,                  7054,                -48485,                -22390,                 -8203,                      3,,                 -3459,                   -367,                -12026,,,                              0,                -41091,,,                -40199,,                480000,                 20062,,               -462500,,                              0,                 37562,                    803,                -13860,                211485,                197625,                197625,,                    892,,,,
1762,2013年度,,                113682,                113682,,,                 83265,                              0,                 12319,                   -399,                 -2514,                              0,                              0,,,,,,                  1448,                 27701,                  3777,                   -581,                 26743,                   -519,                 58569,,                    315,                -28115,                -29978,                  4203,                -14876,                -68451,                 -9882,                 80464,                194146,                    399,                  2514,                -12254,                -39565,                145240,,                 -9838,,               -110044,                              0,,               -119900,,                              0,                -20048,                650000,               -550000,               -123619,,                -43667,                    617,                -17710,                229195,                211485,                211485,,                    -18,,                 -2325,                 90346,
1762,2013年01月01日至2013年12月31日,,                113682,                113682,,,                 83265,,                 12319,                   -399,                 -2514,                              0,,,,,,,                  1448,                 27701,                  3777,                   -581,                 26743,                   -519,                 58569,,                    315,                -28115,                -29978,                  4203,                -14876,                -68451,                 -9882,                 80464,                194146,                    399,                  2514,                -12254,                -39565,                145240,,                 -9838,,               -110044,,                    -18,               -119900,,                              0,,                650000,               -550000,               -116340,                 -7279,                -43667,                    617,                -17710,                229195,                211485,                211485,,,,                 -2325,                 90346,                -20048
1762,2013年01月01日至2013年09月30日,,                111033,                111033,,,                 60875,                              0,                  9063,                   -110,                 -2514,                              0,,,,,,,                 -1099,                 56670,                  2691,                 -1707,                -22426,                 -5553,                 28576,,                  1668,                -26222,                -27696,                  2604,                -10296,                -59942,                -31366,                 33623,                144656,                    110,                  2514,                 -9112,                -38959,                 99209,,                              0,,                -78494,                              0,,                -79931,,                180000,                -20000,                450000,               -537500,               -116340,                 -7279,                -51119,                    120,                -31721,                229195,                197474,                197474,,                 -1437,,                 -2325,                 64989,
1762,2013年01月01日至2013年06月30日,,                101555,                101555,,,                 39253,                              0,                  5917,                   -106,,                              0,,,,,,,                   -884,                 11015,                  2298,                 -5348,                -12010,                   -670,                 -5599,,                              0,                -30330,                -26329,                 49392,                 -6801,                -14068,                -19667,                 23072,                124627,                    106,,                 -6125,                -23291,                 95317,,,,                -38370,                              0,,                -39842,,                 50000,                -20057,                350000,               -475000,,                              0,                -95057,                    276,                -39306,                229195,                189889,                189889,,                 -1472,,                 -2325,                 42739,
1762,2013年01月01日至2013年03月31日,,                 50700,                 50700,,,                 18554,,                  3058,                     -5,,                              0,,,,,,,                   -283,                  5283,                 -2734,                 -2607,                -21338,                 -1852,                -23531,,                              0,                    728,                -33107,                   -985,                 -3302,                -36666,                -60197,                -38590,                 12110,                      5,,                 -3066,                              0,                  9049,,,,                -27486,,,                -27812,,                100000,                -20047,                100000,               -212500,                              0,                              0,                -32547,                    245,                -51065,                229195,                178130,                178130,,                   -326,,,                 21607,
1762,2012年01月01日至2012年12月31日,,                210806,                210806,,,                 69300,,                  9791,                   -231,                 -2514,                     46,,,,,,,                  2398,                 37657,                 -2868,                  2974,                -23826,                   -471,                 15864,,                              0,                -17018,                 12628,                  6244,                -19439,                -17585,                 -1721,                 76968,                287774,                    231,                  2514,                 -9267,                -29623,                251629,,                              0,,               -763004,,                   -218,               -763222,,                 35000,,              1425000,               -880000,               -116340,                -10996,                502646,                 11713,                  2766,                226429,                229195,                229195,,,,                  2297,                 78689,                 49982
1762,2012年01月01日至2012年09月30日,,                196713,                196713,,,                 51206,,                  6573,                   -120,,                     51,,,,,,,                  3056,                -44141,                     76,                   -329,                 -5103,                 -1681,                -48122,,                              0,                 -3189,                  9756,                   -413,                 -3683,                  2471,                -45651,                 12038,                208751,                    120,,                 -6023,                -26993,                175855,,,,               -749343,,                  1370,               -747973,,                -60000,                 79850,                975000,               -322500,               -116340,                              0,                556010,                   -524,                -16632,                226429,                209797,                209797,,,,                    -21,                 57689,
1762,2012年01月01日至2012年06月30日,,                146569,                146569,,,                 33685,,                  3032,                   -115,,,,,,,,,                  3351,               -108822,                  1571,                  2233,                 -6746,                 -1190,               -109603,,,                 -1141,                  3247,                   -413,                 -2894,                 -1201,               -110804,                -74205,                 72364,                    115,,                 -2431,                -25812,                 44236,,,,               -728893,,                  1353,               -727540,,                 30000,                      3,                685000,                -20000,,,                695003,                    -87,                 11612,                226429,                238041,                238041,,,,                     -3,                 36599,
1762,2012年01月01日至2012年03月31日,,                 43658,                 43658,,,                 16504,,                    617,                 -1664,,,,,,,,,                  3585,                -14091,                 -2478,                  4568,                -68487,                 -9977,                -86880,,,                 13447,                -22122,                    603,                 -1465,                 -9537,                -96417,                -80961,                -37303,,,                   -609,,                -37912,,,,                -22636,,                  1453,                -21183,,                 20000,,                              0,                -10000,,,                  9967,                   -278,                -49406,                226429,                177023,                177023,,,,                     -1,                 15456,                    -33
