證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應付款－關係人增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 存出保證金減少,　　 其他預付款項增加,　　 短期借款增加,　　 其他應付款－關係人減少,　　 現金增資,　　　　　 其他應收款－關係人（增加）減少,　　 其他應付款－關係人增加,　　 其他籌資活動
2929,2015年01月01日至2015年09月30日,,                762784,                762784,,,                 19145,                  5049,                -15639,                     24,                  1470,                 10049,,,                344248,                     91,                -96446,                 27790,                    -34,                275649,,                -53219,                 30771,                    633,                -21815,                253834,                263883,              1026667,               -244644,                782023,,               -501870,                401496,                   -487,                      4,                 11787,                -89070,,                              0,                  1715,                              0,                  1715,                 43892,                738560,              1529622,              2268182,              2268182,                              0,,,,,,,,,,,,,,,
2929,2015年01月01日至2015年06月30日,,                537285,                537285,,,                 12743,                  3359,                -10302,                     24,                  1057,                  6881,,,                257405,                     91,                 27763,                  3055,                    -16,                288298,,               -226886,                -15748,                  1271,               -241363,                 46935,                 53816,                591101,               -179564,                411537,,               -201939,                200333,                   -487,                      4,                  7206,                  5117,,                              0,                  1711,,                  1711,                -40338,                378027,              1529622,              1907649,              1907649,,                              0,,,,,,,,,,,,,,
2929,2015年01月01日至2015年03月31日,,                257149,                257149,,,                  6428,                  1693,                 -6179,                     20,,                  1962,,,                649770,                     91,                -38035,                -86797,                    -42,                524987,,               -331893,                -36930,                  1934,               -366889,                158098,                160060,                417209,               -116699,                300510,,               -201939,,                              0,                      3,                  2645,               -199291,,                              0,                  1725,,                  1725,                -14509,                 88435,              1529622,              1618057,              1618057,,,,,,,,,,,,,,,,
2929,2014年度,,              1132541,              1132541,,,                 23998,                  6600,                 -7934,                     16,,,,,               -250133,                    -91,                 -6696,                -34716,                   -200,               -291836,,                308042,                -49526,                      5,                258521,                -33315,                -10635,              1121906,               -274382,                847524,,,,                -20992,                     60,                  4552,               -474665,,                -34093,                    596,               -237600,               -271097,                 61845,                163607,              1366015,              1529622,              1529622,,,,                              0,                 22680,                              0,               -458280,                    -29,                     24,                              0,                              0,                              0,                              0,,,
2929,2014年01月01日至2014年09月30日,,                679335,                679335,,,                 17616,                  4920,                 -3441,                     16,                              0,                 19111,,,                269271,                              0,                -30343,                -14577,                   -218,                224133,,                 89882,                -65882,                      1,                 24001,                248134,                267245,                946580,               -220252,                726328,,                              0,                              0,                -21243,                     59,                  3441,                -17743,,                -34093,                              0,               -237600,               -271693,                  4447,                441339,              1366015,              1807354,              1807354,                              0,,,,,,,,,,,,,,,
2929,2014年01月01日至2014年06月30日,,                481489,                481489,,,                 11526,                  3288,                 -2107,                      6,                              0,                 12713,,,                215410,                              0,                 30113,                -62264,                   -108,                183151,,               -129770,                -47745,                              0,               -177515,                  5636,                 18349,                499838,               -162611,                337227,,                              0,                              0,                -20565,                     13,                  2107,                -18493,,                -34093,                              0,,                -34093,                -39525,                245116,              1366015,              1611131,              1611131,,                    -48,,,,,,,,,,,,,,
2929,2014年01月01日至2014年03月31日,,                249404,                249404,,,                  5702,                  1668,                   -908,                      2,,                  6464,,,                548878,                              0,                -77843,                -74508,                   -100,                396427,,                -93974,                -69263,                              0,               -163237,                233190,                239654,                489058,                -98216,                390842,,                              0,,                -13203,                              0,                    908,                -12295,,                -34093,                              0,,                -34093,                -10830,                333624,              1366015,              1699639,              1699639,,,,,,,,,,,,,,,,
2929,2013年度,,                870317,                870317,,,                 22289,                  6464,                   -595,                     -7,,,,,               -707734,                              0,                  1163,                 30377,                    -18,               -676212,,                208890,                 92087,                              0,                300953,               -375259,               -346973,                523344,               -193623,                329721,,,,                -85887,                    544,                    595,               -135394,,                              0,                  3273,                              0,                933072,                 14277,              1141676,                224339,              1366015,              1366015,,,,                    135,                 28286,                    -24,                              0,                 -2908,                  2884,                -50622,                 33398,                 -2995,                899396,,,
2929,2013年01月01日至2013年12月31日,,                870317,                870317,,,                 22289,                  6464,                   -595,                     -7,,,,,               -707734,,                  1163,                 30377,                    -18,               -676212,,                208890,                 92087,,                300953,               -375259,               -346973,                523344,               -193623,                329721,,,,                -85887,                    544,                    595,               -135394,,,                  3273,,                933072,                 14277,              1141676,                224339,              1366015,              1366015,,,,                    135,                 28286,                    -24,,                 -2908,                  2884,                -50622,                 33398,                 -2995,                899396,,                              0,                              0
2929,2013年01月01日至2013年09月30日,,                535492,                535492,,,                 16721,                  4843,                   -361,                     27,,,,,               -289953,,                -45000,                -25841,                    -18,               -360812,,                146038,                 28639,                              0,                174653,               -186159,               -164856,                370636,               -133532,                237104,,,,                -84371,                    156,                    361,               -134500,,                              0,                  3273,                              0,                 24080,                  6565,                133249,                224339,                357588,                357588,,,,                     73,                 21303,                    -24,,                 -2908,                  2884,                -50622,                 23802,                 -2995,,,,
2929,2013年01月01日至2013年06月30日,,                302308,                302308,,,                 11110,                  3214,                   -158,                     27,,,,,               -184241,,                  9795,                    101,                    -15,               -174360,,                -89170,                 -4486,,                -93680,               -268040,               -253821,                 48487,                -96997,                -48510,,,,                -84371,                    156,                    158,               -134703,,                              0,                  1438,,                 12180,                  5917,               -165116,                224339,                 59223,                 59223,,                              0,,                     26,                 14219,                    -24,,                 -2908,                  2884,                -50622,                 13698,                 -2956,,,,
2929,2013年01月01日至2013年03月31日,,                136490,                136490,,,                  5498,                  1589,                   -110,                     27,,,,,                 23566,,                -47072,                -27135,                    -20,                -50782,,                -43663,                -12123,,                -55786,               -106568,                -99559,                 36931,                -53480,                -16549,,,,                -84371,                    156,                    110,               -137611,,                              0,,,                  5268,                  4815,               -144077,                224339,                 80262,                 80262,,,,                      5,                  7009,,,                 -2884,,                -50622,                  5268,,,                   -121,,
2929,2012年01月01日至2012年12月31日,,                553265,                553265,,,                 20058,                  5776,                   -961,                      7,,,,,                182216,,                 22287,                -43668,                   -393,                160442,,                -82932,                 16665,,                -66267,                 94175,                119055,                672320,               -133594,                538726,,,,               -282699,                     56,                    961,               -450498,,,                    466,,                  3379,                -17096,                 74511,                149828,                224339,                224339,,,,                              0,                 24880,                              0,,                              0,                    728,               -169544,                              0,                              0,                              0,,                  2913,                              0
2929,2012年01月01日至2012年09月30日,,                              0,                              0,,,                              0,                              0,                              0,                              0,,,,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,                              0,                              0,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,
2929,2012年01月01日至2012年06月30日,,                              0,                              0,,,                              0,                              0,                              0,                              0,,,,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,                              0,                              0,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,
2929,2012年01月01日至2012年03月31日,,                              0,                              0,,,                              0,                              0,                              0,                              0,,,,,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,                              0,                              0,,,,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,,,                              0,,                              0,                              0,,,                              0,,
