年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
100/04,3990,測試帳號,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,0,0,經會計師查核
100/04,910069,新曄,      6624352,        468065,        369440,        526736,         33474,      8022067,      4469693,        622750,         23006,      5115449,      2496011,        103380,        440048,       -183683,              0,         50862,      2906618,23.31,100年12月31日之新加坡幣對新臺幣匯率,經會計師查核
100/04,9103,美德醫,      1738888,              0,      1228684,         30956,        314653,      3313181,      1311557,        331039,         16659,      1659255,        658656,        160204,        722417,         33319,              0,         79330,      1653926,30.29,央行我國與主要貿易對手通貨對美元之匯率,經會計師查核
100/04,910322,康師傅,     43353148,      3093253,    122024525,      5770217,      1648534,    175889677,     73518932,     16635287,      4395324,     94549543,        846356,      3804804,     47432226,     11496892,              0,     17759856,     81340134,US $1 : NTS 30.28,台灣銀行100年12月31日即期匯率,經會計師查核
100/04,9104,萬宇科,      6094118,        143132,        542630,        286734,              0,      7066614,      3657581,        395633,              0,      4053214,          3708,        519332,      2436266,        -25990,              0,         80084,      3013400,4.2283,www.oanda.com,經會計師查核
100/04,910482,聖馬丁,      3953147,        123200,        668703,        529195,        186569,      5460814,      1848638,         68922,         64179,      1981739,        285372,      1189961,      1737799,        155766,              0,        110177,      3479075,HKD$1:NT$3.853,以一○一年六月三十日之匯率換算,經會計師查核
100/04,9105,泰金寶,     42105351,        181938,     11688124,        394423,        121173,     54491009,     37931166,         60061,              0,     37991227,      3792127,      2924426,      9823341,        -40112,              0,              0,     16499782,0.93:1(THB:NT),財報日之匯率,經會計師查核
100/04,910579,歐聖,      1927352,              0,      4126023,         83708,         52781,      6189864,      2912262,              0,              0,      2912262,      4004383,        588716,     -1620181,        -65830,              0,        370514,      3277602,RMB$1：NT$4.81,我國與十六個貿易對手通貨對美元之匯率,經會計師查核
100/04,9106,新焦點,      4724052,          7215,      1088467,      2428351,         95692,      8343777,      2898557,      1597136,        237933,      4733626,        280217,      1939773,        585363,        142163,              0,        662635,      3610151,RMB$1:NT$4.8101,台灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
100/04,910708,恒大健,        652335,              0,      1048898,          2565,          7608,      1711406,        338878,        199547,              0,        538425,         26575,      1001557,        144849,              0,              0,              0,      1172981,(HKD$1:NT$3.691),100.06.30 港幣兌新台幣匯率,經會計師查核
