年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/03,1303,南亞塑膠,    186466336,    103142358,    154580444,      2085696,      5796553,    452071387,     63219744,     87006957,              0,     19430580,    169657281,     78522986,     27687634,    127221687,     36884369,              0,              0,     12097430,    282414106,              0.00,        183235.00,             34.43
99/03,1304,台聚,     31243036,      3720501,     13128660,        915135,      2165124,     51172456,     14925812,      6340838,        800992,      3179583,     25247225,      8639716,        216841,      4275552,        626060,              0,              0,     12167062,     25925231,              0.00,     51882799.00,             16.94
99/03,1305,華夏,      6075326,        407270,      4024621,         78638,        712368,     11298223,      3799059,        707354,        592084,      1321456,      6419953,      4248035,          9339,         32981,        478971,              0,              0,        108944,      4878270,              0.00,              0.00,             11.23
99/03,1307,三芳化工,      4789891,        134779,      3738077,        151097,        134833,      8948677,      2619877,        721378,         37782,        302658,      3681695,      3119649,        137866,      2065323,        -55856,              0,              0,              0,      5266982,              0.00,              0.00,             16.88
99/03,1308,亞聚,      4063969,      3303271,        644305,         10272,        537015,      8558832,        672107,              0,         21469,        305706,        999282,      3131179,         31843,      2784194,      1612334,              0,              0,              0,      7559550,              0.00,              0.00,             24.14
99/03,1309,台達化工,      7064895,        756887,      1802874,         54762,        367596,     10047014,      3313617,      2346882,        143860,        549641,      6354000,      2786155,          4701,        472055,        430103,              0,              0,              0,      3693014,              0.00,              0.00,             13.25
99/03,1310,台苯,      6536830,      2225429,      2164080,        135345,        391300,     11452984,      4532270,        462343,         10420,         34056,      5039089,      5803403,        693246,       -467995,       -358915,              0,              0,        744156,      6413895,              0.00,        265425.00,              9.77
99/03,1312,國喬石化,      5319006,      6241064,      7705610,        726786,        705881,     20698347,      4073746,      1200000,      1062196,        480756,      6816698,      9266203,        173021,      1504979,      1222491,              0,              0,      1714955,     13881649,              0.00,     12424473.00,             13.31
99/03,1313,聯成,     21119986,      4368993,      8293982,        487201,        174676,     34444838,     12871085,      3096766,         99828,        330416,     16398095,     10310935,      1023302,      5408506,      1244882,              0,              0,         59118,     18046743,      1836250.00,     11787000.00,             17.65
99/03,1314,中石化,     14445283,      7486039,     16502422,        185106,      8203376,     46822226,      6414391,     10485865,      3871792,        181704,     20953752,     17949630,        314533,      3444244,      4084307,              0,              0,         75760,     25868474,              0.00,              0.00,             14.37
99/03,1315,達新工業,      4328170,        402583,      1536988,         14945,      2109399,      8392085,      1261774,         35026,        710324,        289612,      2296736,      2200000,         29997,        913366,      2919929,              0,              0,         32057,      6095349,              0.00,      7930000.00,             28.59
99/03,1316,上曜,        674481,        173599,        296714,         41539,         17082,      1203415,        291232,              0,              0,            200,        291432,        651661,        122111,        -34490,         37702,              0,              0,        134999,        911983,              0.00,              0.00,             11.92
99/03,1319,東陽,      8236934,      2625646,     15231513,        795165,        932344,     27821602,      6969182,      4849829,              0,        632333,     12451344,      5185575,      4023885,      4473665,        258232,              0,              0,      1428901,     15370258,              0.00,      2717378.00,             27.03
99/03,1321,大洋,      1900323,        678924,      1347870,         63638,        668028,      4658783,      1259907,        300000,              0,        427038,      1986945,      2272283,        101384,        204535,         93636,              0,              0,              0,      2671838,              0.00,      6542716.00,             12.11
99/03,1323,永裕,      1447298,              0,      1363017,         50182,         20393,      2880890,      1128151,        344696,          8767,         99562,      1581176,        827887,         53535,        271042,         49529,              0,              0,         97721,      1299714,              0.00,        354466.00,             14.58
99/03,1324,地球工業,        902344,              0,        467306,              0,         17749,      1387399,        356813,              0,              0,         37886,        394699,        751219,              0,        203165,         38316,              0,              0,              0,        992700,              0.00,              0.00,             13.21
99/03,1325,恒大,        944777,         75866,        761367,            546,         96342,      1878898,         88116,              0,         44912,         43090,        176118,        945379,            766,        536769,        105453,              0,              0,        114413,      1702780,              0.00,              0.00,             16.80
99/03,1326,台化,    172308640,    112902775,    163587507,      1055787,     10472184,    460326893,     81033490,     79654497,              0,      7505626,    168193613,     56904721,      9817433,    116238517,     62827953,              0,              0,     46344656,    292133280,              0.00,     17036314.00,             43.32
99/03,1402,遠東新,     85795704,     45959376,    127816039,     19729613,      7627017,    286927749,     83268004,     47119205,      6299324,      4718121,    141404654,     47545800,     10254977,     23181990,     14492285,              0,              0,     50048043,    145523095,              0.00,              0.00,             20.08
99/03,1410,南染,        523001,         80685,        921422,              0,         31166,      1556274,        124641,              0,        145501,         51889,        322031,        900000,         21784,        -11885,        281113,              0,              0,         43231,      1234243,              0.00,              0.00,             13.23
99/03,1413,宏洲纖維,      1272867,         15596,      1438281,              0,         90579,      2817323,        993458,            382,        145598,        241055,      1380493,      1701874,            541,       -743474,        433238,              0,              0,         44651,      1436830,              0.00,      2097951.00,              8.28
99/03,1416,廣豐,      4881212,      1235878,      1085773,          4054,        113490,      7320407,        765967,        879871,        474016,         62882,      2182736,      3848484,      1002013,        124826,        162371,              0,              0,            -23,      5137671,              0.00,     28205990.00,             14.41
99/03,1417,嘉裕,      2906401,      1215424,        965145,         22143,        562169,      5671282,      1192043,              0,        103078,        103275,      1398396,      3798837,         19571,        -34054,        488532,              0,              0,              0,      4272886,              0.00,              0.00,             11.25
99/03,1418,東華,        654760,        106765,      1490135,         10576,        146559,      2408795,        758949,         50500,        297488,        103645,      1210582,      1319276,          1612,       -184949,         62108,              0,              0,            166,      1198213,              0.00,     10933000.00,              9.90
99/03,1419,新紡,      1330058,      2948757,      4946899,              0,         51670,      9277384,      2312948,              0,        763884,         54005,      3130837,      3000413,            595,        829413,      2316126,              0,              0,              0,      6146547,              0.00,        803829.00,             20.54
99/03,1432,大魯閣,        714807,        152608,        573867,          4206,        536548,      1982036,        615079,        386652,        126634,          4875,      1133240,        885642,         27850,       -266519,        136013,              0,              0,         65810,        848796,              0.00,      3734716.00,              9.23
99/03,1434,福懋興業,     18572275,     34666122,     24010862,        468274,      2211115,     79928648,     12772718,     11625069,              0,      1412850,     25810637,     16846646,        698507,     10544118,     23011286,              0,              0,      3017454,     54118011,              0.00,      3043228.00,             30.39
99/03,1435,中福國際,        335979,        280365,        564073,              0,          8479,      1188896,          3645,              0,        161746,          4994,        170385,      1397801,          1302,       -400027,         19451,              0,              0,            -16,      1018511,              0.00,     14424000.00,              8.13
99/03,1436,華友聯,      2617455,        167387,         29730,          3037,        609412,      3427021,          5350,              0,              0,         29433,         34783,      3300000,        200058,         19199,       -127019,              0,              0,              0,      3392238,              0.00,     13718014.00,             10.73
99/03,1437,勤益投控,      1657056,        172811,      1827100,         16061,      5632518,      9305546,      1181083,      3911594,        371810,        211263,      5675750,      2039649,        318310,         93478,      1114371,              0,              0,         63988,      3629796,              0.00,              0.00,             17.48
99/03,1440,南紡,      8391251,      4816085,     13205695,         23222,      4444326,     30880579,      2688710,         16242,      3361080,      1528917,      7594949,     15233945,         75446,      4909900,      2999920,              0,              0,         66419,     23285630,              0.00,              0.00,             15.24
99/03,1441,大東紡織,        693821,        410200,        702756,         19314,         51847,      1877938,        710656,        269235,        161013,        164711,      1305615,        658000,          6408,       -210606,        118521,              0,              0,              0,        572323,              0.00,              0.00,              8.70
99/03,1442,名軒,      5242668,        757346,        102610,              0,         22446,      6125070,      3659290,         36607,              0,            540,      3696437,      1728084,         57031,        637759,            -87,              0,              0,          5846,      2428633,              0.00,              0.00,             14.02
99/03,1443,立益紡織,      2868730,        141222,      2992332,         69840,         79303,      6151427,      4048769,              0,        227040,         62684,      4338493,      2937729,        247177,     -1688128,        179115,              0,              0,        137041,      1812934,              0.00,      3499257.00,              5.77
99/03,1444,力麗,      6672351,      3921328,      3451470,         17362,        700716,     14763227,      4333384,        451095,          5132,        202481,      4992092,      7833294,        147355,      1387785,       -119429,              0,              0,        522130,      9771135,              0.00,     29264200.00,             12.27
99/03,1445,大宇紡織,      1116641,        215305,        933386,          2119,          6467,      2273918,        178303,              0,         98272,         77222,        353797,      1386670,        172064,        141352,        220035,              0,              0,              0,      1920121,              0.00,              0.00,             13.85
99/03,1446,宏和,        738382,        256490,        945952,              0,      1006653,      2947477,        718326,        309642,              0,         14968,      1042936,      1386215,        297239,        163511,         57576,              0,              0,              0,      1904541,              0.00,              0.00,             13.74
99/03,1447,力鵬,      7204364,      3200026,      5094669,         38386,        261804,     15799249,      5091778,      1504417,              0,        180024,      6776219,      6528665,      1284020,      1341399,       -616075,              0,              0,        485021,      9023030,              0.00,     97467490.00,             15.37
99/03,1449,佳和實業,      2869445,        388024,      2739229,         31644,        365544,      6393886,      2880369,      1428713,        523834,        505093,      5338009,      1871941,        432069,       -922650,       -728200,              0,              0,        402717,      1055877,              0.00,     42037151.00,              4.50
99/03,1451,年興紡織,      7378100,      2632393,      5352285,         63364,        293348,     15719490,      3154658,        163987,              0,        412096,      3730741,      5500000,        384870,      5652927,        341989,              0,              0,        108963,     11988749,              0.00,              0.00,             21.60
99/03,1453,大將,        479140,         60855,        326264,              0,         92611,        958870,        355628,              0,         54850,             40,        410518,        409000,              0,         61825,         59192,              0,              0,         18335,        548352,              0.00,              0.00,             12.96
99/03,1454,台富,      1114147,        259534,        866245,          2947,         19845,      2262718,        507308,        138700,              0,         81472,        727480,      1336284,        115677,         -1180,         84452,              0,              0,              5,      1535238,              0.00,      8823194.00,             12.30
99/03,1456,怡華,      1275162,        153910,      1535055,              0,         28681,      2992808,      1720773,        292533,        190722,        275383,      2479411,      1675000,         18386,       -406490,       -821971,              0,              0,         48472,        513397,              0.00,      4208935.00,              2.85
