年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
98/03,9102,東亞科,      3503068,        188893,      1303120,         30303,        157931,      5183315,      2913274,         86518,         59924,      3059716,      2220764,              0,       -276799,        114478,         -5028,         70184,      2123599,22.75,資產負債表日台銀新加坡收盤價買賣平均匯率,毋須經會計師查核或核閱
98/03,9105,泰金寶,     34692214,         64087,      7204566,        453267,        384818,     42798952,     28395113,              0,              0,     28395113,      3822722,      3050208,      7660732,       -129823,              0,              0,     14403839,0.97:1(THB:NT),財報日之匯率,經會計師核閱
98/03,910579,歐聖,      4710428,              0,      2962329,         48955,              0,      7721712,        639711,      1298694,              0,      1938405,      2483154,        636907,      2775506,       -133736,              0,         21476,      5783307,RMB$1: NT$4.72,我國與16個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
98/03,911606,超級集團,      3973308,      1454122,      2376703,         69896,              0,      7874029,      1254746,        397429,              0,      1652175,      3251084,          4083,      2896016,       -122455,        -41358,        234484,      6221854,SGD$1:NT22.8119,98.9.30，www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
98/03,911609,揚子江,     78409376,      4455828,      9159260,     15031090,        140930,    107196484,     66903769,              0,        509245,     67413014,     23782930,              0,     17504820,     -1501419,         -2861,              0,     39783470,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
98/03,911610,聯合環境,      1735429,        210334,         48992,         42071,      1352950,      3389776,        524064,        382022,         38211,        944297,      1655169,         23891,        778775,        -12356,              0,              0,      2445479,SGD$1:NT$22.84,依臺灣銀行98.12.31即期匯率,毋須經會計師查核或核閱
98/03,911616,杜康控股,      2966161,              0,        115468,        121893,            519,      3204041,        509257,              0,              0,        509257,      1079293,        626539,      1461680,       -472728,              0,              0,      2694784,RMB$1:NT$4.900,2009年3月底,毋須經會計師查核或核閱
98/03,911626,華運中國,      1497028,              0,        186475,         21925,              0,      1705428,        370178,         86440,              0,        456618,        580907,        328653,        339250,              0,              0,              0,      1248810,4.716,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
