年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
101/02,2855,統一證券,     43406902,        514091,      2670324,          1039,      1585224,        386446,     48564026,     27213175,              0,          5760,              0,     27218935,     13231191,        255676,      8040897,       -221148,         38475,     21345091,              0,              0,             16.59
101/02,2856,元富證券,     59023051,      1092274,      2093653,        267464,      1956299,         89479,     64522220,     45192754,        337781,         13185,              0,     45543720,     15285724,         61276,      4199533,       -568033,              0,     18978500,              0,     38800000,             12.74
101/02,6005,群益證,     50664593,      1008013,      6312893,      3558997,      3993280,              0,     65537776,     34663882,        804945,        736133,          8606,     36213566,     23690730,      2735007,      2318122,       -113585,        693936,     29324210,              0,              0,             12.09
