年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
101/04,2880,華南金,,     39816404,    127619967,     42284898,        632486,     50755959,              0,  1374118631,     70816750,    283161524,         81050,     25860366,        869701,     32102525,        432660,     13460368,  2062013289,,     89799416,              0,     23318866,     26310065,      5965865,     42003153,              0,  1663974327,     43350000,      1733000,              0,      2383594,      9633688,     10860037,      9900929,  1929232940,,     86250301,     17758993,     21841822,      6927805,    132778921,          1428,    132780349,              0,              0,             15.39
101/04,2881,富邦金,,    172506291,     74518214,    100841827,     53191101,    116461324,              0,  1229033530,  1423619008,    235709317,      4691208,    522008300,     79294705,     33744542,     13503347,     24133814,  4083256528,,     76405140,              0,     26673629,     32344490,              0,     88770682,              0,  1383866794,    106287447,              0,              0,              0,  1865222998,    177528391,     20883886,  3777983457,,     95269157,     55704785,     86776386,     67522743,    305273071,              0,    305273071,      1486000,              0,             32.05
101/04,2882,國泰金,,    702403376,    104175647,    147145050,     18517498,    115796856,              0,  1520005053,  1284920865,     24380985,      1146326,  1184785896,    163887441,     48821416,      9734376,    109582019,  5435302804,,     56934246,      1456800,      8718702,     22046517,      5540000,     61147624,              0,  1458587976,     89831007,              0,              0,              0,  3117676956,    346983437,     17795091,  5186718356,,    108653851,     78596121,     35587271,     21995591,    244832834,      3751614,    248584448,    200000000,              0,             22.96
101/04,2883,開發金,,     22336596,     36937670,     75334198,     16548948,     50193379,              0,     87303495,     91687956,              0,      7110121,     52624017,              0,      9380855,      7152621,     32535109,    489144965,,      2671557,              0,     18282064,     59313884,      7231662,     37734067,              0,    101550890,     36896569,     13716416,              0,              0,              0,     35069209,     10838726,    323305044,,    144561641,      3072483,      8953700,     -4798976,    151788848,     14051073,    165839921,    274995000,              0,             10.70
101/04,2884,玉山金控,,     23413593,     55855963,     61300358,        210863,     48564037,              0,    735406720,     76668039,    211168563,              0,      6137744,              0,     16669914,      4188907,      4511882,  1244096583,,     46652824,              0,     12418221,      4957725,        781772,     24469413,              0,  1023820129,     53300000,              0,              0,          6755,        116200,      1403736,        995799,  1168922574,,     50107000,     14420331,     10584717,         61961,     75174009,              0,     75174009,              0,              0,             15.00
101/04,2885,元大金,,     36695058,     75523478,     86217206,        201015,     70389705,      1539614,    375712974,     55519030,      2472129,        495769,     35933660,              0,     13224427,     27287092,      7348176,    788559333,,     13070340,              0,     13127988,     30678684,      5430915,     65974035,              0,    435399630,     30837029,      2338328,              0,      1275883,        466558,     16752860,     17286508,    632638758,,    100162105,     34766307,     20491293,     -2589805,    152829900,      3090675,    155920575,     48093000,              0,             15.33
101/04,2886,兆豐金,,    313462564,    150956137,    184569250,      2282053,    125593058,              0,  1502490860,    220625591,    160776041,      2667896,     21884597,        333229,     22705148,        312225,     17290046,  2725948695,,    358982635,     60548901,     14676886,    187481840,      1880597,     61109417,              0,  1718208745,     62449668,      6541000,              0,      3327664,     14882122,      9832957,     11941579,  2511864011,,    114498240,     43425270,     52212649,      3648744,    213784903,        299781,    214084684,              0,              0,             18.67
101/04,2887,台新金控,,     53649307,    136641676,     85988202,      4987265,    107547734,              0,  1787298942,    270722899,    172613773,        251278,     12885644,              0,     41596338,     21729019,     24834645,  2720746722,,    152894925,              0,     11027012,     56534194,          7000,     57162211,              0,  2139646174,     97151937,        579996,              0,              0,        806938,     15035344,      9907860,  2540753591,,     76165841,      9303228,     13157682,      1073198,     99699949,     80293182,    179993131,              0,              0,             13.09
101/04,2888,新光金,,     71181090,    129336837,     56460001,      4481719,     56079965,         77428,    621476783,    345216390,    248171328,        139413,    615891347,    101588260,     22345063,      5546856,     31658012,  2309650492,,      3221695,              0,      2455022,     31630846,      4548869,     34047457,              0,    517220850,     32865243,      3764998,      1654000,              0,  1475109565,     98903402,     11011897,  2216433844,,     84363876,      9161562,     17336220,    -30893426,     79968232,     13248416,     93216648,              0,              0,              9.48
101/04,2889,國票金控,,      1727453,             32,    102693276,         54960,     10290288,              0,              0,     77508325,              0,      1417263,      4577792,              0,      2009866,        528821,      2013264,    202821340,,     10516895,              0,        332559,    150599063,      3587514,      2374248,              0,              0,              0,              0,              0,         82156,      1234384,      2135934,         45494,    170908247,,     25529802,          7544,      2243404,        234832,     28015582,      3897511,     31913093,     28291000,              0,             11.10
101/04,2890,永豐金控,,     25059357,     87672292,     56874247,      3753673,     80466373,              0,    771373163,     56038797,    219843943,         77979,     30958373,              0,     12044373,      3120523,      9779228,  1357062321,,     70454184,              0,     10086752,     22609107,     12875075,     29193390,              0,  1026127562,     43001812,     19208346,         81124,              0,              0,     19471338,      5277395,  1258386085,,     75682739,      1802486,     20799337,        391674,     98676236,              0,     98676236,              0,              0,             13.08
101/04,2891,中信金,,     47705035,    109218345,     77397921,              0,    144401823,              0,  1133807163,    437777564,     71853650,      2111872,     18263200,      2637475,     41375263,     13906286,      9468827,  2109924424,,     30690419,      5008601,     24950658,     61875070,              0,     63497202,              0,  1520139468,     66121632,              0,              0,              0,    129199739,     31202618,      6921147,  1939606554,,    124170262,     16874281,     32529871,     -3342798,    170231616,         86254,    170317870,              0,              0,             13.71
101/04,2892,第一金控,,     54127867,    121161949,     19818269,      3787060,     58693028,              0,  1437769247,     82937505,    280537163,      2401318,     17612244,      1053136,     27108363,        260039,     11270373,  2118537561,,    153181697,         78151,     23121789,      7431152,      1213531,     65457062,              0,  1622262146,     49700000,        558070,              0,      3043661,     14147591,     35521252,      8333915,  1984050017,,     81253607,     18200167,     26148239,      8306697,    133908710,        578834,    134487544,              0,              0,             16.48
101/04,5880,合庫金,,     59384522,    683262154,     68153168,      2067432,     26610993,              0,  1867116105,    110605494,     14462544,         99556,    104572208,              0,     37167520,      3788452,      6301015,  2983591163,,    236448850,              0,      3592769,     51380691,      1821456,     47447331,              0,  2273480798,    110080000,      3783000,              0,      2683081,     56002619,     42077539,      4896654,  2833694788,,     81266667,     57853927,      7587747,        -84551,    146623790,      3272585,    149896375,    217076242,              0,             18.54
