年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
100/01,1101,台泥,     78662336,     11649112,    140342510,     12635760,     16215506,    259505224,     55758562,     67238544,      5247535,      2532432,    130777073,     36921759,     15962923,     20539400,     26474648,              0,              0,     28829421,    128728151,              0.00,              0.00,             27.06
100/01,1102,亞泥,     34544877,     63772303,     66450820,      4847787,      3963364,    173579151,     22791127,     51941513,      1466299,      1969407,     78168346,     30753075,      8259554,     25985123,     16908310,              0,              0,     13504743,     95410805,              0.00,              0.00,             26.63
100/01,1103,嘉泥,     12043741,      8314646,     11186416,        495149,        372808,     32412760,      3662501,      6371094,      1290719,        382777,     11707091,      7322354,        737005,      7120184,      3187788,              0,              0,      2338338,     20705669,              0.00,    124564227.00,             30.23
100/01,1104,環球水泥,      4580393,      6820795,      3673936,         17725,      2459239,     17552088,      1908609,      1105000,      1179798,        246270,      4439677,      6038919,        159730,      3382903,      3325048,              0,              0,        205811,     13112411,              0.00,              0.00,             21.37
100/01,1108,幸福水泥,      5248882,        247225,      2947991,          3155,        609135,      9056388,      3118222,      1412000,              0,        494174,      5024396,      4047380,         27420,        -48128,         -1845,              0,              0,          7165,      4031992,              0.00,              0.00,              9.94
100/01,1109,信大水泥,      2827896,        901441,      4460896,         71075,        224109,      8485417,        270789,      1176720,              0,        389984,      1837493,      4210008,         42598,      1658844,        -47848,              0,              0,        784322,      6647924,              0.00,              0.00,             13.93
100/01,1110,東泥,      1442001,      2350540,      4678342,              0,        884985,      9355868,        384734,              0,        242930,        441424,      1069088,      5720008,        183487,      1595085,        784597,              0,              0,          3603,      8286780,              0.00,              0.00,             14.48
100/01,1201,味全公司,     17939292,        142998,      8490348,        300458,      1001234,     27874330,      7024069,      9272091,        748907,      1725154,     18770221,      5060629,         37921,      2358565,       -624092,              0,              0,      2271086,      9104109,              0.00,              0.00,             13.50
100/01,1203,味王公司,      2897692,        387414,      3984979,          1295,        770923,      8042303,      1077359,        595403,        879845,        501382,      3053989,      2400000,         45012,        588080,      1097565,              0,              0,        857657,      4988314,              0.00,      2294000.00,             17.38
100/01,1210,大成長城,     17564806,      1859484,      8411142,        840138,        688331,     29363901,     12196124,      1380346,         20754,        361950,     13959174,      4946679,      1829380,      3202081,        436967,              0,              0,      4989620,     15404727,              0.00,     36940633.00,             22.75
