年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
99/01,9102,東亞科,      3175597,        220838,      1263414,         12950,        137570,      4810369,      2325937,        143204,         77157,      2546298,      2217835,              0,       -188076,        179829,         -5316,         59799,      2264071,SGD $ 1 : NT $ 22.72,資產負債表日台銀新加坡幣收盤買賣平均匯率,毋須經會計師查核或核閱
99/01,910322,康師傅,     54799510,      2519101,     74241107,      3501466,      1342373,    136403557,     64888409,      5412519,      2597965,     72898893,        888301,     10630645,     33051203,      5197169,              0,     13737346,     63504664,US$1:NT$31.80,臺灣銀行99年3月31日即期匯率,經會計師核閱
99/01,9105,泰金寶,     39654160,        177074,      8216336,        469677,        773221,     49290468,     32707637,         89304,              0,     32796941,      3910634,      3113099,      9619413,       -403755,              0,        254136,     16493527,0.99:1 (THB:NT),財報日之匯率,經會計師核閱
99/01,910579,歐聖,      5889136,              0,      3533353,         50895,         37222,      9510606,        683160,      1128428,              0,      1811588,      3731283,        570601,      3493185,        -96051,              0,              0,      7699018,RMB$1:NT$4.662,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/01,911602,華豐泰國,      1006624,              0,        796846,              0,         14378,      1817848,        333059,        145500,          4852,        483411,        638681,        215442,        480314,              0,              0,              0,      1334437,Baht＄1：NT$0.97,99/3/31之匯率,經會計師核閱
99/01,911606,超級集團,      5229436,      1113880,      2338855,         69451,              0,      8751622,      1484605,        344031,              0,      1828636,      3237815,          2272,      3331485,        149762,        -41189,        242841,      6922986,SGD$1:NT$22.7188,99.3.31，www.oanda.com網站公佈之匯率,毋須經會計師查核或核閱
99/01,911609,揚子江,     71276578,     17061186,      9067302,     15010461,        656429,    113071956,     66393360,              0,      1139804,     67533164,     23758030,              0,     22573393,       -789773,         -2858,              0,     45538792,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/01,911610,聯合環境,      1619967,        206772,         51337,         41290,      2037995,      3957361,        897139,        314158,         51245,      1262542,      1665327,         46187,        985144,         -1839,              0,              0,      2694819,SGD$1:NT$22.99,依臺灣銀行99.6.30即期匯率,毋須經會計師查核或核閱
99/01,911612,滬安電力,      5106668,              0,        553960,        156123,         32476,      5849227,      2708222,              0,          4199,      2712421,      2262990,         12802,        861014,              0,              0,              0,      3136806,4.6654,以99/3/31www.oanda.com網站公佈之匯率換算,毋須經會計師查核或核閱
99/01,911616,杜康控股,      2855537,              0,        104459,        117616,            493,      3078105,        379231,              0,              0,        379231,      1025109,        595084,      1496438,       -417757,              0,              0,      2698874,RMB$1:NT$4.654,2009年9月底,毋須經會計師查核或核閱
99/01,911626,華運中國,      1219189,              0,        633058,        113580,              0,      1965827,        392223,              0,              0,        392223,        570437,        322730,        680437,              0,              0,              0,      1573604,4.631,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
