年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
99/02,9102,東亞科,      3597890,        204933,      1242587,         73222,         32071,      5150703,      2678221,        133710,         77039,      2888970,      2244192,         45750,       -179046,        119732,         -4667,         35772,      2261733,22.99,資產負債表日台銀新幣收盤價買賣平均匯率,經會計師查核
99/02,9103,美德醫,      1759826,              0,      1445014,         32729,        195890,      3433459,      1241440,        520251,         24016,      1785707,        699102,        152294,        689007,         25463,              0,         81886,      1647752,US$1:NT$32.15,以99年06月30日台灣銀行之匯率換算,毋須經會計師查核或核閱
99/02,910322,康師傅,     49089191,      2575022,     79487081,      3515828,      1512883,    136180005,     64103370,      6273108,      2907292,     73283770,        898078,      9539034,     31584096,      5479967,              0,     15395060,     62896235,US$1:NT$32.15,臺灣銀行99年6月30日即期匯率,毋須經會計師查核或核閱
99/02,9104,萬宇科,      5882285,         24859,        762948,        246503,        302284,      7218879,      3164241,      1303695,         15461,      4483397,          3850,        541753,      2051831,         49304,              0,         88744,      2735482,4.3551,OANDA萬達亞太私人有限公司提供之匯率報價,毋須經會計師查核或核閱
99/02,910482,聖馬丁,      3137151,        823162,        635545,        273622,         59136,      4928616,      1636898,         38173,         35043,      1710114,        249160,      1092418,      1753409,         86271,              0,         37244,      3218502,HKD$1:NT$3.748,臺灣會計師複核的財報報告,經會計師核閱
99/02,9105,泰金寶,     41276922,        196846,      8555051,        424086,        536266,     50989171,     34272604,              0,              0,     34272604,      3969844,      3144544,      9738837,       -357375,              0,        220717,     16716567,1:1(THB:NT),財報日之匯率,經會計師核閱
99/02,910579,歐聖,      5944673,              0,      4042801,         65955,         69182,     10122611,        820257,      1039651,              0,      1859908,      3962757,        224825,        402710,      3672411,              0,              0,      8262703,RMB$1:NT$4.76,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
99/02,9106,新焦點,      2033157,              0,        837765,        542088,        118211,      3531221,      1279303,         59665,         18376,      1357344,        262252,      1102301,        571724,        -34286,              0,        271886,      2173877,RMB1:NTD4.7409,臺灣銀行於財務報表日之即期匯率-買賣均價,經會計師核閱
99/02,910708,恒大健,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,N/A,N/A,毋須經會計師查核或核閱
99/02,910801,金衛醫療,      4909558,      6697417,        739870,      3318164,      1050717,     16715726,      1130158,      1963000,          1682,      3094840,        666195,      4994282,      7003634,        949559,              0,          7216,     13620886,HKD$1：NT$ 4.1796,民國九十八年度9 月30 日之匯率,毋須經會計師查核或核閱
99/02,910861,神州,     68599314,      2782446,      2406810,      1151312,      2276769,     77216651,     52016746,      5335151,              0,     57351897,        412989,      7646699,      9137776,        586466,              0,      2080824,     19864754,HKD＄1：NT$4.0451,以99.09.30www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
99/02,9110,越南製造,      4446543,         30390,      1376294,          3644,        133660,      5990531,        974146,              0,              0,        974146,         37535,              0,      4978850,              0,              0,              0,      5016385,USD$1:32.278,台北外匯經紀股份有限公司,經會計師核閱
99/02,911201,僑威,      3857809,         91439,      2406720,         11171,        234445,      6601584,      2894031,        202135,        150314,      3246480,        108371,        835288,        899697,        309797,              0,      1201951,      3355104,HKD＄1：NT$4.145,台灣銀行,毋須經會計師查核或核閱
