年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
97/02,2880,華南金,,     20383931,    132190535,     36979832,      6633875,     47345843,              0,  1081726519,    117750058,    147481215,         94011,     10661561,        483164,     26737215,        612681,     16524268,  1645604708,,     81395196,        242840,     50264139,     30185857,      7208715,     48023160,              0,  1276402511,     38300000,      4805190,              0,      1224519,      8147480,        677558,      7571301,  1554448466,,     60896128,     12408866,     15268835,      2581104,     91154933,          1309,     91156242,              0,              0,             15.27
97/02,2881,富邦金,,     54511010,    258585585,     60842442,     17712049,    126113085,              0,    871856883,    237133252,      8337829,      1129680,    235873284,     13010945,     21089871,      1408935,     15954677,  1923559527,,     62144705,     10862557,     20480845,     51151945,      1099547,     63299591,              0,  1062609785,     82192559,      5261726,              0,              0,    307861399,     88605647,      6934227,  1762504533,,     77190935,     49092515,     31946008,     -1467933,    156761525,      4293469,    161054994,              0,              0,             20.31
97/02,2882,國泰金,,    391646689,     54333073,    126909245,     22463839,     76786978,              0,  1353032752,    480353147,    603475582,      2586240,    415285443,    106652766,     40347241,      7773056,     60853489,  3742499540,,     79386417,      1517700,     57475992,     28113798,              0,     64825178,              0,  1019631201,     15272693,              0,              0,              0,  2012474123,    280131922,      7220618,  3566049642,,     97375372,     81971213,     14964401,    -20601552,    173709434,      2740464,    176449898,     66659815,              0,             18.86
97/02,2883,開發金,,      6187036,     40026299,     31417958,      6486441,     25090903,              0,     74091339,     56218065,              0,     13386973,     52224940,              0,      4460885,              0,     14330921,    323921760,,     14026275,              0,     16264486,     30926403,      1516898,     18205394,              0,     16065448,     57672673,     14718284,              0,              0,              0,     21786817,      2642309,    193824987,,    112309170,      9120665,      7160906,        711740,    129302481,        794292,    130096773,    207890000,              0,             12.02
97/02,2884,玉山金控,,      8366559,     28257103,    115957779,        103595,     36918847,              0,    559397390,     33521300,     13066279,              0,      9177941,              0,     13309466,      3916666,      5583678,    827576603,,     46499099,              0,     32137999,     27770901,      1707811,     10014376,              0,    625429222,     33400000,        305000,              0,              0,              0,      2838702,        709843,    780812953,,     34434000,      9883176,      4012014,     -1565540,     46763650,              0,     46763650,              0,              0,             14.16
97/02,2885,元大金,,      7214861,     35114555,     90790581,     24146221,    110736716,         20370,    232405243,     14824700,      6022244,      5845560,      7486194,              0,      8132089,      9558967,     21445254,    573743555,,     13313536,              0,      4486098,     26196839,     16033449,     44789512,              0,    296107707,     17300000,     25667056,              0,        880374,        875929,      1930498,     10619037,    458200035,,     83530437,     27452039,      4872702,       -494489,    115360689,        182831,    115543520,              0,              0,             13.81
97/02,2886,兆豐金,,     46235435,     90872654,    181060325,     10279069,    114930410,              0,  1281608584,    226541042,    125819963,      2474590,     28425344,        521182,     25034581,        378943,     10081668,  2144263790,,    247995147,     31518946,     58837882,    239479634,     19073888,     75295465,              0,  1203910130,     43695025,     10350564,              0,      1535245,     13604902,      7234975,     11392251,  1963924054,,    110594262,     43427034,     21725859,      3957246,    179704401,        635335,    180339736,              0,              0,             16.25
97/02,2887,台新金控,,     32620843,    232901189,     77803099,     17054360,    132318322,              0,  1481149572,    102773791,    139708828,        976998,     20667721,              0,     44437838,     20757601,     52653323,  2355823485,,    227742539,              0,     23289171,     75266864,      6294095,     68465344,              0,  1669366430,    111470533,      2920000,              0,              0,      1536672,        512184,     18559600,  2205423432,,     69880779,     19071634,      2211672,       -985900,     90178185,     60221868,    150400053,              0,              0,             12.90
97/02,2888,新光金,,    101330917,     44845098,    120429437,     23152203,     59172504,              0,    466824087,    167861497,    217153547,      1508394,    436744675,     80213762,     19672325,      2884640,     28544879,  1770337965,,      9683359,              0,      9781151,     25819946,     10737534,     34581154,              0,    331681241,     24756315,      7435952,              0,              0,  1095373358,    128196313,      8067681,  1686114004,,     56616193,     20295294,     -6387619,     -1811192,     68712676,     15511285,     84223961,     38680000,              0,             12.83
97/02,2889,國票金控,,      1169886,         30034,    122614220,     10683880,     11508160,              0,              0,     75864177,              0,      1287324,      3956701,              0,      2147215,              0,      1722432,    230984029,,      7980000,              0,        642106,    186567254,      2478357,      2491849,              0,              0,              0,              0,              0,        139914,      2079131,        990781,        396078,    203765470,,     21947143,              0,      2762929,       -967085,     23742987,      3475572,     27218559,              0,              0,             10.98
