年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
98/02,9102,東亞科,      3220833,        193596,      1373410,         44271,        196726,      5028836,      2799188,         91060,         63005,      2953253,      2213931,              0,       -344418,        138597,         -5511,         72984,      2075583,22.68,資產負債表日台銀新加坡收盤價買賣平均匯率,毋須經會計師查核或核閱
98/02,9103,美德醫,      2055645,              0,      1324113,         33302,         68409,      3481469,      1083255,        773594,         19128,      1875977,        713454,        155421,        648194,         16897,              0,         71526,      1605492,US$1:NT$32.81,以98年6月30日台灣銀行之匯率換算,毋須經會計師查核或核閱
98/02,910322,康師傅,     38566811,      2502583,     66876361,      2923108,      1604770,    112473633,     49622993,      6563017,      1989369,     58175379,        916515,     10896430,     24061509,      5339467,              0,     13084333,     54298254,US$1:NT$32.81,臺灣銀行98年6 月30日即期匯率,經會計師核閱
98/02,9104,萬宇科,      5267789,         29609,        648553,        178004,        343987,      6467942,      3068265,      1406796,          3003,      4478064,          3076,        426399,      1441985,         64552,              0,         53866,      1989878,3.4793,OANDA萬達亞太私人有限公司提供之匯率報價,毋須經會計師查核或核閱
98/02,910482,聖馬丁,      3690022,         80824,        694752,        452910,         36602,      4955110,      1528138,         78348,         26237,      1632723,        274288,      1196924,      1688046,        121634,              0,         41495,      3322387,HKD$1:NTD$4.126,臺灣會計師複核的財務資料,經會計師核閱
98/02,9105,泰金寶,     36674414,         64919,      7553088,        583948,        450858,     45327227,     30344297,              0,              0,     30344297,      3822722,      3050208,      8214999,       -104999,              0,              0,     14982930,0.97:1(THB:NT),財報日之匯率,經會計師核閱
98/02,910579,歐聖,      3287707,              0,      2695925,         45056,          5099,      6033787,        529243,        364195,              0,        893438,      2525242,        403363,      2322758,       -119078,              0,          8064,      5140349,4.8,我國與16個貿易對手通貨對美元之匯率,經會計師核閱
98/02,9106,新焦點,      1563378,              0,        836965,        372563,         99226,      2872132,      1117492,        401604,            922,      1520018,        226759,        526082,        466606,        -42735,         -1888,        177290,      1352114,RMB＄1：NT$4.8033,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
98/02,910801,金衛醫療,      6083752,      7437465,      1701972,        650986,      1290074,     17164249,        651021,      1851622,            633,      2503276,        635986,      4667891,      7106693,        869597,              0,      1380806,     14660973,HKD$1：NT$ 4.138,民國九十七年度 9 月30 日之匯率,毋須經會計師查核或核閱
98/02,9110,越南製造,      5178072,        125722,      1375336,          4540,        140227,      6823897,      1147993,              0,          1048,      1149041,         38163,              0,      5636693,              0,              0,              0,      5674856,USD$1:NT$32.818,依財務報表日之匯率換算,經會計師核閱
98/02,911201,僑威,      3683207,         66918,      2446503,         11411,         86386,      6294425,      2636190,        294487,        148851,      3079528,        110698,        826862,        831083,        292692,              0,      1153562,      3214897,HKD＄1：NT$4.234,台灣銀行,毋須經會計師查核或核閱
98/02,911606,超級集團,      3736405,      1470243,      2392244,         69346,          3684,      7671922,      1141253,        410495,              0,      1551748,      3221326,          2916,      2667437,         35848,        -40979,        233626,      6120174,SGD$1:NT$22.6031,98.6.30，www.oanda.com網站公佈之匯率,毋須經會計師查核或核閱
98/02,911609,揚子江,     77520025,      1394304,      9221773,     15040451,        130823,    103307376,     65681902,              0,        467940,     66149842,     23782930,              0,     15200722,     -1823257,         -2861,              0,     37157534,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
98/02,911610,聯合環境,      1044862,        209596,         38174,         44818,      1285739,      2623189,        297797,        338202,         31532,        667531,      1275024,         23796,        658544,         -1706,              0,              0,      1955658,SGD$1:NT$22.75,依臺灣銀行98.9.30即期匯率,毋須經會計師查核或核閱
98/02,911616,杜康控股,      2905434,              0,        115309,        119763,            508,      3141014,        640706,              0,              0,        640706,      1054624,        612218,      1295666,       -462200,              0,              0,      2500308,RMB$1:NT$4.788,2008年12月底,毋須經會計師查核或核閱
98/02,911626,華運中國,        925838,              0,        173868,         22014,              0,      1121720,        552595,         83567,              0,        636162,             52,         62123,        423383,              0,              0,              0,        485558,4.712,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
98/02,911868,同方友友,      7465329,        340799,      5085754,        385332,         25264,     13302478,      1158422,      1343643,              0,      2502065,        322292,      4869172,      5159700,        420729,              0,         28520,     10800413,HKD$1:NT$4.234,2009年6月末,經會計師核閱
98/02,9136,巨騰,     18451032,        218746,     15669100,        526906,         15707,     34881491,     12686210,      5004188,              0,     17690398,        469197,      6296369,      6851854,      1337332,              0,      2236341,     17191093,HKD＄1：NT$4.2546,台灣銀行,毋須經會計師查核或核閱
98/02,9151,中國旺旺,     26370610,        264383,     19145063,      1499975,         21162,     47301193,     10816505,      7644730,              0,     18461235,      8667451,    -19602366,     36154323,      3469952,              0,        150598,     28839958,USD1:NTD32.81,臺灣銀行於財務報表日之即期匯率,經會計師核閱
98/02,9157,陽光能源,      4821424,              0,      2512618,        310651,        730707,      8375400,      2654878,         14964,        264254,      2934096,        735022,      3436263,        871869,        398150,              0,              0,      5441304,RMB$1 : NT$4.804,中央銀行 98/06/30之匯率,經會計師核閱
98/02,9188,精熙國際,      4977572,              0,      1036862,          8301,         23295,      6046030,        585265,              0,              0,        585265,         34975,      2816899,      2345624,        263267,              0,              0,      5460765,USD$1:NTD$32.81,依臺灣銀行即期匯率(買入賣出平均價),經會計師核閱
