年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
99/04,910069,新曄,      5094724,        536722,        299377,        304742,         39209,      6274774,      3533196,        254553,         17230,      3804979,      2128732,        103762,        398730,       -222027,              0,         60598,      2469795,22.73,99年12月31日之新加坡幣對新台幣匯率,經會計師查核
99/04,9103,美德醫,      1623328,              0,      1368265,         29829,        276415,      3297837,      1306451,        411374,         23042,      1740867,        633432,        137989,        644560,         64057,              0,         76932,      1556970,US$1：NT$29.13,以99年12月31日台灣銀行之匯率換算,經會計師查核
99/04,910322,康師傅,     49158827,      3281757,     85145126,      3431485,      1469638,    142486833,     64899106,      5186598,      3386712,     73472416,        813717,      8720794,     34749002,      8769732,              0,     15961172,     69014417,US$1:NT$29.13,臺灣銀行99年12月31日即期匯率,經會計師查核
99/04,9104,萬宇科,      6150414,        151303,        766824,        303009,         11004,      7382554,      3972592,        556797,         15328,      4544717,          3685,        514653,      2090912,        125424,              0,        103163,      2837837,4.2018,www.oanda.com,經會計師查核
99/04,910482,聖馬丁,      3069447,        797599,        595676,        517319,        108530,      5088571,      1332846,         20197,         39977,      1393020,        248356,      1157874,      1888652,        211121,              0,        189548,      3695551,HKD$1:NT$3.691,以100年6月30日之匯率換算,經會計師查核
99/04,9105,泰金寶,     45061830,        205693,      9292246,        547337,         88798,     55195904,     39088001,              0,              0,     39088001,      3996005,      3081653,      9609896,       -579651,              0,              0,     16107903,1:0.98(THB:NT),財報日之匯率,經會計師查核
99/04,910579,歐聖,      6237376,         28757,      4172234,         82210,         62042,     10582619,      1414699,      1049296,              0,      2463995,      3837880,        564236,      3873778,        -79527,              0,        -77743,      8118624,RMB$1：NT$ 4.61,我國與十六個貿易對手通貨對美元之匯率,經會計師查核
99/04,9106,新焦點,      2862225,              0,        898436,      1534071,         93591,      5388323,      2692270,         56463,        146322,      2895055,        244529,      1241104,        590835,        -19530,              0,        436330,      2493268,RMB$1:NT$4.4205,臺灣銀行匯率,經會計師查核
99/04,910708,恒大健,      1163132,              0,         52228,          2870,          7347,      1225577,        371815,              0,          1066,        372881,         24780,        761902,         66014,              0,              0,              0,        852696,HKD$1:NT$4.130,990630港幣對新台幣匯率換算,經會計師查核
99/04,910801,金衛醫療,      5073960,      7777051,        735737,      3894847,      1051915,     18533510,      1074122,      2916204,        520849,      4511175,        685729,      5115774,      7168109,        992039,              0,         60684,     14022335,HKD$1：NT$ 4.213,民國九十九年度 3 月31 日之匯率,經會計師查核
99/04,910861,神州,     65808302,      2688599,      2560293,      1188653,      2775267,     75021114,     45643425,      4985323,              0,     50628748,        413067,     11165079,     10068618,        709674,              0,      2035928,     24392366,HKD＄1：NT$3.7854,以100.3.31www.oanda.com網站公佈匯率換算,經會計師查核
99/04,910948,融達,      3170055,        575633,        275282,         51921,              0,      4072891,      1025287,              0,              0,      1025287,        149487,      1721797,      1073508,        102812,              0,              0,      3047604,US$1:NT$29.40,台灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
99/04,9110,越南製造,      5074027,         23414,      1239463,          4989,         26062,      6367955,      1276330,              0,              0,      1276330,         35314,              0,      5056311,              0,              0,              0,      5091625,USD$1：NT$30.368,台北外匯經紀股份有限公司,經會計師查核
99/04,911201,僑威,      3576960,         94764,      2164958,         82325,            461,      5919468,      2735928,          3632,        102759,      2842319,         97991,        646934,        836524,        317287,              0,      1178413,      3077149,HKD $1: NT$3.748,臺灣銀行於財務報表日之即期匯率,經會計師查核
99/04,911602,華豐泰國,        981154,              0,        774410,              0,         13260,      1768824,        369194,         70700,          6010,        445904,        665019,        382102,        376890,              0,       -101091,              0,      1322920,Baht＄1：NT$1.01,99/12/31之匯率,經會計師查核
99/04,911606,超級集團,      6920234,        934887,      2129712,        408402,        164687,     10557922,      2172481,              0,        326344,      2498825,      3873091,          1657,      4352092,       -434833,         -8810,        275900,      8059097,SGD$1:NT$23.6824,依中華民國中央銀行99.12.31匯率,經會計師查核
99/04,911608,明輝環球,      2524803,         35368,        379159,        148836,         16411,      3104577,        700902,            137,              0,        701039,        987868,              0,      1363004,         -2000,              0,         54666,      2403538,SGD$1:NT$22.73,臺灣銀行於財務報表日之即期匯率,經會計師查核
99/04,911609,揚子江,     83891424,     17619835,     11623756,     14981578,         13034,    128129627,     67807393,      1415766,      1892772,     71115931,     28084650,              0,     29327722,     -1059965,         -2696,        663985,     57013696,RMB$1：NT$ 4.42,於財務報表日之銀行即期匯率,經會計師查核
99/04,911610,聯合環境,      1956505,        211927,        306688,         39398,      2590559,      5105077,        839867,        968330,         77228,      1885425,      2162661,         61151,      1154879,       -159039,              0,              0,      3219652,SGD$1:NT$23.34,100.3.31臺灣銀行即期匯率,經會計師查核
99/04,911611,中國泰山,      5055137,              0,      1580057,            491,        153470,      6789155,      1367685,              0,              0,      1367685,      2437785,         50790,      2937439,              0,         -4544,              0,      5421470,RMB1:NTD4.42,根據臺灣銀行2010年12月31日閉市價,經會計師查核
99/04,911612,滬安電力,      6765377,              0,      1237353,        569287,         14357,      8586374,      4248285,              0,              0,      4248285,      2927940,         32585,      1377564,              0,              0,              0,      4338089,4.4601,以2010/12/31www.oanada.com網站之匯率換算,經會計師查核
99/04,911616,杜康控股,      4033961,        697927,      1529205,        783386,         71019,      7115498,      3248660,        337803,        476147,      4062610,      1097286,        829783,      1475031,       -349212,              0,              0,      3052888,RMB$1:NT$4.7409,2010年6月底,經會計師查核
99/04,911619,耀傑集團,      1161552,         64955,         56217,              0,              0,      1282724,        306323,          4643,              0,        310966,        576907,          1953,        470687,              0,        -78313,            524,        971758,SGD1:NT$23.8106,臺灣銀行於99.9.30財務報表日之即期匯率,經會計師查核
99/04,911622,泰聚亨,      4105919,         88645,      5819664,            434,        101558,     10116220,      3173514,        948291,          9927,      4131732,      5914338,              0,         76953,         -6803,              0,              0,      5984488,Baht$1=NT$0.98,99/12/31匯率,經會計師查核
99/04,911626,華運中國,      1951957,              0,      1147704,        106487,              0,      3206148,        889472,         13322,              0,        902794,        683384,        493624,      1126346,              0,              0,              0,      2303354,4.4405,匯率係採用各該期期末之台灣銀行匯率,經會計師查核
99/04,911868,同方友友,      9481188,        370444,      6854718,      1295265,              0,     18001615,      4421518,        247942,              0,      4669460,        355960,      7010275,      5150564,        775517,              0,         39839,     13332155,HKD$1:NT$3.777,2011年3月末,經會計師查核
99/04,912000,晨訊科技,      8315245,        354792,      1362829,      1209409,         28241,     11270516,      4831487,              0,         48061,      4879548,        588294,      2496726,      2638216,        608675,              0,         59057,      6390968,HKD $1: NT$3.748,臺灣銀行於財務報表日之即期匯率,經會計師查核
99/04,912398,友佳國際,      4362361,         36213,      1089991,        191492,              0,      5680057,      2963260,         29237,          9270,      3001767,         17779,      1543330,      1117893,           -712,              0,              0,      2678290,RMB 1 : NT$ 4.4205,台灣銀行買入賣出平均價,經會計師查核
99/04,9136,巨騰,     18779441,        187786,     19313973,        521801,         20436,     38823437,     12978000,      5328770,              0,     18306770,        442583,      5938476,      9095056,      1772365,              0,      3268187,     20516667,HKD＄1：NT$3.9066,臺灣銀行2010年12月31日即期中價匯率,經會計師查核
99/04,913889,大成糖,      6466191,        377722,      4156256,      1069874,              0,     12070043,      3654926,      1371769,              0,      5026695,        431101,      2830393,      3086973,        667218,              0,         27663,      7043348,HKD＄1：NTD$3.7504,99/12/31OANDA萬達亞太公司匯率,經會計師查核
99/04,9151,中國旺旺,     42350331,        318914,     22091143,      1932921,         22867,     66716176,     25167300,     10195500,              0,     35362800,      7697107,    -25720567,     44665116,      4627156,              0,         84564,     31353376,USD $ 1: NT$29.13,臺灣銀行於財務報表日之即期匯率,經會計師查核
99/04,9157,陽光能源,      6840795,        164299,      5468408,        303730,        671248,     13448480,      4944834,        391186,        869614,      6205634,        721395,      4061042,      1811194,        476315,              0,        172900,      7242846,RMB$1 : NT$4.4405,臺灣銀行 99/12/31之匯率,經會計師查核
99/04,916665,爾必達,     98634472,      4759087,    201619886,      1791794,      4877523,    311682762,     93564401,     87832292,      1520880,    182917573,     76474100,     32345902,      1143940,     -5998059,         -1773,     24801079,    128765189,JPY$ 1 : NT$0.3546,三菱東京UFJ銀行公表匯率（TTM）,經會計師查核
99/04,9188,精熙國際,      4444713,              0,        908215,          7370,         17886,      5378184,        607011,              0,              0,        607011,         31053,      2500953,      1968609,        270558,              0,              0,      4771173,USD$1:NTD$29.13,依臺灣銀行於99年12月31日之即期匯率,經會計師查核
