年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
100/03,910322,康師傅,     51771072,      2696139,    113365026,      5519593,      1634398,    174986228,     86289947,      5487040,      4491594,     96268581,        851946,      3647999,     45919187,     10032095,              0,     18266420,     78717647,US$1:NT$30.48,臺灣銀行100年9月30日即期匯率,毋須經會計師查核或核閱
100/03,9105,泰金寶,     47368750,        205132,     10595595,        448108,        261600,     58879185,     41745309,         50047,              0,     41795356,      3996005,      3081653,     10454263,       -448092,              0,              0,     17083829,THB$0.98:NTD$1,財報日之匯率,經會計師核閱
100/03,910579,歐聖,      4038086,              0,      4355125,         83701,        107356,      8584268,      3296672,         10181,              0,      3306853,      3979407,        585043,        835916,        -85356,              0,        -37595,      5277415,RMB$1:NT$4.78,我國與16個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
100/03,910861,神州,     92009014,      3748014,      4441290,      1411031,        813365,    102422714,     64977476,      9442873,              0,     74420349,        429113,     11905436,     13311965,      1025592,     -1413958,      2744217,     28002365,HKD＄1：NT$3.9286,以100.12.31www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
100/03,910948,融達,      3554216,        580360,        164219,         53199,              0,      4351994,      1060362,              0,              0,      1060362,        153961,      1773334,      1225238,        139099,              0,              0,      3291632,USD$1:NT$30.28,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/03,9110,越南製造,      5489877,         32168,      1082588,          4257,        202852,      6811742,      1459302,              0,              0,      1459302,         35474,              0,      5316966,              0,              0,              0,      5352440,USD＄1：NT＄30.506,台北外匯經紀股份有限公司,毋須經會計師查核或核閱
100/03,911602,華豐泰國,        935570,              0,        696153,              0,         15926,      1647649,        344531,              0,          8583,        353114,        645265,        370752,        376606,              0,        -98088,              0,      1294535,Baht＄1：NT$0.98,100/09/30之匯率,經會計師核閱
100/03,911606,超級集團,      7105916,        357723,      3025210,        446366,        167755,     11102970,      2548254,        209758,              0,      2758012,      3848382,          2212,      4502530,       -336686,         -6401,        334921,      8344958,23.5313,依中華民國中央銀行100.09.30匯率,毋須經會計師查核或核閱
100/03,911608,明輝環球,      2933679,        192819,        602604,        151201,          3758,      3884061,      1191829,          5611,              0,      1197440,      1021769,              0,      1593279,         -2566,              0,         74139,      2686621,SGD$1:NT$23.51,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/03,911609,揚子江,    102108075,     29841604,     14992787,     16919018,          2120,    163863604,     83050091,      4469187,      2973202,     90492480,     29927308,              0,     40811755,     -1266020,         -2873,      3900954,     73371124,(RMB $1: NT$4.71),銀行期末平均匯率,毋須經會計師查核或核閱
100/03,911610,聯合環境,      4289279,        730955,        276806,         55082,      3919980,      9272102,      1120395,      3921231,         69578,      5111204,      2159881,         46830,      1332952,        621235,              0,              0,      4160898,SGD$1:NT$23.31,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/03,911611,中國泰山,      4684550,              0,      2102651,            522,        146847,      6934570,        891257,              0,              0,        891257,      2684322,         54874,      3325502,              0,        -21385,              0,      6043313,RMB1:NTD4.7755,Bloomberg顯示9月30日閉市匯率,毋須經會計師查核或核閱
100/03,911612,滬安電力,      9031764,              0,      2316900,        612573,         67074,     12028311,      6560745,        418528,              0,      6979273,      3121815,         64430,      1869351,         -6558,              0,              0,      5049038,4.756,以100/9/30www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
100/03,911616,杜康控股,      4896352,        668584,      1522125,        552336,        201538,      7840935,      1570338,              0,        298908,      1869246,      1260820,      2962874,      2078002,       -330007,              0,              0,      5971689,RMB$1:NT$4.511,2011年3月底,毋須經會計師查核或核閱
100/03,911622,泰聚亨,      3913205,         91631,      5686039,            140,        102764,      9793779,      2635650,        856541,         11059,      3503250,      5914338,              0,        376381,         -3815,              0,          3625,      6290529,THB＄1：NT$0.98,以100/9/30公佈匯率換算,經會計師核閱
100/03,911626,華運中國,      2275717,              0,      1187137,         91479,              0,      3554333,        600206,         11345,              0,        611551,        737941,        533031,      1671810,              0,              0,              0,      2942782,4.795,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
100/03,916665,爾必達,     84951036,      5369580,    200126970,      1431888,      5635724,    297515198,    124142355,     57296142,      2841208,    184279705,     91883241,     44366739,    -37716631,    -10043059,         -1946,     24747149,    113235493,JPY$ 1 : NT$ 0.3891,三菱東京UFJ銀行公表匯率（TTM）,經會計師核閱
