年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
100/03,2855,統一證券,     44886474,        479496,      2588314,            850,      1815945,        384623,     50155702,     29488704,              0,          4460,              0,     29493164,     13046456,        404127,      7342757,       -156626,         25824,     20662538,              0,     20064000,             16.06
100/03,2856,元富證券,     62880073,      1050770,      2152979,        288445,      2076179,        116245,     68564691,     49092883,        321767,         95046,              0,     49509696,     15285724,        388845,      3906424,       -525998,              0,     19054995,              0,     29306000,             12.81
100/03,6005,群益證,     55621238,      1301196,      6642856,      3559185,      3276419,        118869,     70519763,     37819569,      2869481,        500714,              0,     41189764,     23690730,      2735007,      2187375,          5757,        711130,     29329999,              0,              0,             12.08
