年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
100/01,910322,康師傅,     68877820,      2934943,     94455585,      3861719,      1489287,    171619354,     87991231,      5092638,      3750793,     96834662,        821260,      8843666,     38688313,      8879947,              0,     17551506,     74784692,US$1:NT$29.40,臺灣銀行100年3月31日即期匯率,毋須經會計師查核或核閱
100/01,9105,泰金寶,     39053160,        208600,      9468843,        513200,        285897,     49529700,     32226074,         40013,              0,     32266087,      3996005,      3081653,     10731919,       -545964,              0,              0,     17263613,0.98:1(THB:NT),財報日之匯率,經會計師核閱
100/01,910579,歐聖,      6902500,              0,      4075060,         77694,         91364,     11146618,      1617129,      1080048,              0,      2697177,      3739894,        549830,      4322559,        -83521,              0,        -79321,      8449441,RMB$1：NT$ 4.4923,我國與16個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
100/01,910861,神州,     70333365,      2982076,      3572045,      1259810,      2094859,     80242155,     50335609,      5532459,              0,     55868068,        405672,     11080217,     11305745,        751629,     -1337512,      2168336,     24374087,HKD＄1：NT$3.7162,以100.6.30www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
100/01,910948,融達,      3021867,        561898,        262307,         50241,              0,      3896313,        912213,              0,              0,        912213,        146080,      1682559,      1054991,        100470,              0,              0,      2984100,USD$1:NT$28.73,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
100/01,9110,越南製造,      5205473,         25121,      1110603,          3885,         22557,      6367639,      1442571,              0,              0,      1442571,         34209,              0,      4890859,              0,              0,              0,      4925068,USD$1 = NT$29.418,台北外匯經紀股份有限公司,毋須經會計師查核或核閱
100/01,911602,華豐泰國,        944457,              0,        725385,              0,         13346,      1683188,        328010,         48500,          7402,        383912,        638681,        366969,        390713,              0,        -97087,              0,      1299276,Baht＄1：NT$0.97,100/03/31之匯率,經會計師核閱
100/01,911606,超級集團,      6842234,        942960,      2203703,        393027,        162347,     10544271,      2086461,        239762,              0,      2326223,      3818042,          3268,      4631550,       -497242,         -8685,        271115,      8218048,SGD$：NT$23.3458,依中華民國中央銀行100.03.31匯率,毋須經會計師查核或核閱
100/01,911608,明輝環球,      2724968,         38091,        405873,        151930,          3734,      3324596,        842878,             47,              0,        842925,      1014379,              0,      1408849,         -3081,              0,         61524,      2481671,SGD$1:NT$23.34,臺灣銀行於財務報表日3.31之即期匯率,毋須經會計師查核或核閱
100/01,911609,揚子江,     83011080,     20325206,     11954980,     15362262,        289062,    130942590,     65909648,        196253,      2035052,     68140953,     28529430,              0,     34079509,     -1076751,         -2739,      1272188,     62801637,RMB$1：NT$ 4.49,銀行期末平均匯率,毋須經會計師查核或核閱
100/01,911610,聯合環境,      1966258,        219188,        362787,         38764,      2806091,      5393088,        891152,      1087310,         63828,      2042290,      2166367,         64786,      1308906,       -189261,              0,              0,      3350798,SGD$1:NT$23.38,100.6.30臺灣銀行即期匯率,毋須經會計師查核或核閱
100/01,911611,中國泰山,      4784615,              0,      1566952,            494,        156055,      6508116,        851559,              0,              0,        851559,      2476833,         51604,      3132737,              0,         -4617,              0,      5656557,RMB1:NTD4.4908,Bloomberg顯示3月31日閉市匯率,毋須經會計師查核或核閱
100/01,911612,滬安電力,      6701382,              0,      1435061,        566583,         45123,      8748149,      4229387,              0,              0,      4229387,      2944811,        277698,      1296253,              0,              0,              0,      4518762,4.4858,以2010/12/31www.oanada.com網站之匯率換算,毋須經會計師查核或核閱
100/01,911616,杜康控股,      2692002,        694530,      1535402,        586232,        235163,      5743329,      1822899,        348117,        471647,      2642663,      1091523,        825423,      1530771,       -347051,              0,              0,      3100666,RMB$1:NT$4.716,2010年9月底,毋須經會計師查核或核閱
100/01,911626,華運中國,      2215535,              0,      1154147,        107499,              0,      3477181,      1010849,         15787,              0,      1026636,        694157,        501405,      1254983,              0,              0,              0,      2450545,4.5105,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
100/01,916665,爾必達,     92217504,      5321861,    198197285,      1634090,      6123551,    303494291,    116056072,     58037678,      2812519,    176906269,     77013257,     32574948,     -1573312,     -6378162,         -1786,     24953077,    126588022,JPY$1:NT$0.3571,三菱東京UFJ銀行公表匯率（TTM）,經會計師核閱
