年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
96/02,2880,華南金,,     36570087,    168760096,     55208734,      5585606,     53193145,              0,  1035816588,    139594404,    137300812,         90263,     10470147,        613903,     25181272,        586818,     23977837,  1692949712,,     90495881,              0,     39136719,     50592671,      4444548,     57772306,              0,  1301838968,     37400000,      8125142,              0,        941728,      6117477,        788027,      7230472,  1604883939,,     59702086,     12408866,     11941975,      4007949,     88060876,          4897,     88065773,              0,              0,             14.75
96/02,2881,富邦金,,     57533491,    214405707,     68527901,      8686390,    101687062,              0,    771737578,    256198683,      5543696,      1029431,    230402143,     13118642,     21827796,      1419232,     12695792,  1764813544,,     62325995,      3778900,     14605860,     76740888,      1248822,     60849055,              0,    941912191,     87159921,      8935931,              0,              0,    244772162,     85729020,      6029284,  1594088029,,     77190935,     49091107,     30759331,      9302755,    166344128,      4381387,    170725515,              0,              0,             21.55
96/02,2882,國泰金,,    432427005,     38842235,    161740946,     16141793,     88791567,              0,  1246332395,    463763195,    569515330,      2899125,    379842762,    105267384,     38932042,        822933,     51071358,  3596390070,,     65673374,        821000,     64529248,     19225421,              0,     66164362,              0,  1006209767,     17686802,              0,              0,              0,  1897624011,    213133148,     14243112,  3365310245,,     92770191,     81971167,     34758801,     18653635,    228153794,      2926031,    231079825,     66659815,              0,             24.77
96/02,2883,開發金,,     11271771,     23066582,     85484306,      4403983,     25122106,              0,     77868356,     71804849,              0,     14146717,     49779466,              0,      4236532,              0,      7199567,    374384235,,     20129010,              0,     11475518,     57294014,      7281724,     22848643,              0,      4392814,     47200000,     10742484,              0,              0,              0,     25506064,      4847556,    211717827,,    115870627,     12852350,     12983086,     19847010,    161553073,      1113335,    162666408,              0,              0,             14.34
96/02,2884,玉山金控,,     18984380,     32186697,     76681438,      3612320,     33771911,              0,    478059324,     42394097,     14742300,              0,      8863059,              0,     12748125,      3786274,      5671497,    731501422,,     29591914,              0,     40971731,     25581958,        875099,     14303324,              0,    537487993,     31000000,      1220900,              0,              0,              0,      2805786,        755754,    684594459,,     33033000,      9859777,      4104421,        -91771,     46905427,          1536,     46906963,              0,              0,             14.20
96/02,2885,元大金,,      8455397,     64288979,     73549556,     10257080,    106971078,              0,    227515376,     23027806,      9079034,      5674842,      8925716,              0,     13070953,      9854535,     16635793,    577306145,,     20659888,              0,      7683614,     55067060,     18275844,     38470194,              0,    275681287,     19101902,     26830361,              0,        832947,      1003383,      1021133,      6137055,    470764668,,     83121145,     23832730,      4327013,     -4981990,    106298898,        242579,    106541477,    295527780,              0,             13.26
96/02,2886,兆豐金,,     74276839,    154257146,    196565067,     16279094,     98737424,              0,  1181548122,    262684045,     84932660,      2935668,     32920392,        381680,     24433489,        258375,      8916010,  2139126011,,    257538251,     43870126,     50509199,    285325114,     15035972,     84687741,              0,  1130406822,     40631749,     13726000,              0,      1548635,      8478171,      9897075,      8470797,  1950125652,,    111694492,     45631626,     26455833,      4553792,    188335743,        664616,    189000359,    110023000,              0,             17.03
96/02,2887,台新金控,,     49595771,    230078423,     86890718,     19766580,    109655934,              0,  1404892081,     97099482,    171422682,        982388,     17796734,              0,     45461795,     20757601,     61272380,  2315672569,,    231631806,        417781,     19913750,     90860697,      4687845,     79202026,              0,  1602690481,    106938089,      5780000,              0,              0,      1562843,        530347,     16103806,  2160319471,,     69880779,     19389426,      4220186,         58579,     93548970,     61804128,    155353098,              0,              0,             13.39
96/02,2888,新光金,,     39727072,     35894427,     98594397,      4256216,     38376142,              0,    418631182,    173363173,    227972087,        409688,    409316201,     74146478,     23759977,      2722673,     24560358,  1571730071,,     16971372,              0,      2744231,      9009009,              0,     19900263,              0,    294456215,     34591147,              0,              0,              0,  1005598181,     83556990,     12916994,  1479744402,,     49017884,     14546304,     15569466,     10408772,     89542426,      2443243,     91985669,      7280000,              0,             18.84
96/02,2889,國票金控,,        991669,      1000211,    102307203,      3582984,     12080931,              0,              0,     96917466,        433602,      1332998,      5596396,              0,      2156617,        297813,      1301828,    227999718,,     12377000,              0,      1167994,    178052584,      2373566,      3847191,              0,              0,              0,              0,              0,        138782,      2249604,      1123794,         22142,    201352657,,     21622801,              0,      2072222,       -918365,     22776658,      3870403,     26647061,              0,              0,             10.74
96/02,2890,永豐金控,,     29146447,     91476128,    133505048,     12304645,     70363557,              0,    642254985,     89398663,      4861000,        223844,     12253559,              0,     11910275,      1864045,     22041011,  1121603207,,     67259860,              0,      7903278,     25919319,     13263418,     34896679,              0,    807409007,     38679743,     19985783,              0,              0,              0,      6694426,     10911736,  1032923249,,     70864127,      1785242,     17506829,     -1535427,     88620771,         59187,     88679958,    120031000,              0,             12.72
96/02,2891,中信金,,     57129128,    169435114,    104705399,              0,    129173689,              0,    842448810,    293716256,     87389808,      3033695,     20164111,              0,     33501391,      5962974,     12569108,  1759229483,,     20119162,     20459571,     42221840,    109531949,      1299489,     55507924,              0,  1247950417,    102415402,              0,              0,              0,              0,      4331366,     17504879,  1621341999,,     91596830,     42267760,      8567708,     -4619570,    137812728,         74756,    137887484,              0,              0,             15.05
96/02,2892,第一金控,,     40120144,    163016679,     43968249,      2815935,     35079416,              0,  1021989015,     72285888,    209470677,      3337727,     19528456,              0,     24105464,        370663,     18261518,  1654349831,,    141500386,        156422,     56556573,     11437857,      2266044,     62830440,              0,  1235246925,     28800000,      4939915,              0,      1551333,        829750,        463076,      8121917,  1554700638,,     60916357,     15700827,     17392226,      5639783,     99649193,              0,     99649193,              0,              0,             16.69
