年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
96/04,1101,台泥,     58710666,      8738824,    115474752,      3269465,      5720717,    191914424,     30939928,     49862450,      5230295,      2993219,     89025892,     32486372,      8548945,     15185816,     26605783,              0,              0,     20061616,    102888532,              0.00,              0.00,             25.50
96/04,1102,亞泥,     24006895,     54178117,     39524884,      2209722,      8247046,    128166664,     14903562,     33737887,      1466299,      1759163,     51866911,     27346909,      6885839,     22188989,     15898054,              0,              0,      3979962,     76299753,              0.00,              0.00,             26.45
96/04,1103,嘉泥,     12202933,      7313206,      9339934,      1060955,        443287,     30360315,      3820905,      5302733,      1291202,        963085,     11377925,      6736871,        540537,      6941713,      3434999,       -895028,              0,      2223298,     18982390,              0.00,    130263631.00,             30.84
96/04,1104,環球水泥,      4819239,      5382253,      6114036,        354788,      2458993,     19129309,      3023158,      2333199,      1169037,        496487,      7021881,      5591592,        167717,      2083824,      3511415,              0,              0,        752880,     12107428,              0.00,              0.00,             20.31
96/04,1108,幸福水泥,      5978561,        282358,      2989243,         31099,        622451,      9903712,      3889410,      1181100,              0,        471505,      5542015,      4047380,         15965,        322962,        -29592,              0,              0,          4982,      4361697,              0.00,              0.00,             10.76
96/04,1109,信大水泥,      3799231,      1003783,      2114529,         13544,        249158,      7180245,        442037,              0,              0,        345968,        788005,      4290898,         20743,      1881687,          1491,              0,              0,        197421,      6392240,              0.00,              0.00,             14.44
96/04,1110,東泥,      1509009,      2658811,      5279492,              0,        473330,      9920642,        530073,         81667,        243226,        648349,      1503315,      5760008,        166739,      1794214,        741135,        -48027,              0,          3258,      8417327,              0.00,      4301932.00,             14.72
96/04,1201,味全公司,      5357378,        284590,      6489540,        386988,      1068249,     13586745,      5298088,      1600873,        748907,      1395936,      9043804,      5060629,         77114,       -401422,       -260937,              0,              0,         67557,      4542941,              0.00,              0.00,              8.84
96/04,1203,味王公司,      3037941,        194303,      4423720,         90079,        805949,      8551992,      2469938,        743039,        879848,        453308,      4546133,      2092537,         36154,       -111453,      1248636,         -4951,              0,        744936,      4005859,              0.00,      2000000.00,             15.73
96/04,1210,大成長城,     16777861,      1411896,      5890581,        289523,        539121,     24908982,     10280210,      1800810,         20754,        207075,     12308849,      4218966,      1645620,      2162132,        660279,       -218792,              0,      4131928,     12600133,              0.00,     31930941.00,             21.72
96/04,1213,大飲,        348872,              0,        179650,              0,        245899,        774421,        156174,              0,              0,         38063,        194237,        514751,         21938,         44828,         -1333,              0,              0,              0,        580184,              0.00,              0.00,             11.27
96/04,1215,卜蜂企業,      2905035,        357156,      1197930,         36279,        106318,      4602718,      1556759,              0,              0,        257233,      1813992,      2320268,            967,        357537,         11450,              0,              0,         98504,      2788726,              0.00,              0.00,             11.59
96/04,1216,統一,     93754033,     49787977,    102779669,      4575516,     15330697,    266227892,     90439382,     66535419,      1773357,      8405300,    167153458,     35553733,      5366758,     16973498,      5337709,              0,              0,     35842736,     99074434,              0.00,              0.00,             17.78
96/04,1217,愛之味,      2269549,      2481723,      2599540,         57022,      1157043,      8564877,      3097815,      1350519,         79974,        211538,      4739846,      3776893,         23287,       -357285,        115890,              0,              0,        266246,      3825031,              0.00,              0.00,              9.42
96/04,1218,泰山企業,      3468535,      2162071,      2470695,         75427,        384603,      8561331,      2670838,      1719402,        285250,        291537,      4967027,      3202434,         46385,         24258,        427520,       -215114,              0,        108821,      3594304,              0.00,     21957438.00,             11.69
96/04,1219,福壽實業,      3145157,        277390,      2135827,         61870,        117783,      5738027,      1114034,        332558,        505262,        268276,      2220130,      2663184,        242028,        266403,        320456,              0,              0,         25826,      3517897,              0.00,              0.00,             13.11
96/04,1220,台榮,      1758200,        110026,        758872,         19640,        109391,      2756129,        697804,              0,          5813,        107207,        810824,      1770779,            537,        -88320,         35061,              0,              0,        227248,      1945305,              0.00,              0.00,              9.70
96/04,1225,福懋油,      2879184,        232788,      2810603,        105488,        200490,      6228553,      2659942,      1044958,        100296,         54514,      3859710,      1627000,         94698,        183350,        107693,              0,              0,        356102,      2368843,              0.00,              0.00,             12.37
96/04,1227,佳格,      5434824,        629638,      2142336,         51790,        432169,      8690757,      3172654,        874322,          2921,         22734,      4072631,      3209184,         19501,      1211389,        113557,        -21182,              0,         85677,      4618126,              0.00,      2338960.00,             14.23
96/04,1229,聯華實業,      3386690,     12454500,      4471018,        120843,        386824,     20819875,      2311768,      1428058,         95377,        196426,      4031629,      7091616,        617163,      4630522,      3547614,         -2393,              0,        903724,     16788246,         39000.00,         84000.00,             22.40
96/04,1231,聯華食品,      1628571,         36415,        808752,         46158,        199992,      2719888,        579187,        352355,              0,         74393,      1005935,      1154190,         76975,        451792,         11775,              0,              0,         19221,      1713953,              0.00,              0.00,             14.68
96/04,1232,大統益,      2379631,        166151,      1337075,          1238,         23465,      3907560,      1289391,              0,              0,         24875,      1314266,      1599749,         23784,        966375,        -15973,              0,              0,         19359,      2593294,              0.00,              0.00,             16.09
96/04,1233,天仁,        644506,          7888,        930493,         20836,         93708,      1697431,        321367,            614,              0,        172259,        494240,        905919,         27948,        290127,        -13435,        -15607,              0,          8239,      1203191,              0.00,      1554483.00,             13.42
96/04,1234,黑松,      1900238,      6949794,      3075269,         44079,        586194,     12555574,        789052,              0,      1915676,        536363,      3241091,      5358281,        184601,      1761720,      2009881,              0,              0,              0,      9314483,              0.00,              0.00,             17.38
96/04,1235,興泰,        634974,         96587,        152387,              0,        165815,      1049763,        237024,              0,         60144,         22112,        319280,        450898,         27674,        152727,        102881,        -11584,              0,          7887,        730483,              0.00,      1711164.00,             16.66
96/04,1236,宏亞食品,        743203,         20250,        995418,         15299,        108722,      1882892,        583894,              0,              0,        172136,        756030,        811726,         33396,        267694,         14046,              0,              0,              0,      1126862,              0.00,              0.00,             13.88
96/04,1301,台塑,    136574211,    117116938,    105790652,      3465376,        556027,    363503204,     53942820,     53948049,              0,      6312046,    114202915,     57204716,     12814949,    109669094,     69611530,              0,              0,              0,    249300289,              0.00,              0.00,             43.58
96/04,1303,南亞塑膠,    196798524,    117358177,    155778585,      3438432,      4708434,    478082152,     84156587,     71040250,              0,     19760862,    174957699,     76235909,     25940089,    143602061,     42731942,         -1945,              0,     14616397,    303124453,              0.00,        177899.00,             37.84
96/04,1304,台聚,     29739364,      4606116,     12453027,      1065092,      1909399,     49772998,     14429438,      7490493,        800992,      2753513,     25474436,      7714032,         96530,      3090056,      1737854,       -135772,              0,     11795862,     24298562,              0.00,     46323928.00,             17.24
96/04,1305,華夏,      6751125,        262637,      4064027,        171818,        690068,     11939675,      3079721,      2130000,        592084,      1170296,      6972101,      4248035,         12000,         90482,        470200,              0,              0,        146857,      4967574,              0.00,              0.00,             11.35
96/04,1307,三芳化工,      3565510,        155992,      2886481,        174207,        135296,      6917486,      2382145,        410582,         37781,        288760,      3119268,      2504083,        137866,      1146632,          9637,              0,              0,              0,      3798218,              0.00,              0.00,             15.17
96/04,1308,亞聚,      3315277,      2873305,        533938,         17116,        632364,      7372000,        836734,              0,         21469,        274113,      1132316,      2609316,         23510,      1985301,      1621557,              0,              0,              0,      6239684,              0.00,              0.00,             23.91
96/04,1309,台達化工,      6754775,        751270,      2150736,         61894,        300739,     10019414,      4102512,        959160,        143860,        408007,      5613539,      2705005,        338118,        965691,        397061,              0,              0,              0,      4405875,              0.00,              0.00,             16.29
96/04,1310,台苯,      7832664,      3232572,      2296358,         38155,        597702,     13997451,      5281374,        207640,         41452,         78037,      5608503,      5889693,        216965,      1345898,      1500161,       -904679,              0,        340910,      8388948,              0.00,     87449379.00,             16.05
96/04,1312,國喬石化,     13931919,      2800631,      8808620,        911664,      1421279,     27874113,     10391863,      4044122,      1062196,        479875,     15978056,      7326891,        518758,      1307528,        986767,       -221199,              0,      1977312,     11896057,              0.00,      9346848.00,             15.22
96/04,1313,聯成,     14479595,      5325887,      6000127,        282682,        183374,     26271665,      4106546,      5996784,         99828,      1447939,     11651097,      8048257,        379506,      4238836,      1971948,       -244220,              0,        226241,     14620568,        223500.00,     18000000.00,             18.29
96/04,1314,中石化,     10111417,      8938967,     19976874,        114531,      8081316,     47223105,      5485310,     13575392,      3879514,        728721,     23668937,     16899995,        320143,      3165454,      3166464,              0,              0,          2112,     23554168,              0.00,              0.00,             13.94
96/04,1315,達新工業,      5111809,        330422,      1703115,         19927,      1066417,      8231690,      1158184,         79749,        240828,        279449,      1758210,      2295000,         33106,      1112621,      3067545,        -84100,              0,         49308,      6473480,              0.00,      7930000.00,             28.99
96/04,1316,上曜,        485065,        220588,        364293,         43296,         28309,      1141551,        106194,              0,              0,         43865,        150059,        701661,        105303,          3630,         16992,              0,              0,        163906,        991492,              0.00,              0.00,             11.79
96/04,1319,東陽,      7569790,      1621309,     15385865,        494925,        906191,     25978080,      9530045,      3677063,              0,        582225,     13789333,      4259475,      1424100,      2590671,        342933,       -201345,              0,      3772913,     12188747,              0.00,     13668869.00,             20.41
96/04,1321,大洋,      2104583,        598302,      1101537,        114430,        638820,      4557672,      1158996,         96000,              0,        410707,      1665703,      2272282,        101384,        492785,         61141,        -36189,              0,            566,      2891969,              0.00,      6542716.00,             13.10
96/04,1323,永裕,      1111750,          3022,      1312754,         53516,         33519,      2514561,        926691,        415269,          8767,         58250,      1408977,        750918,         53270,        167450,         53132,         -1086,              0,         81900,      1105584,              0.00,        172004.00,             13.66
96/04,1324,地球工業,        651607,              0,        503314,              0,         27136,      1182057,        290850,              0,              0,         24429,        315279,        751219,              0,         86636,         28923,              0,              0,              0,        866778,              0.00,              0.00,             11.54
96/04,1325,恒大,        772965,         75866,        600850,              0,         92854,      1542535,         76718,              0,         44912,         38927,        160557,        891110,          3158,        310673,         60498,              0,              0,        116539,      1381978,              0.00,              0.00,             14.20
96/04,1326,台化,    152685430,    105645732,    153576002,      1045560,      8065831,    421018555,     76729001,     70029622,              0,      6392471,    153151094,     55247302,      9784287,    117782356,     77521179,              0,              0,      7532337,    267867461,              0.00,              0.00,             47.12
96/04,1402,遠東新,     76003109,     58307084,    115633855,     19791804,      3110666,    272846518,     63598485,     56549894,      6510782,      3256256,    129915417,     44803469,      9327997,     23343236,     14471265,              0,              0,     50985134,    142931101,              0.00,              0.00,             20.52
