年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
96/01,2880,華南金,,     40160242,    161645814,     58700088,      2480171,     46836779,              0,  1022051489,    130084677,    146860777,         91264,     10159536,        341390,     25270452,        575136,     24633744,  1669891559,,     83558317,              0,     37434288,     53786283,      3896627,     52275243,              0,  1279331953,     45650000,      5711910,              0,        907132,      6026231,        803863,      7124785,  1576506632,,     59702086,     12408866,     15949398,      5319036,     93379386,          5541,     93384927,              0,              0,             15.64
96/01,2881,富邦金,,     46378601,    208236426,     64243793,      8013648,     97373297,              0,    784980169,    255476438,      4808006,      1816753,    229285994,     13116881,     21982889,      1337638,     13176044,  1750226577,,     48386857,      5428388,     13644325,     69631965,              0,     50681191,              0,    948929378,     94663004,      6477873,              0,              0,    246262088,     86689558,      6886266,  1577680893,,     77190935,     49091107,     33277366,      8494068,    168053476,      4492208,    172545684,              0,              0,             21.77
96/01,2882,國泰金,,    444338867,     46966071,    161828088,        126000,     86743352,              0,  1232746638,    451792438,    567315682,      3841982,    343375816,    105957460,     39193907,        774233,     48843722,  3533844256,,    102907646,        827250,     74187828,     20453722,              0,     52609091,              0,     19470664,  1860197957,              0,              0,              0,              0,    184204640,     15710083,  3304052439,,     92661696,     81485226,     37899987,     14836386,    226883295,      2908522,    229791817,     66659815,              0,             24.66
96/01,2883,開發金,,     15664352,     24072268,     84175515,      8330679,     30384481,              0,     77605673,     69688081,              0,     13478888,     48875931,              0,      4362668,              0,      7457147,    384095683,,     22231866,              0,      7659715,     70599654,      6997923,     19332817,              0,      5750054,     47900000,     12590037,              0,              0,              0,     22164850,      4856791,    220083707,,    112677793,     12831685,     18867184,     18416390,    162793052,      1218924,    164011976,              0,              0,             14.45
96/01,2884,玉山金控,,     14488460,     27122755,     83167723,      2646758,     32604366,              0,    472213686,     42980308,     14905799,              0,      8470757,              0,     12221991,      3800285,      5932983,    720555871,,     30830587,              0,     40961290,     41155912,      1348887,     13696163,              0,    514351989,     27300000,        826000,              0,              0,              0,      2800989,        790022,    674061839,,     33033000,      9859777,      3173432,        426040,     46492249,          1783,     46494032,              0,              0,             14.07
96/01,2885,元大金,,      6605780,     59951846,     30665724,      5731550,     50622302,              0,    226192540,     20394200,      6612663,              0,      6017783,              0,      6150035,      2120527,      7270492,    428335442,,     22653491,              0,      4097065,     27764659,     23363865,     14731513,              0,    269082205,     12607524,     14810457,              0,        290779,        513428,              0,      1050863,    390965849,,     31617616,      8286205,     -2511381,        -56323,     37336117,         33476,     37369593,              0,              0,             11.81
96/01,2886,兆豐金,,     74681264,     64297500,    257022621,      4985596,    119338121,              0,  1144670950,    265859010,     88890231,      3234599,     32657480,        382864,     24572775,        291238,     10081176,  2090965425,,    189001537,     64153136,     49206788,    320317796,     16309710,     74465521,              0,  1091806396,     42810316,     11988438,              0,      1474007,      8289293,      9649524,      8373994,  1887846456,,    111694492,     45631626,     37484841,      7587280,    202398239,        720730,    203118969,    110023000,              0,             18.30
96/01,2887,台新金控,,     48467138,    237316378,     96415565,     32712069,    103498989,              0,  1378057888,     91894288,    168771459,        971531,     17744461,              0,     45682518,     22442037,     63116764,  2307091085,,    207919167,        400574,     18682097,    100529252,      5575992,     67389853,              0,  1619280533,    106861320,      5330000,              0,              0,      1777847,        533737,     16340219,  2150620591,,     69880779,     35448570,    -13832160,        968822,     92466011,     64004483,    156470494,              0,              0,             13.23
96/01,2888,新光金,,     46612412,     39583555,     95876968,      4880365,     32337110,              0,    407134040,    167140829,    222402714,        409544,    395938765,     74488169,     24009108,      2722673,     24089497,  1537625749,,     12836468,              0,      4482462,     13226498,              0,     18201834,              0,    285701485,     35488937,              0,              0,              0,    991061340,     68903855,     12622875,  1442525754,,     47295487,     14087347,     19876834,     11313267,     92572935,      2527060,     95099995,      7280000,              0,             19.60
96/01,2889,國票金控,,        720641,            332,    107199762,     10271000,     10789606,              0,              0,    101243503,        623701,      1447422,      5503745,              0,      2136434,        304319,      1312376,    241552841,,     11898000,              0,        135178,    192812577,      1708569,      2143649,              0,              0,              0,              0,              0,        136786,      2420003,      1242754,         28997,    212526513,,     21198825,              0,      3425672,        455784,     25080281,      3946047,     29026328,              0,              0,             11.83
96/01,2890,永豐金控,,     22105393,     67037255,    138467321,     13639389,     69864630,              0,    620613603,    128514120,      4908331,        236273,     10973548,              0,     12365599,              0,     22934040,  1111659502,,     65950181,              0,      4244516,     27225097,     11945145,     31685317,              0,    803219051,     41201652,     19867189,              0,              0,              0,      6646360,     10947559,  1022932067,,     71060617,      1753845,     17516122,     -1683993,     88646591,         80844,     88727435,    139680000,              0,             12.72
96/01,2891,中信金,,     52030154,    160788958,    106599592,              0,    130526723,              0,    827132801,    255122135,    130799955,      3251642,     14237685,              0,     33465683,      4536796,     15346432,  1733838556,,     26239743,     18160051,     30043748,    122517188,        599920,     54166068,              0,  1230271899,    112769397,              0,              0,              0,              0,      2831599,     11179774,  1608779387,,     87958997,     40531683,       -754401,     -2749659,    124986620,         72549,    125059169,              0,              0,             14.21
96/01,2892,第一金控,,     38474530,    147823262,     49436206,      3505612,     31792940,              0,    983913161,     75182169,    201474543,      3455919,     20939653,              0,     24079034,        394366,     19316361,  1599787756,,    114736730,        169731,     53336715,     14464437,      2768101,     49310202,              0,  1221573427,     25500000,      2915200,              0,      1510288,        833116,        518985,      8350834,  1495987766,,     59721919,     15704668,     22165459,      6207944,    103799990,              0,    103799990,              0,              0,             17.38
