年季,公司代號,公司名稱,流動資產,基金及投資,固定資產,無形資產,其他資產,受託買賣借項,資產合計,流動負債,長期負債,其他負債,受託買賣貸項,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
101/04,2855,統一證券,     42679412,        551409,      2657269,          1166,      1561969,        298612,     47749837,     25937950,              0,          4845,              0,     25942795,     13231191,        255676,      8567531,       -286895,         39539,     21807042,              0,              0,             16.45
101/04,2856,元富證券,     60942726,        930383,      2099302,        246649,      1944939,        110363,     66274362,     46789212,              0,         13130,              0,     46802342,     15296593,         60357,      4584422,       -469352,              0,     19472020,              0,     38800000,             13.06
101/04,6005,群益證,     50399806,      1008272,      6409784,      3581950,      3642110,        111824,     65153746,     33145211,      1443522,        698326,              0,     35287059,     23690730,      2735007,      2874278,       -173314,        739986,     29866687,              0,              0,             12.29
