年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
99/03,2880,華南金,,     20768372,    125902254,     32475911,      3942573,     49743078,              0,  1185306863,     61461611,    311561710,         88420,     10245284,        337408,     28549972,        527974,      9939284,  1840850714,,     54584296,              0,     40245687,     14707180,      4973158,     42542557,              0,  1529436392,     31000000,      6152000,              0,      1816654,      9023068,        818639,      7687153,  1742986784,,     66172778,     12408833,     17415378,      1865612,     97862601,          1329,     97863930,              0,              0,             14.79
99/03,2881,富邦金,,    130263500,     73869569,     64278461,     30072452,    169272545,              0,  1048925286,    771124774,    467471242,      4217625,    492122387,     60195484,     23539483,     11834421,     20367666,  3367554895,,     74575432,              0,     41139541,     24359923,      4697108,     95286250,              0,  1280974266,     82646551,      3463050,              0,              0,  1337628185,    175281158,     20494349,  3140545813,,     85467248,     54225076,     55513211,     27064327,    222269862,      4739220,    227009082,     13333513,              0,             26.05
99/03,2882,國泰金,,    764710617,     76738890,     89972009,     59304157,    106440616,              0,  1353578951,    659432889,    679175614,      2470958,    596968581,    124735403,     38152616,      8534265,     47780127,  4607995693,,     46932709,      1566500,     20088941,     33461325,        540000,     64139661,              0,  1309914327,     59934823,        400000,              0,              0,  2566135634,    275349560,      8847170,  4387310650,,    101544213,     78508148,     24989292,     12906595,    217948248,      2736795,    220685043,              0,              0,             21.46
99/03,2883,開發金,,      6864219,     56273487,     47115735,      7369919,     17431851,              0,     66699641,     49920193,              0,     12373254,     47098498,              0,      3982801,              0,     10994975,    326124573,,      3375028,              0,     15539167,     34388689,      7945162,     11807493,              0,     42443949,     45834522,     11525649,              0,              0,              0,     21527958,      2265205,    196652822,,    113236483,      8912726,      6693730,        402803,    129245742,        226009,    129471751,    572879000,              0,             12.02
99/03,2884,玉山金控,,     10064195,     37029885,    146495564,        820624,     39916210,              0,    592761450,     40201396,    123212032,              0,      4491964,              0,     14120404,      3994310,      3108972,  1016217006,,     46731568,              0,     18765573,     15787484,      2459363,     11212401,              0,    823507022,     41500000,        171000,              0,              0,              0,        621306,        946747,    961702464,,     38033000,     10657820,      5648423,        175299,     54514542,              0,     54514542,              0,              0,             14.33
99/03,2885,元大金,,     24332965,     89182974,     43572084,     11510408,    106885525,         78732,    268284495,     17742344,      2539532,      6756403,     16263201,              0,      8706882,     10691296,     13321457,    619868298,,     15735818,              0,      8196073,     12840218,     22299881,     61013811,              0,    339019144,     29530325,      4626777,              0,      1095356,        964926,      2280936,      8105610,    505708875,,     81021057,     25564939,      6654350,        393809,    113634155,        525268,    114159423,     29593000,              0,             14.08
99/03,2886,兆豐金,,     97931238,    128909341,    153081587,      2288636,    158360013,              0,  1321772451,    184157432,    228667373,      2618794,     23780616,        469975,     21645822,        248355,     10480163,  2334411796,,    217729131,     48125015,     28395210,    166337823,     10958157,     72104297,              0,  1507482906,     46450000,      7439634,              0,      1816262,     14162197,      8102496,      8561789,  2137664917,,    110594262,     43426403,     32712486,      9386926,    196120077,        626802,    196746879,              0,              0,             17.73
99/03,2887,台新金控,,     26506157,    114895185,     83115519,      5193646,    128172138,              0,  1548712527,    203192094,    192292275,        232479,     22206164,              0,     42042748,     21686842,     26609526,  2414857300,,    155144340,              0,     18264750,     52435309,        350000,     53329239,              0,  1868105405,     93918703,        245000,              0,              0,      1361333,        522937,      8570266,  2252247282,,     71007364,     19076045,      7455482,        371443,     97910334,     64699684,    162610018,              0,              0,             13.79
99/03,2888,新光金,,     78562713,     83775190,     69026157,     35472103,     65328489,        298625,    496361943,    467029115,      1742880,        167148,    590881511,     93460849,     18440866,      2335046,     31333294,  2034215929,,      2649477,              0,      2423154,     30418969,      8658415,     26234995,              0,    370600575,     23950000,      8532988,      1654000,              0,  1334051267,    115724933,     11058380,  1935957153,,     78677876,      8764923,      1621463,     -5299873,     83764389,     14494387,     98258776,     31400000,              0,             10.69
99/03,2889,國票金控,,      1265216,             85,    119271042,      1657784,     15134768,        395540,              0,     55245744,              0,      1496880,      4557447,              0,      2118429,        162378,      2125847,    203431160,,     13665369,              0,      1148972,    143971593,      7979184,      3360760,         32113,              0,              0,              0,              0,         82864,      1649622,      1754468,         82661,    173727606,,     23334493,         88285,      1626640,        803664,     25853082,      3850472,     29703554,     60330000,              0,             11.37
99/03,2890,永豐金控,,     12810134,     78903287,     52126597,      4632453,     72072511,              0,    706298756,     34699466,    178136500,         60581,     26437739,              0,     11758514,      2216916,     12276299,  1192429753,,     58474445,              0,     14287844,     17346878,     15495795,     28085533,              0,    914141976,     24127094,     14306289,        129060,              0,              0,     16507679,      3261227,  1106163820,,     70098167,      2014550,     14022647,        130569,     86265933,              0,     86265933,              0,      8049600,             12.31
