年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
100/03,1101,台泥,     72055599,     13946505,    144415561,     13200241,     17677610,    261295516,     59441445,     69060669,      5247536,      2354997,    136104647,     36921759,     15984716,     18456040,     22416041,              0,              0,     31412313,    125190869,              0.00,              0.00,             25.40
100/03,1102,亞泥,     50902026,     58643222,     68172546,      5224564,      3930326,    186872684,     26842606,     61285158,      1466299,      2118925,     91712988,     31368137,      8566976,     25568334,     14467138,              0,              0,     15189111,     95159696,              0.00,              0.00,             25.49
100/03,1103,嘉泥,     12161020,      6680497,     11193096,        397989,        356992,     30789594,      4225459,      6466936,      1290719,        514197,     12497311,      7542024,        771014,      6475548,      1180894,              0,              0,      2322803,     18292283,              0.00,    128301155.00,             25.51
100/03,1104,環球水泥,      3339626,      6586639,      3749507,         18950,      2379577,     16074299,      1300221,        773000,      1179798,        254157,      3507176,      6038919,        159730,      2912533,      3256453,              0,              0,        199488,     12567123,              0.00,              0.00,             20.48
100/03,1108,幸福水泥,      5604957,        111636,      2830280,          3155,        591074,      9141102,      3362087,      1223000,              0,        495499,      5080586,      4047380,         27420,       -128257,        108088,              0,              0,          5885,      4060516,              0.00,              0.00,             10.02
100/03,1109,信大水泥,      2885445,        898824,      5300243,        147572,        205004,      9437088,        741126,      1525300,              0,        393046,      2659472,      4210008,         42598,      1573720,         34585,              0,              0,        916705,      6777616,              0.00,              0.00,             13.92
100/03,1110,東泥,      1385699,      2300711,      4655759,              0,        920747,      9262916,        356307,              0,        242625,        420674,      1019606,      5720008,        183487,      1580687,        755597,              0,              0,          3531,      8243310,              0.00,              0.00,             14.41
100/03,1201,味全公司,     18745967,        135058,      8930722,        496853,      1013268,     29321868,      7755046,      9719879,        748907,      1767668,     19991500,      5060629,         37920,      2391706,       -443905,              0,              0,      2284018,      9330368,              0.00,              0.00,             13.92
100/03,1203,味王公司,      2838931,        372284,      3905367,          1337,        812893,      7930812,      1134955,        506017,        879845,        507548,      3028365,      2400000,         45012,        537404,      1086904,              0,              0,        833127,      4902447,              0.00,      2293865.00,             17.12
100/03,1210,大成長城,     19751339,      1795942,      9291818,        832551,        582930,     32254580,     15211959,        592749,         20754,        322913,     16148375,      5247491,      1980162,      2834102,        652750,              0,              0,      5391700,     16106205,              0.00,     38767909.00,             22.29
100/03,1213,大飲,        413319,         33872,        248650,              0,        104844,        800685,        206219,              0,              0,          5919,        212138,        514751,         21938,         53562,         -1704,              0,              0,              0,        588547,              0.00,              0.00,             11.43
100/03,1215,卜蜂企業,      4488362,      1662404,      1663027,         29308,        140080,      7983181,      3377827,          2666,              0,        396554,      3777047,      2320268,            967,        425179,      1351243,              0,              0,        108477,      4206134,              0.00,              0.00,             17.66
100/03,1216,統一,    121076331,     41617440,    119144575,     10032043,     20426521,    312296910,    121539890,     61901616,      2169441,     10683672,    196294619,     45443686,      6251821,     18386713,      1736797,              0,              0,     44183274,    116002291,              0.00,              0.00,             15.80
100/03,1217,愛之味,      3446877,      2688781,      4174786,         55628,      1285557,     11651629,      2313194,      3059979,         79974,        245325,      5698472,      4976893,        259651,         76752,        146437,              0,              0,        493424,      5953157,              0.00,              0.00,             10.97
100/03,1218,泰山企業,      4523826,      2005541,      2538332,         32496,        291000,      9391195,      3178881,      1851370,        222537,        216555,      5469343,      3430447,         50467,        298276,        113323,              0,              0,         29339,      3921852,              0.00,     13435457.00,             11.81
100/03,1219,福壽實業,      3849015,        271459,      1976756,         12430,         85332,      6194992,      1220131,        204831,        448422,        232541,      2105925,      2924260,         59244,        788981,        301949,              0,              0,         14633,      4089067,              0.00,              0.00,             13.93
100/03,1220,台榮,      2070597,        101065,        967692,         13973,        127233,      3280560,        882205,          1658,        157271,        113970,      1155104,      1770779,            537,        -51086,        259346,              0,              0,        145880,      2125456,              0.00,              0.00,             11.18
100/03,1225,福懋油,      3620271,        241226,      2706790,         92045,        176992,      6837324,      2094340,      1983795,        100296,        108810,      4287241,      1819011,        152783,        118655,        178989,              0,              0,        280645,      2550083,              0.00,              0.00,             12.48
100/03,1227,佳格,      8523962,        348928,      2198562,         37735,        449311,     11558498,      3006041,          2369,         33685,         35604,      3077699,      4636269,         40704,      3510252,        154231,              0,              0,        139343,      8480799,              0.00,      3379065.00,             18.12
100/03,1229,聯華實業,      3039093,     18637220,      4062697,         58263,        125070,     25922343,      2381847,      2450000,         93543,        220344,      5145734,      8477158,      1079339,      5982999,      5077691,              0,              0,        159422,     20776609,        856000.00,         94000.00,             24.32
100/03,1231,聯華食品,      2378463,          7011,      1592788,         45502,        570539,      4594303,      1320618,      1023018,              0,        112119,      2455755,      1188816,         73042,        864704,         -1122,              0,              0,         13108,      2138548,              0.00,              0.00,             17.88
100/03,1232,大統益,      3334061,         18795,        871582,          1328,         12967,      4238733,      1347910,              0,              0,         30218,      1378128,      1599749,         23784,      1305353,        -95696,              0,              0,         27415,      2860605,              0.00,              0.00,             17.71
100/03,1233,天仁,        701332,        154851,        803414,          1920,         70153,      1731670,        308369,             11,              0,         15935,        324315,        905919,         60605,        429281,           -324,              0,              0,         11874,      1407355,              0.00,              0.00,             15.40
100/03,1234,黑松,      3067749,      6844063,      2988049,         10213,        751386,     13661460,      1366675,              0,      1915676,        537175,      3819526,      5358281,        184601,      2159045,      2140007,              0,              0,              0,      9841934,              0.00,              0.00,             18.37
100/03,1235,興泰,      1052685,        208566,        142850,              0,        131186,      1535287,        566324,              0,         36662,         23136,        626122,        561688,         27674,        103817,        210998,              0,              0,          4988,        909165,              0.00,      2069525.00,             17.23
100/03,1236,宏亞食品,        728370,         25546,      1647661,          5657,        104352,      2511586,        745909,        200000,              0,        223262,      1169171,        984932,         33396,        314785,          9302,              0,              0,              0,      1342415,              0.00,              0.00,             13.63
100/03,1301,台塑,    149418211,    120071369,     80788678,      1541302,      6959982,    358779542,     42336123,     57462777,              0,     11098910,    110897810,     61209046,     12829760,    118454155,     55388771,              0,              0,              0,    247881732,              0.00,              0.00,             40.50
100/03,1303,南亞塑膠,    220270018,     95185133,    148044112,      1868499,      5394928,    470762690,     63165838,    105004772,              0,     22238335,    190408945,     78522986,     28187467,    124182397,     36889126,              0,              0,     12571769,    280353745,              0.00,        183235.00,             34.10
100/03,1304,台聚,     38122170,      2681607,     15039958,        850308,      1746541,     58440584,     19088380,      6449173,        800992,      3035274,     29373819,      9935673,        227170,      6042352,       -235477,              0,              0,     13097047,     29066765,              0.00,     89400718.00,             17.66
100/03,1305,華夏,      5662781,        318719,      4897396,         22034,        772432,     11673362,      3404581,      1352608,        592084,      1239669,      6588942,      4248035,          8964,        145251,        563018,              0,              0,        119152,      5084420,              0.00,              0.00,             11.69
100/03,1307,三芳化工,      6085258,        106329,      4040020,        135281,         84784,     10451672,      3218681,      1438550,         37782,        281521,      4976534,      3431614,        137866,      2095992,       -190334,              0,              0,              0,      5475138,              0.00,              0.00,             15.95
100/03,1308,亞聚,      5508153,      4457994,        656390,          4999,        572510,     11200046,      1780757,              0,         21469,        268879,      2071105,      3913974,         31005,      3471806,      1712156,              0,              0,              0,      9128941,              0.00,              0.00,             23.32
