年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
100/04,2880,華南金,,     42741787,    105296645,     35808671,        964902,     56508368,              0,  1308403862,     70643572,    288449565,         85359,     20909388,        603097,     30735789,        539815,     13335074,  1975025894,,     82357240,              0,     27907823,     23915984,      2659514,     46058537,              0,  1595488062,     38350000,      3826000,              0,      2016551,      9080406,      9476095,      8374174,  1849510386,,     82143144,     20528236,     21185130,      1657579,    125514089,          1419,    125515508,              0,              0,             15.28
100/04,2881,富邦金,,    218464919,     78798417,     78921506,     28068404,    114304254,              0,  1158339862,    889556526,    457502518,      3604895,    449972725,     68494654,     32516807,     13805271,     25784458,  3618135216,,     72362875,              0,     35869058,     27260155,              0,     68599547,              0,  1293430787,    101539435,      3269333,              0,              0,  1583714753,    175614571,     22792020,  3384452534,,     90137379,     54968575,     71380353,     17196375,    233682682,              0,    233682682,      1486000,              0,             25.93
100/04,2882,國泰金,,    726749401,     87406822,     84697424,     11820837,     97164171,              0,  1492075402,  1336579892,     21955565,      1287843,    855616113,    146173482,     38605554,      9692897,     95577377,  5005402780,,     62275073,      1514500,     23136143,     14686609,      8720000,     48090283,              0,  1414421828,     76023825,              0,              0,              0,  2822611555,    304662085,     11549306,  4787691207,,    103575097,     78508148,     28743040,      2834650,    213660935,      4050638,    217711573,    200000000,              0,             21.03
100/04,2883,開發金,,     10554592,     26260039,     48025163,      6544308,     17925818,              0,     83957822,     79421930,              0,      5977173,     37799827,              0,      3993474,              0,     11247362,    331707508,,      5036547,              0,     15645059,     49484036,      3155397,      9266441,              0,     64784269,     42824504,      5997593,              0,              0,              0,     14978039,      1540891,    212712776,,    112492660,      9301680,      3928723,     -6970792,    118752271,        242461,    118994732,              0,              0,             10.56
100/04,2884,玉山金控,,     20115766,     45016416,     52303140,         29789,     46576283,              0,    656008834,     53524008,    253283859,              0,      5143502,              0,     15892484,      4063447,      3533834,  1155491362,,     38052926,              0,     13092263,     13247387,        951708,     19676684,              0,    954993962,     46500000,          6000,              0,          5433,         66504,      1934733,      1380066,  1089907666,,     45750000,     13327677,      6728981,       -222962,     65583696,              0,     65583696,              0,              0,             14.34
100/04,2885,元大金,,     33791149,    104082173,     82885508,      1546544,     80677979,        419162,    348783971,     16337378,      3083428,        129468,     42996924,              0,     15821362,     27189169,     10247933,    767992148,,      7080166,              0,     14177945,     39252832,      3409424,     68750076,          6992,    419473779,     33414348,      6170722,              0,      1938792,        565515,      6977755,     14768550,    615986896,,    100163105,     34555423,     16363941,     -1841857,    149240612,      2764640,    152005252,      3612000,              0,             14.91
100/04,2886,兆豐金,,    322992872,    180399521,    188869552,      1460685,    107160487,              0,  1462054154,    161432963,    131290215,      2548394,     23289566,        480452,     21416577,        297150,     14709347,  2618401935,,    367548678,     71873400,     21312632,    199581332,      1749387,     58514085,              0,  1588560967,     61401059,      5429400,              0,      2069310,     13610468,     12620054,     10952437,  2415223209,,    112806148,     43426403,     41960123,      4688712,    202881386,        297340,    203178726,              0,              0,             17.98
100/04,2887,台新金控,,     64855717,    109187193,     67515650,      9698023,    110761564,              0,  1723226715,    248786716,    182797810,        252698,     18005451,              0,     41204451,     21951779,     23734229,  2621977996,,    174583880,              0,     10388922,     52249552,        267953,     57275084,              0,  2024212177,     97146086,         43000,              0,              0,        779673,     15016995,      9671492,  2441634814,,     75163436,     19217299,     11749407,         88787,    106218929,     74124253,    180343182,              0,              0,             14.13
100/04,2888,新光金,,     74355910,    110495816,     33123168,     20367689,     54645352,        200964,    565302302,    311156545,    210998589,        142629,    601447487,     91760901,     22440427,      5390659,     34391575,  2136220013,,      7842865,              0,     14262161,     24538375,      3349413,     23977364,              0,    447344628,     29277164,      8113462,      1654000,              0,  1377126272,    103504570,     12815508,  2053805782,,     84363876,      8839562,      7524148,    -31183684,     69543902,     12870329,     82414231,              0,              0,              8.24
100/04,2889,國票金控,,      2103991,         20077,    127653554,        823855,     10204077,              0,              0,     62103772,              0,      1401667,      4699811,              0,      2062972,        528821,      2241637,    213844234,,      6971634,              0,        606523,    164956237,      3991711,      2024439,              0,              0,              0,              0,              0,         81699,      1289230,      2317151,         51714,    182290338,,     24547887,        351214,      2200367,        535066,     27634534,      3919362,     31553896,              0,              0,             11.26
