年季,公司代號,公司名稱,流動資產,貼現及放款,基金與投資,固定資產,無形資產,其他資產,流動負債,存款及匯款,央行及銀行同業融資,長期負債,其他負債,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,資產合計,負債合計,少數股權,股東權益合計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/02,1409,新纖,     25071795,     27663590,     10020506,     16847872,         62335,      3191798,     17804002,     34132444,              0,      4135660,      2459977,     15914047,        705225,      1624803,      1169063,              0,     82857896,     58532083,      4912675,     24325813,              0,      8842000,             12
99/02,1718,中纖,     79501740,    231454317,     15820235,     12094835,        424541,      6462733,     17798426,    288183945,        484170,      9028869,      1671427,     14105902,      1346455,       -228682,        -86430,              0,    345758401,    317166837,     13454319,     28591564,              0,    287152300,             13
99/02,2514,龍邦國際,     91637066,     35058867,    138351819,      8773602,              0,     40467450,      9718028,              0,              0,      4255075,    290172368,      5277540,        669319,        217123,     -1273989,              0,    314288804,    304145471,      5253340,     10143333,              0,     57249000,             10
99/02,2905,三商,     33614243,     13982803,     74671701,      7117761,         23811,     17122683,      8260559,              0,              0,      4611595,    123724131,      5749732,        488502,      2719214,     -1480353,              0,    146533002,    136596285,      2459622,      9936717,              0,     46731821,             14
