年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
96/04,2880,華南金,,     23033883,    153320292,     41847233,      2324363,     46745440,              0,  1053763226,    120575741,    171777998,         94761,     10244593,        468335,     26042594,        667635,     17410309,  1668316403,,     89175648,              0,     40731697,     36682483,      5795626,     45398431,              0,  1297243813,     39600000,      6209798,              0,      1035810,      6097223,        708884,      7654245,  1576333658,,     59702086,     12408866,     16714923,      3152916,     91978791,          3954,     91982745,              0,              0,             15.41
96/04,2881,富邦金,,     53432177,    208166919,     56268394,     10872316,    110695013,              0,    807716729,    264878719,      5883418,        607352,    236748754,     13038149,     21799402,      1430656,     12397919,  1803935917,,     65844315,     11803415,     12754047,     69043762,        599817,     49254028,              0,    982651871,     67079902,     11790000,              0,              0,    261416508,     94226503,      7276575,  1633740743,,     77190935,     49092515,     36530586,      2914257,    165728293,      4466881,    170195174,              0,              0,             21.47
96/04,2882,國泰金,,    381587302,     58973222,    137322294,     18427144,     79863286,              0,  1306756704,    473119410,    587561561,      3022508,    426981441,    106384870,     41567665,      7432526,     55333344,  3684333277,,     73637393,      1624200,     60028740,     14928582,              0,     30554171,              0,  1027834886,     18551837,              0,              0,              0,  1963863176,    254621235,      8799279,  3454443499,,     92770192,     81971213,     44823825,      6998239,    226563469,      3326309,    229889778,     66659815,              0,             24.60
96/04,2883,開發金,,     15320873,     29013711,     46621844,      3401830,     22577799,              0,     83028592,     78901835,              0,     14689077,     50098037,              0,      4134338,              0,     17477305,    365265241,,     38434136,              0,     11609959,     49359978,      5615291,     27044892,              0,     13778366,     38500000,     12930563,              0,              0,              0,     22490212,      3174215,    222937612,,    109620627,      9164428,     11916533,     10575514,    141277102,      1050527,    142327629,    207890000,              0,             13.14
96/04,2884,玉山金控,,      8959151,     31671111,     99729801,        295975,     32626300,              0,    514648763,     38078612,     14389915,        130259,      9026992,              0,     12914521,      3936018,      5774566,    772181984,,     32516451,              0,     39498399,     17631985,      1773679,      8478831,              0,    589441331,     31100000,        300000,              0,              0,              0,      2799588,        799856,    724340120,,     33033000,      9883176,      5609490,       -683802,     47841864,              0,     47841864,              0,              0,             14.48
96/04,2885,元大金,,      2376003,     60020423,     50529280,     10549265,    100260222,      2719551,    236522168,     17999458,      8180472,      5957793,      8630565,              0,     10988533,      9620367,     15370639,    539724739,,     28264164,              0,      5803803,     32736181,     33006512,     30763851,              0,    254659284,     18700000,     17019841,              0,        783870,        666752,        933277,      7292160,    430629695,,     83530437,     24087880,      6051841,     -4830085,    108840073,        254971,    109095044,    295527780,              0,             13.51
96/04,2886,兆豐金,,     99998170,    249729453,    210393327,      4765687,    123958757,              0,  1210579613,    255517877,     90448402,      2582607,     29112851,        379312,     23853592,        344927,      9169867,  2310834442,,    369971867,     42997399,     53104691,    246995517,     23732467,     65261108,              0,  1232608275,     33215871,     18898300,              0,      1656078,      8765931,      8729674,     10245842,  2116183020,,    110594262,     45182901,     34039308,      4151275,    193967746,        683676,    194651422,              0,              0,             17.54
96/04,2887,台新金控,,     37598828,    247170969,     81135486,     14337297,    119132189,              0,  1466208014,    106149641,    127639354,      1017635,     18870862,              0,     44907490,     20757601,     54021688,  2338947054,,    209768825,              0,     18391519,     84212588,      5093382,     62077023,              0,  1669015794,    107498220,      5530000,              0,              0,      1593369,        525226,     17691040,  2181396986,,     69880779,     19389426,      4587095,       -482574,     93374726,     64175342,    157550068,              0,              0,             13.36
96/04,2888,新光金,,     98443372,     34191241,     92848829,     11994931,     58223087,              0,    459743179,    156337727,    219611895,        433379,    427521435,     78951755,     21079454,      2884640,     25731002,  1687995926,,      7513507,              0,      5030281,     30454485,      8693475,     18680732,              0,    313891496,     31207766,      5694162,              0,              0,  1049065271,    108989411,      8662395,  1587882981,,     50253725,     19325127,     11341625,      2971065,     83891542,     16221403,    100112945,     34680000,              0,             16.81
96/04,2889,國票金控,,        941390,      6101753,    121577844,      4114794,     11900153,              0,              0,     90644446,        320302,      1270371,      5295067,              0,      2130510,        292814,      1340723,    245930167,,     18440000,              0,         47893,    191619376,      2267152,      2707528,              0,              0,              0,              0,              0,        144991,      2029646,      1121700,        136157,    218514443,,     21622801,              0,      3002623,     -1007455,     23617969,      3797755,     27415724,              0,              0,             10.92
