年季,公司代號,公司名稱,資產,現金及約當現金,存放央行及拆借銀行同業,公平價值變動列入損益之金融資產-淨額,附賣回票券及債券投資,應收款項-淨額,待出售資產,貼現及放款-淨額,備供出售金融資產-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,其他金融資產-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他資產-淨額,資產總計,負債,央行及金融同業存款,央行及同業融資,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付商業本票-淨額,應付款項,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,應付退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股東權益,股本,資本公積,保留盈餘,股東權益其他項目,母公司股東權益合計,少數股權,股東權益總計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,預收股款(股東權益項下)之約當發行股數(單位:股),每股淨值(元)
99/02,2880,華南金,,     20022409,    123656322,     28762218,      6781915,     48777775,              0,  1162796131,     58817273,    294449810,         88693,      9781513,        542917,     26421410,        520759,     12020535,  1793439680,,     54614156,              0,     40480939,     21680981,      5217845,     37031108,              0,  1486227969,     31000000,      3299000,              0,      1760042,      8818616,        824507,      7874069,  1698829232,,     66172778,     12408838,     15439964,        587543,     94609123,          1325,     94610448,              0,              0,             15.08
99/02,2881,富邦金,,    133007569,     96898404,     47667992,     35995363,    137960837,              0,  1052210779,    681417198,    426652907,      3797886,    501389910,     60184654,     23645844,     11935890,     18469640,  3231234873,,     80009237,              0,     33126480,     15120171,      7908739,    100786768,              0,  1269768922,     80878169,      5600000,              0,              0,  1260419238,    165477961,     11154201,  3030249886,,     85454818,     54185938,     46095801,     10631964,    196368521,      4616466,    200984987,      9080000,              0,             24.16
99/02,2882,國泰金,,    718216746,    123237685,     78191352,     37493843,    115496860,              0,  1337623192,    603246927,    666873212,      2423701,    540796790,    124514347,     38597515,      8562619,     48432258,  4443707047,,     55582385,      1613900,     25622080,     23211128,              0,     61057510,              0,  1263183552,     57021192,         10000,              0,              0,  2500176046,    253146644,      7527636,  4248152073,,    101544213,     78508148,     19786881,     -7171049,    192668193,      2886781,    195554974,              0,              0,             19.92
99/02,2883,開發金,,      7204812,     54714103,     32246711,      4931012,     16138711,              0,     67062341,     48383353,              0,     11988572,     48334322,              0,      4006061,              0,      9523600,    304533598,,      4515158,              0,     12536017,     30078670,      1510221,     14639844,              0,     36140294,     53816408,      6461462,              0,              0,              0,     17694687,      1564866,    178957627,,    113236483,      8938606,      3204083,       -246844,    125132328,        443643,    125575971,    572879000,              0,             11.76
99/02,2884,玉山金控,,      9887083,     39607576,    229437572,      2229165,     40785551,              0,    582988290,     51990290,     16987622,              0,      4824104,              0,     14156897,      4031457,      3023564,    999949171,,     48411585,              0,     17981721,     27195899,      1926581,      9846349,              0,    800816992,     39000000,              0,              0,              0,              0,      1120138,        886564,    947185829,,     38033000,     10580755,      4711794,       -562207,     52763342,              0,     52763342,     55059000,              0,             14.67
99/02,2885,元大金,,     20643385,     67313086,     38005218,     13129392,     79717164,         49747,    252944039,     20169597,      2716381,      6488949,     16725732,              0,      8906241,     10743688,     15305442,    552858061,,     11444553,              0,      6811052,     11893124,     17337719,     49497803,              0,    301987521,     25126700,      3026297,              0,      1068626,        920132,      4273716,      8732697,    442119940,,     81021057,     24979715,      4380799,         92861,    110474432,        263689,    110738121,     30087000,              0,             13.69
99/02,2886,兆豐金,,    139072096,     79819332,    161108739,        808106,    141236466,              0,  1265296593,    187519806,    259257725,      2683699,     24197203,        486500,     21620416,        262593,      9941232,  2293310506,,    195974444,     45575176,     29751675,    176647411,      8421721,     68513164,              0,  1488660751,     46950000,     11384460,              0,      1836743,     12381201,      7956061,      8948879,  2103001686,,    110594262,     43426403,     28550730,      7117880,    189689275,        619545,    190308820,              0,              0,             17.15
99/02,2887,台新金控,,     25047009,    114438460,     84124249,      2518557,    124931011,              0,  1526793383,    196730461,    207173663,        229460,     22460079,              0,     42239775,     21706616,     26349990,  2394742713,,    166802174,              0,     18696140,     62558921,              0,     49813943,              0,  1832869176,     93800511,              0,              0,              0,      1514198,        535709,      9580168,  2236170940,,     71007364,     19076045,      5155335,        251556,     95490300,     63081473,    158571773,              0,              0,             14.66
99/02,2888,新光金,,     79264969,     69186256,     50033104,     41609787,     53353646,        317868,    483393890,    438059731,      7206638,        158864,    595372621,     93263694,     18552193,      2335046,     32929991,  1965038298,,      3843555,              0,      6257107,     31624065,      7099099,     18023183,              0,    353331134,     23950000,      7344533,      1654000,              0,  1310800355,    111389085,      9498403,  1884814519,,     78677876,      8764803,     -2999037,    -18168989,     66274653,     13949126,     80223779,     31400000,              0,              8.46
99/02,2889,國票金控,,      1240477,      1440052,    118087374,      1565541,     12649818,        303356,              0,     56950989,              0,      1507259,      4350815,              0,      2121286,        162378,      2142760,    202522105,,              0,     11750000,        509842,    149933189,      6161580,      2501024,              0,              0,              0,              0,              0,         83980,      1601280,      1323404,         43657,    173907956,,     23334493,         88285,        972316,        518849,     24913943,      3700206,     28614149,     60330000,              0,             11.67
99/02,2890,永豐金控,,     13979496,     75407187,     37501215,      6469064,     67588194,              0,    729312667,     43757603,    143326995,         59166,     26844377,              0,     11837578,      2253967,     12834230,  1171171739,,     51648858,              0,     12796088,     23742648,     13063157,     25023267,              0,    898877071,     26829753,     14347025,        129060,              0,              0,     17206680,      3469693,  1087133300,,     70017671,      2016723,     11857689,        146356,     84038439,              0,     84038439,              0,      1674100,             12.00
99/02,2891,中信金,,     31736023,    100726200,     66530433,              0,    118512627,              0,    961611703,    351970997,    105178358,      2219246,     17457630,              0,     33840867,     12208476,     11186932,  1813179492,,     37447295,     20197363,     33182638,     92718871,        799915,     54488774,              0,  1335787105,     83709823,              0,              0,              0,              0,      2299429,      4115648,  1664746861,,    107295268,     34235477,     17329491,    -10522764,    148337472,         95159,    148432631,     86130000,              0,             14.76
99/02,2892,第一金控,,     24080482,    137534832,     30226449,      3596143,     63278524,              0,  1172514463,     67894698,    409059173,      2154081,     13197976,              0,     23478593,        310147,     13061118,  1960386679,,    153733003,         89272,     48586214,     10290879,      2534630,     69223126,              0,  1529787455,     18400000,        238000,              0,      1951307,     12699270,      4719672,      7252788,  1859505616,,     64768251,      9943476,     16608611,      8779527,    100099865,        781198,    100881063,              0,              0,             15.84
