年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
97/03,1101,台泥,     46551530,      7493835,    122109732,      3135557,      5604502,    184895156,     39599056,     49475141,      5230295,      1948617,     96253109,     32921759,      8578057,     12919966,     15666569,              0,              0,     18555696,     88642047,              0.00,              0.00,             21.29
97/03,1102,亞泥,     40656505,     46397803,     49020353,      2428412,      8341101,    146844174,     22255282,     43482600,      1466299,      1825604,     69029785,     28987723,      7992460,     20169355,      8449738,              0,              0,     12215113,     77814389,              0.00,              0.00,             22.63
97/03,1103,嘉泥,      9705527,      6983135,     10431841,        983717,        320052,     28424272,      2503294,      5946306,      1291202,      1051025,     10791827,      7390769,        456994,      6573814,      2130030,     -1102205,              0,      2183043,     17632445,              0.00,    154584165.00,             26.43
97/03,1104,環球水泥,      4692179,      5908878,      6801516,        417742,      2491672,     20311987,      3574608,      2859735,      1169037,        515332,      8118712,      6038919,        166422,      1741421,      3511273,              0,              0,        735240,     12193275,              0.00,              0.00,             18.97
97/03,1108,幸福水泥,      5851563,        284351,      3207270,         31099,        621162,      9995445,      3743418,      1466461,              0,        470820,      5680699,      4047380,         15965,        283182,        -38350,              0,              0,          6569,      4314746,              0.00,              0.00,             10.64
97/03,1109,信大水泥,      3863323,        987293,      2200088,          9780,        239036,      7299520,        372113,              0,              0,        357097,        729210,      4290898,         28462,      1821219,       -191615,              0,              0,        621346,      6570310,              0.00,              0.00,             13.86
97/03,1110,東泥,      1346802,      2559253,      5230422,              0,        471677,      9608154,        501391,         32667,        243226,        611050,      1388334,      5760008,        169655,      1706016,        635486,        -54243,              0,          2898,      8219820,              0.00,      5103932.00,             14.39
97/03,1201,味全公司,      5794916,        260079,      6483251,        388731,      1152258,     14079235,      5044865,      1855405,        748907,      1495884,      9145061,      5060629,         77114,         -1237,       -262090,              0,              0,         59758,      4934174,              0.00,              0.00,              9.63
97/03,1203,味王公司,      3342742,        467484,      4453411,         90079,        781416,      9135132,      3031190,        711090,        879848,        492009,      5114137,      2092537,         36154,        -87368,      1210801,         -4951,              0,        773822,      4020995,              0.00,      2000000.00,             15.67
97/03,1210,大成長城,     17874019,      1169005,      7931969,        353054,        990888,     28318935,     13113254,      1312274,         20754,        552262,     14998544,      4486784,      1565897,      2237455,        645970,       -218792,              0,      4603077,     13320391,              0.00,     33506245.00,             21.00
97/03,1213,大飲,        383438,         32700,        177619,              0,        235129,        828886,        204255,              0,              0,         39075,        243330,        514751,         21938,         51024,         -2157,              0,              0,              0,        585556,              0.00,              0.00,             11.38
97/03,1215,卜蜂企業,      3610333,        242540,      1305867,         36403,        114714,      5309857,      2307410,              0,              0,        283456,      2590866,      2320268,            967,        336110,        -49668,              0,              0,        111314,      2718991,              0.00,              0.00,             11.24
97/03,1216,統一,    105337001,     48729676,    101164568,      4722909,     16795271,    276749425,     97422896,     72355960,      1773357,     10024418,    181576631,     37331420,      5867256,     11970794,      3245283,              0,              0,     36758041,     95172794,              0.00,              0.00,             15.65
97/03,1217,愛之味,      2847467,      2197506,      3488106,         72608,      1474832,     10080519,      2944023,      1907949,         79974,        269448,      5201394,      4476893,         74211,       -187612,         65410,         -5487,              0,        455710,      4879125,              0.00,        520000.00,              9.89
97/03,1218,泰山企業,      4232431,      2058472,      2501122,         72280,        273604,      9137909,      3503230,      1312500,        285250,        260412,      5361392,      3202434,        107539,        182575,        375094,       -134860,              0,         43735,      3776517,              0.00,     12208428.00,             12.12
97/03,1219,福壽實業,      3721129,        271898,      2143409,         61870,        116228,      6314534,      1580995,        404346,        505262,        285688,      2776291,      2743080,        215396,        235692,        322703,              0,              0,         21372,      3538243,              0.00,              0.00,             12.82
97/03,1220,台榮,      1814747,        110026,        689354,         19116,        131802,      2765045,        814856,              0,          5813,        110839,        931508,      1770779,            537,       -135475,         -9090,              0,              0,        206786,      1833537,              0.00,              0.00,              9.19
