年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產合計,流動負債,長期負債,其他負債,負債合計,股本,資本公積,保留盈餘,股東權益其他項目,庫藏股票,少數股權,股東權益合計,換算匯率,換算匯率參考依據,是否經當地會計師查核或核閱
101/01,910069,新曄,      6323579,        509920,        332525,        498012,         35610,      7699646,      4116059,        600780,         25228,      4742067,      2512937,        105518,        508793,       -218340,              0,         48671,      2957579,23.49,臺灣銀行3/30平均匯率,毋須經會計師查核或核閱
101/01,910322,康師傅,     72755105,      5495795,    134259081,      7419847,      1738936,    221668764,    102098905,     16802137,      5151591,    124052633,        825011,      9040873,     45901683,     11265620,              0,     30582944,     97616131,US$ 1 : NT$ 29.51,臺灣銀行1013月31日即期匯率,毋須經會計師查核或核閱
101/01,9105,泰金寶,     47187160,        176640,     11849739,        362105,        128166,     59703810,     45458699,         47625,              0,     45506324,      3914454,      3018762,      8518142,     -1253872,              0,              0,     14197486,THB$0.96:NT$1,財報日之匯率,經會計師核閱
101/01,910579,歐聖,      1886895,              0,      3913289,         80781,         51463,      5932428,      2916439,              0,              0,      2916439,      3904481,        574028,     -1763027,        -56097,              0,        356604,      3015989,RMB$1：NT$ 4.69,我國與十六個貿易對手通貨對美元之匯率,毋須經會計師查核或核閱
101/01,910861,神州,     89676497,      4205679,      4351560,      1362500,      1343128,    100939364,     64544614,      6139929,              0,     70684543,        422234,     11945588,     13895176,      1134722,              0,      2857101,     30254821,HKD＄1：3.8636NT$,以101.06.30www.oanda.com網站公佈匯率換算,毋須經會計師查核或核閱
101/01,910948,融達,      4243066,        546907,        126979,         45637,              0,      4962589,      1639104,              0,              0,      1639104,        151928,      1757120,      1259915,        154522,              0,              0,      3323485,29.88,臺灣銀行於財務報表日之即期匯率-買賣均價,經會計師查核
101/01,9110,越南製造,      4644485,         21589,      1018872,          4467,        184118,      5873531,        677861,              0,              0,        677861,         34340,              0,      5161330,              0,              0,              0,      5195670,USD＄1：NT$29.530,台北外匯經紀股份有限公司,毋須經會計師查核或核閱
101/01,911602,華豐泰國,      1115281,              0,        652543,              0,          9622,      1777446,        410488,              0,          9528,        420016,        632097,        369426,        451993,              0,        -96086,              0,      1357430,Baht＄1：NT$0.96,101/03/31之匯率,經會計師核閱
101/01,911606,超級集團,      6858342,        370318,      3703954,        430647,        243878,     11607139,      2204939,              0,        181269,      2386208,      3843555,          2209,      5462453,       -446887,         -6392,        365993,      9220931,SGD$1:NT$23.5018,中央銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
101/01,911608,明輝環球,      3081207,        195789,        522864,        297195,         67675,      4164730,      1335619,              0,         14094,      1349713,      1020899,              0,      1703659,        -38759,              0,        129218,      2815017,SGD＄1：NT$23.49,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
101/01,911609,揚子江,    128044945,     18718743,     17822145,     17844100,          1327,    182431260,     85195031,     11680554,      2733773,     99609358,     29800228,              0,     49910427,       -364807,        -98392,      3574446,     82821902,RMB$1：NT$ 4.69,銀行期末平均匯率,毋須經會計師查核或核閱
101/01,911610,聯合環境,      4834568,        403580,        521227,         38455,      3676549,      9474379,      1355810,      3758802,        109221,      5223833,      2179340,         62234,      1501199,        507773,              0,              0,      4250546,SGD$1:NT$23.52,臺灣銀行於財務報表日之即期匯率,毋須經會計師查核或核閱
101/01,911611,中國泰山,      4359369,              0,      2028181,            507,         56212,      6444269,        461479,              0,              0,        461479,      2633058,         53826,      3317963,              0,        -22057,              0,      5982790,RMB1:NTD4.6843,Bloomberg顯示3月31日閉市匯率,毋須經會計師查核或核閱
101/01,911612,滬安電力,      8217065,              0,      2697224,        585361,         16718,     11516368,      5578290,        642112,              0,      6220402,      3060849,         36349,      2203054,         -4286,              0,              0,      5295966,RMB$1:NT$4.6631,以2012年3月31日www.oanda.com網站,毋須經會計師查核或核閱
101/01,911616,杜康控股,      4317936,        713836,      1725998,        585364,        894627,      8237761,      1290933,              0,        332859,      1623792,      1340198,      3149409,      2672349,       -547987,              0,              0,      6613969,RMB$1:NT$4.795,2011年9月底,毋須經會計師查核或核閱
101/01,911622,泰聚亨,      4442000,        291338,      5417163,            440,         99420,     10250361,      3507360,        681788,         11575,      4200723,      5793637,              0,        270484,         -4671,         -9812,              0,      6049638,THB$1：NT$0.96,以101/3/31公佈匯率換算,經會計師核閱
101/01,911626,華運中國,      2784692,              0,      1124093,         88204,              0,      3996989,        538994,              0,              0,        538994,        821479,        643772,      1992744,              0,              0,              0,      3457995,4.6845,匯率係採用各該期期末之台灣銀行匯率,毋須經會計師查核或核閱
